LGA_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
LGA35800,0,0,0,0,0,0,0,3,0,0,0,3,16,0,0,20,3,0,0,0,3,9,0,72,84,0,0,0,0,0,0,0,21,24,3,4,3,0,9,3,0,0,13,4,4,3,0,13,10,0,94,121,0,3,0,0,4,0,0,18,23,192,160,77,7,445,250,11,189,900,178,106,83,6,380,198,20,85,681,0,0,0,0,0,13,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,18,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,3,3,0,25,29,0,0,0,0,0,0,0,4,3,0,0,0,0,3,4,0,0,10,3,0,0,0,9,11,0,32,45,0,4,0,0,6,6,0,45,55,185,111,87,6
LGA36070,0,0,0,0,0,0,0,10,8,3,0,24,7,0,3,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,40,51,31,16,137,25,0,6,167,41,49,43,15,150,29,0,7,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,0,25,9,0,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,0,25,9,0,12,45,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,13,23,0,0,0,0,0,0,0,0,0,55,61,44,13
LGA36150,0,0,0,0,0,0,0,0,0,3,0,3,15,0,4,21,0,0,0,0,0,8,0,37,48,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,0,0,7,5,0,0,0,5,7,0,45,61,3,0,0,0,3,0,0,13,18,105,105,36,3,249,121,7,81,461,84,75,29,0,190,86,7,23,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,3,26,0,0,0,0,0,4,0,28,34,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,37,0,0,0,0,0,0,0,7,9,93,80,26,0
LGA36250,6,0,31,18,0,0,48,346,113,187,25,666,835,60,71,1635,52,6,10,0,75,146,11,76,305,0,0,0,0,5,0,0,4,11,13,12,3,0,31,11,3,0,40,71,22,16,0,110,161,10,79,354,0,3,3,0,8,3,0,4,13,14268,17899,5553,422,38140,9704,1321,1334,50501,13718,17432,4981,403,36537,6884,1135,1437,45997,651,140,212,15,1028,1387,50,116,2575,506,345,527,28,1406,946,120,163,2634,1158,487,737,46,2430,2331,173,278,5207,419,97,199,13,729,1125,35,76,1962,91,20,42,0,158,90,6,21,267,70,11,26,0,102,114,14,12,239,0,0,0,0,0,3,0,0,3,585,121,268,15,990,1324,53,114,2480,80,10,16,3,109,222,14,72,415,3,3,0,0,5,4,0,54,65,8,3,3,0,7,11,0,3,25,90,13,17,3,126,237,18,133,506,38,32,26,0,99,111,12,31,256,15589,18086,6032,464
LGA36300,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,14,4,0,0,0,4,3,0,39,46,0,0,0,0,0,3,0,4,9,0,0,0,0,0,0,0,0,0,8,0,0,0,8,9,0,47,52,0,0,0,0,0,3,0,5,8,95,95,26,3,216,88,10,89,403,89,68,30,3,192,73,6,27,306,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,22,26,3,0,0,0,5,3,0,34,43,94,68,33,3
LGA36370,0,0,5,9,0,0,15,338,219,233,22,805,1238,139,220,2404,56,12,7,0,78,101,0,388,565,4,3,3,0,15,10,0,53,72,10,10,3,3,23,18,0,8,46,70,24,19,3,119,125,0,443,686,3,0,0,0,4,6,0,5,19,7203,8189,3524,341,19257,6900,1009,1953,29112,6826,7929,3588,320,18658,5400,805,1412,26281,262,125,138,23,547,841,60,123,1572,74,35,38,5,151,334,36,65,590,334,158,177,30,699,1175,96,186,2155,126,80,106,8,325,635,83,164,1205,7,0,4,0,13,20,4,10,46,27,4,0,3,42,39,3,21,102,0,3,3,0,3,9,0,0,11,163,93,117,9,381,709,88,194,1371,31,5,3,0,36,114,6,476,632,11,8,0,0,22,15,0,58,90,9,10,7,0,29,12,0,4,43,49,23,10,0,83,136,6,534,763,26,22,14,3,70,59,6,19,151,7391,8229,3905,366
LGA36510,0,0,5,8,0,3,21,41,16,41,6,107,217,10,13,347,33,6,3,0,44,92,4,52,186,10,5,3,0,14,12,0,19,41,13,10,3,0,25,11,0,4,43,52,13,11,0,80,115,3,70,267,3,4,0,0,10,0,0,0,10,4439,4116,1392,104,10049,2896,337,513,13794,4493,4210,1441,111,10249,2519,333,1000,14096,62,12,47,7,132,266,11,49,463,16,10,8,0,40,47,4,14,107,78,24,62,7,166,315,14,68,573,23,0,13,0,41,114,0,10,166,3,0,3,0,9,34,0,3,48,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,30,4,17,0,52,149,8,7,215,40,8,4,0,52,78,10,69,205,4,4,0,0,14,6,0,43,65,19,8,4,0,27,13,0,5,49,60,18,11,0,92,94,9,122,312,20,7,9,0,30,10,0,14,61,4683,4263,1527,115
LGA36580,0,0,0,3,0,0,3,19,8,7,0,33,59,9,6,109,35,3,3,0,50,116,0,63,222,4,7,0,0,10,3,0,14,23,3,0,0,0,0,7,0,5,10,43,14,7,0,63,123,0,77,266,0,0,0,0,3,3,0,0,3,2555,2388,871,73,5887,1710,222,338,8155,2683,2428,984,73,6171,1822,284,684,8962,14,19,7,3,43,30,0,4,74,3,4,3,0,9,0,0,0,12,19,21,4,3,46,28,0,7,89,0,3,4,0,14,28,3,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,10,28,3,5,47,11,6,4,0,24,46,5,41,116,3,4,0,0,3,3,0,6,13,3,3,0,0,4,5,3,0,14,15,13,4,0,32,55,6,50,145,25,11,10,0,54,31,0,36,123,2746,2469,1016,81
LGA36630,0,0,3,0,0,0,3,85,39,79,16,214,413,39,45,714,45,8,4,0,50,57,3,145,257,12,3,0,0,13,10,3,5,36,9,4,3,0,14,3,5,4,27,69,15,3,0,85,73,5,152,321,3,4,3,0,14,22,0,19,48,3917,3071,1296,119,8412,3074,375,626,12491,3845,2798,1308,114,8056,2831,393,689,11973,33,20,30,0,81,219,10,31,342,0,0,4,0,3,3,0,3,12,32,20,36,0,84,226,12,34,361,49,19,31,5,109,271,23,41,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,50,19,31,5,106,277,23,45,449,28,11,9,3,39,88,5,190,325,11,4,3,0,18,23,0,34,82,17,0,4,0,20,6,0,8,34,55,16,9,3,82,119,4,232,440,23,13,4,0,35,10,0,19,64,4000,2862,1387,122
LGA36660,0,0,0,0,0,0,0,102,21,48,7,180,460,12,32,682,13,3,0,0,16,36,3,46,103,10,11,0,0,20,16,3,12,44,16,11,0,0,27,17,4,3,44,33,19,3,3,59,69,6,63,187,9,9,0,0,17,0,0,3,27,4144,3495,1366,120,9127,3407,326,482,13342,4082,3310,1306,128,8827,2942,283,675,12727,120,29,58,6,218,431,11,40,698,8,4,6,0,26,21,0,3,48,127,34,68,6,241,446,19,43,752,33,14,35,3,82,234,18,37,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,30,18,35,3,82,241,18,37,370,25,12,3,0,38,80,5,116,240,9,3,0,0,15,12,3,39,64,11,7,5,0,22,6,0,7,33,40,23,8,0,71,105,10,158,337,28,17,16,0,64,22,3,18,102,4315,3400,1427,143
LGA36720,17,0,56,87,4,11,162,3329,923,1292,129,5669,5100,831,1397,12999,492,70,82,7,648,1038,50,1302,3036,16,22,3,0,40,33,3,35,114,34,31,12,3,75,36,8,20,143,545,119,98,14,768,1102,58,1360,3291,11,13,7,0,31,19,0,15,63,31334,28108,10783,826,71057,22707,3820,5483,103059,26066,28916,8788,639,64404,12758,2810,3435,83411,2560,410,659,54,3679,3990,249,446,8363,1437,819,972,78,3302,1910,390,490,6098,3996,1223,1628,134,6980,5901,644,940,14465,918,413,682,56,2072,2516,365,461,5420,706,222,278,27,1229,1043,219,340,2836,2037,477,470,52,3040,2015,357,857,6276,12,5,4,0,22,30,0,4,54,3666,1119,1445,137,6359,5607,945,1666,14579,406,31,67,3,507,918,46,1554,3019,11,8,3,0,24,18,0,66,110,25,22,4,0,51,16,6,15,93,435,68,74,3,575,956,53,1635,3219,170,94,44,3,314,264,12,155,743,34331,31421,11977,913
LGA36820,0,0,0,6,0,0,10,98,26,77,11,205,352,13,22,591,60,9,10,0,76,123,5,292,497,7,7,9,0,18,11,0,36,67,15,12,4,0,25,15,3,6,58,81,20,18,4,121,158,8,334,619,8,3,0,0,10,0,0,17,30,3042,2215,1050,70,6373,2494,239,718,9831,2969,2133,962,82,6148,2085,230,682,9147,46,8,21,0,78,140,3,28,247,3,4,3,0,9,30,0,3,40,52,12,25,3,88,166,3,27,290,64,17,53,7,136,260,12,34,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,64,17,51,7,138,260,12,42,453,40,4,0,0,44,120,6,366,539,8,0,3,0,8,12,3,44,62,11,4,0,0,19,7,4,5,32,53,11,7,3,68,140,11,417,638,15,6,0,0,25,19,3,60,106,3149,2176,1050,98
LGA36910,0,0,8,13,0,6,18,905,389,502,84,1877,3239,265,358,5732,41,5,9,0,54,129,8,179,371,12,0,3,0,16,11,0,17,47,23,17,8,0,46,23,0,5,80,78,23,20,0,119,160,8,199,491,8,11,4,0,26,28,4,6,60,16093,16609,6019,593,39310,14098,1772,2177,57362,15156,16132,5423,459,37163,9809,1429,2594,50996,1045,343,466,64,1916,2945,239,411,5504,233,105,203,22,561,700,108,146,1512,1281,441,665,89,2474,3638,349,552,7015,434,210,246,39,926,1410,161,294,2786,5,0,5,0,13,49,3,8,65,22,4,5,0,36,43,0,10,81,4,0,0,0,3,3,0,0,4,459,214,254,39,970,1502,163,311,2945,42,10,6,3,63,104,10,161,336,14,3,3,0,15,12,0,29,62,31,35,15,5,81,29,8,31,145,85,48,25,5,158,149,17,226,543,70,74,18,3,171,202,17,64,454,17055,16912,6388,590
LGA36950,0,0,11,0,0,3,15,45,46,8,0,99,45,5,37,191,0,0,0,0,3,3,0,3,6,0,0,0,0,0,0,0,28,28,5,3,0,0,11,3,0,4,21,10,3,0,0,9,5,0,32,50,0,0,0,0,0,0,0,0,3,141,319,126,13,612,172,34,153,969,116,255,108,31,505,166,55,84,810,4,8,0,0,13,14,0,4,30,0,15,0,0,17,8,11,8,44,4,26,3,0,37,21,12,15,78,10,33,17,0,58,28,5,7,89,5,0,0,0,5,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,17,0,62,28,8,7,101,0,0,0,0,0,0,0,3,6,0,3,0,0,4,9,0,52,64,0,0,0,0,7,0,0,0,7,0,8,3,0,12,14,0,51,73,0,0,0,0,0,0,0,19,19,142,311,132,32
LGA36960,0,0,0,0,0,0,0,5,12,13,0,30,15,0,9,49,0,4,0,0,8,8,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,8,0,3,20,0,0,0,0,0,0,0,0,0,102,391,220,35,747,182,9,36,978,107,373,224,33,738,179,7,90,1018,0,16,13,0,38,14,0,0,49,0,0,0,0,0,0,0,0,3,0,20,13,0,34,12,3,3,59,0,3,0,0,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,7,6,0,0,0,0,0,0,0,0,0,110,401,235,33
LGA37010,7,0,26,30,4,9,66,1569,588,744,128,3028,3897,781,1071,8780,200,22,19,0,247,272,24,767,1306,6,3,0,0,9,18,0,63,98,14,9,5,0,23,19,0,7,59,222,41,22,0,283,308,24,842,1458,10,10,7,0,24,13,5,17,63,16612,19587,7330,818,44347,13396,3224,4626,65594,15375,18823,6957,613,41760,9115,2289,3039,56203,625,265,489,68,1438,2426,209,391,4466,492,251,346,57,1153,1311,239,282,2982,1115,512,832,122,2588,3738,442,678,7448,297,125,245,29,697,1181,140,389,2397,327,87,112,23,543,661,165,252,1620,446,146,85,26,703,592,172,298,1761,3,0,0,0,4,4,0,0,8,1068,356,439,72,1941,2431,477,939,5789,160,18,22,0,203,273,13,903,1388,10,9,4,0,23,8,0,30,64,11,10,3,0,19,12,4,8,46,181,36,27,0,244,296,13,938,1496,68,41,15,0,130,107,14,85,336,17806,19775,8276,808
LGA37300,0,0,0,0,0,0,0,53,33,7,0,100,46,17,40,201,0,0,0,0,5,11,0,57,67,0,0,0,0,0,0,0,34,33,0,3,0,0,3,0,0,3,4,3,3,0,0,5,13,0,93,108,0,0,0,0,0,0,0,0,0,289,412,78,8,779,182,39,235,1243,166,406,48,3,625,79,14,76,800,53,50,11,3,115,38,5,23,183,59,52,11,0,123,59,13,35,231,109,98,26,3,238,96,18,60,413,7,0,3,0,13,32,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,13,32,0,4,42,6,0,0,0,7,11,0,64,81,3,3,0,0,5,5,0,36,45,0,0,0,0,0,0,0,0,0,8,3,0,0,13,15,0,104,132,4,0,0,0,0,0,0,18,16,297,512,77,5
LGA37310,0,0,0,3,0,3,5,66,23,18,3,108,264,13,84,465,34,10,10,0,52,86,8,266,412,0,3,0,0,5,13,0,17,29,4,3,3,0,15,7,0,6,30,43,20,9,0,71,106,7,287,470,3,9,0,0,12,0,0,5,24,3319,3461,1004,100,7887,2698,368,1129,12077,3180,3300,1117,89,7688,2343,303,1167,11503,82,52,37,7,176,243,21,84,525,7,4,3,0,13,8,0,5,32,89,57,40,7,192,254,25,96,557,50,22,29,8,116,217,25,104,460,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,4,0,0,4,50,22,33,8,114,217,25,107,465,12,3,3,0,20,37,0,185,244,0,0,3,0,3,11,0,20,37,5,9,3,0,15,16,0,7,45,24,15,7,0,42,67,3,216,326,13,17,13,0,49,31,3,20,100,3358,3413,1208,101
LGA37340,0,0,3,12,0,0,15,350,133,147,21,648,758,150,419,1976,156,26,6,0,180,228,18,1146,1568,11,4,0,0,21,19,6,48,87,8,7,0,0,19,4,0,4,27,171,39,8,0,219,251,22,1197,1684,3,8,0,0,14,11,0,11,37,3498,2980,1031,90,7605,2703,548,2407,13254,2941,2795,886,57,6674,1880,340,974,9873,82,41,38,3,170,232,23,72,493,109,54,57,6,226,196,62,95,585,188,100,100,8,396,433,90,165,1077,137,70,88,16,312,400,53,137,905,40,8,12,0,66,80,16,23,186,16,3,3,0,21,15,4,34,80,0,0,0,0,3,3,0,3,6,201,83,107,17,399,499,78,198,1174,81,11,3,0,94,129,6,991,1223,3,6,0,0,13,4,0,27,42,11,0,0,0,10,11,4,21,49,95,15,4,0,113,151,7,1044,1313,54,23,13,0,89,92,12,225,417,3481,3007,1105,87
LGA37400,0,0,0,0,0,0,0,5,0,0,0,5,14,0,0,16,8,0,0,0,9,7,0,121,134,6,0,0,0,4,10,0,28,48,0,0,0,0,0,0,0,0,0,13,0,0,0,18,22,0,149,181,5,0,0,0,5,3,0,29,39,157,141,44,9,352,183,11,193,738,122,88,30,5,257,133,9,47,441,0,0,0,0,3,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,8,0,0,0,0,0,17,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,26,8,0,0,0,8,30,0,201,238,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,6,8,0,0,0,9,29,0,200,242,0,0,0,0,3,3,0,0,10,133,92,38,5
LGA37550,0,0,0,0,0,0,0,4,14,8,0,34,7,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,70,73,11,173,46,4,3,225,15,53,80,21,159,45,4,15,224,3,8,11,0,23,11,0,0,32,0,0,0,0,0,0,0,0,0,3,8,11,0,23,11,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,53,92,21
LGA37570,0,0,0,0,0,0,0,6,3,0,0,9,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,19,3,56,10,0,3,70,11,20,23,5,53,6,0,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,23,4
LGA37600,0,0,0,0,0,0,0,8,3,7,0,22,10,0,0,37,4,0,0,0,6,5,0,0,11,4,3,9,3,21,5,0,0,29,0,0,0,0,0,0,0,0,0,10,7,9,3,27,15,3,0,43,0,0,0,0,0,0,0,0,0,35,155,154,29,378,43,3,3,424,18,139,119,30,308,15,0,7,333,5,19,17,0,44,7,0,0,49,3,0,0,0,0,0,0,0,6,3,23,17,0,48,5,0,0,54,4,9,9,0,22,10,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,0,22,10,0,3,34,0,0,0,0,0,0,0,6,11,8,17,9,0,33,12,0,5,56,0,0,0,0,0,0,0,0,0,13,17,9,0,32,19,0,16,68,0,0,0,0,0,0,0,0,0,38,186,155,35
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
