LGA_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
LGA11400,22,16,15,3,55,18,11,9,4,37,52,17,10,3,81,18,15,0,0,39,10,8,0,0,20,4,3,0,0,5,0,3,0,0,4,3,0,0,0,0,26,13,10,3,50,8,6,4,0,16,228,117,58,15,420
LGA11450,122,76,47,14,249,136,100,38,15,295,329,179,76,26,599,211,151,37,17,421,144,100,33,12,282,67,50,18,6,138,47,47,15,4,120,14,18,12,5,48,92,104,43,23,259,25,15,8,0,50,1440,1016,394,140,2986
LGA11500,502,271,150,84,999,532,214,111,57,918,1004,452,175,85,1718,556,282,96,44,980,306,195,55,19,575,142,98,30,15,281,77,83,32,12,207,40,25,21,12,95,317,269,111,86,789,131,63,17,21,237,4734,2655,1124,574,9087
LGA11520,118,37,14,3,172,178,63,10,3,254,362,132,31,5,524,263,113,13,0,396,231,99,24,0,351,108,50,7,0,159,113,62,24,0,197,56,34,7,0,96,139,101,32,7,275,23,11,0,0,34,1898,854,189,27,2968
LGA11570,894,361,219,95,1567,1006,309,145,67,1529,1799,730,289,142,2956,1063,493,151,60,1770,584,358,95,45,1078,283,190,63,25,564,143,195,79,37,455,81,84,41,26,230,525,436,189,128,1275,179,93,32,25,328,8812,4488,1798,892,15988
LGA11600,5,3,0,0,10,9,0,0,0,7,13,0,0,0,18,4,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,6,0,0,11,3,0,0,0,4,61,16,10,4,89
LGA11650,933,520,251,88,1802,1214,458,213,96,1984,1977,955,315,122,3369,1093,555,168,65,1879,550,336,101,34,1019,206,133,39,10,386,131,124,42,14,311,69,40,9,3,118,750,562,238,86,1629,222,86,30,5,345,9431,5010,1791,634,16863
LGA11700,9,0,0,0,10,13,0,0,0,13,4,9,0,3,14,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,14,3,0,0,0,4,56,17,18,9,107
LGA11720,205,115,92,29,438,202,87,27,25,344,294,137,50,28,510,140,100,26,9,274,59,40,9,4,117,20,7,3,0,36,14,8,8,0,30,11,4,0,0,14,109,90,28,18,256,41,34,14,3,97,1611,907,366,174,3057
LGA11730,186,99,39,23,346,189,94,29,20,340,259,108,30,20,409,93,50,13,11,170,43,14,3,5,68,11,12,3,0,24,13,3,0,3,22,6,0,0,0,8,98,76,32,21,219,44,10,8,3,60,1377,704,229,131,2449
LGA11750,19,6,3,0,22,12,0,0,3,15,17,4,4,4,23,15,4,0,0,16,5,0,0,0,10,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,9,4,0,0,16,4,3,4,0,14,104,42,23,8,172
LGA11800,284,130,60,31,501,286,122,51,30,496,441,216,63,21,739,166,94,27,11,296,94,39,12,9,153,24,14,0,0,45,15,16,3,0,27,14,3,0,0,18,143,111,47,27,329,57,28,12,3,98,2073,1075,381,174,3699
LGA12000,8,3,5,3,23,10,3,0,4,18,20,7,3,0,31,3,9,5,0,12,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,8,3,0,0,0,3,60,45,22,19,139
LGA12150,8,6,7,0,20,14,3,6,3,26,15,7,4,5,31,4,0,0,0,9,6,0,0,0,12,0,3,0,0,3,3,0,0,0,8,3,0,0,0,3,12,7,10,0,24,11,5,0,0,13,112,60,27,19,224
LGA12350,39,24,3,3,70,52,11,13,10,78,49,29,8,0,89,20,8,5,0,31,12,3,4,0,14,3,0,0,0,3,0,0,0,0,3,0,0,0,0,4,16,10,10,8,41,6,9,0,0,13,302,143,66,29,541
LGA12380,445,189,113,50,793,520,176,84,56,836,1003,417,138,72,1633,580,279,94,45,994,324,199,69,30,614,150,102,32,21,294,74,92,35,26,228,43,39,15,8,116,301,237,89,80,712,122,51,16,19,207,4760,2379,918,536,8590
LGA12700,18,12,11,0,42,24,7,0,0,37,31,19,4,3,56,13,7,3,0,29,9,3,0,0,13,3,0,0,0,5,0,3,0,0,6,4,0,0,0,3,24,14,9,0,46,4,3,0,0,7,184,104,40,13,347
LGA12730,20,11,7,3,44,22,8,3,3,37,36,25,14,0,84,25,9,3,0,31,8,4,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,27,13,10,3,49,3,8,0,0,14,204,101,49,14,369
LGA12750,118,51,28,14,206,162,42,24,10,236,187,71,34,23,309,67,37,17,3,122,33,10,4,3,54,10,9,4,0,18,12,8,0,0,14,10,0,3,0,12,84,52,19,8,171,37,14,3,4,53,965,431,161,82,1638
LGA12850,631,332,134,79,1170,716,335,119,68,1234,1187,658,204,81,2129,651,392,137,66,1243,324,268,98,50,744,137,128,48,25,332,86,115,59,34,294,40,56,26,26,145,326,296,157,87,862,134,83,31,24,276,5996,3784,1425,667,11870
LGA12870,24,21,4,4,57,32,13,6,0,55,51,20,4,0,77,25,9,3,0,38,14,10,0,0,21,11,3,0,0,8,0,0,0,0,3,0,0,0,0,3,17,13,6,5,41,7,5,3,0,13,249,137,50,19,448
LGA12900,25,14,0,3,43,30,13,5,6,55,60,14,9,0,81,22,9,0,0,29,11,3,0,3,13,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,16,9,9,0,37,16,4,4,0,22,222,115,49,29,408
LGA12930,289,117,45,13,469,380,127,29,17,554,721,275,57,18,1073,452,208,32,10,700,301,156,50,6,516,157,88,16,5,275,86,87,26,14,213,51,64,17,5,138,222,204,64,19,500,49,16,13,8,86,3470,1711,449,150,5778
LGA12950,12,11,8,0,27,11,7,0,0,27,17,11,0,6,35,4,3,3,0,10,3,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,7,3,0,19,3,6,0,0,12,96,64,26,14,203
LGA13010,16,13,15,3,53,40,8,4,3,51,39,17,3,0,62,12,11,3,4,28,4,3,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,9,3,3,30,6,3,7,3,18,210,93,49,22,375
LGA13310,79,43,36,10,162,97,49,12,6,162,174,66,27,10,280,84,28,7,3,125,48,16,0,5,68,19,8,4,0,28,6,7,3,0,21,3,3,3,0,13,50,42,8,7,114,25,10,4,0,42,801,374,142,66,1387
LGA13340,25,14,4,0,45,32,9,4,6,49,32,11,4,3,47,14,8,3,5,31,3,4,0,0,13,8,0,0,0,8,3,0,0,0,3,0,0,0,0,0,20,7,4,4,39,6,3,3,0,16,208,82,44,23,349
LGA13450,47,23,18,3,91,67,30,10,5,113,101,40,15,10,177,50,36,17,3,104,18,16,5,3,44,8,8,4,0,25,8,3,0,0,16,8,8,0,0,11,36,23,11,4,73,21,15,6,8,40,492,276,118,51,934
LGA13510,26,10,13,3,55,35,19,5,0,58,48,16,9,3,73,13,6,3,0,28,10,3,0,0,15,4,0,0,0,9,4,3,3,0,8,3,0,0,0,3,21,16,6,3,47,5,4,3,0,10,243,115,60,22,440
LGA13550,25,20,11,3,59,38,9,6,3,56,58,23,4,0,88,20,17,5,0,45,13,8,0,0,21,3,3,0,0,5,6,0,0,0,5,0,0,0,0,4,24,12,11,7,46,17,12,3,0,27,273,156,70,28,526
LGA13660,15,0,0,4,24,17,7,6,0,23,22,7,0,0,32,13,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,3,14,6,0,0,0,4,120,41,15,12,185
LGA13800,140,77,37,14,266,154,83,27,13,277,350,145,56,21,568,193,108,29,4,334,136,63,19,6,223,54,42,10,3,109,41,37,15,5,94,22,11,3,3,33,105,91,32,7,239,35,16,7,0,58,1576,855,294,100,2824
LGA13850,8,4,0,0,13,16,4,0,0,18,9,0,0,0,10,3,3,0,0,8,7,3,0,0,6,0,3,0,0,3,3,0,0,0,4,0,0,0,0,0,5,3,0,0,10,0,0,3,0,3,84,26,14,5,130
LGA13910,52,27,19,11,102,58,20,10,10,93,78,33,11,5,133,29,12,3,4,52,14,9,8,0,29,0,0,3,0,3,5,3,0,0,8,6,0,0,0,6,34,31,17,4,83,11,0,0,3,19,431,218,112,59,816
LGA14000,178,72,12,5,266,198,75,26,8,302,568,236,54,9,862,392,198,63,9,660,263,167,25,14,470,153,79,25,7,259,115,111,28,11,263,73,54,20,7,155,218,180,62,12,476,33,16,0,0,49,2597,1410,381,95,4486
LGA14100,23,5,0,0,33,20,9,4,0,28,29,18,9,0,50,19,20,0,0,40,12,14,3,0,34,19,4,0,0,23,21,15,3,0,41,13,8,8,0,27,15,14,4,0,41,7,4,3,0,12,221,124,33,3,378
LGA14170,318,84,16,13,431,367,97,20,13,487,786,269,46,9,1112,529,210,36,10,786,404,190,25,8,622,199,69,12,3,283,194,135,25,4,364,128,71,15,3,220,306,197,52,13,567,62,24,11,7,92,4076,1616,325,91,6109
LGA14200,63,22,22,3,103,53,23,11,4,90,73,26,7,12,119,23,14,7,4,47,12,10,0,0,19,3,0,0,0,6,0,0,0,0,5,0,0,0,0,0,34,19,13,8,73,19,5,3,3,30,434,225,95,54,811
LGA14300,26,3,7,0,35,17,10,0,0,29,22,10,4,3,44,11,5,3,0,18,4,3,0,0,8,3,0,0,0,7,0,3,0,0,4,0,0,0,0,0,16,6,7,3,29,3,0,0,0,3,127,78,24,13,243
LGA14350,112,57,25,14,205,128,51,14,22,218,168,79,27,21,292,65,33,9,13,118,26,6,10,0,46,7,3,0,0,14,5,4,3,0,18,0,0,0,0,0,77,54,22,21,170,38,15,9,3,62,906,447,180,124,1661
LGA14400,46,8,6,3,69,44,24,9,4,77,90,36,4,3,130,55,30,15,0,95,29,18,3,0,47,14,11,0,0,23,3,5,0,0,12,5,4,0,0,10,36,30,11,0,80,5,0,0,0,9,399,220,63,17,694
LGA14500,89,49,10,3,154,132,59,13,3,210,331,154,33,12,528,253,139,40,3,434,198,107,20,6,337,112,52,15,0,183,138,109,33,3,280,114,77,22,6,220,151,137,50,14,356,18,8,0,0,27,1885,1080,290,72,3323
LGA14550,30,17,9,0,53,35,19,0,4,54,35,21,0,0,60,15,8,3,0,21,3,4,0,0,5,0,0,0,0,6,3,0,0,0,8,0,0,0,0,0,15,14,7,0,40,8,4,0,4,14,249,127,31,25,424
LGA14600,16,10,6,7,36,22,3,3,3,32,30,11,4,3,50,10,5,3,0,20,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,4,31,8,3,0,0,9,138,68,36,25,273
LGA14650,628,300,121,54,1102,684,283,102,41,1117,1219,534,188,67,2004,589,317,86,21,1014,344,176,47,9,575,117,71,20,3,216,65,55,12,3,136,50,20,10,6,81,434,257,119,41,848,121,45,10,7,182,5463,2811,938,345,9566
LGA14700,30,17,3,0,52,48,20,3,0,74,123,42,9,0,169,88,33,5,0,123,77,35,14,0,122,42,9,10,0,60,45,35,12,0,93,39,19,6,0,66,52,42,8,0,100,11,3,4,0,14,647,292,65,3,1010
LGA14750,30,11,13,3,59,37,11,12,7,65,37,19,6,3,60,30,13,3,0,38,13,8,0,3,19,4,0,0,0,6,4,3,0,0,7,0,0,0,0,0,20,11,3,6,39,8,3,0,0,9,242,113,55,28,443
LGA14850,154,97,38,23,306,180,70,21,14,291,280,106,43,16,443,118,62,19,5,211,61,26,7,6,99,14,10,8,3,29,10,8,6,4,23,5,3,6,0,6,116,69,29,17,220,22,19,3,3,49,1330,695,235,109,2366
LGA14870,87,33,24,6,148,71,29,5,0,112,78,48,18,3,147,43,15,8,0,70,34,13,3,0,52,6,6,0,0,19,4,0,0,0,7,4,3,0,0,3,42,26,12,13,92,18,11,0,0,32,578,281,103,41,1003
LGA14900,452,242,151,67,911,567,257,97,67,998,990,496,196,92,1768,541,337,127,53,1055,300,220,82,31,634,128,123,51,19,317,91,136,43,18,292,40,51,26,19,132,314,261,131,85,789,145,56,21,19,236,4697,2901,1228,613,9438
LGA14920,27,11,8,5,51,25,7,5,0,41,34,10,6,4,58,12,7,6,0,24,6,0,3,0,3,3,3,0,0,9,3,0,0,0,3,0,0,0,0,4,19,5,0,0,31,4,4,0,0,14,202,89,42,24,356
LGA14950,3,0,0,0,4,15,0,0,0,18,16,5,0,0,21,3,0,0,0,8,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,16,3,0,0,0,4,68,24,10,3,107
LGA15050,227,163,81,31,506,265,119,44,32,455,454,232,80,37,801,195,126,38,18,383,119,78,25,6,224,42,28,3,3,78,22,23,4,0,48,14,3,0,0,18,127,90,47,23,285,40,29,10,0,75,1983,1189,460,199,3840
LGA15240,314,164,74,35,596,389,140,43,34,605,455,171,60,29,712,162,99,22,14,303,75,32,8,5,120,23,11,0,0,32,16,8,0,0,25,11,4,4,0,18,196,119,64,33,417,93,29,11,6,137,2471,1198,439,241,4340
LGA15270,74,36,17,11,135,69,26,8,10,108,80,41,14,11,143,40,13,3,0,62,26,17,0,4,45,8,3,0,0,7,5,3,0,0,11,4,0,0,0,6,48,27,11,9,94,16,4,0,3,28,554,248,89,50,945
LGA15300,39,29,10,4,84,30,17,10,4,67,53,29,7,4,94,36,15,6,0,54,18,0,0,0,21,4,3,3,0,10,5,3,3,0,12,0,0,0,0,0,30,11,7,9,68,14,11,12,10,42,347,198,91,52,692
LGA15350,21,5,0,0,35,36,6,0,0,40,76,31,5,0,109,63,27,9,0,104,51,24,4,0,77,30,9,0,0,36,48,48,15,3,108,40,15,3,0,64,42,50,22,0,107,11,5,0,0,15,483,247,70,12,807
LGA15520,16,10,0,4,33,30,12,3,0,45,42,20,7,0,70,11,10,3,0,23,8,7,0,0,11,4,0,0,0,5,0,0,0,0,3,0,0,0,0,0,19,9,4,3,30,8,4,0,0,14,196,95,31,12,332
LGA15560,5,3,3,0,17,17,5,0,3,25,12,6,3,0,19,0,0,0,0,3,3,3,4,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,4,11,0,0,0,0,3,72,33,23,12,140
LGA15650,46,32,14,8,100,46,22,3,6,75,59,24,11,3,100,31,21,4,3,52,23,12,3,4,40,3,3,0,0,9,7,7,0,0,13,3,3,0,0,5,29,15,17,10,68,19,10,4,3,34,405,238,101,45,793
LGA15700,73,41,29,14,153,79,26,7,14,132,102,41,14,5,159,34,16,4,3,57,9,3,0,0,19,3,0,0,0,4,4,3,0,0,12,0,0,0,0,0,48,34,15,14,102,20,3,4,0,31,567,257,112,69,1000
LGA15750,28,23,12,3,59,38,18,5,3,63,48,29,5,7,93,19,16,0,0,38,15,6,3,0,23,3,0,0,0,7,4,0,0,0,9,0,4,0,0,3,29,17,9,7,59,8,5,3,0,24,289,157,76,36,564
LGA15800,26,9,4,3,38,26,0,6,3,35,24,3,6,0,36,11,7,0,0,11,9,3,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,4,0,3,14,3,5,0,0,8,143,57,35,15,249
LGA15850,10,13,10,8,42,19,3,0,7,31,38,10,0,4,54,16,4,0,0,24,7,3,0,0,10,5,4,0,0,7,4,0,0,0,6,0,0,0,0,0,15,6,4,5,32,4,3,3,3,11,159,78,44,34,321
LGA15900,472,191,78,29,778,509,185,70,34,804,956,369,132,36,1494,524,271,68,19,876,262,141,35,5,448,112,57,12,5,186,67,64,11,0,137,39,27,8,0,75,314,204,74,29,620,69,31,13,4,112,4330,2000,645,224,7198
LGA15950,60,18,0,0,77,57,20,7,0,80,190,64,5,3,266,152,64,12,5,224,181,54,6,3,238,68,21,0,0,87,136,74,15,0,230,90,50,3,0,148,100,67,13,4,176,10,4,0,0,18,1194,498,62,10,1765
LGA15990,278,127,41,8,460,398,180,39,13,629,953,432,108,23,1514,691,322,71,8,1094,535,284,79,15,910,232,104,22,6,365,209,213,59,8,490,146,105,30,13,299,428,342,131,24,919,86,43,10,3,136,4572,2481,690,138,7884
LGA16100,13,3,6,0,20,18,6,0,3,26,20,4,6,4,31,14,9,0,0,19,11,4,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,17,3,5,0,21,7,4,0,0,11,118,53,23,8,206
LGA16150,140,61,32,12,243,115,54,31,8,203,215,86,30,22,355,96,51,9,7,160,69,35,10,5,119,24,9,0,3,39,16,12,5,4,36,0,3,0,0,4,63,65,21,19,166,32,13,9,3,64,1047,543,219,108,1919
LGA16200,54,16,15,8,89,42,17,3,5,68,61,26,8,4,102,31,14,3,0,50,15,8,3,0,29,3,3,0,0,7,3,0,0,0,8,4,0,0,0,3,34,17,16,3,64,18,8,0,0,20,382,175,84,45,687
LGA16260,365,171,59,16,609,403,151,38,20,614,1008,359,84,29,1478,666,264,54,17,998,461,239,47,10,757,214,103,23,4,345,135,120,31,3,290,76,62,19,10,169,311,211,62,28,617,65,22,14,0,99,4806,2224,529,168,7727
LGA16350,466,265,143,50,924,553,248,120,56,972,1224,563,206,84,2079,750,339,96,54,1247,457,247,79,21,808,194,131,36,14,367,126,120,47,15,306,56,49,9,12,126,343,289,140,55,829,129,53,20,9,210,5448,2990,1135,488,10063
LGA16380,240,111,58,23,438,321,107,40,26,501,419,198,39,24,675,200,109,28,8,342,83,35,9,10,139,30,16,7,3,47,22,14,9,0,43,20,0,3,0,24,141,120,42,9,311,54,29,10,4,94,2071,998,313,148,3534
LGA16400,185,109,50,15,356,230,83,30,19,365,391,149,65,24,627,180,118,26,5,327,72,41,11,3,131,39,20,3,4,61,22,21,4,0,51,13,8,5,0,21,114,83,29,19,248,37,10,9,3,56,1736,909,326,126,3095
LGA16490,88,34,22,5,151,105,44,19,5,173,222,96,31,10,354,199,81,27,3,306,138,71,17,5,237,57,26,4,0,89,40,38,4,3,89,18,14,3,3,41,80,70,30,12,191,22,10,3,0,44,1187,590,206,63,2044
LGA16550,208,67,17,9,302,252,89,15,6,369,551,215,40,10,825,450,144,33,10,637,327,137,28,0,488,131,62,12,0,203,132,110,18,0,266,78,59,13,3,151,237,163,40,13,450,59,17,3,0,80,2976,1269,273,63,4579
LGA16610,88,32,38,12,169,95,41,8,14,165,116,66,24,3,202,52,25,3,3,82,21,11,7,3,34,7,4,3,3,12,0,0,0,0,3,0,0,0,0,4,48,35,15,10,105,18,14,4,7,39,613,341,138,83,1178
LGA16650,244,61,30,12,337,286,102,18,7,421,568,192,49,13,829,379,157,38,6,585,232,109,19,7,369,102,58,22,4,184,70,68,22,11,165,42,22,4,0,69,188,123,50,18,374,48,11,7,0,62,2689,1157,321,107,4267
LGA16700,180,63,15,5,259,229,76,17,3,324,518,163,37,13,727,368,140,30,0,540,242,116,19,0,378,109,70,7,0,197,92,81,18,3,192,53,49,12,3,123,164,96,41,5,303,23,28,0,0,50,2452,1066,242,53,3804
LGA16900,224,128,44,22,412,251,133,36,16,441,418,197,65,21,699,202,121,48,10,380,96,86,20,4,209,44,28,15,3,92,35,12,9,3,56,19,12,0,0,31,116,110,37,34,294,45,22,4,0,68,1945,1135,395,136,3614
LGA16950,338,168,80,28,616,371,134,65,28,600,502,224,55,32,817,178,103,26,10,317,112,47,21,4,182,30,19,4,0,52,10,12,0,3,32,22,11,3,0,38,204,160,62,27,449,62,38,13,8,129,2540,1317,470,199,4531
LGA17000,38,31,13,10,91,58,22,8,7,87,80,46,18,5,150,49,28,4,3,85,22,29,0,0,54,15,3,0,0,21,7,3,3,0,18,5,0,3,0,12,35,28,16,3,77,15,7,3,0,16,448,277,96,56,878
LGA17040,41,19,15,3,78,41,10,0,0,58,90,38,12,10,145,34,22,4,0,63,30,7,3,0,44,14,8,0,0,20,11,7,0,0,15,3,3,0,0,6,40,16,9,0,63,8,6,3,0,17,425,193,60,16,691
LGA17080,29,7,10,3,49,33,6,3,6,49,64,19,8,3,98,34,13,6,0,48,16,3,0,0,18,3,3,0,0,11,0,4,0,0,6,3,0,0,0,5,32,20,9,5,72,7,0,0,4,13,333,141,64,32,570
LGA17100,69,16,7,0,97,65,28,3,3,95,168,60,8,8,246,100,45,13,3,165,72,43,4,3,127,43,17,4,0,61,34,32,3,0,68,17,17,11,0,50,63,37,11,9,116,16,8,0,0,22,840,393,94,37,1359
