LGA_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA45540,19,33,36,47,91,20,3,3,0,13,11,32,13,45,5,0,0,0,12,17,10,19,30,232,234,61,68,308,317,599,621,1220
LGA45680,200,521,817,985,1801,386,245,12,10,166,418,567,675,1246,199,93,9,4,168,399,373,497,869,12054,12265,3811,3963,14173,15368,30043,31592,61640
LGA45890,371,890,1201,1577,2775,593,415,11,18,286,833,895,1267,2165,447,202,16,15,396,1135,850,1348,2203,19074,19288,4243,4425,20806,22503,44125,46224,90344
LGA46090,46,86,165,166,329,55,33,3,3,24,79,81,118,195,29,15,0,5,35,87,67,104,171,1753,1815,677,720,1868,2118,4295,4656,8949
LGA46300,43,115,185,220,402,92,55,3,0,35,93,132,155,280,56,31,0,3,44,123,101,158,259,2109,2154,612,641,1845,2145,4570,4944,9512
LGA46450,79,181,278,348,626,119,64,0,0,57,152,183,221,401,60,24,4,0,59,175,117,200,316,2766,2836,617,656,2598,2922,5987,6412,12399
LGA46510,48,138,178,231,405,100,52,0,4,47,127,149,190,335,71,32,0,0,58,170,136,204,338,3585,3635,753,735,3278,3387,7609,7756,15367
LGA46670,28,71,143,162,308,57,39,4,0,22,65,87,106,191,51,20,0,0,36,101,86,116,203,1632,1655,377,387,1339,1349,3347,3397,6737
LGA46860,6,14,31,28,62,5,8,0,0,0,9,8,18,26,11,0,0,0,11,12,22,12,32,247,241,72,71,162,152,479,467,949
LGA46970,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,542,543,244,243,398,226,1180,1006,2189
LGA47140,346,907,1496,1711,3207,631,389,16,12,291,708,945,1111,2057,334,142,10,13,258,666,603,819,1429,22716,22983,4910,5074,22061,23324,49689,51374,101062
LGA47290,3,16,27,32,62,10,8,0,0,3,19,20,22,43,3,0,0,0,8,13,17,21,34,385,385,57,56,287,216,733,663,1390
LGA47490,9,5,28,18,47,13,6,0,0,6,12,15,18,31,14,7,0,0,6,12,19,25,41,375,377,95,91,275,163,746,628,1370
LGA47630,16,35,88,91,177,42,29,0,0,26,25,65,61,126,39,14,3,3,14,61,51,75,129,1228,1240,245,239,966,668,2434,2146,4584
LGA47700,252,655,1343,1456,2799,609,397,15,9,218,587,841,996,1835,371,183,10,0,188,598,571,782,1353,19430,19723,3270,3359,13065,15130,35765,38211,73978
LGA47800,20,35,105,100,203,39,23,4,3,14,33,48,59,105,17,4,0,0,21,37,39,44,78,963,962,217,219,770,680,1954,1870,3822
LGA47910,11,30,54,55,111,28,16,0,0,14,34,39,43,85,7,8,0,0,10,35,17,43,64,530,538,79,82,323,316,930,940,1870
LGA47980,94,314,407,565,974,197,128,6,0,93,256,291,378,671,166,91,0,0,118,469,291,559,854,6382,6521,1390,1437,5160,6887,12935,14847,27782
LGA48050,67,154,439,463,904,248,156,7,5,62,173,318,332,658,156,84,4,4,91,237,251,323,580,3024,3065,463,510,1607,2352,5095,5925,11020
LGA48130,33,46,101,94,191,38,36,3,0,19,45,58,84,144,30,16,0,0,17,55,55,69,116,1170,1198,258,265,1025,883,2455,2345,4804
LGA48260,29,79,152,152,304,50,38,3,0,23,65,77,107,181,58,24,0,0,31,92,91,115,203,1408,1432,198,205,1154,1233,2760,2866,5628
LGA48340,31,87,158,185,350,75,54,0,3,24,70,99,122,226,42,19,0,0,39,107,78,120,200,2058,2094,502,521,1549,1486,4109,4102,8209
LGA48410,206,515,698,1003,1700,508,298,7,8,158,507,673,814,1484,347,170,4,4,222,696,576,873,1446,9572,9688,2080,2147,9906,11182,21565,23019,44577
LGA48540,98,206,323,374,701,102,70,3,0,67,140,174,209,384,74,25,0,3,58,144,133,171,306,3222,3255,974,1003,3459,3479,7651,7737,15389
LGA48640,3,7,20,10,29,8,5,0,0,0,4,7,10,18,3,0,0,0,7,20,12,15,28,233,231,46,46,163,103,446,383,829
LGA48750,24,38,113,94,207,49,24,3,0,13,35,67,64,132,16,11,0,0,14,43,34,61,89,1005,1015,197,218,641,695,1850,1925,3771
LGA48830,66,93,263,252,516,109,83,9,3,65,83,182,167,354,67,30,0,4,56,131,128,165,291,2173,2221,383,396,1551,1299,4109,3919,8030
LGA49399,18,6,37,9,46,5,7,0,0,19,10,21,13,38,0,0,0,0,7,3,7,5,11,323,323,155,164,556,309,1031,799,1832
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,114,320,511,625,1135,263,153,12,7,98,267,373,430,800,194,95,6,0,128,315,326,404,737,6121,6306,1459,1559,4436,5368,12016,13233,25253
LGA50210,194,333,712,706,1415,245,149,13,5,101,293,364,449,812,150,73,8,0,122,281,283,355,637,13323,13861,3281,3532,10497,11306,27103,28695,55800
LGA50250,3,3,10,7,15,0,0,0,0,0,4,3,4,3,0,0,0,0,3,3,3,3,4,823,816,391,396,659,421,1868,1630,3501
LGA50280,19,60,142,138,281,51,38,0,0,23,72,78,111,184,40,20,0,0,22,73,61,92,159,2188,2313,739,793,1528,1685,4457,4793,9246
LGA50350,51,112,176,212,382,77,48,0,0,57,107,135,157,290,49,18,0,0,35,136,86,155,241,2414,2460,693,730,2286,2601,5392,5786,11176
LGA50420,190,453,730,856,1591,337,207,7,3,146,405,486,616,1104,214,100,3,8,152,456,370,557,929,10860,11082,2723,2800,10373,10850,23960,24739,48698
LGA50490,108,306,376,483,862,161,106,5,3,97,266,266,379,646,119,52,0,3,104,291,216,347,568,5518,5678,1688,1779,6969,6630,14180,14089,28271
LGA50560,13,9,48,36,80,8,9,0,0,9,8,21,21,43,7,3,0,0,3,16,14,17,27,318,323,65,75,213,194,598,589,1180
LGA50630,6,8,19,20,37,4,4,0,0,0,5,12,13,24,3,0,0,0,0,4,0,4,5,298,314,85,84,188,177,579,574,1152
LGA50770,9,15,33,29,62,8,4,0,0,6,3,16,10,25,8,0,0,0,6,7,12,7,20,325,332,65,74,191,163,583,573,1152
LGA50840,29,34,103,72,171,25,15,0,0,9,27,40,46,80,14,4,0,0,7,35,25,44,61,871,899,180,198,528,620,1578,1719,3299
LGA50910,0,11,14,17,33,11,8,0,0,0,3,14,14,21,3,0,0,0,5,7,10,7,13,169,176,41,43,117,102,326,324,652
LGA50980,37,35,69,52,117,15,4,0,0,22,22,37,27,66,3,0,0,0,14,18,12,18,33,1643,1712,1058,1131,2073,2117,4777,4957,9736
LGA51080,9,7,15,7,27,3,0,0,0,0,3,7,3,9,4,0,0,0,0,3,3,5,10,181,178,40,43,120,101,349,327,672
LGA51120,6,5,14,19,34,8,0,0,0,0,10,8,13,21,3,0,0,0,6,7,9,8,17,182,184,29,33,117,84,333,298,632
LGA51190,85,248,386,464,852,176,130,4,0,73,237,250,371,625,142,73,3,0,81,286,229,360,587,4929,5091,1244,1341,4354,5260,10529,11689,22223
LGA51260,90,234,484,516,1006,224,168,7,9,72,218,308,394,698,154,60,11,4,90,253,252,324,579,6267,6667,1446,1548,3779,4681,11496,12902,24392
LGA51310,59,167,302,364,666,158,129,7,0,37,211,209,342,550,151,76,3,0,82,277,242,349,592,5070,5252,820,820,3118,3770,9011,9837,18851
LGA51330,148,536,812,1032,1848,396,243,14,3,127,430,538,678,1216,258,125,9,4,182,560,447,687,1132,16355,16906,2240,2353,15211,15069,33809,34323,68134
LGA51400,22,70,113,144,251,48,18,0,0,14,37,66,62,125,27,11,0,0,17,35,41,46,95,2948,3179,672,742,1773,2080,5394,5997,11391
LGA51470,3,3,10,3,12,3,0,0,0,3,6,5,9,9,0,0,0,0,0,3,0,5,5,90,92,30,33,69,53,194,170,371
LGA51540,30,25,61,51,108,19,11,0,0,13,17,29,27,61,13,3,0,0,15,20,26,29,51,646,659,301,305,770,687,1711,1647,3357
LGA51610,5,3,21,11,34,5,4,0,0,6,0,11,4,19,0,0,3,0,0,3,6,3,12,267,291,46,59,129,107,446,462,906
LGA51680,17,18,79,63,145,25,11,3,0,7,18,33,31,63,14,3,0,0,3,13,11,21,34,1081,1168,193,219,585,506,1856,1894,3748
LGA51750,31,93,162,199,359,65,61,7,4,34,108,105,170,272,72,30,3,0,36,171,109,205,310,1684,1757,302,307,1362,1751,3349,3809,7158
LGA51820,206,494,912,983,1897,438,232,15,8,154,448,599,688,1295,187,97,12,7,172,505,372,609,980,18184,19003,4113,4390,13861,15258,36163,38655,74816
LGA51890,19,49,91,106,195,44,32,0,0,24,54,65,89,156,25,5,3,0,20,43,42,54,95,1389,1443,400,429,1211,1213,3004,3084,6089
LGA51960,16,14,16,16,34,6,0,0,3,9,4,13,8,26,0,0,0,0,3,0,7,3,6,436,450,204,207,500,381,1136,1043,2179
LGA52030,6,4,16,15,34,10,3,0,0,4,3,9,11,26,3,0,0,0,3,3,7,4,6,184,199,49,55,160,88,395,338,731
LGA52100,4,5,19,19,41,4,9,0,0,6,15,14,17,28,6,7,0,0,3,8,11,10,22,195,197,54,55,134,114,383,362,743
LGA52170,14,40,90,96,184,41,19,3,3,22,40,59,62,122,24,18,3,0,16,79,45,95,143,1329,1373,290,288,978,1123,2600,2781,5382
LGA52240,3,6,23,19,40,4,4,0,0,7,9,9,11,15,0,0,0,0,3,4,10,4,9,207,208,51,53,110,89,362,350,715
LGA52310,4,4,10,15,32,8,0,0,0,3,0,6,0,7,6,3,0,0,0,3,4,3,12,168,171,29,31,100,59,293,266,558
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,13,13,28,18,57,47,104
LGA52450,0,9,17,15,31,8,4,0,0,4,4,12,10,22,4,3,0,0,0,10,7,15,18,241,242,46,50,181,133,474,427,898
LGA52520,0,3,16,12,28,11,9,0,0,3,9,12,16,28,5,3,0,0,3,3,5,11,16,263,264,49,52,199,112,513,426,933
LGA52590,13,15,59,44,110,26,23,3,0,5,16,35,39,69,8,6,0,0,5,20,19,18,34,576,589,150,155,405,307,1130,1051,2185
LGA52660,35,70,143,184,331,78,43,5,3,31,68,112,115,221,52,17,0,0,15,68,70,89,158,2375,2528,621,695,1580,1694,4578,4910,9486
LGA52730,24,36,111,89,199,38,30,5,3,18,39,62,75,141,26,17,0,0,12,42,43,56,99,976,1000,287,302,625,716,1891,2019,3913
LGA52800,12,22,25,27,57,0,0,0,3,11,17,14,19,29,0,0,0,0,11,8,9,11,19,631,638,461,477,1072,1152,2162,2262,4428
LGA52870,16,34,88,77,164,29,16,0,0,14,32,46,50,92,17,8,0,0,14,33,30,42,72,1066,1118,239,249,648,683,1948,2051,4002
LGA52940,3,8,5,11,22,3,3,0,0,0,3,7,8,11,3,0,0,0,0,7,0,7,11,139,136,22,22,80,70,237,233,468
LGA53010,5,4,16,10,26,0,0,0,0,0,4,3,3,6,3,0,0,0,0,0,3,0,4,134,136,30,25,73,48,236,217,445
LGA53080,4,12,11,9,24,0,0,0,0,4,0,3,3,4,0,0,0,0,0,3,0,3,3,71,75,29,34,138,95,241,204,449
LGA53150,15,38,83,94,177,50,24,0,3,15,43,64,78,138,22,10,3,0,19,53,38,63,103,1307,1369,295,316,916,1116,2508,2801,5305
LGA53220,5,6,11,6,12,0,0,0,0,3,3,4,3,7,0,0,0,0,0,3,0,3,3,673,687,368,388,629,580,1670,1654,3324
LGA53290,65,90,175,173,349,55,45,0,0,21,78,82,123,208,34,14,0,0,29,91,66,104,172,2127,2199,641,666,1670,1688,4441,4555,9002
LGA53360,9,0,27,6,31,4,0,0,0,0,3,11,7,22,0,0,0,0,0,3,3,11,8,368,383,173,185,345,272,882,835,1720
LGA53430,93,237,363,451,816,179,100,13,7,76,208,267,317,583,100,42,3,0,78,252,184,297,475,4032,4158,1553,1677,4268,5256,9848,11094,20940
LGA53570,25,31,99,81,184,37,23,0,3,13,23,45,43,90,17,4,0,0,12,21,25,26,47,917,957,209,228,684,569,1812,1757,3568
LGA53640,3,0,12,10,17,0,0,0,0,3,9,3,9,10,0,0,0,0,3,0,3,0,5,207,202,45,48,157,103,414,357,770
LGA53710,9,0,22,17,36,9,3,0,0,3,8,16,9,24,3,0,0,0,7,4,6,7,15,180,175,47,52,117,112,340,337,681
LGA53780,253,609,1069,1205,2272,439,256,15,7,155,525,603,789,1392,261,129,8,6,178,504,445,637,1078,20753,21353,3577,3790,17703,17610,42030,42755,84783
LGA53800,112,206,434,465,898,191,112,13,7,77,203,287,331,609,119,43,4,0,83,195,205,236,436,5727,6050,1668,1865,4985,5442,12385,13361,25737
LGA53920,3,8,4,8,15,0,0,0,0,4,3,7,3,8,0,0,0,0,0,4,0,4,6,196,194,148,148,412,520,757,864,1624
LGA53990,63,138,284,301,578,127,70,3,0,39,88,167,160,330,67,29,0,0,29,108,100,131,236,4704,5020,1000,1098,2912,3031,8612,9152,17767
LGA54060,22,28,87,66,154,32,15,0,0,13,28,43,40,85,19,15,0,0,27,15,42,28,67,635,690,149,168,426,434,1213,1289,2507
LGA54130,7,3,12,11,24,3,0,0,0,0,5,4,5,13,3,3,0,0,3,0,6,3,8,180,173,65,67,133,71,378,306,689
LGA54170,235,736,1370,1561,2940,654,498,21,8,220,694,889,1200,2094,453,217,10,4,238,792,701,1008,1712,30994,32214,5048,5383,19575,21299,55619,58897,114514
LGA54200,123,386,706,830,1541,353,236,6,3,115,327,475,566,1047,185,70,5,3,103,339,293,407,709,10563,10969,2118,2247,7433,8133,20108,21346,41461
LGA54280,58,88,130,147,278,33,23,4,0,31,70,72,91,164,18,6,0,0,11,46,29,56,87,4117,4260,1637,1708,4122,3372,9865,9341,19207
LGA54310,17,12,27,19,45,3,0,0,0,8,7,11,12,23,3,0,0,0,5,3,7,3,10,2773,2809,1283,1308,2300,1783,6356,5907,12259
LGA54340,9,31,53,59,112,26,21,0,0,4,22,32,45,74,16,3,0,0,5,30,17,35,52,650,663,136,136,574,527,1355,1324,2679
LGA54410,8,8,20,22,47,13,7,3,0,7,11,17,22,40,5,4,0,0,3,15,6,18,27,218,219,49,50,145,162,409,434,841
LGA54480,0,0,4,0,6,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,3,0,3,113,110,15,16,65,22,184,147,330
LGA54550,9,15,30,32,63,14,11,0,0,0,11,14,17,32,7,7,0,0,6,13,15,21,33,373,368,79,85,221,191,676,643,1320
LGA54620,3,6,9,13,31,6,0,0,0,0,4,6,8,12,0,0,0,0,3,0,3,0,6,155,155,33,37,108,64,294,252,548
LGA54690,3,3,6,7,15,0,0,0,0,0,4,3,7,8,7,0,0,0,3,0,4,4,7,83,83,19,19,50,39,140,141,285
LGA54760,0,4,8,8,14,6,3,0,0,0,8,7,12,18,4,3,0,0,0,8,3,8,13,153,150,29,33,87,51,269,240,511
LGA54830,83,147,278,288,563,113,62,5,3,60,118,175,183,355,56,27,3,0,29,106,84,137,226,5779,6039,1764,1865,5050,5393,12592,13295,25890
LGA54900,9,11,18,18,30,5,3,0,0,0,8,7,12,17,0,0,0,0,0,8,3,10,14,216,210,52,57,164,101,431,373,798
LGA54970,0,0,6,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,3,47,53,39,41,81,80,170,168,338
LGA55040,0,0,6,0,8,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,4,0,4,100,105,57,58,128,100,281,265,550
LGA55110,280,655,1538,1601,3136,674,476,20,21,218,606,918,1100,2016,417,180,6,3,244,661,665,853,1520,13766,14551,3138,3542,9834,12322,26742,30410,57149
LGA55180,25,48,150,130,275,72,42,0,0,13,47,90,90,177,39,17,0,0,21,61,59,78,138,1555,1596,414,417,1227,1152,3196,3161,6357
LGA55250,3,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,60,35,39,102,118,193,216,410
LGA55320,223,738,1203,1558,2758,713,524,11,5,197,747,920,1274,2195,562,281,3,0,322,1171,889,1449,2336,18911,19585,2655,2832,13102,16306,34670,38725,73395
LGA55390,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,17,14,67,61,111,101,219
LGA55460,6,13,30,42,72,20,8,0,0,7,15,27,23,53,12,8,0,0,6,23,21,29,48,532,541,143,148,516,397,1192,1087,2282
LGA55530,0,4,5,8,12,3,0,0,0,0,3,4,3,9,0,0,0,0,3,0,7,0,7,76,86,24,26,61,37,163,148,314
LGA55600,9,13,30,27,51,14,7,0,0,10,9,25,22,43,6,0,0,0,11,13,16,13,29,390,389,113,119,339,273,841,778,1620
LGA55670,3,3,6,8,21,7,5,0,0,4,3,11,6,23,6,3,0,0,3,0,8,3,12,99,103,34,32,106,95,238,225,468
LGA55740,25,66,100,115,218,40,24,0,0,29,51,67,72,146,23,9,3,0,23,63,43,73,121,1456,1501,299,318,1162,1462,2915,3279,6188
LGA55810,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,35,35,38,34,68,58,134,123,266
LGA55880,0,0,9,3,12,5,3,0,0,0,0,5,3,6,3,0,0,0,0,3,4,4,4,98,94,27,25,69,36,191,155,355
LGA55950,0,4,6,13,20,3,5,0,0,0,0,3,5,10,4,0,0,0,3,3,3,3,10,126,123,15,20,52,37,189,183,373
LGA56090,85,215,475,487,965,188,135,3,4,77,167,268,310,572,129,37,6,6,67,208,206,255,454,6855,7211,1392,1544,4700,4940,12950,13697,26643
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,3,4,20,17,39,37,75
LGA56230,65,119,296,291,592,144,88,3,6,56,89,205,180,379,72,46,7,3,43,69,123,115,244,2895,3080,665,762,2061,2090,5624,5930,11553
LGA56300,4,6,25,21,48,4,3,0,0,3,5,11,8,17,3,0,0,0,0,7,3,12,14,214,223,78,78,185,152,480,451,930
LGA56370,0,6,15,14,25,4,11,0,0,3,7,6,13,25,9,3,0,0,0,6,8,10,17,157,159,41,39,94,71,287,264,555
LGA56460,19,42,50,73,122,34,17,0,0,14,35,51,48,95,12,11,0,0,10,45,27,51,81,781,812,168,178,620,744,1567,1735,3302
LGA56580,49,133,259,290,554,151,102,3,0,15,132,172,230,404,95,45,0,0,57,228,150,275,426,4213,4341,404,406,2668,3150,7289,7892,15181
LGA56620,0,10,0,8,9,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,215,218,48,50,225,286,491,552,1039
LGA56730,52,71,153,134,294,60,30,4,0,28,62,89,93,183,31,10,0,0,22,77,54,88,140,1653,1696,422,466,1396,1593,3473,3753,7226
LGA56790,25,19,58,47,112,20,12,0,0,11,22,30,34,65,7,6,0,0,11,11,17,21,39,563,576,160,181,450,333,1180,1093,2268
LGA56860,0,3,0,4,8,0,0,0,0,3,0,3,3,9,0,0,0,0,3,0,3,0,4,36,39,14,14,34,26,87,82,173
LGA56930,4,7,22,24,46,17,7,0,0,4,6,17,16,36,7,3,0,0,3,17,13,24,40,308,312,23,25,165,265,498,604,1103
LGA57000,0,3,0,3,9,0,3,0,0,0,0,0,4,4,0,0,0,0,0,4,3,4,3,78,75,20,22,67,37,166,132,299
LGA57080,49,68,149,137,282,47,24,3,4,29,42,73,68,143,16,9,7,0,20,48,47,58,101,2415,2470,1287,1249,3915,3350,7610,7072,14688
LGA57140,9,18,27,29,48,10,3,0,0,9,8,16,12,24,3,0,0,0,4,10,11,10,23,193,190,49,50,145,150,387,389,778
LGA57210,13,33,92,69,162,30,18,0,0,7,27,44,42,87,12,11,0,0,9,33,26,47,72,888,901,200,230,656,610,1739,1739,3476
LGA57280,13,18,28,21,47,3,0,0,0,11,10,13,8,21,3,3,0,0,6,3,12,5,13,1752,1778,871,917,1606,1305,4228,3999,8223
LGA57350,8,11,27,17,44,4,3,0,0,4,17,11,19,25,3,4,0,0,6,8,8,13,21,168,169,30,33,129,133,329,336,665
LGA57420,9,10,20,25,42,5,7,0,0,7,4,13,16,24,5,4,0,0,3,3,10,5,18,292,284,67,62,187,142,552,488,1037
LGA57490,281,633,1196,1315,2508,520,357,24,16,206,517,748,885,1629,305,150,14,10,230,530,553,693,1241,19601,21117,5438,6024,15038,16895,40077,44039,84107
LGA57630,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,4,3,18,9,38,22,57
LGA57700,45,70,201,189,389,66,44,3,0,30,39,91,91,184,45,14,3,0,25,46,64,64,128,4622,4879,1325,1447,2865,2954,8805,9285,18086
LGA57770,8,3,12,3,22,3,4,0,0,0,4,0,9,13,0,0,0,0,5,6,4,6,11,134,140,56,62,136,104,330,300,632
LGA57840,109,288,386,500,887,172,121,3,0,65,239,238,355,595,141,76,0,0,111,373,257,453,710,6823,7013,1589,1653,6451,7400,14859,16068,30928
LGA57910,578,1603,2437,3052,5488,1259,817,27,20,472,1474,1749,2312,4060,861,381,23,5,515,1792,1398,2174,3577,35251,36152,8379,8704,31352,36239,74980,81090,156070
LGA57980,81,145,235,257,495,86,44,7,0,34,133,128,178,309,59,26,4,4,42,142,98,164,268,2892,2966,835,834,3020,3401,6742,7204,13947
LGA58050,239,517,1036,1101,2139,425,254,12,5,183,430,616,686,1304,246,100,8,4,150,475,402,574,979,22039,22937,5394,5815,17895,19394,45330,48149,93478
LGA58190,0,0,8,3,4,3,0,0,0,4,4,6,3,10,0,0,0,0,0,3,0,3,3,56,53,22,16,51,46,122,115,241
LGA58260,3,0,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,6,8,87,89,38,38,57,56,186,181,365
LGA58330,26,33,77,72,153,29,10,4,0,19,19,45,35,80,6,0,0,0,13,17,17,15,34,839,895,185,199,571,526,1587,1621,3210
LGA58400,0,6,5,8,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,3,53,47,18,14,51,34,123,101,220
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,12,10,43,35,76,59,130
LGA58510,111,194,271,317,585,108,76,0,4,75,214,184,295,473,110,60,5,0,111,355,223,422,643,4782,4943,1713,1777,6033,5921,12536,12644,25176
LGA58540,4,3,9,11,23,7,0,0,0,0,5,9,5,14,0,0,0,0,4,0,4,0,8,161,163,48,46,125,76,332,289,626
LGA58570,96,183,211,297,507,105,71,0,0,55,161,169,229,393,86,25,0,0,63,258,151,289,436,4544,4651,2101,2028,5448,5859,12098,12534,24625
LGA58610,14,22,41,38,70,10,4,0,0,4,11,18,13,31,8,7,3,0,11,17,18,18,40,315,321,65,67,230,239,612,624,1237
LGA58680,0,4,6,8,15,3,3,0,0,0,3,6,3,9,3,0,0,0,0,0,3,0,4,101,105,12,11,46,24,163,147,308
LGA58760,264,781,1411,1656,3069,623,411,18,8,189,590,833,1010,1845,330,131,16,14,173,517,516,663,1179,32156,33630,7329,7912,23781,26346,63260,67894,131152
LGA58820,23,31,75,68,143,24,17,0,0,10,28,33,46,76,15,3,0,0,13,27,32,28,60,688,725,144,167,533,518,1362,1412,2778
LGA58890,5,6,15,18,30,3,9,0,0,5,4,8,7,17,8,3,0,0,7,3,13,5,23,169,165,18,22,108,77,303,270,572
LGA59030,0,3,3,7,6,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,43,47,13,10,22,21,75,74,154
LGA59100,3,4,7,8,21,3,7,0,0,0,10,3,16,16,3,0,0,0,4,4,3,7,14,135,134,34,37,87,62,258,229,487
LGA59170,3,4,14,15,20,3,3,0,0,4,8,10,9,20,7,3,0,0,5,0,6,4,13,187,191,48,46,102,82,336,320,654
LGA59250,0,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,25,26,68,72,109,110,222
LGA59310,3,5,12,16,23,3,3,0,0,5,3,7,7,15,3,0,0,0,3,7,7,10,15,239,240,63,67,204,124,506,436,940
LGA59320,3,0,3,4,6,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,73,72,20,21,55,31,143,127,275
LGA59330,4,4,13,12,28,3,0,0,0,3,6,3,9,11,0,0,0,0,3,10,3,10,11,87,81,13,18,76,62,183,165,347
LGA59340,13,7,26,18,43,0,0,0,0,9,10,9,12,21,0,0,0,0,0,4,5,8,11,624,646,512,527,917,1010,2046,2181,4232
LGA59350,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,8,21,33,50,57,105
LGA59360,8,8,23,8,31,7,3,0,0,5,0,10,7,17,3,0,0,0,3,7,9,3,14,172,178,38,37,177,90,386,304,693
LGA59370,20,33,75,73,147,28,15,0,0,11,30,41,47,82,7,11,0,0,17,21,28,37,61,626,667,128,126,453,474,1207,1267,2471
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,36,62,120,115,238,47,27,4,0,22,39,74,62,133,19,12,3,3,22,56,42,63,108,1042,1044,300,304,889,805,2228,2162,4385
LGA60410,44,77,149,146,293,44,26,4,0,16,58,66,83,147,16,6,0,0,15,43,31,52,86,2302,2313,903,919,2170,2700,5378,5933,11306
LGA60610,89,163,282,286,572,101,84,3,3,53,141,155,225,381,69,25,3,0,37,155,114,184,292,2930,3001,853,912,2660,3250,6444,7160,13603
LGA60810,80,192,346,390,733,159,111,8,10,66,164,229,284,509,86,36,3,0,58,186,155,222,376,3929,3994,791,835,2690,3265,7409,8098,15503
LGA61010,23,22,50,36,86,9,5,0,0,14,10,21,13,38,3,0,0,0,7,4,10,8,17,364,365,94,94,368,263,825,723,1550
LGA61210,32,48,92,94,186,35,23,3,0,25,52,66,78,147,29,10,0,0,14,38,41,52,90,1313,1318,409,415,1007,949,2725,2677,5402
LGA61410,164,478,784,958,1741,341,223,11,10,150,414,506,637,1145,235,104,9,3,178,533,415,636,1054,9413,9549,2378,2454,6956,8918,18752,20927,39676
LGA61510,42,75,145,159,303,61,26,0,0,29,60,84,81,167,20,11,0,0,20,59,39,70,111,1591,1608,525,523,1460,1521,3574,3647,7223
LGA61610,93,235,369,443,814,153,95,3,4,70,225,222,325,551,107,58,3,3,85,236,196,292,487,3869,3928,996,1035,3369,4496,8224,9460,17681
LGA61810,22,72,122,140,257,50,40,3,0,23,39,80,79,165,37,12,0,0,24,53,59,72,131,1180,1174,293,291,876,908,2345,2380,4720
LGA62010,7,8,14,14,32,0,0,0,0,5,3,8,3,13,3,0,0,0,0,4,3,7,8,149,142,68,70,141,94,354,298,651
LGA62210,27,45,109,85,199,44,21,0,0,17,32,65,62,120,23,12,0,0,16,38,36,50,88,1116,1130,267,281,933,980,2315,2390,4708
LGA62410,20,37,90,82,178,39,20,0,0,24,38,65,58,118,23,8,0,0,21,25,46,35,83,798,794,190,198,581,504,1569,1498,3069
