LGA_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
LGA37300,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,13,19,14,5,7,3,12,79,9,0,0,0,6,6,13,8,51,96,143,134,188,149,111,900
LGA37310,0,0,0,0,0,0,9,19,19,8,35,60,99,161,169,156,218,84,44,15,15,9,146,1243,96,55,68,90,299,307,729,548,1393,1015,973,589,496,375,1046,8090
LGA37340,0,0,0,0,0,0,10,14,13,3,34,55,85,166,135,152,223,68,52,18,10,7,112,1142,79,44,80,70,254,282,641,527,1377,1017,876,538,500,327,1100,7708
LGA37400,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,4,0,0,0,0,0,6,33,6,3,3,0,15,3,20,15,49,34,31,15,6,8,51,268
LGA37550,0,0,0,0,0,0,0,4,0,3,20,11,13,10,11,5,15,4,4,0,0,0,9,110,0,3,20,11,26,19,24,16,27,11,7,0,3,0,25,191
LGA37570,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,4,0,3,0,0,0,0,0,27,0,0,3,3,12,13,6,8,5,5,0,0,0,0,7,64
LGA37600,0,0,0,0,0,0,0,7,0,0,20,20,31,48,22,31,28,21,3,0,0,0,21,254,0,4,25,20,45,59,53,69,103,54,24,7,10,3,52,522
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,0,0,0,0,0,0,0,3,20,9,5,12,27,25,24,42,67,42,43,15,26,15,44,421,139,34,32,33,93,81,154,172,441,342,460,279,383,547,361,3538
LGA40120,0,0,0,0,0,0,6,10,17,10,23,23,50,86,104,107,231,147,105,35,34,11,181,1174,60,44,59,38,197,215,622,533,1651,1302,1379,1122,1226,1189,1338,10972
LGA40220,0,0,0,0,0,0,8,6,11,8,32,33,70,121,126,110,171,68,30,11,6,7,135,938,44,43,71,52,273,275,940,712,1513,878,701,338,306,163,882,7197
LGA40250,0,0,0,0,0,0,3,6,0,0,26,11,11,8,7,7,19,8,4,0,0,0,32,127,11,3,35,19,84,28,41,59,56,24,16,19,7,3,84,483
LGA40310,0,0,0,0,0,0,0,4,7,5,17,32,37,98,83,92,168,82,44,13,14,8,100,798,38,39,40,49,167,189,552,460,1205,956,877,531,425,312,680,6515
LGA40430,0,0,0,0,0,0,0,4,0,3,5,3,6,14,9,10,11,3,0,0,0,0,9,74,6,6,10,10,44,31,106,63,133,69,43,28,44,23,76,677
LGA40520,0,0,3,0,0,0,3,8,7,4,22,25,52,65,73,61,76,41,30,4,3,0,60,513,20,21,33,35,141,110,346,230,523,359,308,161,101,66,317,2777
LGA40700,0,0,0,0,0,0,3,4,56,24,40,37,63,87,87,103,241,189,109,51,65,50,176,1385,166,70,85,62,210,190,474,507,1402,1147,1188,948,1413,2383,1389,11633
LGA40910,3,0,0,0,0,0,15,24,45,12,45,65,93,176,223,231,438,273,143,58,33,15,246,2100,170,77,102,108,396,387,1181,951,2308,1731,1704,1133,1208,695,1356,13525
LGA41010,0,0,0,0,0,0,7,11,8,0,0,14,7,15,19,13,25,12,12,3,0,0,25,149,9,3,3,14,31,21,72,47,137,83,118,67,57,30,178,867
LGA41060,4,0,0,0,0,0,41,53,71,32,129,162,306,447,536,576,1038,591,317,140,81,54,570,5047,285,151,256,235,957,905,2464,1970,4789,3646,3487,2605,2510,1690,3040,28983
LGA41140,0,0,0,0,0,0,0,6,0,3,8,14,27,37,45,29,47,28,10,0,10,0,34,295,19,19,17,19,86,93,247,193,507,339,280,140,152,78,268,2442
LGA41190,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,6,11,3,0,0,5,0,7,46,3,9,4,0,25,15,42,33,91,65,42,29,25,17,46,451
LGA41330,0,0,0,0,0,0,0,0,0,0,3,3,3,4,6,3,12,10,3,0,0,0,15,61,3,0,4,6,10,19,35,24,61,48,39,20,20,5,58,344
LGA41560,0,0,0,0,0,0,3,4,4,6,22,38,56,63,91,79,82,44,17,5,9,3,64,576,26,18,49,42,218,150,606,361,770,391,341,172,143,86,445,3823
LGA41750,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,0,0,0,0,4,19,3,6,7,0,14,7,44,26,56,30,26,9,14,12,35,279
LGA41830,0,0,0,0,0,0,0,0,0,0,3,0,8,7,8,6,6,0,3,0,0,0,11,59,0,3,3,3,19,16,44,40,75,31,41,17,27,15,105,426
LGA41960,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,6,6,0,0,0,0,0,0,24,4,8,6,0,16,12,43,26,75,30,37,23,16,12,34,333
LGA42030,3,0,0,0,0,0,7,14,4,10,34,49,83,168,170,165,232,115,58,23,15,4,143,1283,28,30,53,60,215,279,645,478,1127,885,717,462,385,178,648,6197
LGA42110,0,0,0,0,0,0,0,0,3,4,3,10,6,20,10,13,17,3,0,3,0,0,24,124,10,10,11,14,54,50,141,91,230,117,82,42,31,30,138,1067
LGA42250,0,0,0,0,0,0,4,4,0,0,3,9,9,26,16,24,35,18,6,3,0,0,29,183,11,5,17,9,54,61,161,138,389,316,273,171,158,119,237,2124
LGA42600,0,0,0,0,0,0,3,6,15,3,28,37,66,87,98,130,273,163,100,36,31,34,149,1247,55,31,59,52,191,172,524,522,1362,1042,1086,860,1025,1033,984,8989
LGA42750,0,0,0,0,0,0,0,0,3,0,5,10,9,26,20,10,24,8,3,0,0,0,16,133,13,16,19,13,53,53,128,102,264,154,106,48,45,21,130,1174
LGA43080,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,4,0,0,0,0,0,3,32,5,4,3,3,19,9,36,26,73,26,23,12,9,9,25,282
LGA43220,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0,0,0,3,25,3,0,3,4,10,8,21,14,63,37,38,17,17,16,25,274
LGA43360,0,0,0,0,0,0,0,0,0,3,5,3,3,3,11,4,8,3,0,0,0,0,4,57,3,8,12,6,27,27,93,57,116,84,54,27,30,35,74,634
LGA43650,0,0,0,0,0,0,6,9,0,3,12,13,40,54,46,62,99,48,19,13,3,3,64,482,20,21,31,18,93,115,298,238,693,620,566,378,333,165,460,4052
LGA43710,0,0,0,0,0,0,0,0,0,0,0,12,11,15,10,20,25,18,3,4,0,0,17,141,13,8,3,17,52,45,105,110,276,212,180,90,92,50,187,1451
LGA43790,0,0,0,0,0,0,4,4,4,5,19,15,33,58,57,55,83,34,18,0,8,3,53,441,28,26,34,23,135,118,395,263,648,405,346,182,119,70,323,3114
LGA43920,0,0,0,0,0,0,5,3,0,3,9,11,22,39,34,31,49,28,18,8,7,3,40,295,12,11,19,17,78,83,186,163,458,348,306,175,148,63,284,2353
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
LGA44060,3,0,0,0,0,0,26,37,61,42,104,109,192,366,395,431,824,556,258,97,63,25,389,3903,239,139,191,168,622,728,1782,1652,4029,3264,3194,2140,1906,936,2215,23201
LGA44210,0,0,0,0,0,0,5,8,3,3,12,16,35,50,31,41,47,24,14,0,3,0,40,325,18,27,29,19,134,108,357,201,439,284,173,93,71,33,258,2249
LGA44340,0,0,0,0,0,0,10,10,43,18,51,31,82,139,174,196,455,326,194,81,71,37,277,2169,141,61,100,71,303,346,919,855,2541,1974,2086,1746,2127,2132,1867,17267
LGA44550,0,0,0,0,0,0,10,15,7,10,36,40,71,143,164,137,271,154,68,21,21,11,187,1344,44,38,71,56,195,258,631,572,1528,1381,1226,820,718,508,1074,9123
LGA44620,0,0,0,0,0,0,14,12,13,4,35,79,123,185,172,179,225,90,38,18,13,0,123,1303,31,29,56,98,278,289,683,532,1265,1029,784,458,300,174,687,6695
LGA44830,0,0,0,0,0,0,0,0,0,4,3,3,0,5,9,11,9,4,0,0,0,0,12,65,10,11,10,3,26,41,103,64,149,89,64,53,38,24,116,797
LGA45040,0,0,0,0,0,0,11,15,9,15,26,54,80,143,130,117,185,79,25,9,8,8,107,1002,46,32,46,68,242,260,702,487,1132,748,548,253,173,73,573,5372
LGA45090,0,0,0,0,0,0,0,8,4,0,9,10,34,25,26,27,45,17,10,3,0,0,35,242,25,15,16,15,82,64,182,172,472,322,248,151,94,76,253,2168
LGA45120,0,0,0,0,0,0,0,3,0,0,3,5,10,14,18,8,29,14,4,0,4,3,15,136,12,8,5,9,67,38,141,85,257,153,117,81,53,42,148,1212
LGA45290,0,0,0,0,0,0,3,7,30,20,19,39,53,92,120,148,275,134,96,36,51,44,150,1307,115,51,64,67,205,204,585,476,1274,878,947,714,933,1182,910,8602
LGA45340,8,0,0,0,0,0,62,82,90,57,202,335,584,1098,1078,1046,1658,822,382,120,85,34,960,8554,276,200,350,412,1465,1798,4491,3579,8804,6676,5753,3412,2710,1272,4609,45804
LGA45400,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,0,0,0,21,0,5,3,0,11,11,19,22,39,29,27,11,8,7,33,232
LGA45540,0,0,0,0,0,0,0,0,3,0,5,9,14,9,16,16,20,4,0,0,0,0,12,102,7,0,8,13,36,24,78,51,76,33,15,13,9,3,54,406
LGA45680,7,0,0,0,0,0,50,76,80,49,217,327,480,978,843,736,944,400,164,69,39,16,598,5951,198,130,309,391,1078,1388,2543,2043,4364,2999,2328,1124,840,322,2299,22367
LGA45890,6,0,0,0,0,0,50,67,106,68,216,269,402,584,668,721,1261,627,323,122,75,31,641,6098,421,188,375,367,1117,1184,2796,2346,5442,3972,3589,2354,2060,983,2977,30172
LGA46090,0,0,0,0,0,0,21,22,9,7,30,39,60,85,95,67,118,56,20,11,12,3,101,718,29,23,36,44,146,148,281,236,574,381,328,239,228,99,510,3307
LGA46300,0,0,0,0,0,0,5,6,16,4,19,28,43,94,80,68,109,56,17,3,3,4,75,622,23,25,33,37,134,132,345,255,669,466,393,248,183,134,433,3486
LGA46450,0,0,0,0,0,0,5,9,11,5,32,52,88,127,125,110,130,76,17,11,3,9,95,894,31,21,49,60,242,229,581,386,708,512,448,292,206,131,547,4440
LGA46510,0,0,0,0,0,0,5,4,7,6,16,9,24,41,55,65,132,80,57,27,16,9,77,619,48,19,36,22,91,96,269,250,709,587,619,493,687,641,523,5087
LGA46670,0,0,0,0,0,0,6,6,0,3,12,23,34,46,52,59,72,25,5,0,0,3,46,395,18,13,18,26,111,107,306,216,518,318,242,127,80,77,295,2474
LGA46860,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,3,0,0,0,0,0,24,5,0,0,0,17,10,36,28,74,40,45,22,20,6,39,351
LGA46970,0,0,0,0,0,0,0,0,0,0,3,5,0,7,3,9,10,10,18,3,0,5,13,90,3,4,3,5,7,10,3,12,38,79,155,149,168,160,95,895
LGA47140,3,3,0,0,0,0,57,78,149,77,250,317,524,956,905,860,1483,711,370,126,77,25,766,7593,459,228,460,423,1493,1700,3743,3047,7250,5190,4140,2209,1564,688,3427,36014
LGA47290,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,5,9,7,5,0,0,0,7,56,7,3,6,5,21,10,46,42,95,90,63,28,20,19,51,508
LGA47490,0,0,0,0,0,0,0,0,0,4,4,0,4,10,4,0,10,7,0,0,0,0,10,52,4,4,3,4,21,26,46,44,107,77,55,39,26,12,63,532
LGA47630,0,0,0,0,0,0,0,0,0,0,7,5,8,17,27,27,22,17,0,0,0,0,12,159,17,12,22,10,60,40,157,123,360,272,176,107,76,38,178,1664
LGA47700,0,0,0,0,0,0,19,21,39,27,62,129,211,382,454,503,941,544,305,123,78,30,450,4269,197,107,135,179,654,764,2238,1913,4862,4014,3899,2598,2358,1154,2587,27647
LGA47800,0,0,0,0,0,0,0,3,0,3,7,21,16,32,24,24,38,14,4,0,0,0,22,207,14,11,13,21,75,60,174,136,329,182,100,52,55,41,162,1420
LGA47910,0,0,0,0,0,0,3,3,3,0,3,3,4,8,11,5,9,9,0,0,0,0,10,67,10,3,8,3,36,29,76,40,146,77,76,38,26,22,111,707
LGA47980,0,3,0,0,0,0,4,7,31,13,16,22,40,93,108,94,247,168,122,51,55,42,123,1210,108,44,39,46,161,168,475,389,1144,929,1023,788,1216,1778,1021,9333
LGA48050,0,0,0,0,0,0,3,3,6,3,10,28,49,75,99,68,94,29,12,3,0,0,53,526,32,31,35,47,196,175,749,458,977,425,282,140,112,85,390,4133
LGA48130,0,0,0,0,0,0,0,3,0,0,5,18,19,44,44,30,42,18,8,0,5,5,27,275,17,9,9,24,74,81,184,130,420,234,170,83,79,53,205,1763
LGA48260,0,0,0,0,0,0,0,0,13,4,8,0,11,14,14,21,34,32,26,9,12,10,22,217,37,7,10,7,32,37,84,80,222,181,195,144,234,394,223,1889
LGA48340,0,0,0,0,0,0,0,3,3,6,9,22,40,66,57,58,71,36,18,3,4,0,40,420,26,25,20,34,148,134,335,251,592,380,320,191,154,104,364,3082
LGA48410,0,0,0,0,0,0,3,10,33,21,55,49,120,171,208,237,484,285,165,67,44,18,220,2185,177,82,116,103,426,411,1138,998,2477,1837,1845,1228,1241,772,1388,14232
LGA48540,0,0,3,0,0,0,22,29,10,12,76,95,119,154,142,129,165,78,44,20,15,3,134,1194,32,34,106,104,284,247,625,391,770,603,614,448,414,229,633,5543
LGA48640,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,3,3,0,0,0,0,0,25,3,0,4,3,13,14,31,18,65,39,47,14,22,22,19,309
LGA48750,0,0,0,0,0,0,0,5,0,0,13,8,13,23,14,21,29,13,3,3,0,0,25,166,11,9,18,16,61,64,193,143,299,191,116,66,38,32,146,1413
LGA48830,0,0,0,0,0,0,3,3,4,3,11,17,22,43,30,33,55,20,6,0,4,0,55,298,41,35,26,22,146,118,461,285,602,329,230,117,116,80,354,2960
LGA49399,0,0,0,0,0,0,10,7,3,0,7,3,6,11,11,11,17,3,0,0,0,0,33,100,5,0,12,8,41,26,52,42,75,60,51,35,36,16,144,602
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,5,0,0,0,0,0,5,9,9,6,44,56,93,180,184,152,294,138,70,21,17,18,150,1426,64,49,85,82,311,323,884,627,1693,1325,1089,702,647,438,1107,9412
LGA50210,3,0,3,0,0,0,24,35,81,50,141,163,244,400,360,361,698,391,215,96,65,28,407,3698,247,131,209,209,552,692,1379,1196,3409,2894,2921,1829,1886,1189,2565,21314
LGA50250,0,0,0,0,0,0,0,0,8,7,3,7,13,4,4,6,12,16,24,9,9,5,13,136,7,5,3,7,19,14,15,21,60,89,235,156,258,326,170,1391
LGA50280,0,0,0,0,0,0,0,3,4,5,11,19,33,83,58,58,105,40,26,5,7,5,48,521,40,19,33,34,106,144,264,258,667,524,426,259,232,162,540,3700
LGA50350,0,0,0,0,0,0,8,10,13,7,19,28,41,70,68,65,122,87,51,30,23,12,82,711,45,16,33,41,106,117,249,197,529,501,507,418,437,316,455,3963
LGA50420,3,0,0,0,0,0,11,20,66,28,72,74,141,204,220,237,514,272,188,90,74,45,272,2484,220,91,158,128,446,418,1136,945,2407,1896,2045,1522,1922,1522,1812,16674
LGA50490,0,0,0,0,0,0,18,29,32,17,70,68,88,118,141,172,294,172,111,45,41,24,159,1557,130,49,125,97,288,267,635,534,1389,1156,1178,764,902,587,1072,9168
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,10,3,0,0,0,0,8,45,8,3,3,3,19,20,56,40,77,45,33,27,19,15,76,455
LGA50630,0,0,0,0,0,0,0,4,0,0,3,7,7,0,3,11,10,10,3,0,0,0,7,65,13,0,5,6,16,10,22,25,36,57,60,45,65,45,62,475
LGA50770,0,0,0,0,0,0,3,3,0,0,7,3,8,4,0,8,6,0,3,3,0,0,5,46,4,3,7,5,21,15,34,29,94,47,55,31,22,24,62,457
LGA50840,0,0,0,0,0,0,0,0,4,0,3,15,9,17,15,20,22,11,12,3,3,0,15,143,15,15,20,20,59,51,165,81,223,143,118,93,78,45,164,1267
LGA50910,0,0,0,0,0,0,0,3,0,0,0,7,3,3,6,4,5,0,0,0,0,0,0,30,0,0,0,7,14,7,23,17,37,28,23,16,18,11,39,251
LGA50980,0,0,0,0,0,0,19,22,11,8,31,45,53,60,76,66,110,68,37,21,6,12,120,719,34,8,44,52,119,99,154,173,378,370,503,391,441,302,562,3624
LGA51080,0,0,0,0,0,0,4,3,0,0,0,4,3,3,3,4,8,0,4,0,0,0,7,42,0,0,0,4,4,9,30,23,49,30,27,15,16,15,46,272
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,3,0,0,0,0,0,25,3,3,0,0,9,6,25,14,33,35,17,20,20,19,39,246
LGA51190,0,0,0,0,0,0,20,30,17,17,47,72,116,213,208,158,296,130,73,35,22,12,181,1603,47,42,82,94,293,313,771,573,1316,999,906,598,599,482,1035,8150
LGA51260,0,0,0,0,0,0,9,14,33,16,46,65,96,151,144,149,274,111,59,20,24,3,150,1335,110,46,83,89,275,292,810,622,1612,1274,1118,739,748,492,1394,9706
LGA51310,0,0,0,0,0,0,3,5,22,10,8,12,19,28,36,47,96,86,77,22,58,50,85,649,66,24,31,23,75,79,178,199,519,486,555,497,999,2265,896,6882
LGA51330,0,0,3,0,0,0,17,17,124,41,79,83,130,238,258,256,634,373,251,110,116,48,293,3038,449,149,208,205,530,627,1386,1265,3432,2820,2774,1915,2327,1997,2503,22601
LGA51400,0,0,0,0,0,0,0,8,11,3,17,30,51,76,75,78,120,83,38,15,13,5,67,693,40,18,30,45,123,146,267,224,595,566,641,441,511,326,684,4653
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,10,8,0,0,0,3,5,11,3,23,27,14,10,4,3,21,140
LGA51540,0,0,0,0,0,0,12,10,7,3,10,8,25,21,22,19,27,22,8,0,0,3,39,215,24,13,14,15,43,37,91,60,170,152,129,81,100,63,211,1201
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,6,0,4,0,0,0,4,28,3,3,4,0,13,0,26,18,47,45,49,31,35,30,73,381
LGA51680,0,0,0,0,0,0,0,0,0,0,4,0,10,10,13,14,11,6,12,6,8,0,16,113,17,15,9,12,47,32,109,79,196,162,202,110,148,111,268,1520
LGA51750,0,0,0,0,0,0,3,4,17,8,0,9,6,20,18,19,47,39,33,12,24,19,51,320,31,10,8,15,18,36,55,55,233,203,207,168,323,731,342,2439
LGA51820,3,3,3,0,0,0,22,36,89,36,115,120,236,352,366,421,779,478,356,138,93,53,467,4105,284,135,220,179,651,662,1604,1283,3500,3254,3797,2897,3380,2450,3558,27864
LGA51890,0,0,0,0,0,0,3,5,8,3,18,26,35,55,55,42,48,26,16,12,6,0,32,376,21,19,29,34,101,101,233,147,298,208,256,173,184,151,322,2269
LGA51960,0,0,0,0,0,0,3,4,0,0,3,14,15,12,20,13,21,6,14,3,11,4,13,147,3,0,10,14,25,25,38,38,90,84,137,63,122,62,108,824
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,3,3,27,3,4,4,4,14,14,34,19,40,21,27,18,21,16,35,281
LGA52100,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,5,4,0,0,0,0,4,34,4,3,3,3,5,8,24,16,46,40,30,32,24,14,47,285
LGA52170,0,0,0,0,0,0,0,0,7,3,8,9,4,11,12,11,32,19,20,6,18,15,31,211,17,3,5,5,14,17,45,45,128,117,145,111,267,727,280,1923
LGA52240,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,4,0,0,0,0,0,3,20,4,0,0,5,11,10,33,27,55,41,23,10,17,11,36,284
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,6,6,0,3,8,8,24,14,28,25,22,15,11,11,36,223
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,6,3,3,6,0,0,0,0,3,32
LGA52450,0,0,0,0,0,0,0,3,0,0,3,0,4,0,8,3,3,0,0,0,0,0,5,36,5,0,7,0,8,8,30,20,56,58,34,20,25,21,52,344
LGA52520,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,5,0,0,0,0,0,4,26,4,5,0,0,14,6,13,15,58,52,53,38,17,24,43,350
LGA52590,0,0,0,0,0,0,0,0,3,0,3,0,11,8,14,9,12,3,3,0,0,0,14,91,18,14,9,3,43,26,78,45,137,89,89,56,64,41,142,859
LGA52660,0,0,0,0,0,0,0,4,10,3,21,20,43,77,65,55,89,44,38,6,16,3,61,542,42,18,28,36,112,112,293,206,514,549,507,341,338,191,511,3797
LGA52730,0,0,0,0,0,0,0,0,3,3,9,8,26,38,22,26,29,9,6,0,4,3,27,206,18,10,12,8,62,69,173,139,311,170,137,98,73,60,214,1542
LGA52800,0,0,0,0,0,0,8,7,4,14,63,43,29,40,48,26,42,25,13,5,7,0,67,432,6,30,80,47,119,91,135,106,183,129,150,82,102,54,261,1567
LGA52870,0,0,0,0,0,0,3,3,0,3,3,13,16,15,32,18,23,8,4,3,0,0,17,166,15,13,13,16,57,40,173,114,254,186,149,100,113,83,243,1561
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,3,18,0,0,0,3,6,8,24,9,33,24,18,10,9,18,25,186
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,13,3,0,0,0,10,9,5,19,39,23,19,12,9,8,28,177
LGA53080,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,3,4,0,0,0,0,11,34,0,0,3,6,3,10,19,9,18,13,12,5,4,3,35,146
LGA53150,0,0,0,0,0,0,0,0,7,3,4,7,15,12,23,19,25,36,30,7,12,10,28,231,21,6,10,6,33,24,90,50,180,171,167,134,289,502,259,1930
LGA53220,0,0,0,0,0,0,5,5,0,3,15,14,12,6,13,10,17,18,13,3,6,7,25,164,3,6,15,12,55,23,48,37,83,84,167,136,201,214,168,1252
LGA53290,0,0,0,0,0,0,13,17,6,10,13,26,25,55,59,46,95,40,25,10,13,9,51,479,27,21,28,35,92,108,238,189,527,434,412,313,273,217,510,3417
LGA53360,0,0,0,0,0,0,0,0,3,0,3,3,10,10,8,0,13,6,3,0,0,0,11,69,7,0,3,3,15,10,41,18,94,82,88,77,54,59,102,654
LGA53430,0,0,0,0,0,0,9,10,14,7,41,51,70,100,98,100,213,123,96,37,33,24,173,1180,64,24,63,67,187,167,377,304,831,708,778,628,898,1091,948,7132
LGA53570,0,0,0,0,0,0,3,3,8,3,6,7,8,18,16,18,25,7,5,3,3,3,22,146,32,17,18,8,64,42,134,98,233,157,132,74,72,60,226,1364
LGA53640,0,0,0,0,0,0,0,3,3,0,3,3,0,4,9,3,3,4,3,0,0,0,3,35,3,0,3,7,9,12,18,14,45,36,42,24,14,38,40,302
LGA53710,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,4,4,0,0,0,0,0,4,30,0,0,4,4,10,7,25,22,37,30,30,29,18,20,33,261
LGA53780,3,4,0,0,0,0,46,62,182,48,165,164,299,449,477,505,948,514,363,153,127,40,478,4917,534,151,326,265,875,903,2166,1851,5040,4143,4175,2573,2505,1469,3478,30459
LGA53800,0,0,0,0,0,0,25,30,35,19,65,94,109,208,183,161,311,175,111,29,29,13,237,1783,107,61,105,127,301,341,761,501,1412,1162,1173,783,855,575,1614,9870
LGA53920,0,0,0,0,0,0,7,7,6,5,23,14,18,22,14,14,20,6,10,4,0,0,36,187,7,15,30,18,70,42,33,56,48,33,30,22,20,17,98,537
LGA53990,0,0,0,0,0,0,0,5,22,6,29,34,67,101,120,92,147,91,54,13,9,11,100,906,70,41,57,58,201,198,536,417,922,918,934,607,658,432,1068,7103
LGA54060,0,0,0,0,0,0,0,3,0,3,9,10,9,24,9,14,17,7,3,0,0,0,10,107,10,5,10,8,36,45,112,61,158,92,97,51,61,50,175,984
LGA54130,0,0,0,0,0,0,3,3,0,0,0,3,0,4,4,6,6,0,0,3,0,0,9,25,3,4,0,3,8,4,20,21,51,31,28,25,28,17,33,272
LGA54170,3,0,0,0,0,0,16,25,100,49,98,131,227,360,427,494,1005,695,541,249,195,117,590,5284,352,187,250,211,742,767,2068,1915,5138,4652,5530,4486,5826,5799,5623,43539
LGA54200,0,0,0,0,0,0,18,25,34,20,44,77,103,173,166,199,479,269,190,106,74,36,263,2237,157,76,105,114,325,331,940,821,2240,1964,2087,1504,1693,1307,2032,15690
LGA54280,0,0,0,0,0,0,12,18,25,12,29,52,51,82,88,95,161,108,92,37,33,14,119,1001,57,25,54,55,109,120,260,206,621,756,1045,827,1147,863,966,7130
LGA54310,0,0,0,0,0,0,7,7,13,6,21,24,38,36,38,31,62,61,54,14,43,16,67,532,29,10,31,37,57,58,87,86,223,343,664,485,925,1124,599,4758
LGA54340,0,0,0,0,0,0,3,5,6,5,7,8,10,17,29,5,22,6,5,0,3,0,34,147,7,9,12,6,32,35,120,50,168,115,100,66,57,38,145,958
LGA54410,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,5,11,0,3,0,0,0,4,49,3,0,3,4,16,12,31,27,58,35,31,22,19,17,50,326
LGA54480,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,7,0,0,3,6,9,26,14,17,6,8,11,28,139
LGA54550,0,0,0,0,0,0,0,0,3,0,3,7,5,8,9,5,8,0,0,3,0,0,7,57,3,7,3,7,15,13,34,37,91,72,52,38,34,34,71,522
LGA54620,0,0,0,0,0,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0,0,0,0,23,0,3,3,5,9,3,12,15,36,28,30,12,14,10,34,220
LGA54690,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,14,0,0,4,0,7,5,15,3,11,14,8,5,11,9,23,114
LGA54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,13,3,0,3,0,9,0,11,13,35,21,28,14,12,11,35,208
