LGA_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
LGA17040,16,16,3,5,39,22,23,10,7,70,107,109,43,21,277,116,123,67,23,329,114,145,54,7,326,89,79,22,7,203,89,91,48,10,234,45,63,26,9,133,94,126,47,15,285,4,8,4,3,28,724,796,331,111,1970
LGA17080,18,9,10,0,36,27,16,9,9,55,90,72,33,23,220,58,107,47,17,227,70,104,46,19,237,58,65,11,14,148,43,56,19,3,128,17,22,8,3,45,63,98,47,14,222,9,7,3,0,20,474,563,241,99,1378
LGA17100,74,53,9,7,139,88,87,27,13,214,271,252,83,23,634,296,253,62,33,644,297,274,69,25,669,208,168,45,9,438,233,259,86,22,607,294,448,179,60,974,208,261,101,37,598,10,13,10,7,42,2074,2137,708,247,5162
LGA17150,114,69,22,8,208,206,148,76,19,455,902,731,275,61,1976,1171,1235,460,122,2995,1511,1805,642,139,4094,1336,1927,703,134,4098,1832,2819,1039,193,5884,1787,3492,1468,351,7095,1111,1517,704,192,3526,90,101,43,20,256,10263,13964,5489,1245,30961
LGA17200,117,41,8,4,168,132,82,13,3,222,450,196,44,11,701,472,265,45,8,788,613,339,41,13,996,473,280,47,6,811,854,567,74,10,1506,1532,1051,198,22,2803,514,374,86,11,985,37,13,7,0,63,5376,3317,584,88,9365
LGA17310,35,45,13,9,109,105,70,38,15,219,384,359,157,56,949,370,354,180,68,972,340,428,177,62,1000,224,287,121,26,650,201,278,127,38,641,112,155,77,25,376,299,299,161,72,833,30,27,14,6,71,2146,2341,1080,392,5961
LGA17350,7,8,0,0,16,17,7,5,3,30,49,36,27,15,123,39,38,28,10,112,26,37,19,14,95,16,18,6,6,51,25,13,13,8,58,5,11,11,4,27,19,28,17,12,80,0,0,5,3,10,208,208,133,73,618
LGA17400,9,8,5,3,33,14,8,7,3,35,38,42,20,7,105,27,38,14,10,84,20,17,8,3,55,4,11,4,0,20,7,9,3,0,13,3,3,8,0,16,27,34,13,6,83,3,0,0,0,11,172,174,91,43,483
LGA17420,115,90,36,12,252,164,187,54,23,437,645,707,276,75,1703,822,1025,388,116,2349,1091,1562,538,122,3315,988,1374,457,135,2946,1531,2455,872,197,5052,1775,3416,1242,344,6782,878,1310,549,176,2916,61,84,33,6,189,8271,12393,4501,1234,26403
LGA17550,117,65,25,14,222,172,141,52,26,387,603,595,245,75,1519,559,638,246,84,1533,468,587,198,76,1335,290,411,165,39,906,273,394,145,28,842,172,249,103,24,550,364,459,215,88,1130,34,27,13,3,84,3179,3654,1440,472,8751
LGA17620,8,9,3,3,25,14,18,8,3,54,86,70,37,6,195,80,88,41,17,224,74,93,64,10,240,49,74,37,13,174,50,94,35,10,193,44,62,28,10,136,65,69,48,22,196,8,9,5,0,19,497,593,314,88,1492
LGA17640,14,3,3,0,17,9,16,4,7,35,39,36,18,10,110,49,66,26,8,144,31,39,29,12,105,25,31,14,4,79,25,43,15,6,91,20,18,8,0,44,41,37,31,14,125,4,3,0,0,5,275,302,151,64,791
LGA17650,8,5,3,0,22,12,13,5,3,37,50,39,17,14,120,37,43,26,7,119,21,40,14,4,86,18,21,5,0,49,12,27,7,0,46,7,10,7,0,23,24,33,19,9,88,4,3,3,0,12,214,250,129,40,631
LGA17750,49,25,26,5,106,66,80,30,23,198,333,286,152,67,840,381,423,206,79,1092,380,458,204,78,1124,295,351,178,33,860,273,353,188,53,869,155,225,123,39,544,258,294,178,78,799,29,23,9,3,65,2281,2569,1315,480,6648
LGA17850,5,4,0,0,7,5,11,3,0,21,21,18,16,3,59,18,18,15,0,53,16,16,10,0,35,6,11,5,0,21,6,7,5,0,16,9,10,0,0,19,21,20,14,5,57,0,0,0,0,7,117,119,70,11,312
LGA17900,15,4,6,5,29,13,7,9,0,27,28,30,14,8,83,19,27,3,4,49,16,17,13,6,47,9,14,4,0,30,11,4,0,0,17,3,8,3,3,16,17,25,15,18,79,3,4,0,0,10,152,147,77,54,420
LGA17950,3,3,0,0,9,3,3,3,0,12,16,11,6,6,31,12,18,6,3,43,13,10,6,9,37,13,8,11,0,30,5,9,3,0,17,8,0,4,0,12,15,22,4,13,56,0,0,0,0,0,85,89,51,29,250
LGA18020,10,13,8,7,33,23,24,14,3,67,61,48,36,13,155,27,53,19,8,105,29,43,20,11,103,19,20,15,3,51,15,17,8,0,36,6,12,7,0,28,36,60,31,20,146,4,8,3,0,14,250,299,163,62,774
LGA18050,30,15,3,0,51,52,23,11,3,92,178,117,31,3,334,188,152,33,15,388,253,227,56,6,543,231,200,60,15,500,449,484,172,22,1129,871,1250,465,91,2674,299,383,167,42,885,21,28,13,3,67,2628,2904,1013,206,6754
LGA18100,6,0,0,0,11,14,10,6,3,25,27,21,20,4,64,8,25,8,3,43,16,6,10,6,37,9,6,7,0,26,3,10,6,3,25,7,11,5,0,26,14,18,7,3,46,0,0,0,0,4,108,113,66,30,320
LGA18200,13,7,3,0,20,17,14,3,4,47,46,47,24,11,124,37,31,14,3,89,28,32,27,8,90,15,25,13,3,54,12,26,16,3,56,17,16,10,0,40,25,46,28,6,110,6,6,3,0,11,231,267,134,42,676
LGA18230,47,36,15,7,107,79,60,29,18,186,305,240,130,65,739,300,326,135,66,826,296,267,139,42,744,222,232,117,37,609,198,252,111,37,597,111,134,78,22,344,246,273,155,86,761,18,14,9,3,47,1879,1868,937,394,5075
LGA18250,78,48,13,3,143,97,66,6,0,169,329,231,44,9,619,343,292,61,13,706,484,396,82,22,985,322,362,74,8,763,631,716,185,34,1564,1063,1912,690,86,3752,458,535,205,44,1244,31,26,14,0,74,3969,4697,1403,224,10290
LGA18350,33,26,13,4,70,65,47,18,10,136,255,233,103,33,627,272,291,149,37,744,283,345,124,40,799,174,241,93,43,548,198,251,112,40,602,157,227,136,32,550,241,293,149,60,746,26,25,6,4,55,1755,2021,914,301,4984
LGA18400,32,22,9,8,75,55,38,21,14,132,258,228,110,57,659,308,367,186,83,952,363,491,238,77,1169,285,392,182,57,917,350,505,228,47,1137,231,411,206,64,919,250,303,187,82,821,29,34,16,6,87,2199,2821,1427,518,6960
LGA18450,212,153,48,34,450,332,245,100,58,735,1186,1004,373,142,2699,1190,1392,521,192,3301,1323,1637,559,152,3667,1005,1370,515,127,3019,1048,1664,561,139,3414,756,1420,582,147,2907,872,1155,482,168,2675,45,77,30,15,177,8246,10353,3874,1223,23697
LGA18500,7,3,3,0,23,23,14,5,0,48,93,64,12,4,176,122,73,25,11,226,167,136,23,8,331,147,131,43,7,336,341,379,135,34,885,931,1118,473,83,2597,270,336,174,35,818,21,29,14,0,57,2142,2324,916,189,5567
LGA18710,13,4,0,0,24,21,17,4,0,38,71,65,37,15,181,74,96,46,16,236,96,96,61,16,277,80,129,45,6,254,99,157,61,17,334,116,215,87,20,438,78,95,64,27,260,5,6,4,0,17,659,888,427,116,2086
LGA19399,0,0,0,0,3,0,3,0,0,3,3,6,8,0,21,3,4,0,0,11,8,4,4,0,14,0,4,0,0,5,4,0,0,0,5,7,4,0,0,8,3,12,0,0,18,0,0,0,0,0,33,41,20,3,102
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,11,9,7,3,39,22,19,14,3,58,72,101,32,13,216,55,81,38,10,182,64,58,28,3,158,43,41,18,9,114,35,43,21,3,104,14,18,9,0,49,60,80,36,10,182,3,5,0,0,5,401,463,221,60,1142
LGA20260,20,10,4,4,37,19,23,7,9,59,74,79,24,15,191,60,73,15,12,162,49,53,20,10,131,28,27,10,3,70,22,34,20,3,79,6,19,11,3,37,69,60,31,15,176,3,0,3,0,8,374,390,156,77,993
LGA20570,107,89,28,23,237,210,148,59,23,441,607,681,269,101,1652,628,761,315,111,1814,564,770,277,92,1707,365,523,195,52,1128,341,516,220,41,1117,228,360,184,60,827,375,449,226,106,1163,38,46,17,10,111,3581,4433,1814,637,10460
LGA20660,109,80,25,18,235,154,134,33,16,341,665,584,171,61,1476,749,815,276,54,1894,923,1121,307,60,2409,699,944,298,70,2012,848,1282,358,60,2551,747,1421,520,91,2786,595,714,313,95,1711,56,80,22,12,169,5714,7290,2349,573,15931
LGA20740,39,20,12,5,78,62,72,27,9,170,234,206,124,33,605,194,233,102,21,551,132,151,64,19,360,74,91,37,5,213,64,75,43,7,191,43,54,20,6,120,127,159,84,21,390,15,7,6,3,31,1032,1119,532,138,2825
LGA20830,35,33,22,13,100,101,70,31,23,225,310,332,169,76,891,334,362,192,64,948,250,335,174,51,815,178,233,128,36,575,143,218,107,27,488,116,165,73,23,376,210,258,136,61,656,26,30,15,4,73,1759,2076,1058,387,5285
LGA20910,48,36,9,3,93,54,42,16,6,124,266,239,48,23,569,328,354,89,19,793,440,526,159,24,1157,417,550,165,31,1168,708,1153,434,59,2355,1254,2599,1038,154,5045,506,896,354,92,1854,50,73,18,5,140,4161,6549,2337,419,13462
LGA21010,26,13,4,0,47,26,23,10,8,69,96,84,35,16,227,87,75,35,13,209,53,65,24,9,148,48,49,14,6,121,36,33,17,4,84,28,21,5,0,59,50,57,35,13,158,4,0,0,0,10,463,447,187,71,1166
LGA21110,104,80,21,10,215,149,145,41,3,336,573,434,148,31,1186,625,571,191,23,1416,751,778,220,41,1786,631,784,236,35,1687,972,1614,557,90,3230,2007,4260,1771,346,8386,952,1335,621,153,3063,62,106,43,9,221,7111,10335,3899,765,22119
LGA21180,434,318,148,72,969,665,580,215,83,1542,1889,1723,619,237,4468,1507,1616,566,196,3883,1344,1456,471,135,3406,806,1099,319,95,2313,720,1011,346,96,2175,329,609,280,77,1297,899,1035,517,284,2740,166,123,55,26,371,9504,10217,3786,1454,24956
LGA21270,5,8,5,6,27,13,13,3,6,38,37,35,28,11,115,31,31,21,10,85,26,32,18,7,72,25,13,9,3,47,9,5,0,0,18,4,5,4,3,16,24,29,26,10,90,3,4,0,0,5,196,187,120,57,561
LGA21370,42,33,14,11,96,78,62,28,12,180,253,238,134,61,699,217,280,106,49,659,207,220,98,47,570,86,151,78,18,336,87,131,64,13,301,58,67,36,3,166,158,216,134,60,565,24,14,5,11,54,1266,1465,719,294,3742
LGA21450,97,83,34,20,226,189,172,76,35,470,775,812,330,144,2061,734,1006,444,163,2339,719,958,345,124,2147,498,664,264,72,1497,390,596,242,62,1290,215,391,173,70,845,397,548,276,143,1368,40,57,32,16,136,4183,5394,2251,854,12683
LGA21610,453,431,183,126,1191,765,775,325,167,2039,2716,3029,1138,533,7418,2642,3446,1191,475,7751,2580,3425,1106,378,7496,1586,2283,706,222,4797,1377,1961,681,210,4227,684,1243,523,180,2631,1365,1821,828,483,4497,147,183,74,54,446,14938,19188,7053,3085,44260
LGA21670,24,8,7,5,47,37,25,10,7,82,107,88,49,21,265,67,72,26,12,173,57,52,28,10,141,35,25,3,5,71,11,13,11,3,46,9,5,7,3,24,54,49,34,11,148,7,8,3,0,16,431,372,179,82,1063
LGA21750,26,19,4,4,59,34,39,16,11,92,141,157,76,33,403,134,158,81,29,402,114,125,70,24,333,68,73,32,15,194,56,53,24,7,140,14,29,16,9,67,81,86,56,31,249,10,8,6,3,25,721,761,386,177,2042
LGA21830,26,12,8,3,45,25,35,10,13,88,106,106,72,29,315,92,100,51,20,263,79,79,50,20,223,46,50,32,18,154,42,40,25,5,115,28,32,24,6,92,53,94,45,38,228,13,9,0,0,23,552,584,332,163,1635
LGA21890,193,133,44,23,400,318,238,71,24,651,1017,777,239,73,2106,903,849,242,76,2062,836,981,281,55,2154,647,804,212,32,1698,741,1081,258,63,2144,635,1221,431,65,2342,576,651,250,100,1576,68,78,27,3,172,6238,7011,2126,586,15959
LGA22110,64,46,23,10,141,101,80,30,15,237,322,312,147,54,841,249,283,124,47,704,189,234,83,8,525,102,139,50,14,302,90,97,36,8,232,39,51,31,15,141,206,225,94,53,571,15,16,3,3,47,1437,1552,653,230,3866
LGA22170,133,107,34,21,294,245,199,88,24,564,971,901,309,91,2275,1010,1139,410,118,2670,964,1202,399,117,2680,695,884,294,64,1930,606,832,270,65,1775,336,529,214,50,1123,596,733,280,125,1735,81,75,22,7,190,5822,6718,2370,697,15607
LGA22250,14,15,6,0,35,28,31,7,3,69,67,64,38,22,203,65,57,39,18,172,46,47,32,12,134,30,28,17,3,78,12,23,13,9,55,8,12,14,3,35,45,58,34,21,153,4,0,3,3,13,353,342,217,91,1004
LGA22310,124,100,24,11,259,191,130,40,25,387,692,543,124,68,1424,770,754,204,60,1782,867,882,259,76,2084,655,901,259,55,1863,955,1563,474,64,3063,1193,2390,905,147,4633,661,913,349,128,2049,56,88,36,13,191,6361,8401,2725,660,18154
LGA22410,27,17,5,0,50,36,31,19,15,100,124,121,59,18,312,111,126,47,16,304,90,131,45,14,276,87,76,38,6,211,48,69,25,7,147,30,35,18,6,86,94,130,51,19,294,13,8,4,0,19,681,764,316,102,1860
LGA22490,27,23,9,4,68,42,32,12,3,93,145,218,96,20,483,159,251,112,39,560,136,235,94,30,497,95,174,72,15,356,80,130,57,18,285,44,95,35,8,183,87,156,88,43,376,24,18,6,3,42,864,1352,608,194,3015
LGA22620,125,73,45,17,260,240,159,88,37,523,765,711,352,131,1958,762,826,365,123,2073,633,787,340,90,1854,438,578,225,64,1312,388,513,231,54,1182,208,295,138,51,698,403,478,262,124,1269,42,32,25,10,102,4124,4558,2123,717,11516
LGA22670,482,327,130,67,1010,603,490,211,86,1384,1711,1447,500,189,3853,1249,1213,396,155,3010,1028,993,285,113,2422,567,685,185,74,1511,421,549,175,64,1207,193,310,108,47,663,648,707,301,193,1843,83,76,31,20,220,7687,7369,2597,1204,18850
LGA22750,255,203,70,30,558,397,315,119,54,879,1484,1296,565,173,3515,1497,1840,710,202,4246,1507,1872,695,167,4233,977,1350,504,109,2939,953,1418,486,114,2969,609,1060,488,113,2272,1062,1177,513,205,2957,113,103,49,17,278,9179,10847,4307,1230,25562
LGA22830,71,68,34,29,199,136,102,57,29,331,402,432,187,105,1130,410,481,197,85,1166,363,456,188,51,1067,224,307,126,35,692,193,255,107,28,590,134,159,70,22,388,263,304,162,107,836,34,44,21,4,101,2370,2720,1217,553,6855
LGA22910,24,12,3,3,42,39,38,18,0,96,120,106,52,16,304,97,92,39,13,245,67,83,28,6,185,36,54,25,9,118,35,33,11,6,83,24,26,6,3,57,72,64,35,17,180,3,3,7,0,16,545,547,232,67,1391
LGA22980,13,11,4,0,27,19,9,10,7,37,36,46,18,8,101,33,39,22,9,101,23,31,8,6,80,11,18,11,0,40,14,17,4,0,29,7,5,3,0,14,24,24,16,7,66,3,0,0,0,6,200,202,93,35,525
LGA23110,100,65,40,18,222,175,121,57,19,369,572,451,143,74,1239,593,597,183,66,1443,603,648,202,42,1487,440,572,144,29,1192,638,862,221,38,1758,545,910,303,62,1816,388,514,215,87,1207,51,46,15,6,128,4278,4931,1583,482,11271
LGA23190,22,20,3,7,50,36,38,19,4,97,127,163,74,16,383,141,158,73,23,394,112,130,66,16,318,56,73,42,5,180,58,63,26,8,154,22,52,23,3,99,100,107,66,26,292,0,12,7,0,22,688,839,396,116,2035
LGA23270,372,406,232,153,1163,559,622,311,230,1723,1675,1811,893,457,4831,1469,1806,733,348,4358,1436,1742,646,225,4040,836,1138,384,142,2499,760,1135,459,171,2516,353,721,328,109,1516,802,1088,602,378,2872,132,124,79,43,377,9000,11265,5112,2591,27969
LGA23350,16,17,7,0,41,29,18,7,0,58,99,111,49,13,271,98,116,48,19,285,105,105,46,12,268,70,97,40,11,214,87,73,30,4,200,26,48,18,4,96,71,87,45,20,230,10,10,4,3,27,634,695,299,100,1732
LGA23430,164,102,34,5,308,286,196,47,22,550,966,855,249,59,2126,987,1097,360,74,2507,1139,1450,400,73,3064,845,1318,346,63,2564,1031,1576,416,68,3090,777,1349,463,105,2697,745,919,357,98,2122,81,82,29,3,197,7275,9118,2747,586,19725
LGA23670,188,151,49,13,403,264,275,90,30,659,1199,1091,343,105,2734,1233,1444,446,125,3253,1349,1659,483,142,3631,942,1279,425,76,2720,979,1397,420,101,2894,612,1090,400,104,2209,763,1041,405,146,2352,83,91,27,8,205,7876,9742,3141,851,21616
LGA23810,108,65,35,8,213,141,110,40,34,330,436,425,167,68,1097,434,458,187,57,1141,382,470,172,52,1082,260,352,114,37,764,292,307,123,36,755,194,280,99,24,601,333,377,152,61,930,34,29,22,10,91,2712,2968,1132,416,7223
LGA23940,19,8,3,0,35,17,12,13,3,49,41,51,22,16,130,41,37,27,13,118,31,23,6,4,69,15,10,3,4,36,9,9,10,0,24,6,3,6,0,21,29,31,31,13,96,7,6,0,3,9,230,217,124,65,633
LGA24130,36,36,19,3,92,51,57,15,3,123,236,223,120,33,617,290,384,162,32,873,293,436,160,51,940,210,373,125,33,752,291,427,162,40,920,205,363,182,53,791,230,358,158,55,804,16,24,10,3,58,1912,2726,1139,313,6084
LGA24210,175,127,34,8,336,254,210,53,12,525,739,678,212,33,1659,770,822,255,50,1900,769,923,298,54,2045,574,818,252,42,1684,826,1178,389,51,2439,872,1552,577,114,3118,730,895,378,82,2088,63,75,37,5,176,6072,7507,2545,463,16586
LGA24250,8,5,4,0,13,18,19,7,0,44,37,66,23,10,137,46,61,31,7,145,32,44,26,10,110,26,34,16,3,81,23,19,12,3,58,7,25,7,3,35,52,50,16,16,135,4,3,0,3,12,250,331,143,47,776
LGA24330,132,86,27,14,263,175,135,39,15,364,533,368,116,41,1058,449,437,110,23,1025,493,516,107,27,1140,409,441,117,24,991,500,669,137,17,1326,428,665,157,24,1272,307,293,108,35,736,35,24,4,3,66,3665,3767,976,252,8661
LGA24410,105,93,40,25,270,170,151,50,31,403,715,644,225,78,1660,810,880,313,83,2084,870,1039,372,82,2369,646,922,336,64,1968,688,993,326,68,2083,430,815,329,80,1654,444,679,257,79,1466,41,41,19,4,104,5112,6376,2324,613,14422
LGA24600,57,29,5,13,110,90,56,9,12,168,326,128,34,20,505,405,159,24,14,603,442,216,35,10,705,301,114,26,6,449,511,268,46,4,832,665,475,134,22,1289,312,218,62,35,624,18,16,3,3,44,3287,1738,412,164,5607
LGA24650,157,163,72,49,437,281,331,137,61,814,1074,1299,516,213,3107,1037,1564,539,204,3345,1100,1523,526,155,3301,705,1049,352,114,2221,651,1069,317,84,2114,273,581,252,72,1177,549,765,357,209,1873,84,95,48,23,249,6162,8721,3231,1262,19366
LGA24780,63,52,29,10,156,98,101,64,27,294,356,362,177,82,974,344,365,178,69,955,287,330,141,47,805,191,200,102,22,517,144,184,75,15,419,79,107,56,19,254,234,277,159,72,741,32,28,12,3,83,1920,2085,1023,402,5432
LGA24850,38,23,15,3,72,74,72,31,19,201,261,312,133,47,751,312,379,159,57,908,292,365,135,55,844,193,255,107,24,581,168,193,87,27,471,95,121,60,19,295,186,241,115,65,607,25,29,11,9,81,1704,2021,884,332,4947
LGA24900,29,24,16,4,75,42,42,22,13,118,192,182,102,49,517,170,201,113,36,525,152,144,86,41,420,82,99,41,18,238,72,66,33,17,189,32,41,29,13,114,131,141,74,62,408,25,10,5,3,43,974,989,533,254,2747
LGA24970,271,179,43,8,505,397,306,76,25,803,1256,1102,252,54,2664,1226,1308,345,61,2942,1349,1583,358,75,3361,989,1245,303,40,2582,1196,1744,403,68,3410,1055,1836,531,117,3537,991,1160,402,96,2650,71,74,17,3,165,9235,10927,2811,579,23549
LGA25060,123,75,28,15,247,191,126,46,17,375,563,507,142,38,1251,609,620,187,47,1469,740,809,243,51,1845,567,786,227,39,1619,780,1157,364,67,2374,823,1582,618,106,3126,513,666,309,98,1587,47,73,23,4,145,5124,6537,2246,512,14421
LGA25150,43,22,11,3,75,57,51,26,9,136,191,235,94,33,551,191,263,142,52,643,223,293,103,44,667,146,216,77,24,476,153,231,86,27,499,87,153,73,17,334,143,189,100,34,467,15,15,6,0,34,1288,1703,737,245,3968
LGA25250,216,151,67,37,476,329,227,98,55,718,1028,838,282,136,2282,987,941,300,96,2334,989,1102,306,63,2463,718,915,217,50,1903,922,1197,314,73,2497,682,1130,327,76,2219,632,720,298,171,1824,63,57,30,24,172,6906,7550,2369,863,17679
LGA25340,120,105,30,12,266,217,181,71,20,484,850,861,322,86,2126,981,1179,442,118,2719,895,1258,435,94,2681,622,899,358,62,1939,657,1026,381,87,2151,497,961,379,114,1949,708,950,399,154,2218,68,94,26,11,193,5758,7629,2904,770,17072
LGA25430,16,19,3,4,49,18,40,15,5,78,132,122,39,21,309,99,131,56,12,297,95,108,36,20,257,65,68,20,3,161,59,59,21,5,140,30,19,21,6,70,95,85,43,18,240,5,10,3,0,16,640,681,263,85,1672
LGA25490,19,8,8,3,36,41,26,15,9,86,108,137,79,35,362,114,129,82,31,359,81,103,50,28,259,53,70,41,17,178,43,64,35,17,149,31,41,18,9,102,73,87,54,31,250,6,10,5,0,21,590,688,395,186,1857
LGA25620,17,17,5,3,37,27,21,10,3,59,90,101,35,9,240,87,100,39,15,247,79,86,30,10,215,53,50,26,6,137,32,41,21,4,87,16,19,7,3,52,67,82,23,19,194,5,11,3,0,23,494,559,205,80,1341
LGA25710,36,19,15,3,71,68,66,14,9,154,306,262,96,25,692,362,486,177,42,1067,391,643,249,42,1325,364,610,238,43,1261,469,876,335,64,1746,481,952,377,87,1894,373,563,254,61,1244,21,40,15,5,84,2910,4579,1785,384,9655
LGA25810,12,8,4,3,24,33,28,8,3,74,105,71,40,8,226,59,87,30,7,189,52,59,23,9,137,32,25,17,3,72,29,32,16,0,76,7,14,5,5,31,48,56,24,10,138,4,4,5,0,14,417,402,173,51,1040
LGA25900,50,25,10,3,89,66,42,3,9,125,278,151,47,15,498,278,199,44,19,531,397,243,61,16,712,345,220,54,15,632,546,459,114,19,1146,991,1185,304,53,2536,367,348,116,27,855,32,27,11,6,71,3458,2954,773,184,7379
LGA25990,8,7,4,0,15,17,18,0,3,40,54,56,29,23,159,45,44,21,15,121,22,22,8,9,64,16,20,11,3,44,16,21,10,3,43,3,10,3,0,19,33,42,12,15,100,3,0,0,0,8,239,247,100,73,653
LGA26080,3,0,0,0,3,3,3,0,0,4,12,10,3,0,27,12,13,0,0,21,11,13,6,3,28,7,13,4,0,32,8,23,4,0,35,7,14,6,0,23,18,18,3,4,48,0,0,0,0,0,77,94,33,9,219
LGA26170,40,24,16,11,88,48,66,31,21,163,201,200,117,35,554,167,193,93,49,507,132,163,99,30,416,78,121,45,19,262,61,100,36,13,211,48,53,22,10,138,109,150,80,19,362,13,14,7,3,42,958,1124,570,217,2878
LGA26260,21,16,10,3,49,33,31,19,4,90,114,109,62,16,299,96,114,67,19,300,95,103,39,13,249,44,66,19,14,141,42,47,30,4,118,26,16,21,6,77,84,94,43,20,244,5,4,0,0,15,595,619,319,105,1633
LGA26350,47,24,7,0,76,73,46,20,3,141,286,138,29,12,463,308,242,44,12,606,354,293,70,12,718,278,277,65,10,629,541,605,229,25,1404,1056,1748,729,123,3660,444,522,250,70,1289,29,43,14,6,97,3519,3997,1475,287,9276
LGA26430,6,10,0,0,20,15,19,10,0,42,67,54,26,11,164,60,77,17,12,163,36,46,23,3,114,32,35,13,3,79,23,28,14,0,61,18,19,7,5,47,57,46,25,14,143,3,5,0,0,14,341,349,139,53,873
LGA26490,17,20,6,3,43,36,28,14,0,76,137,181,64,27,409,162,243,103,32,545,167,265,129,22,586,133,233,89,19,473,143,237,112,24,513,101,216,100,13,430,164,221,105,30,524,7,14,8,3,32,1098,1688,728,170,3685
LGA26610,38,24,11,8,75,33,34,23,9,99,153,132,86,24,398,119,130,64,26,341,123,105,61,16,300,69,68,35,14,180,42,60,34,9,149,28,36,23,9,90,85,82,75,30,270,13,12,4,3,27,734,706,429,161,2031
LGA26670,6,3,3,0,15,11,14,10,0,32,40,42,23,9,113,36,36,18,6,104,20,20,19,5,63,15,25,11,0,56,14,21,10,0,41,9,6,0,0,16,27,26,17,3,82,3,3,0,0,8,193,210,120,31,547
LGA26700,31,21,9,6,70,43,47,23,10,126,216,203,95,30,545,158,213,106,17,503,165,203,94,16,476,110,131,48,14,306,72,103,57,8,236,48,50,33,14,138,122,152,70,41,377,12,11,9,10,37,1017,1160,550,163,2893
LGA26730,29,26,14,5,75,54,48,23,7,136,186,226,96,46,545,226,265,104,39,638,190,261,105,23,582,135,170,80,13,388,111,146,73,12,347,61,95,46,22,218,120,158,78,33,394,11,4,6,3,31,1163,1416,637,211,3425
LGA26810,59,32,18,11,107,85,57,32,17,196,263,239,133,50,692,245,269,153,36,708,195,261,104,25,586,136,179,80,18,414,128,182,71,12,390,98,140,68,16,324,231,252,141,59,683,26,13,6,0,51,1524,1672,831,267,4293
LGA26890,10,3,0,0,16,9,11,7,7,35,30,37,9,9,83,16,20,17,0,54,24,13,12,3,47,9,10,6,0,28,13,13,10,0,31,5,5,4,0,7,27,26,11,3,65,3,0,3,0,9,149,136,79,21,390
LGA26980,210,133,31,10,385,321,254,54,11,637,1090,790,179,45,2100,1005,988,296,54,2339,1054,1381,347,73,2857,826,1212,359,65,2463,1080,1645,431,100,3261,969,1957,703,133,3768,771,1018,348,112,2253,57,74,35,6,168,7799,9708,2841,614,20963
LGA27070,401,315,125,80,920,560,580,193,76,1405,1945,1854,686,215,4693,1843,2241,682,202,4970,1720,2147,705,173,4741,1060,1417,440,114,3025,874,1263,466,101,2704,363,737,316,74,1490,883,1186,515,225,2816,121,152,50,32,350,10291,12394,4405,1422,28515
LGA27170,25,20,11,5,67,70,51,20,17,157,248,267,104,46,663,243,314,150,54,768,262,300,138,34,733,177,249,81,21,527,140,207,77,13,444,74,91,45,10,226,161,187,102,38,494,14,20,3,0,37,1459,1751,742,244,4188
LGA27260,396,298,135,84,908,645,633,215,112,1601,2091,2050,718,336,5196,2110,2238,752,325,5428,2133,2359,617,252,5372,1372,1495,417,140,3426,1350,1675,463,130,3613,728,1065,333,97,2230,999,1166,475,287,2930,116,123,39,32,315,12528,13624,4373,1973,32496
