LGA_NAME16	Year	Sex	IndigenousStatus	persons
Balranald (A)	2011	F	Torres Strait Islander	3
Balranald (A)	2011	M	Aboriginal	64
Balranald (A)	2011	M	Both Aboriginal & Torres Strait Islander	3
Balranald (A)	2011	M	Non-indigenous	1104
Balranald (A)	2011	M	Torres Strait Islander	4
Balranald (A)	2016	F	Aboriginal	96
Balranald (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Balranald (A)	2016	F	Non-indigenous	1016
Balranald (A)	2016	F	Torres Strait Islander	0
Balranald (A)	2016	M	Aboriginal	98
Balranald (A)	2016	M	Both Aboriginal & Torres Strait Islander	3
Balranald (A)	2016	M	Non-indigenous	1076
Balranald (A)	2016	M	Torres Strait Islander	0
Bathurst Regional (A)	2006	F	Aboriginal	484
Bathurst Regional (A)	2006	F	Both Aboriginal & Torres Strait Islander	13
Bathurst Regional (A)	2006	F	Non-indigenous	17346
Bathurst Regional (A)	2006	F	Torres Strait Islander	8
Bathurst Regional (A)	2006	M	Aboriginal	705
Bathurst Regional (A)	2006	M	Both Aboriginal & Torres Strait Islander	10
Bathurst Regional (A)	2006	M	Non-indigenous	17267
Bathurst Regional (A)	2006	M	Torres Strait Islander	11
Bathurst Regional (A)	2011	F	Aboriginal	738
Bathurst Regional (A)	2011	F	Both Aboriginal & Torres Strait Islander	17
Bathurst Regional (A)	2011	F	Non-indigenous	18418
Bathurst Regional (A)	2011	F	Torres Strait Islander	20
Bathurst Regional (A)	2011	M	Aboriginal	827
Bathurst Regional (A)	2011	M	Both Aboriginal & Torres Strait Islander	14
Bathurst Regional (A)	2011	M	Non-indigenous	18470
Bathurst Regional (A)	2011	M	Torres Strait Islander	17
Bathurst Regional (A)	2016	F	Aboriginal	1011
Bathurst Regional (A)	2016	F	Both Aboriginal & Torres Strait Islander	26
Bathurst Regional (A)	2016	F	Non-indigenous	19540
Bathurst Regional (A)	2016	F	Torres Strait Islander	28
Bathurst Regional (A)	2016	M	Aboriginal	1131
Bathurst Regional (A)	2016	M	Both Aboriginal & Torres Strait Islander	27
Bathurst Regional (A)	2016	M	Non-indigenous	19514
Bathurst Regional (A)	2016	M	Torres Strait Islander	23
Bega Valley (A)	2006	F	Aboriginal	397
Bega Valley (A)	2006	F	Both Aboriginal & Torres Strait Islander	5
Bega Valley (A)	2006	F	Non-indigenous	15354
Bega Valley (A)	2006	F	Torres Strait Islander	9
Bega Valley (A)	2006	M	Aboriginal	380
Bega Valley (A)	2006	M	Both Aboriginal & Torres Strait Islander	6
Bega Valley (A)	2006	M	Non-indigenous	14898
Bega Valley (A)	2006	M	Torres Strait Islander	13
Bega Valley (A)	2011	F	Aboriginal	443
Bega Valley (A)	2011	F	Both Aboriginal & Torres Strait Islander	7
Bega Valley (A)	2011	F	Non-indigenous	15810
Bega Valley (A)	2011	F	Torres Strait Islander	6
Bega Valley (A)	2011	M	Aboriginal	426
Bega Valley (A)	2011	M	Both Aboriginal & Torres Strait Islander	5
Bega Valley (A)	2011	M	Non-indigenous	15243
Bega Valley (A)	2011	M	Torres Strait Islander	10
Bega Valley (A)	2016	F	Aboriginal	509
Bega Valley (A)	2016	F	Both Aboriginal & Torres Strait Islander	17
Bega Valley (A)	2016	F	Non-indigenous	16470
Bega Valley (A)	2016	F	Torres Strait Islander	5
Bega Valley (A)	2016	M	Aboriginal	488
Bega Valley (A)	2016	M	Both Aboriginal & Torres Strait Islander	8
Bega Valley (A)	2016	M	Non-indigenous	15747
Bega Valley (A)	2016	M	Torres Strait Islander	9
Bellingen (A)	2006	F	Aboriginal	148
Bellingen (A)	2006	F	Both Aboriginal & Torres Strait Islander	5
Bellingen (A)	2006	F	Non-indigenous	6210
Bellingen (A)	2006	F	Torres Strait Islander	5
Bellingen (A)	2006	M	Aboriginal	151
Bellingen (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Bellingen (A)	2006	M	Non-indigenous	5892
Bellingen (A)	2006	M	Torres Strait Islander	9
Bellingen (A)	2011	F	Aboriginal	184
Bellingen (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Bellingen (A)	2011	F	Non-indigenous	6259
Bellingen (A)	2011	F	Torres Strait Islander	3
Bellingen (A)	2011	M	Aboriginal	180
Bellingen (A)	2011	M	Both Aboriginal & Torres Strait Islander	6
Bellingen (A)	2011	M	Non-indigenous	5883
Bellingen (A)	2011	M	Torres Strait Islander	7
Bellingen (A)	2016	F	Aboriginal	227
Bellingen (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Bellingen (A)	2016	F	Non-indigenous	6318
Bellingen (A)	2016	F	Torres Strait Islander	3
Bellingen (A)	2016	M	Aboriginal	201
Bellingen (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Bellingen (A)	2016	M	Non-indigenous	5915
Bellingen (A)	2016	M	Torres Strait Islander	7
Berrigan (A)	2006	F	Aboriginal	47
Berrigan (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Berrigan (A)	2006	F	Non-indigenous	3941
Berrigan (A)	2006	F	Torres Strait Islander	0
Berrigan (A)	2006	M	Aboriginal	50
Berrigan (A)	2006	M	Both Aboriginal & Torres Strait Islander	4
Berrigan (A)	2006	M	Non-indigenous	3949
Berrigan (A)	2006	M	Torres Strait Islander	3
Berrigan (A)	2011	F	Aboriginal	79
Berrigan (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Berrigan (A)	2011	F	Non-indigenous	3979
Berrigan (A)	2011	F	Torres Strait Islander	4
Berrigan (A)	2011	M	Aboriginal	79
Berrigan (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Berrigan (A)	2011	M	Non-indigenous	3918
Berrigan (A)	2011	M	Torres Strait Islander	3
Berrigan (A)	2016	F	Aboriginal	94
Berrigan (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Berrigan (A)	2016	F	Non-indigenous	4133
Berrigan (A)	2016	F	Torres Strait Islander	9
Berrigan (A)	2016	M	Aboriginal	94
Berrigan (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Berrigan (A)	2016	M	Non-indigenous	4126
Berrigan (A)	2016	M	Torres Strait Islander	4
Blacktown (C)	2006	F	Aboriginal	3359
Blacktown (C)	2006	F	Both Aboriginal & Torres Strait Islander	59
Blacktown (C)	2006	F	Non-indigenous	133263
Blacktown (C)	2006	F	Torres Strait Islander	156
Blacktown (C)	2006	M	Aboriginal	3279
Blacktown (C)	2006	M	Both Aboriginal & Torres Strait Islander	62
Blacktown (C)	2006	M	Non-indigenous	131384
Blacktown (C)	2006	M	Torres Strait Islander	148
Blacktown (C)	2011	F	Aboriginal	3908
Blacktown (C)	2011	F	Both Aboriginal & Torres Strait Islander	64
Blacktown (C)	2011	F	Non-indigenous	147468
Blacktown (C)	2011	F	Torres Strait Islander	115
Blacktown (C)	2011	M	Aboriginal	3902
Blacktown (C)	2011	M	Both Aboriginal & Torres Strait Islander	70
Blacktown (C)	2011	M	Non-indigenous	145449
Blacktown (C)	2011	M	Torres Strait Islander	128
Blacktown (C)	2016	F	Aboriginal	4566
Blacktown (C)	2016	F	Both Aboriginal & Torres Strait Islander	91
Blacktown (C)	2016	F	Non-indigenous	164611
Blacktown (C)	2016	F	Torres Strait Islander	122
Blacktown (C)	2016	M	Aboriginal	4531
Blacktown (C)	2016	M	Both Aboriginal & Torres Strait Islander	92
Blacktown (C)	2016	M	Non-indigenous	162830
Blacktown (C)	2016	M	Torres Strait Islander	121
Bland (A)	2006	F	Aboriginal	70
Bland (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Bland (A)	2006	F	Non-indigenous	2985
Bland (A)	2006	F	Torres Strait Islander	0
Bland (A)	2006	M	Aboriginal	84
Bland (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Bland (A)	2006	M	Non-indigenous	2955
Bland (A)	2006	M	Torres Strait Islander	0
Bland (A)	2011	F	Aboriginal	106
Bland (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Bland (A)	2011	F	Non-indigenous	2836
Bland (A)	2011	F	Torres Strait Islander	6
Bland (A)	2011	M	Aboriginal	122
Bland (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Bland (A)	2011	M	Non-indigenous	2796
Bland (A)	2011	M	Torres Strait Islander	3
Bland (A)	2016	F	Aboriginal	131
Bland (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Bland (A)	2016	F	Non-indigenous	2854
Bland (A)	2016	F	Torres Strait Islander	0
Bland (A)	2016	M	Aboriginal	121
Bland (A)	2016	M	Both Aboriginal & Torres Strait Islander	3
Bland (A)	2016	M	Non-indigenous	2844
Bland (A)	2016	M	Torres Strait Islander	3
Blayney (A)	2006	F	Aboriginal	80
Blayney (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2006	F	Non-indigenous	3212
Blayney (A)	2006	F	Torres Strait Islander	3
Blayney (A)	2006	M	Aboriginal	72
Blayney (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2006	M	Non-indigenous	3225
Blayney (A)	2006	M	Torres Strait Islander	3
Blayney (A)	2011	F	Aboriginal	98
Blayney (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2011	F	Non-indigenous	3396
Blayney (A)	2011	F	Torres Strait Islander	3
Blayney (A)	2011	M	Aboriginal	100
Blayney (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2011	M	Non-indigenous	3388
Blayney (A)	2011	M	Torres Strait Islander	0
Blayney (A)	2016	F	Aboriginal	119
Blayney (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2016	F	Non-indigenous	3528
Blayney (A)	2016	F	Torres Strait Islander	0
Blayney (A)	2016	M	Aboriginal	140
Blayney (A)	2016	M	Both Aboriginal & Torres Strait Islander	5
Blayney (A)	2016	M	Non-indigenous	3465
Blayney (A)	2016	M	Torres Strait Islander	3
Blue Mountains (C)	2006	F	Aboriginal	430
Blue Mountains (C)	2006	F	Both Aboriginal & Torres Strait Islander	11
Blue Mountains (C)	2006	F	Non-indigenous	37684
Blue Mountains (C)	2006	F	Torres Strait Islander	12
Blue Mountains (C)	2006	M	Aboriginal	471
Blue Mountains (C)	2006	M	Both Aboriginal & Torres Strait Islander	9
Blue Mountains (C)	2006	M	Non-indigenous	35436
Blue Mountains (C)	2006	M	Torres Strait Islander	12
Blue Mountains (C)	2011	F	Aboriginal	632
Blue Mountains (C)	2011	F	Both Aboriginal & Torres Strait Islander	10
Blue Mountains (C)	2011	F	Non-indigenous	38581
Blue Mountains (C)	2011	F	Torres Strait Islander	9
Blue Mountains (C)	2011	M	Aboriginal	642
Blue Mountains (C)	2011	M	Both Aboriginal & Torres Strait Islander	3
Blue Mountains (C)	2011	M	Non-indigenous	36054
Blue Mountains (C)	2011	M	Torres Strait Islander	12
Blue Mountains (C)	2016	F	Aboriginal	895
Blue Mountains (C)	2016	F	Both Aboriginal & Torres Strait Islander	17
Blue Mountains (C)	2016	F	Non-indigenous	38855
Blue Mountains (C)	2016	F	Torres Strait Islander	15
Blue Mountains (C)	2016	M	Aboriginal	859
Blue Mountains (C)	2016	M	Both Aboriginal & Torres Strait Islander	16
Blue Mountains (C)	2016	M	Non-indigenous	36223
Blue Mountains (C)	2016	M	Torres Strait Islander	21
Bogan (A)	2006	F	Aboriginal	139
Bogan (A)	2006	F	Both Aboriginal & Torres Strait Islander	7
Bogan (A)	2006	F	Non-indigenous	1230
Bogan (A)	2006	F	Torres Strait Islander	7
Bogan (A)	2006	M	Aboriginal	169
Bogan (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Bogan (A)	2006	M	Non-indigenous	1320
Bogan (A)	2006	M	Torres Strait Islander	5
Bogan (A)	2011	F	Aboriginal	215
Bogan (A)	2011	F	Both Aboriginal & Torres Strait Islander	3
Bogan (A)	2011	F	Non-indigenous	1201
Bogan (A)	2011	F	Torres Strait Islander	3
Bogan (A)	2011	M	Aboriginal	194
Bogan (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Bogan (A)	2011	M	Non-indigenous	1281
Bogan (A)	2011	M	Torres Strait Islander	3
Bogan (A)	2016	F	Aboriginal	232
Bogan (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Bogan (A)	2016	F	Non-indigenous	1096
Bogan (A)	2016	F	Torres Strait Islander	3
Bogan (A)	2016	M	Aboriginal	205
Bogan (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Bogan (A)	2016	M	Non-indigenous	1150
Bogan (A)	2016	M	Torres Strait Islander	0
Botany Bay (C)	2006	F	Aboriginal	313
Botany Bay (C)	2006	F	Both Aboriginal & Torres Strait Islander	3
Botany Bay (C)	2006	F	Non-indigenous	17868
Botany Bay (C)	2006	F	Torres Strait Islander	5
Botany Bay (C)	2006	M	Aboriginal	296
Botany Bay (C)	2006	M	Both Aboriginal & Torres Strait Islander	4
Botany Bay (C)	2006	M	Non-indigenous	17489
Botany Bay (C)	2006	M	Torres Strait Islander	9
Botany Bay (C)	2011	F	Aboriginal	311
Botany Bay (C)	2011	F	Both Aboriginal & Torres Strait Islander	3
Botany Bay (C)	2011	F	Non-indigenous	19539
Botany Bay (C)	2011	F	Torres Strait Islander	10
Botany Bay (C)	2011	M	Aboriginal	284
Botany Bay (C)	2011	M	Both Aboriginal & Torres Strait Islander	5
Botany Bay (C)	2011	M	Non-indigenous	19199
Botany Bay (C)	2011	M	Torres Strait Islander	7
Botany Bay (C)	2016	F	Aboriginal	409
Botany Bay (C)	2016	F	Both Aboriginal & Torres Strait Islander	13
Botany Bay (C)	2016	F	Non-indigenous	22984
Botany Bay (C)	2016	F	Torres Strait Islander	14
Botany Bay (C)	2016	M	Aboriginal	358
Botany Bay (C)	2016	M	Both Aboriginal & Torres Strait Islander	14
Botany Bay (C)	2016	M	Non-indigenous	22846
Botany Bay (C)	2016	M	Torres Strait Islander	11
Bourke (A)	2006	F	Aboriginal	460
Bourke (A)	2006	F	Both Aboriginal & Torres Strait Islander	11
Bourke (A)	2006	F	Non-indigenous	1033
Bourke (A)	2006	F	Torres Strait Islander	0
Bourke (A)	2006	M	Aboriginal	410
Bourke (A)	2006	M	Both Aboriginal & Torres Strait Islander	18
Bourke (A)	2006	M	Non-indigenous	1157
Bourke (A)	2006	M	Torres Strait Islander	3
Bourke (A)	2011	F	Aboriginal	440
Bourke (A)	2011	F	Both Aboriginal & Torres Strait Islander	6
Bourke (A)	2011	F	Non-indigenous	961
Bourke (A)	2011	F	Torres Strait Islander	5
Bourke (A)	2011	M	Aboriginal	400
Bourke (A)	2011	M	Both Aboriginal & Torres Strait Islander	6
Bourke (A)	2011	M	Non-indigenous	1053
Bourke (A)	2011	M	Torres Strait Islander	0
Bourke (A)	2016	F	Aboriginal	443
Bourke (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Bourke (A)	2016	F	Non-indigenous	876
Bourke (A)	2016	F	Torres Strait Islander	7
Bourke (A)	2016	M	Aboriginal	377
Bourke (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Bourke (A)	2016	M	Non-indigenous	917
Bourke (A)	2016	M	Torres Strait Islander	7
Brewarrina (A)	2006	F	Aboriginal	592
Brewarrina (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Brewarrina (A)	2006	F	Non-indigenous	358
Brewarrina (A)	2006	F	Torres Strait Islander	0
Brewarrina (A)	2006	M	Aboriginal	565
Brewarrina (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Brewarrina (A)	2006	M	Non-indigenous	430
Brewarrina (A)	2006	M	Torres Strait Islander	0
Brewarrina (A)	2011	F	Aboriginal	535
Brewarrina (A)	2011	F	Both Aboriginal & Torres Strait Islander	4
Brewarrina (A)	2011	F	Non-indigenous	339
Brewarrina (A)	2011	F	Torres Strait Islander	4
Brewarrina (A)	2011	M	Aboriginal	503
Brewarrina (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Brewarrina (A)	2011	M	Non-indigenous	381
Brewarrina (A)	2011	M	Torres Strait Islander	0
Brewarrina (A)	2016	F	Aboriginal	492
Brewarrina (A)	2016	F	Both Aboriginal & Torres Strait Islander	14
Brewarrina (A)	2016	F	Non-indigenous	296
Brewarrina (A)	2016	F	Torres Strait Islander	0
Brewarrina (A)	2016	M	Aboriginal	498
Brewarrina (A)	2016	M	Both Aboriginal & Torres Strait Islander	5
Brewarrina (A)	2016	M	Non-indigenous	346
Brewarrina (A)	2016	M	Torres Strait Islander	0
Broken Hill (C)	2006	F	Aboriginal	599
Broken Hill (C)	2006	F	Both Aboriginal & Torres Strait Islander	5
Broken Hill (C)	2006	F	Non-indigenous	9345
Broken Hill (C)	2006	F	Torres Strait Islander	7
Broken Hill (C)	2006	M	Aboriginal	576
Broken Hill (C)	2006	M	Both Aboriginal & Torres Strait Islander	14
Broken Hill (C)	2006	M	Non-indigenous	8804
Broken Hill (C)	2006	M	Torres Strait Islander	8
Broken Hill (C)	2011	F	Aboriginal	716
Broken Hill (C)	2011	F	Both Aboriginal & Torres Strait Islander	10
Broken Hill (C)	2011	F	Non-indigenous	8762
Broken Hill (C)	2011	F	Torres Strait Islander	10
Broken Hill (C)	2011	M	Aboriginal	639
Broken Hill (C)	2011	M	Both Aboriginal & Torres Strait Islander	13
Broken Hill (C)	2011	M	Non-indigenous	8351
Broken Hill (C)	2011	M	Torres Strait Islander	13
Broken Hill (C)	2016	F	Aboriginal	745
Broken Hill (C)	2016	F	Both Aboriginal & Torres Strait Islander	8
Broken Hill (C)	2016	F	Non-indigenous	8328
Broken Hill (C)	2016	F	Torres Strait Islander	10
Broken Hill (C)	2016	M	Aboriginal	732
Broken Hill (C)	2016	M	Both Aboriginal & Torres Strait Islander	9
Broken Hill (C)	2016	M	Non-indigenous	7870
Broken Hill (C)	2016	M	Torres Strait Islander	4
Burwood (A)	2006	F	Aboriginal	53
Burwood (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2006	F	Non-indigenous	15717
Burwood (A)	2006	F	Torres Strait Islander	10
Burwood (A)	2006	M	Aboriginal	56
Burwood (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2006	M	Non-indigenous	15090
Burwood (A)	2006	M	Torres Strait Islander	3
Burwood (A)	2011	F	Aboriginal	59
Burwood (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2011	F	Non-indigenous	16453
Burwood (A)	2011	F	Torres Strait Islander	0
Burwood (A)	2011	M	Aboriginal	51
Burwood (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2011	M	Non-indigenous	15853
Burwood (A)	2011	M	Torres Strait Islander	5
Burwood (A)	2016	F	Aboriginal	74
Burwood (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2016	F	Non-indigenous	18954
Burwood (A)	2016	F	Torres Strait Islander	0
Burwood (A)	2016	M	Aboriginal	67
Burwood (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2016	M	Non-indigenous	17718
Burwood (A)	2016	M	Torres Strait Islander	0
Byron (A)	2006	F	Aboriginal	192
Byron (A)	2006	F	Both Aboriginal & Torres Strait Islander	18
Byron (A)	2006	F	Non-indigenous	14391
Byron (A)	2006	F	Torres Strait Islander	19
Byron (A)	2006	M	Aboriginal	183
Byron (A)	2006	M	Both Aboriginal & Torres Strait Islander	17
Byron (A)	2006	M	Non-indigenous	13928
Byron (A)	2006	M	Torres Strait Islander	25
Byron (A)	2011	F	Aboriginal	230
Byron (A)	2011	F	Both Aboriginal & Torres Strait Islander	21
Byron (A)	2011	F	Non-indigenous	14656
Byron (A)	2011	F	Torres Strait Islander	19
Byron (A)	2011	M	Aboriginal	208
Byron (A)	2011	M	Both Aboriginal & Torres Strait Islander	15
Byron (A)	2011	M	Non-indigenous	14038
Byron (A)	2011	M	Torres Strait Islander	25
Byron (A)	2016	F	Aboriginal	256
Byron (A)	2016	F	Both Aboriginal & Torres Strait Islander	25
Byron (A)	2016	F	Non-indigenous	16061
Byron (A)	2016	F	Torres Strait Islander	19
Byron (A)	2016	M	Aboriginal	231
Byron (A)	2016	M	Both Aboriginal & Torres Strait Islander	16
Byron (A)	2016	M	Non-indigenous	14928
Byron (A)	2016	M	Torres Strait Islander	22
Cabonne (A)	2006	F	Aboriginal	126
Cabonne (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Cabonne (A)	2006	F	Non-indigenous	6029
Cabonne (A)	2006	F	Torres Strait Islander	3
Cabonne (A)	2006	M	Aboriginal	134
Cabonne (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Cabonne (A)	2006	M	Non-indigenous	6094
Cabonne (A)	2006	M	Torres Strait Islander	8
Cabonne (A)	2011	F	Aboriginal	194
Cabonne (A)	2011	F	Both Aboriginal & Torres Strait Islander	4
Cabonne (A)	2011	F	Non-indigenous	6211
Cabonne (A)	2011	F	Torres Strait Islander	5
Cabonne (A)	2011	M	Aboriginal	185
Cabonne (A)	2011	M	Both Aboriginal & Torres Strait Islander	5
Cabonne (A)	2011	M	Non-indigenous	6210
Cabonne (A)	2011	M	Torres Strait Islander	4
Cabonne (A)	2016	F	Aboriginal	224
Cabonne (A)	2016	F	Both Aboriginal & Torres Strait Islander	8
Cabonne (A)	2016	F	Non-indigenous	6464
Cabonne (A)	2016	F	Torres Strait Islander	3
Cabonne (A)	2016	M	Aboriginal	242
Cabonne (A)	2016	M	Both Aboriginal & Torres Strait Islander	5
Cabonne (A)	2016	M	Non-indigenous	6433
Cabonne (A)	2016	M	Torres Strait Islander	12
Camden (A)	2006	F	Aboriginal	295
Camden (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Camden (A)	2006	F	Non-indigenous	25006
Camden (A)	2006	F	Torres Strait Islander	11
Camden (A)	2006	M	Aboriginal	326
Camden (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Camden (A)	2006	M	Non-indigenous	23992
Camden (A)	2006	M	Torres Strait Islander	10
Camden (A)	2011	F	Aboriginal	534
Camden (A)	2011	F	Both Aboriginal & Torres Strait Islander	6
Camden (A)	2011	F	Non-indigenous	28291
Camden (A)	2011	F	Torres Strait Islander	10
Camden (A)	2011	M	Aboriginal	556
Camden (A)	2011	M	Both Aboriginal & Torres Strait Islander	6
Camden (A)	2011	M	Non-indigenous	27311
Camden (A)	2011	M	Torres Strait Islander	7
Camden (A)	2016	F	Aboriginal	940
Camden (A)	2016	F	Both Aboriginal & Torres Strait Islander	13
Camden (A)	2016	F	Non-indigenous	38917
Camden (A)	2016	F	Torres Strait Islander	14
Camden (A)	2016	M	Aboriginal	961
Camden (A)	2016	M	Both Aboriginal & Torres Strait Islander	10
Camden (A)	2016	M	Non-indigenous	37356
Camden (A)	2016	M	Torres Strait Islander	9
Campbelltown (C) (NSW)	2006	F	Aboriginal	1913
Campbelltown (C) (NSW)	2006	F	Both Aboriginal & Torres Strait Islander	34
Campbelltown (C) (NSW)	2006	F	Non-indigenous	70705
Campbelltown (C) (NSW)	2006	F	Torres Strait Islander	90
Campbelltown (C) (NSW)	2006	M	Aboriginal	1668
Campbelltown (C) (NSW)	2006	M	Both Aboriginal & Torres Strait Islander	33
Campbelltown (C) (NSW)	2006	M	Non-indigenous	68536
Campbelltown (C) (NSW)	2006	M	Torres Strait Islander	92
