LGA_NAME16	Year	LabourForceStatus	adults
Bellingen (A)	2011		335
Bellingen (A)	2011	Employed (away from work)	283
Bellingen (A)	2011	Employed (full-time)	2407
Bellingen (A)	2011	Employed (part-time)	2085
Bellingen (A)	2011	Not in the labour force	4548
Bellingen (A)	2011	Unemployed (looking for work)	416
Bellingen (A)	2016		704
Bellingen (A)	2016	Employed (away from work)	298
Bellingen (A)	2016	Employed (full-time)	2386
Bellingen (A)	2016	Employed (part-time)	2210
Bellingen (A)	2016	Not in the labour force	4489
Bellingen (A)	2016	Unemployed (looking for work)	378
Berrigan (A)	2006		252
Berrigan (A)	2006	Employed (away from work)	282
Berrigan (A)	2006	Employed (full-time)	2244
Berrigan (A)	2006	Employed (part-time)	1033
Berrigan (A)	2006	Not in the labour force	2470
Berrigan (A)	2006	Unemployed (looking for work)	155
Berrigan (A)	2011		406
Berrigan (A)	2011	Employed (away from work)	271
Berrigan (A)	2011	Employed (full-time)	2076
Berrigan (A)	2011	Employed (part-time)	1071
Berrigan (A)	2011	Not in the labour force	2687
Berrigan (A)	2011	Unemployed (looking for work)	158
Berrigan (A)	2016		704
Berrigan (A)	2016	Employed (away from work)	258
Berrigan (A)	2016	Employed (full-time)	1895
Berrigan (A)	2016	Employed (part-time)	1132
Berrigan (A)	2016	Not in the labour force	2864
Berrigan (A)	2016	Unemployed (looking for work)	165
Blacktown (C)	2006		11907
Blacktown (C)	2006	Employed (away from work)	8170
Blacktown (C)	2006	Employed (full-time)	82142
Blacktown (C)	2006	Employed (part-time)	27745
Blacktown (C)	2006	Not in the labour force	66319
Blacktown (C)	2006	Unemployed (looking for work)	8605
Blacktown (C)	2011		10807
Blacktown (C)	2011	Employed (away from work)	8286
Blacktown (C)	2011	Employed (full-time)	91623
Blacktown (C)	2011	Employed (part-time)	33887
Blacktown (C)	2011	Not in the labour force	74727
Blacktown (C)	2011	Unemployed (looking for work)	10309
Blacktown (C)	2016		13186
Blacktown (C)	2016	Employed (away from work)	7771
Blacktown (C)	2016	Employed (full-time)	102402
Blacktown (C)	2016	Employed (part-time)	41295
Blacktown (C)	2016	Not in the labour force	83745
Blacktown (C)	2016	Unemployed (looking for work)	11907
Bland (A)	2006		203
Bland (A)	2006	Employed (away from work)	223
Bland (A)	2006	Employed (full-time)	1836
Bland (A)	2006	Employed (part-time)	732
Bland (A)	2006	Not in the labour force	1625
Bland (A)	2006	Unemployed (looking for work)	125
Bland (A)	2011		169
Bland (A)	2011	Employed (away from work)	198
Bland (A)	2011	Employed (full-time)	1766
Bland (A)	2011	Employed (part-time)	738
Bland (A)	2011	Not in the labour force	1610
Bland (A)	2011	Unemployed (looking for work)	101
Bland (A)	2016		563
Bland (A)	2016	Employed (away from work)	168
Bland (A)	2016	Employed (full-time)	1609
Bland (A)	2016	Employed (part-time)	764
Bland (A)	2016	Not in the labour force	1526
Bland (A)	2016	Unemployed (looking for work)	95
Blayney (A)	2006		166
Blayney (A)	2006	Employed (away from work)	188
Blayney (A)	2006	Employed (full-time)	1876
Blayney (A)	2006	Employed (part-time)	798
Blayney (A)	2006	Not in the labour force	1878
Blayney (A)	2006	Unemployed (looking for work)	205
Blayney (A)	2011		282
Blayney (A)	2011	Employed (away from work)	206
Blayney (A)	2011	Employed (full-time)	2013
Blayney (A)	2011	Employed (part-time)	885
Blayney (A)	2011	Not in the labour force	1876
Blayney (A)	2011	Unemployed (looking for work)	155
Blayney (A)	2016		425
Blayney (A)	2016	Employed (away from work)	192
Blayney (A)	2016	Employed (full-time)	1987
Blayney (A)	2016	Employed (part-time)	1043
Blayney (A)	2016	Not in the labour force	1904
Blayney (A)	2016	Unemployed (looking for work)	200
Blue Mountains (C)	2006		2580
Blue Mountains (C)	2006	Employed (away from work)	2162
Blue Mountains (C)	2006	Employed (full-time)	21120
Blue Mountains (C)	2006	Employed (part-time)	11890
Blue Mountains (C)	2006	Not in the labour force	19404
Blue Mountains (C)	2006	Unemployed (looking for work)	1799
Blue Mountains (C)	2011		3041
Blue Mountains (C)	2011	Employed (away from work)	2057
Blue Mountains (C)	2011	Employed (full-time)	21068
Blue Mountains (C)	2011	Employed (part-time)	12477
Blue Mountains (C)	2011	Not in the labour force	20649
Blue Mountains (C)	2011	Unemployed (looking for work)	1852
Blue Mountains (C)	2016		2911
Blue Mountains (C)	2016	Employed (away from work)	1724
Blue Mountains (C)	2016	Employed (full-time)	20994
Blue Mountains (C)	2016	Employed (part-time)	13148
Blue Mountains (C)	2016	Not in the labour force	22275
Blue Mountains (C)	2016	Unemployed (looking for work)	1778
Bogan (A)	2006		61
Bogan (A)	2006	Employed (away from work)	90
Bogan (A)	2006	Employed (full-time)	881
Bogan (A)	2006	Employed (part-time)	312
Bogan (A)	2006	Not in the labour force	740
Bogan (A)	2006	Unemployed (looking for work)	103
Bogan (A)	2011		181
Bogan (A)	2011	Employed (away from work)	93
Bogan (A)	2011	Employed (full-time)	859
Bogan (A)	2011	Employed (part-time)	294
Bogan (A)	2011	Not in the labour force	718
Bogan (A)	2011	Unemployed (looking for work)	74
Bogan (A)	2016		225
Bogan (A)	2016	Employed (away from work)	55
Bogan (A)	2016	Employed (full-time)	799
Bogan (A)	2016	Employed (part-time)	324
Bogan (A)	2016	Not in the labour force	675
Bogan (A)	2016	Unemployed (looking for work)	62
Botany Bay (C)	2006		2169
Botany Bay (C)	2006	Employed (away from work)	1118
Botany Bay (C)	2006	Employed (full-time)	11081
Botany Bay (C)	2006	Employed (part-time)	4239
Botany Bay (C)	2006	Not in the labour force	9888
Botany Bay (C)	2006	Unemployed (looking for work)	934
Botany Bay (C)	2011		2084
Botany Bay (C)	2011	Employed (away from work)	1125
Botany Bay (C)	2011	Employed (full-time)	12221
Botany Bay (C)	2011	Employed (part-time)	5054
Botany Bay (C)	2011	Not in the labour force	10707
Botany Bay (C)	2011	Unemployed (looking for work)	1021
Botany Bay (C)	2016		2743
Botany Bay (C)	2016	Employed (away from work)	1163
Botany Bay (C)	2016	Employed (full-time)	15323
Botany Bay (C)	2016	Employed (part-time)	6483
Botany Bay (C)	2016	Not in the labour force	11669
Botany Bay (C)	2016	Unemployed (looking for work)	1351
Bourke (A)	2006		209
Bourke (A)	2006	Employed (away from work)	106
Bourke (A)	2006	Employed (full-time)	912
Bourke (A)	2006	Employed (part-time)	296
Bourke (A)	2006	Not in the labour force	641
Bourke (A)	2006	Unemployed (looking for work)	112
Bourke (A)	2011		299
Bourke (A)	2011	Employed (away from work)	84
Bourke (A)	2011	Employed (full-time)	852
Bourke (A)	2011	Employed (part-time)	272
Bourke (A)	2011	Not in the labour force	568
Bourke (A)	2011	Unemployed (looking for work)	66
Bourke (A)	2016		400
Bourke (A)	2016	Employed (away from work)	44
Bourke (A)	2016	Employed (full-time)	724
Bourke (A)	2016	Employed (part-time)	233
Bourke (A)	2016	Not in the labour force	546
Bourke (A)	2016	Unemployed (looking for work)	69
Brewarrina (A)	2006		133
Brewarrina (A)	2006	Employed (away from work)	44
Brewarrina (A)	2006	Employed (full-time)	428
Brewarrina (A)	2006	Employed (part-time)	185
Brewarrina (A)	2006	Not in the labour force	543
Brewarrina (A)	2006	Unemployed (looking for work)	89
Brewarrina (A)	2011		94
Brewarrina (A)	2011	Employed (away from work)	48
Brewarrina (A)	2011	Employed (full-time)	414
Brewarrina (A)	2011	Employed (part-time)	160
Brewarrina (A)	2011	Not in the labour force	514
Brewarrina (A)	2011	Unemployed (looking for work)	90
Brewarrina (A)	2016		114
Brewarrina (A)	2016	Employed (away from work)	40
Brewarrina (A)	2016	Employed (full-time)	346
Brewarrina (A)	2016	Employed (part-time)	106
Brewarrina (A)	2016	Not in the labour force	573
Brewarrina (A)	2016	Unemployed (looking for work)	95
Broken Hill (C)	2006		1099
Broken Hill (C)	2006	Employed (away from work)	554
Broken Hill (C)	2006	Employed (full-time)	4181
Broken Hill (C)	2006	Employed (part-time)	2151
Broken Hill (C)	2006	Not in the labour force	6890
Broken Hill (C)	2006	Unemployed (looking for work)	686
Broken Hill (C)	2011		1131
Broken Hill (C)	2011	Employed (away from work)	559
Broken Hill (C)	2011	Employed (full-time)	4372
Broken Hill (C)	2011	Employed (part-time)	2080
Broken Hill (C)	2011	Not in the labour force	6401
Broken Hill (C)	2011	Unemployed (looking for work)	634
Broken Hill (C)	2016		1118
Broken Hill (C)	2016	Employed (away from work)	496
Broken Hill (C)	2016	Employed (full-time)	4229
Broken Hill (C)	2016	Employed (part-time)	2178
Broken Hill (C)	2016	Not in the labour force	6078
Broken Hill (C)	2016	Unemployed (looking for work)	668
Burwood (A)	2006		2163
Burwood (A)	2006	Employed (away from work)	803
Burwood (A)	2006	Employed (full-time)	8773
Burwood (A)	2006	Employed (part-time)	4157
Burwood (A)	2006	Not in the labour force	9289
Burwood (A)	2006	Unemployed (looking for work)	954
Burwood (A)	2011		1760
Burwood (A)	2011	Employed (away from work)	848
Burwood (A)	2011	Employed (full-time)	9258
Burwood (A)	2011	Employed (part-time)	4990
Burwood (A)	2011	Not in the labour force	9693
Burwood (A)	2011	Unemployed (looking for work)	1096
Burwood (A)	2016		1713
Burwood (A)	2016	Employed (away from work)	867
Burwood (A)	2016	Employed (full-time)	10296
Burwood (A)	2016	Employed (part-time)	6007
Burwood (A)	2016	Not in the labour force	11708
Burwood (A)	2016	Unemployed (looking for work)	1413
Byron (A)	2006		2025
Byron (A)	2006	Employed (away from work)	799
Byron (A)	2006	Employed (full-time)	5728
Byron (A)	2006	Employed (part-time)	5317
Byron (A)	2006	Not in the labour force	8170
Byron (A)	2006	Unemployed (looking for work)	1140
Byron (A)	2011		1473
Byron (A)	2011	Employed (away from work)	889
Byron (A)	2011	Employed (full-time)	5830
Byron (A)	2011	Employed (part-time)	5908
Byron (A)	2011	Not in the labour force	8550
Byron (A)	2011	Unemployed (looking for work)	1171
Byron (A)	2016		3326
Byron (A)	2016	Employed (away from work)	839
Byron (A)	2016	Employed (full-time)	6120
Byron (A)	2016	Employed (part-time)	6602
Byron (A)	2016	Not in the labour force	8433
Byron (A)	2016	Unemployed (looking for work)	945
Cabonne (A)	2006		394
Cabonne (A)	2006	Employed (away from work)	385
Cabonne (A)	2006	Employed (full-time)	3799
Cabonne (A)	2006	Employed (part-time)	1546
Cabonne (A)	2006	Not in the labour force	3330
Cabonne (A)	2006	Unemployed (looking for work)	221
Cabonne (A)	2011		317
Cabonne (A)	2011	Employed (away from work)	404
Cabonne (A)	2011	Employed (full-time)	3893
Cabonne (A)	2011	Employed (part-time)	1730
Cabonne (A)	2011	Not in the labour force	3434
Cabonne (A)	2011	Unemployed (looking for work)	236
Cabonne (A)	2016		726
Cabonne (A)	2016	Employed (away from work)	373
Cabonne (A)	2016	Employed (full-time)	3778
Cabonne (A)	2016	Employed (part-time)	1874
Cabonne (A)	2016	Not in the labour force	3480
Cabonne (A)	2016	Unemployed (looking for work)	268
Camden (A)	2006		1553
Camden (A)	2006	Employed (away from work)	1482
Camden (A)	2006	Employed (full-time)	16577
Camden (A)	2006	Employed (part-time)	6693
Camden (A)	2006	Not in the labour force	9654
Camden (A)	2006	Unemployed (looking for work)	998
Camden (A)	2011		1628
Camden (A)	2011	Employed (away from work)	1701
Camden (A)	2011	Employed (full-time)	19294
Camden (A)	2011	Employed (part-time)	7761
Camden (A)	2011	Not in the labour force	11362
Camden (A)	2011	Unemployed (looking for work)	1209
Camden (A)	2016		2826
Camden (A)	2016	Employed (away from work)	2173
Camden (A)	2016	Employed (full-time)	26915
Camden (A)	2016	Employed (part-time)	10922
Camden (A)	2016	Not in the labour force	14959
Camden (A)	2016	Unemployed (looking for work)	1726
Campbelltown (C) (NSW)	2006		7042
Campbelltown (C) (NSW)	2006	Employed (away from work)	4255
Campbelltown (C) (NSW)	2006	Employed (full-time)	42974
Campbelltown (C) (NSW)	2006	Employed (part-time)	16023
Campbelltown (C) (NSW)	2006	Not in the labour force	33665
Campbelltown (C) (NSW)	2006	Unemployed (looking for work)	5094
Campbelltown (C) (NSW)	2011		6392
Campbelltown (C) (NSW)	2011	Employed (away from work)	4100
Campbelltown (C) (NSW)	2011	Employed (full-time)	43968
Campbelltown (C) (NSW)	2011	Employed (part-time)	16987
Campbelltown (C) (NSW)	2011	Not in the labour force	37325
Campbelltown (C) (NSW)	2011	Unemployed (looking for work)	5181
Campbelltown (C) (NSW)	2016		7329
Campbelltown (C) (NSW)	2016	Employed (away from work)	3572
Campbelltown (C) (NSW)	2016	Employed (full-time)	45764
Campbelltown (C) (NSW)	2016	Employed (part-time)	19503
Campbelltown (C) (NSW)	2016	Not in the labour force	41106
Campbelltown (C) (NSW)	2016	Unemployed (looking for work)	5874
Canada Bay (A)	2006		4181
Canada Bay (A)	2006	Employed (away from work)	1937
Canada Bay (A)	2006	Employed (full-time)	23759
Canada Bay (A)	2006	Employed (part-time)	8140
Canada Bay (A)	2006	Not in the labour force	15760
Canada Bay (A)	2006	Unemployed (looking for work)	1138
Canada Bay (A)	2011		4093
Canada Bay (A)	2011	Employed (away from work)	2151
Canada Bay (A)	2011	Employed (full-time)	26407
Canada Bay (A)	2011	Employed (part-time)	10125
Canada Bay (A)	2011	Not in the labour force	18500
Canada Bay (A)	2011	Unemployed (looking for work)	1742
Canada Bay (A)	2016		4398
Canada Bay (A)	2016	Employed (away from work)	2040
Canada Bay (A)	2016	Employed (full-time)	30259
Canada Bay (A)	2016	Employed (part-time)	12397
Canada Bay (A)	2016	Not in the labour force	22260
Canada Bay (A)	2016	Unemployed (looking for work)	2374
Canterbury-Bankstown (A)	2006		17939
Canterbury-Bankstown (A)	2006	Employed (away from work)	8764
Canterbury-Bankstown (A)	2006	Employed (full-time)	76115
Canterbury-Bankstown (A)	2006	Employed (part-time)	31075
Canterbury-Bankstown (A)	2006	Not in the labour force	93206
Canterbury-Bankstown (A)	2006	Unemployed (looking for work)	9556
Canterbury-Bankstown (A)	2011		17059
Canterbury-Bankstown (A)	2011	Employed (away from work)	8602
Canterbury-Bankstown (A)	2011	Employed (full-time)	79183
Canterbury-Bankstown (A)	2011	Employed (part-time)	36750
Canterbury-Bankstown (A)	2011	Not in the labour force	100612
Canterbury-Bankstown (A)	2011	Unemployed (looking for work)	10596
Canterbury-Bankstown (A)	2016		16432
Canterbury-Bankstown (A)	2016	Employed (away from work)	7755
Canterbury-Bankstown (A)	2016	Employed (full-time)	85599
Canterbury-Bankstown (A)	2016	Employed (part-time)	44841
Canterbury-Bankstown (A)	2016	Not in the labour force	108219
Canterbury-Bankstown (A)	2016	Unemployed (looking for work)	12420
Carrathool (A)	2006		176
Carrathool (A)	2006	Employed (away from work)	102
Carrathool (A)	2006	Employed (full-time)	947
Carrathool (A)	2006	Employed (part-time)	309
Carrathool (A)	2006	Not in the labour force	619
Carrathool (A)	2006	Unemployed (looking for work)	41
Carrathool (A)	2011		82
Carrathool (A)	2011	Employed (away from work)	97
Carrathool (A)	2011	Employed (full-time)	918
Carrathool (A)	2011	Employed (part-time)	288
Carrathool (A)	2011	Not in the labour force	588
Carrathool (A)	2011	Unemployed (looking for work)	56
Carrathool (A)	2016		186
Carrathool (A)	2016	Employed (away from work)	115
Carrathool (A)	2016	Employed (full-time)	882
Carrathool (A)	2016	Employed (part-time)	386
Carrathool (A)	2016	Not in the labour force	570
Carrathool (A)	2016	Unemployed (looking for work)	46
Central Coast (C) (NSW)	2006		15634
Central Coast (C) (NSW)	2006	Employed (away from work)	8223
Central Coast (C) (NSW)	2006	Employed (full-time)	72420
Central Coast (C) (NSW)	2006	Employed (part-time)	40075
Central Coast (C) (NSW)	2006	Not in the labour force	91475
Central Coast (C) (NSW)	2006	Unemployed (looking for work)	9244
Central Coast (C) (NSW)	2011		13877
Central Coast (C) (NSW)	2011	Employed (away from work)	8590
Central Coast (C) (NSW)	2011	Employed (full-time)	78353
Central Coast (C) (NSW)	2011	Employed (part-time)	44067
Central Coast (C) (NSW)	2011	Not in the labour force	96917
Central Coast (C) (NSW)	2011	Unemployed (looking for work)	9685
Central Coast (C) (NSW)	2016		16213
Central Coast (C) (NSW)	2016	Employed (away from work)	7589
Central Coast (C) (NSW)	2016	Employed (full-time)	82786
Central Coast (C) (NSW)	2016	Employed (part-time)	49224
Central Coast (C) (NSW)	2016	Not in the labour force	101390
Central Coast (C) (NSW)	2016	Unemployed (looking for work)	10105
Central Darling (A)	2006		124
Central Darling (A)	2006	Employed (away from work)	73
Central Darling (A)	2006	Employed (full-time)	490
Central Darling (A)	2006	Employed (part-time)	185
Central Darling (A)	2006	Not in the labour force	591
Central Darling (A)	2006	Unemployed (looking for work)	85
Central Darling (A)	2011		83
Central Darling (A)	2011	Employed (away from work)	53
Central Darling (A)	2011	Employed (full-time)	557
Central Darling (A)	2011	Employed (part-time)	181
Central Darling (A)	2011	Not in the labour force	614
Central Darling (A)	2011	Unemployed (looking for work)	89
Central Darling (A)	2016		239
Central Darling (A)	2016	Employed (away from work)	38
Central Darling (A)	2016	Employed (full-time)	423
Central Darling (A)	2016	Employed (part-time)	100
Central Darling (A)	2016	Not in the labour force	614
Central Darling (A)	2016	Unemployed (looking for work)	71
Cessnock (C)	2006		1732
Cessnock (C)	2006	Employed (away from work)	1294
Cessnock (C)	2006	Employed (full-time)	10948
Cessnock (C)	2006	Employed (part-time)	5733
Cessnock (C)	2006	Not in the labour force	14765
Cessnock (C)	2006	Unemployed (looking for work)	1687
Cessnock (C)	2011		2056
Cessnock (C)	2011	Employed (away from work)	1524
Cessnock (C)	2011	Employed (full-time)	12730
Cessnock (C)	2011	Employed (part-time)	6630
Cessnock (C)	2011	Not in the labour force	15595
Cessnock (C)	2011	Unemployed (looking for work)	1448
Cessnock (C)	2016		3137
Cessnock (C)	2016	Employed (away from work)	1316
Cessnock (C)	2016	Employed (full-time)	12738
Cessnock (C)	2016	Employed (part-time)	7571
Cessnock (C)	2016	Not in the labour force	17368
Cessnock (C)	2016	Unemployed (looking for work)	2059
Clarence Valley (A)	2006		1939
Clarence Valley (A)	2006	Employed (away from work)	1221
Clarence Valley (A)	2006	Employed (full-time)	9542
Clarence Valley (A)	2006	Employed (part-time)	6163
Clarence Valley (A)	2006	Not in the labour force	17867
Clarence Valley (A)	2006	Unemployed (looking for work)	1867
Clarence Valley (A)	2011		1812
Clarence Valley (A)	2011	Employed (away from work)	1232
Clarence Valley (A)	2011	Employed (full-time)	9758
Clarence Valley (A)	2011	Employed (part-time)	6774
Clarence Valley (A)	2011	Not in the labour force	19131
Clarence Valley (A)	2011	Unemployed (looking for work)	1738
Clarence Valley (A)	2016		3151
Clarence Valley (A)	2016	Employed (away from work)	1134
Clarence Valley (A)	2016	Employed (full-time)	9432
Clarence Valley (A)	2016	Employed (part-time)	6992
Clarence Valley (A)	2016	Not in the labour force	19915
Clarence Valley (A)	2016	Unemployed (looking for work)	1740
Cobar (A)	2006		345
Cobar (A)	2006	Employed (away from work)	145
Cobar (A)	2006	Employed (full-time)	1579
Cobar (A)	2006	Employed (part-time)	517
Cobar (A)	2006	Not in the labour force	1085
Cobar (A)	2006	Unemployed (looking for work)	118
Cobar (A)	2011		299
Cobar (A)	2011	Employed (away from work)	163
Cobar (A)	2011	Employed (full-time)	1563
Cobar (A)	2011	Employed (part-time)	495
Cobar (A)	2011	Not in the labour force	1037
Cobar (A)	2011	Unemployed (looking for work)	101
Cobar (A)	2016		431
Cobar (A)	2016	Employed (away from work)	157
Cobar (A)	2016	Employed (full-time)	1411
Cobar (A)	2016	Employed (part-time)	448
Cobar (A)	2016	Not in the labour force	1053
Cobar (A)	2016	Unemployed (looking for work)	123
Coffs Harbour (C)	2006		2575
Coffs Harbour (C)	2006	Employed (away from work)	1742
Coffs Harbour (C)	2006	Employed (full-time)	13958
Coffs Harbour (C)	2006	Employed (part-time)	9973
Coffs Harbour (C)	2006	Not in the labour force	21012
Coffs Harbour (C)	2006	Unemployed (looking for work)	2492
Coffs Harbour (C)	2011		2803
Coffs Harbour (C)	2011	Employed (away from work)	1860
Coffs Harbour (C)	2011	Employed (full-time)	15444
Coffs Harbour (C)	2011	Employed (part-time)	10690
Coffs Harbour (C)	2011	Not in the labour force	21974
Coffs Harbour (C)	2011	Unemployed (looking for work)	2533
Coffs Harbour (C)	2016		4619
Coffs Harbour (C)	2016	Employed (away from work)	1587
Coffs Harbour (C)	2016	Employed (full-time)	16313
Coffs Harbour (C)	2016	Employed (part-time)	11722
Coffs Harbour (C)	2016	Not in the labour force	23007
Coffs Harbour (C)	2016	Unemployed (looking for work)	2347
Coolamon (A)	2006		108
Coolamon (A)	2006	Employed (away from work)	104
Coolamon (A)	2006	Employed (full-time)	1098
Coolamon (A)	2006	Employed (part-time)	471
Coolamon (A)	2006	Not in the labour force	1179
Coolamon (A)	2006	Unemployed (looking for work)	105
Coolamon (A)	2011		175
Coolamon (A)	2011	Employed (away from work)	116
Coolamon (A)	2011	Employed (full-time)	1104
Coolamon (A)	2011	Employed (part-time)	480
Coolamon (A)	2011	Not in the labour force	1242
Coolamon (A)	2011	Unemployed (looking for work)	65
Coolamon (A)	2016		379
Coolamon (A)	2016	Employed (away from work)	114
Coolamon (A)	2016	Employed (full-time)	1070
Coolamon (A)	2016	Employed (part-time)	542
Coolamon (A)	2016	Not in the labour force	1225
Coolamon (A)	2016	Unemployed (looking for work)	101
Coonamble (A)	2006		167
Coonamble (A)	2006	Employed (away from work)	125
Coonamble (A)	2006	Employed (full-time)	1103
Coonamble (A)	2006	Employed (part-time)	526
Coonamble (A)	2006	Not in the labour force	1161
Coonamble (A)	2006	Unemployed (looking for work)	126
Coonamble (A)	2011		209
Coonamble (A)	2011	Employed (away from work)	114
Coonamble (A)	2011	Employed (full-time)	1074
Coonamble (A)	2011	Employed (part-time)	418
Coonamble (A)	2011	Not in the labour force	1213
Coonamble (A)	2011	Unemployed (looking for work)	142
Coonamble (A)	2016		525
Coonamble (A)	2016	Employed (away from work)	129
Coonamble (A)	2016	Employed (full-time)	901
Coonamble (A)	2016	Employed (part-time)	389
Coonamble (A)	2016	Not in the labour force	1040
Coonamble (A)	2016	Unemployed (looking for work)	140
Cowra (A)	2006		426
Cowra (A)	2006	Employed (away from work)	311
Cowra (A)	2006	Employed (full-time)	3134
Cowra (A)	2006	Employed (part-time)	1531
Cowra (A)	2006	Not in the labour force	4032
Cowra (A)	2006	Unemployed (looking for work)	357
Cowra (A)	2011		664
Cowra (A)	2011	Employed (away from work)	293
Cowra (A)	2011	Employed (full-time)	2870
Cowra (A)	2011	Employed (part-time)	1570
Cowra (A)	2011	Not in the labour force	4095
Cowra (A)	2011	Unemployed (looking for work)	346
Cowra (A)	2016		851
