STE_NAME16	Year	LabourForceStatus	adults
Western Australia	2006	Employed (part-time)	275951
Western Australia	2006	Not in the labour force	478243
Western Australia	2006	Unemployed (looking for work)	36660
Western Australia	2011		117358
Western Australia	2011	Employed (away from work)	74207
Western Australia	2011	Employed (full-time)	699412
Western Australia	2011	Employed (part-time)	324256
Western Australia	2011	Not in the labour force	529554
Western Australia	2011	Unemployed (looking for work)	54315
Western Australia	2016		146576
Western Australia	2016	Employed (away from work)	65859
Western Australia	2016	Employed (full-time)	715287
Western Australia	2016	Employed (part-time)	376590
Western Australia	2016	Not in the labour force	595448
Western Australia	2016	Unemployed (looking for work)	97966
Tasmania	2006		20184
Tasmania	2006	Employed (away from work)	14540
Tasmania	2006	Employed (full-time)	122815
Tasmania	2006	Employed (part-time)	67383
Tasmania	2006	Not in the labour force	143108
Tasmania	2006	Unemployed (looking for work)	14423
Tasmania	2011		17978
Tasmania	2011	Employed (away from work)	14450
Tasmania	2011	Employed (full-time)	126465
Tasmania	2011	Employed (part-time)	76384
Tasmania	2011	Not in the labour force	151380
Tasmania	2011	Unemployed (looking for work)	14825
Tasmania	2016		26752
Tasmania	2016	Employed (away from work)	13162
Tasmania	2016	Employed (full-time)	121822
Tasmania	2016	Employed (part-time)	81601
Tasmania	2016	Not in the labour force	160050
Tasmania	2016	Unemployed (looking for work)	16365
Northern Territory	2006		16956
Northern Territory	2006	Employed (away from work)	6912
Northern Territory	2006	Employed (full-time)	60090
Northern Territory	2006	Employed (part-time)	20179
Northern Territory	2006	Not in the labour force	37147
Northern Territory	2006	Unemployed (looking for work)	4006
Northern Territory	2011		17152
Northern Territory	2011	Employed (away from work)	8054
Northern Territory	2011	Employed (full-time)	69544
Northern Territory	2011	Employed (part-time)	20876
Northern Territory	2011	Not in the labour force	41688
Northern Territory	2011	Unemployed (looking for work)	5489
Northern Territory	2016		22961
Northern Territory	2016	Employed (away from work)	7112
Northern Territory	2016	Employed (full-time)	74100
Northern Territory	2016	Employed (part-time)	21493
Northern Territory	2016	Not in the labour force	46008
Northern Territory	2016	Unemployed (looking for work)	7685
Australian Capital Territory	2006		12537
Australian Capital Territory	2006	Employed (away from work)	11234
Australian Capital Territory	2006	Employed (full-time)	117945
Australian Capital Territory	2006	Employed (part-time)	47106
Australian Capital Territory	2006	Not in the labour force	67078
Australian Capital Territory	2006	Unemployed (looking for work)	6207
Australian Capital Territory	2011		12780
Australian Capital Territory	2011	Employed (away from work)	12821
Australian Capital Territory	2011	Employed (full-time)	132042
Australian Capital Territory	2011	Employed (part-time)	51028
Australian Capital Territory	2011	Not in the labour force	74891
Australian Capital Territory	2011	Unemployed (looking for work)	7316
Australian Capital Territory	2016		18504
Australian Capital Territory	2016	Employed (away from work)	11506
Australian Capital Territory	2016	Employed (full-time)	137058
Australian Capital Territory	2016	Employed (part-time)	57064
Australian Capital Territory	2016	Not in the labour force	88580
Australian Capital Territory	2016	Unemployed (looking for work)	10205
Other Territories	2006		114
Other Territories	2006	Employed (away from work)	89
Other Territories	2006	Employed (full-time)	763
Other Territories	2006	Employed (part-time)	216
Other Territories	2006	Not in the labour force	512
Other Territories	2006	Unemployed (looking for work)	68
Other Territories	2011		96
Other Territories	2011	Employed (away from work)	83
Other Territories	2011	Employed (full-time)	869
Other Territories	2011	Employed (part-time)	230
Other Territories	2011	Not in the labour force	1202
Other Territories	2011	Unemployed (looking for work)	50
Other Territories	2016		435
Other Territories	2016	Employed (away from work)	188
Other Territories	2016	Employed (full-time)	1413
Other Territories	2016	Employed (part-time)	571
Other Territories	2016	Not in the labour force	1108
Other Territories	2016	Unemployed (looking for work)	58
