STE_NAME16	Year	Age5yr	LabourForceStatus	Sex	adults
New South Wales	2006	50-54	Employed (away from work)	M	4909
New South Wales	2006	50-54	Employed (full-time)	F	79197
New South Wales	2006	50-54	Employed (full-time)	M	133021
New South Wales	2006	50-54	Employed (hours worked not stated)	F	2982
New South Wales	2006	50-54	Employed (hours worked not stated)	M	4241
New South Wales	2006	50-54	Employed (part-time)	F	57186
New South Wales	2006	50-54	Employed (part-time)	M	21089
New South Wales	2006	50-54	Not in the labour force	F	56139
New South Wales	2006	50-54	Not in the labour force	M	28602
New South Wales	2006	50-54	Unemployed (looking for full-time work)	F	3217
New South Wales	2006	50-54	Unemployed (looking for full-time work)	M	5925
New South Wales	2006	50-54	Unemployed (looking for part-time work)	F	2686
New South Wales	2006	50-54	Unemployed (looking for part-time work)	M	1490
New South Wales	2006	55-59		F	10156
New South Wales	2006	55-59		M	11918
New South Wales	2006	55-59	Employed (away from work)	F	4690
New South Wales	2006	55-59	Employed (away from work)	M	5170
New South Wales	2006	55-59	Employed (full-time)	F	52234
New South Wales	2006	55-59	Employed (full-time)	M	105586
New South Wales	2006	55-59	Employed (hours worked not stated)	F	2302
New South Wales	2006	55-59	Employed (hours worked not stated)	M	3226
New South Wales	2006	55-59	Employed (part-time)	F	45810
New South Wales	2006	55-59	Employed (part-time)	M	22089
New South Wales	2006	55-59	Not in the labour force	F	81540
New South Wales	2006	55-59	Not in the labour force	M	46202
New South Wales	2006	55-59	Unemployed (looking for full-time work)	F	2115
New South Wales	2006	55-59	Unemployed (looking for full-time work)	M	5075
New South Wales	2006	55-59	Unemployed (looking for part-time work)	F	2103
New South Wales	2006	55-59	Unemployed (looking for part-time work)	M	1713
New South Wales	2006	60-64		F	8865
New South Wales	2006	60-64		M	9696
New South Wales	2006	60-64	Employed (away from work)	F	2561
New South Wales	2006	60-64	Employed (away from work)	M	3199
New South Wales	2006	60-64	Employed (full-time)	F	20278
New South Wales	2006	60-64	Employed (full-time)	M	53141
New South Wales	2006	60-64	Employed (hours worked not stated)	F	1190
New South Wales	2006	60-64	Employed (hours worked not stated)	M	1897
New South Wales	2006	60-64	Employed (part-time)	F	25394
New South Wales	2006	60-64	Employed (part-time)	M	19872
New South Wales	2006	60-64	Not in the labour force	F	98359
New South Wales	2006	60-64	Not in the labour force	M	66496
New South Wales	2006	60-64	Unemployed (looking for full-time work)	F	797
New South Wales	2006	60-64	Unemployed (looking for full-time work)	M	3225
New South Wales	2006	60-64	Unemployed (looking for part-time work)	F	1014
New South Wales	2006	60-64	Unemployed (looking for part-time work)	M	1644
New South Wales	2006	65-69		F	8858
New South Wales	2006	65-69		M	8839
New South Wales	2006	65-69	Employed (away from work)	F	940
New South Wales	2006	65-69	Employed (away from work)	M	1470
New South Wales	2006	65-69	Employed (full-time)	F	5002
New South Wales	2006	65-69	Employed (full-time)	M	16487
New South Wales	2006	65-69	Employed (hours worked not stated)	F	537
New South Wales	2006	65-69	Employed (hours worked not stated)	M	887
New South Wales	2006	65-69	Employed (part-time)	F	9334
New South Wales	2006	65-69	Employed (part-time)	M	11429
New South Wales	2006	65-69	Not in the labour force	F	104549
New South Wales	2006	65-69	Not in the labour force	M	85155
New South Wales	2006	65-69	Unemployed (looking for full-time work)	F	68
New South Wales	2006	65-69	Unemployed (looking for full-time work)	M	272
New South Wales	2006	65-69	Unemployed (looking for part-time work)	F	183
New South Wales	2006	65-69	Unemployed (looking for part-time work)	M	423
New South Wales	2006	70-74		F	9477
New South Wales	2006	70-74		M	8514
New South Wales	2006	70-74	Employed (away from work)	F	389
New South Wales	2006	70-74	Employed (away from work)	M	618
New South Wales	2006	70-74	Employed (full-time)	F	1454
New South Wales	2006	70-74	Employed (full-time)	M	4683
New South Wales	2006	70-74	Employed (hours worked not stated)	F	343
New South Wales	2006	70-74	Employed (hours worked not stated)	M	410
New South Wales	2006	70-74	Employed (part-time)	F	3255
New South Wales	2006	70-74	Employed (part-time)	M	5378
New South Wales	2006	70-74	Not in the labour force	F	95330
New South Wales	2006	70-74	Not in the labour force	M	80732
New South Wales	2006	70-74	Unemployed (looking for full-time work)	F	33
New South Wales	2006	70-74	Unemployed (looking for full-time work)	M	70
New South Wales	2006	70-74	Unemployed (looking for part-time work)	F	77
New South Wales	2006	70-74	Unemployed (looking for part-time work)	M	133
New South Wales	2006	75+		F	33561
New South Wales	2006	75+		M	21059
New South Wales	2006	75+	Employed (away from work)	F	411
New South Wales	2006	75+	Employed (away from work)	M	564
New South Wales	2006	75+	Employed (full-time)	F	1183
New South Wales	2006	75+	Employed (full-time)	M	3356
New South Wales	2006	75+	Employed (hours worked not stated)	F	592
New South Wales	2006	75+	Employed (hours worked not stated)	M	605
New South Wales	2006	75+	Employed (part-time)	F	2087
New South Wales	2006	75+	Employed (part-time)	M	3923
New South Wales	2006	75+	Not in the labour force	F	224235
New South Wales	2006	75+	Not in the labour force	M	148538
New South Wales	2006	75+	Unemployed (looking for full-time work)	F	66
New South Wales	2006	75+	Unemployed (looking for full-time work)	M	97
New South Wales	2006	75+	Unemployed (looking for part-time work)	F	69
New South Wales	2006	75+	Unemployed (looking for part-time work)	M	96
New South Wales	2011	15-19		F	8979
New South Wales	2011	15-19		M	10972
New South Wales	2011	15-19	Employed (away from work)	F	4197
New South Wales	2011	15-19	Employed (away from work)	M	3483
New South Wales	2011	15-19	Employed (full-time)	F	14425
New South Wales	2011	15-19	Employed (full-time)	M	28741
New South Wales	2011	15-19	Employed (hours worked not stated)	F	2959
New South Wales	2011	15-19	Employed (hours worked not stated)	M	3250
New South Wales	2011	15-19	Employed (part-time)	F	61355
New South Wales	2011	15-19	Employed (part-time)	M	43270
New South Wales	2011	15-19	Not in the labour force	F	108032
New South Wales	2011	15-19	Not in the labour force	M	121053
New South Wales	2011	15-19	Unemployed (looking for full-time work)	F	4814
New South Wales	2011	15-19	Unemployed (looking for full-time work)	M	7695
New South Wales	2011	15-19	Unemployed (looking for part-time work)	F	10430
New South Wales	2011	15-19	Unemployed (looking for part-time work)	M	9759
New South Wales	2011	20-24		F	11914
New South Wales	2011	20-24		M	14821
New South Wales	2011	20-24	Employed (away from work)	F	5502
New South Wales	2011	20-24	Employed (away from work)	M	4519
New South Wales	2011	20-24	Employed (full-time)	F	70670
New South Wales	2011	20-24	Employed (full-time)	M	94783
New South Wales	2011	20-24	Employed (hours worked not stated)	F	3881
New South Wales	2011	20-24	Employed (hours worked not stated)	M	5409
New South Wales	2011	20-24	Employed (part-time)	F	61455
New South Wales	2011	20-24	Employed (part-time)	M	46088
New South Wales	2011	20-24	Not in the labour force	F	54498
New South Wales	2011	20-24	Not in the labour force	M	42394
New South Wales	2011	20-24	Unemployed (looking for full-time work)	F	7487
New South Wales	2011	20-24	Unemployed (looking for full-time work)	M	12144
New South Wales	2011	20-24	Unemployed (looking for part-time work)	F	7324
New South Wales	2011	20-24	Unemployed (looking for part-time work)	M	6797
New South Wales	2011	25-29		F	13290
New South Wales	2011	25-29		M	16386
New South Wales	2011	25-29	Employed (away from work)	F	8665
New South Wales	2011	25-29	Employed (away from work)	M	4465
New South Wales	2011	25-29	Employed (full-time)	F	106245
New South Wales	2011	25-29	Employed (full-time)	M	143327
New South Wales	2011	25-29	Employed (hours worked not stated)	F	2918
New South Wales	2011	25-29	Employed (hours worked not stated)	M	5040
New South Wales	2011	25-29	Employed (part-time)	F	44606
New South Wales	2011	25-29	Employed (part-time)	M	28557
New South Wales	2011	25-29	Not in the labour force	F	53420
New South Wales	2011	25-29	Not in the labour force	M	23864
New South Wales	2011	25-29	Unemployed (looking for full-time work)	F	6031
New South Wales	2011	25-29	Unemployed (looking for full-time work)	M	9429
New South Wales	2011	25-29	Unemployed (looking for part-time work)	F	4307
New South Wales	2011	25-29	Unemployed (looking for part-time work)	M	2627
New South Wales	2011	30-34		F	12119
New South Wales	2011	30-34		M	14375
New South Wales	2011	30-34	Employed (away from work)	F	11792
New South Wales	2011	30-34	Employed (away from work)	M	4901
New South Wales	2011	30-34	Employed (full-time)	F	86190
New South Wales	2011	30-34	Employed (full-time)	M	156464
New South Wales	2011	30-34	Employed (hours worked not stated)	F	2305
New South Wales	2011	30-34	Employed (hours worked not stated)	M	4374
New South Wales	2011	30-34	Employed (part-time)	F	56083
New South Wales	2011	30-34	Employed (part-time)	M	21977
New South Wales	2011	30-34	Not in the labour force	F	60332
New South Wales	2011	30-34	Not in the labour force	M	19387
New South Wales	2011	30-34	Unemployed (looking for full-time work)	F	4587
New South Wales	2011	30-34	Unemployed (looking for full-time work)	M	7499
New South Wales	2011	30-34	Unemployed (looking for part-time work)	F	4319
New South Wales	2011	30-34	Unemployed (looking for part-time work)	M	1634
New South Wales	2011	35-39		F	11525
New South Wales	2011	35-39		M	13396
New South Wales	2011	35-39	Employed (away from work)	F	9273
New South Wales	2011	35-39	Employed (away from work)	M	5014
New South Wales	2011	35-39	Employed (full-time)	F	79737
New South Wales	2011	35-39	Employed (full-time)	M	165825
New South Wales	2011	35-39	Employed (hours worked not stated)	F	2540
New South Wales	2011	35-39	Employed (hours worked not stated)	M	4540
New South Wales	2011	35-39	Employed (part-time)	F	74198
New South Wales	2011	35-39	Employed (part-time)	M	21376
New South Wales	2011	35-39	Not in the labour force	F	62671
New South Wales	2011	35-39	Not in the labour force	M	20158
New South Wales	2011	35-39	Unemployed (looking for full-time work)	F	4329
New South Wales	2011	35-39	Unemployed (looking for full-time work)	M	7158
New South Wales	2011	35-39	Unemployed (looking for part-time work)	F	4938
New South Wales	2011	35-39	Unemployed (looking for part-time work)	M	1448
New South Wales	2011	40-44		F	10767
New South Wales	2011	40-44		M	12689
New South Wales	2011	40-44	Employed (away from work)	F	5746
New South Wales	2011	40-44	Employed (away from work)	M	4960
New South Wales	2011	40-44	Employed (full-time)	F	86082
New South Wales	2011	40-44	Employed (full-time)	M	159889
New South Wales	2011	40-44	Employed (hours worked not stated)	F	2846
New South Wales	2011	40-44	Employed (hours worked not stated)	M	4583
New South Wales	2011	40-44	Employed (part-time)	F	78104
New South Wales	2011	40-44	Employed (part-time)	M	21547
New South Wales	2011	40-44	Not in the labour force	F	55943
New South Wales	2011	40-44	Not in the labour force	M	22773
New South Wales	2011	40-44	Unemployed (looking for full-time work)	F	4244
New South Wales	2011	40-44	Unemployed (looking for full-time work)	M	6971
New South Wales	2011	40-44	Unemployed (looking for part-time work)	F	4871
New South Wales	2011	40-44	Unemployed (looking for part-time work)	M	1471
New South Wales	2011	45-49		F	10250
New South Wales	2011	45-49		M	12319
New South Wales	2011	45-49	Employed (away from work)	F	5224
New South Wales	2011	45-49	Employed (away from work)	M	5049
New South Wales	2011	45-49	Employed (full-time)	F	93670
New South Wales	2011	45-49	Employed (full-time)	M	157509
New South Wales	2011	45-49	Employed (hours worked not stated)	F	3033
New South Wales	2011	45-49	Employed (hours worked not stated)	M	4452
New South Wales	2011	45-49	Employed (part-time)	F	73445
New South Wales	2011	45-49	Employed (part-time)	M	22751
New South Wales	2011	45-49	Not in the labour force	F	50517
New South Wales	2011	45-49	Not in the labour force	M	26563
New South Wales	2011	45-49	Unemployed (looking for full-time work)	F	4390
New South Wales	2011	45-49	Unemployed (looking for full-time work)	M	6739
New South Wales	2011	45-49	Unemployed (looking for part-time work)	F	4020
New South Wales	2011	45-49	Unemployed (looking for part-time work)	M	1499
New South Wales	2011	50-54		F	9988
New South Wales	2011	50-54		M	12351
New South Wales	2011	50-54	Employed (away from work)	F	6168
New South Wales	2011	50-54	Employed (away from work)	M	5467
New South Wales	2011	50-54	Employed (full-time)	F	90790
New South Wales	2011	50-54	Employed (full-time)	M	146249
New South Wales	2011	50-54	Employed (hours worked not stated)	F	2719
New South Wales	2011	50-54	Employed (hours worked not stated)	M	3859
New South Wales	2011	50-54	Employed (part-time)	F	66212
New South Wales	2011	50-54	Employed (part-time)	M	23482
New South Wales	2011	50-54	Not in the labour force	F	55876
New South Wales	2011	50-54	Not in the labour force	M	31136
New South Wales	2011	50-54	Unemployed (looking for full-time work)	F	3724
New South Wales	2011	50-54	Unemployed (looking for full-time work)	M	6218
New South Wales	2011	50-54	Unemployed (looking for part-time work)	F	3221
New South Wales	2011	50-54	Unemployed (looking for part-time work)	M	1566
New South Wales	2011	55-59		F	9271
New South Wales	2011	55-59		M	10644
New South Wales	2011	55-59	Employed (away from work)	F	5701
New South Wales	2011	55-59	Employed (away from work)	M	5697
New South Wales	2011	55-59	Employed (full-time)	F	64804
New South Wales	2011	55-59	Employed (full-time)	M	113967
New South Wales	2011	55-59	Employed (hours worked not stated)	F	2015
New South Wales	2011	55-59	Employed (hours worked not stated)	M	2957
New South Wales	2011	55-59	Employed (part-time)	F	53417
New South Wales	2011	55-59	Employed (part-time)	M	23662
New South Wales	2011	55-59	Not in the labour force	F	73591
New South Wales	2011	55-59	Not in the labour force	M	42114
New South Wales	2011	55-59	Unemployed (looking for full-time work)	F	2300
New South Wales	2011	55-59	Unemployed (looking for full-time work)	M	5299
New South Wales	2011	55-59	Unemployed (looking for part-time work)	F	2410
New South Wales	2011	55-59	Unemployed (looking for part-time work)	M	1760
New South Wales	2011	60-64		F	9037
New South Wales	2011	60-64		M	10029
New South Wales	2011	60-64	Employed (away from work)	F	3915
New South Wales	2011	60-64	Employed (away from work)	M	4386
New South Wales	2011	60-64	Employed (full-time)	F	32108
New South Wales	2011	60-64	Employed (full-time)	M	70871
New South Wales	2011	60-64	Employed (hours worked not stated)	F	1419
New South Wales	2011	60-64	Employed (hours worked not stated)	M	2081
New South Wales	2011	60-64	Employed (part-time)	F	38609
New South Wales	2011	60-64	Employed (part-time)	M	26504
New South Wales	2011	60-64	Not in the labour force	F	108827
New South Wales	2011	60-64	Not in the labour force	M	74215
New South Wales	2011	60-64	Unemployed (looking for full-time work)	F	1072
New South Wales	2011	60-64	Unemployed (looking for full-time work)	M	3820
New South Wales	2011	60-64	Unemployed (looking for part-time work)	F	1669
New South Wales	2011	60-64	Unemployed (looking for part-time work)	M	2119
New South Wales	2011	65-69		F	8212
New South Wales	2011	65-69		M	8697
New South Wales	2011	65-69	Employed (away from work)	F	1521
New South Wales	2011	65-69	Employed (away from work)	M	2034
New South Wales	2011	65-69	Employed (full-time)	F	8769
New South Wales	2011	65-69	Employed (full-time)	M	24047
New South Wales	2011	65-69	Employed (hours worked not stated)	F	675
New South Wales	2011	65-69	Employed (hours worked not stated)	M	985
New South Wales	2011	65-69	Employed (part-time)	F	15453
New South Wales	2011	65-69	Employed (part-time)	M	16871
New South Wales	2011	65-69	Not in the labour force	F	118597
New South Wales	2011	65-69	Not in the labour force	M	96898
New South Wales	2011	65-69	Unemployed (looking for full-time work)	F	81
New South Wales	2011	65-69	Unemployed (looking for full-time work)	M	448
New South Wales	2011	65-69	Unemployed (looking for part-time work)	F	345
New South Wales	2011	65-69	Unemployed (looking for part-time work)	M	673
New South Wales	2011	70-74		F	7984
New South Wales	2011	70-74		M	7668
New South Wales	2011	70-74	Employed (away from work)	F	554
New South Wales	2011	70-74	Employed (away from work)	M	757
New South Wales	2011	70-74	Employed (full-time)	F	1985
New South Wales	2011	70-74	Employed (full-time)	M	6665
New South Wales	2011	70-74	Employed (hours worked not stated)	F	354
New South Wales	2011	70-74	Employed (hours worked not stated)	M	514
New South Wales	2011	70-74	Employed (part-time)	F	5232
New South Wales	2011	70-74	Employed (part-time)	M	7801
New South Wales	2011	70-74	Not in the labour force	F	106707
New South Wales	2011	70-74	Not in the labour force	M	90625
New South Wales	2011	70-74	Unemployed (looking for full-time work)	F	24
New South Wales	2011	70-74	Unemployed (looking for full-time work)	M	120
New South Wales	2011	70-74	Unemployed (looking for part-time work)	F	95
New South Wales	2011	70-74	Unemployed (looking for part-time work)	M	281
New South Wales	2011	75+		F	30129
New South Wales	2011	75+		M	19215
New South Wales	2011	75+	Employed (away from work)	F	443
New South Wales	2011	75+	Employed (away from work)	M	675
New South Wales	2011	75+	Employed (full-time)	F	925
New South Wales	2011	75+	Employed (full-time)	M	3190
New South Wales	2011	75+	Employed (hours worked not stated)	F	525
New South Wales	2011	75+	Employed (hours worked not stated)	M	593
New South Wales	2011	75+	Employed (part-time)	F	2456
New South Wales	2011	75+	Employed (part-time)	M	4941
New South Wales	2011	75+	Not in the labour force	F	243302
New South Wales	2011	75+	Not in the labour force	M	169783
New South Wales	2011	75+	Unemployed (looking for full-time work)	F	27
New South Wales	2011	75+	Unemployed (looking for full-time work)	M	59
New South Wales	2011	75+	Unemployed (looking for part-time work)	F	90
New South Wales	2011	75+	Unemployed (looking for part-time work)	M	142
New South Wales	2016	15-19		F	10392
New South Wales	2016	15-19		M	11449
New South Wales	2016	15-19	Employed (away from work)	F	3497
New South Wales	2016	15-19	Employed (away from work)	M	2889
New South Wales	2016	15-19	Employed (full-time)	F	11224
New South Wales	2016	15-19	Employed (full-time)	M	24091
New South Wales	2016	15-19	Employed (hours worked not stated)	F	2385
New South Wales	2016	15-19	Employed (hours worked not stated)	M	2518
New South Wales	2016	15-19	Employed (part-time)	F	67000
New South Wales	2016	15-19	Employed (part-time)	M	48451
New South Wales	2016	15-19	Not in the labour force	F	106442
New South Wales	2016	15-19	Not in the labour force	M	121725
New South Wales	2016	15-19	Unemployed (looking for full-time work)	F	4098
New South Wales	2016	15-19	Unemployed (looking for full-time work)	M	6408
New South Wales	2016	15-19	Unemployed (looking for part-time work)	F	13280
New South Wales	2016	15-19	Unemployed (looking for part-time work)	M	12565
New South Wales	2016	20-24		F	14958
New South Wales	2016	20-24		M	15979
New South Wales	2016	20-24	Employed (away from work)	F	4853
New South Wales	2016	20-24	Employed (away from work)	M	3627
New South Wales	2016	20-24	Employed (full-time)	F	68782
New South Wales	2016	20-24	Employed (full-time)	M	91117
New South Wales	2016	20-24	Employed (hours worked not stated)	F	3759
New South Wales	2016	20-24	Employed (hours worked not stated)	M	4986
New South Wales	2016	20-24	Employed (part-time)	F	74555
New South Wales	2016	20-24	Employed (part-time)	M	59741
New South Wales	2016	20-24	Not in the labour force	F	57753
New South Wales	2016	20-24	Not in the labour force	M	51198
New South Wales	2016	20-24	Unemployed (looking for full-time work)	F	7195
New South Wales	2016	20-24	Unemployed (looking for full-time work)	M	12263
New South Wales	2016	20-24	Unemployed (looking for part-time work)	F	9335
New South Wales	2016	20-24	Unemployed (looking for part-time work)	M	9582
New South Wales	2016	25-29		F	17957
New South Wales	2016	25-29		M	18901
New South Wales	2016	25-29	Employed (away from work)	F	8261
New South Wales	2016	25-29	Employed (away from work)	M	3817
New South Wales	2016	25-29	Employed (full-time)	F	115705
New South Wales	2016	25-29	Employed (full-time)	M	150922
New South Wales	2016	25-29	Employed (hours worked not stated)	F	3392
New South Wales	2016	25-29	Employed (hours worked not stated)	M	4947
New South Wales	2016	25-29	Employed (part-time)	F	54944
New South Wales	2016	25-29	Employed (part-time)	M	37599
New South Wales	2016	25-29	Not in the labour force	F	54120
New South Wales	2016	25-29	Not in the labour force	M	30470
New South Wales	2016	25-29	Unemployed (looking for full-time work)	F	6614
New South Wales	2016	25-29	Unemployed (looking for full-time work)	M	9865
New South Wales	2016	25-29	Unemployed (looking for part-time work)	F	5589
New South Wales	2016	25-29	Unemployed (looking for part-time work)	M	4060
New South Wales	2016	30-34		F	17056
New South Wales	2016	30-34		M	18188
New South Wales	2016	30-34	Employed (away from work)	F	13430
New South Wales	2016	30-34	Employed (away from work)	M	4286
New South Wales	2016	30-34	Employed (full-time)	F	102581
New South Wales	2016	30-34	Employed (full-time)	M	176888
New South Wales	2016	30-34	Employed (hours worked not stated)	F	2983
New South Wales	2016	30-34	Employed (hours worked not stated)	M	4701
New South Wales	2016	30-34	Employed (part-time)	F	66651
New South Wales	2016	30-34	Employed (part-time)	M	28364
New South Wales	2016	30-34	Not in the labour force	F	61045
New South Wales	2016	30-34	Not in the labour force	M	23150
New South Wales	2016	30-34	Unemployed (looking for full-time work)	F	5420
New South Wales	2016	30-34	Unemployed (looking for full-time work)	M	8191
New South Wales	2016	30-34	Unemployed (looking for part-time work)	F	5221
New South Wales	2016	30-34	Unemployed (looking for part-time work)	M	2213
New South Wales	2016	35-39		F	14238
New South Wales	2016	35-39		M	15557
New South Wales	2016	35-39	Employed (away from work)	F	8934
New South Wales	2016	35-39	Employed (away from work)	M	3759
New South Wales	2016	35-39	Employed (full-time)	F	86629
New South Wales	2016	35-39	Employed (full-time)	M	169590
New South Wales	2016	35-39	Employed (hours worked not stated)	F	2537
New South Wales	2016	35-39	Employed (hours worked not stated)	M	3999
New South Wales	2016	35-39	Employed (part-time)	F	73798
New South Wales	2016	35-39	Employed (part-time)	M	23875
New South Wales	2016	35-39	Not in the labour force	F	56433
New South Wales	2016	35-39	Not in the labour force	M	21596
New South Wales	2016	35-39	Unemployed (looking for full-time work)	F	4633
New South Wales	2016	35-39	Unemployed (looking for full-time work)	M	7316
New South Wales	2016	35-39	Unemployed (looking for part-time work)	F	5150
New South Wales	2016	35-39	Unemployed (looking for part-time work)	M	1670
New South Wales	2016	40-44		F	13689
New South Wales	2016	40-44		M	15080
New South Wales	2016	40-44	Employed (away from work)	F	4789
New South Wales	2016	40-44	Employed (away from work)	M	3733
New South Wales	2016	40-44	Employed (full-time)	F	94405
New South Wales	2016	40-44	Employed (full-time)	M	167989
New South Wales	2016	40-44	Employed (hours worked not stated)	F	2582
New South Wales	2016	40-44	Employed (hours worked not stated)	M	3587
New South Wales	2016	40-44	Employed (part-time)	F	79294
