STE_NAME16	Year	Occupation	workers
Tasmania	2011	Clerical and administrative workers	30054
Tasmania	2011	Community and personal service workers	24220
Tasmania	2011	Labourers	24652
Tasmania	2011	Machinery operators and drivers	14579
Tasmania	2011	Managers	26971
Tasmania	2011	Professionals	40145
Tasmania	2011	Sales workers	21152
Tasmania	2011	Technicians and trades workers	32254
Tasmania	2016		3769
Tasmania	2016	Clerical and administrative workers	28194
Tasmania	2016	Community and personal service workers	26754
Tasmania	2016	Labourers	25183
Tasmania	2016	Machinery operators and drivers	13800
Tasmania	2016	Managers	26467
Tasmania	2016	Professionals	40772
Tasmania	2016	Sales workers	21402
Tasmania	2016	Technicians and trades workers	30243
Northern Territory	2006		2435
Northern Territory	2006	Clerical and administrative workers	12670
Northern Territory	2006	Community and personal service workers	10910
Northern Territory	2006	Labourers	10363
Northern Territory	2006	Machinery operators and drivers	5108
Northern Territory	2006	Managers	10546
Northern Territory	2006	Professionals	15842
Northern Territory	2006	Sales workers	6441
Northern Territory	2006	Technicians and trades workers	12867
Northern Territory	2011		2373
Northern Territory	2011	Clerical and administrative workers	14471
Northern Territory	2011	Community and personal service workers	13186
Northern Territory	2011	Labourers	9424
Northern Territory	2011	Machinery operators and drivers	5966
Northern Territory	2011	Managers	11837
Northern Territory	2011	Professionals	19641
Northern Territory	2011	Sales workers	6677
Northern Territory	2011	Technicians and trades workers	14905
Northern Territory	2016		2535
Northern Territory	2016	Clerical and administrative workers	14102
Northern Territory	2016	Community and personal service workers	14178
Northern Territory	2016	Labourers	9642
Northern Territory	2016	Machinery operators and drivers	5880
Northern Territory	2016	Managers	12515
Northern Territory	2016	Professionals	20654
Northern Territory	2016	Sales workers	7021
Northern Territory	2016	Technicians and trades workers	16189
Australian Capital Territory	2006		2581
Australian Capital Territory	2006	Clerical and administrative workers	33582
Australian Capital Territory	2006	Community and personal service workers	15942
Australian Capital Territory	2006	Labourers	9180
Australian Capital Territory	2006	Machinery operators and drivers	4385
Australian Capital Territory	2006	Managers	27171
Australian Capital Territory	2006	Professionals	51570
Australian Capital Territory	2006	Sales workers	13205
Australian Capital Territory	2006	Technicians and trades workers	18671
Australian Capital Territory	2011		3824
Australian Capital Territory	2011	Clerical and administrative workers	37511
Australian Capital Territory	2011	Community and personal service workers	18232
Australian Capital Territory	2011	Labourers	9267
Australian Capital Territory	2011	Machinery operators and drivers	4675
Australian Capital Territory	2011	Managers	31030
Australian Capital Territory	2011	Professionals	58083
Australian Capital Territory	2011	Sales workers	13360
Australian Capital Territory	2011	Technicians and trades workers	19909
Australian Capital Territory	2016		5129
Australian Capital Territory	2016	Clerical and administrative workers	34668
Australian Capital Territory	2016	Community and personal service workers	21694
Australian Capital Territory	2016	Labourers	10354
Australian Capital Territory	2016	Machinery operators and drivers	4692
Australian Capital Territory	2016	Managers	32776
Australian Capital Territory	2016	Professionals	62716
Australian Capital Territory	2016	Sales workers	13956
Australian Capital Territory	2016	Technicians and trades workers	19639
Other Territories	2006		35
Other Territories	2006	Clerical and administrative workers	109
Other Territories	2006	Community and personal service workers	117
Other Territories	2006	Labourers	154
Other Territories	2006	Machinery operators and drivers	95
Other Territories	2006	Managers	167
Other Territories	2006	Professionals	154
Other Territories	2006	Sales workers	29
Other Territories	2006	Technicians and trades workers	198
Other Territories	2011		36
Other Territories	2011	Clerical and administrative workers	158
Other Territories	2011	Community and personal service workers	146
Other Territories	2011	Labourers	170
Other Territories	2011	Machinery operators and drivers	96
Other Territories	2011	Managers	165
Other Territories	2011	Professionals	189
Other Territories	2011	Sales workers	20
Other Territories	2011	Technicians and trades workers	202
Other Territories	2016		54
Other Territories	2016	Clerical and administrative workers	249
Other Territories	2016	Community and personal service workers	301
Other Territories	2016	Labourers	302
Other Territories	2016	Machinery operators and drivers	161
Other Territories	2016	Managers	340
Other Territories	2016	Professionals	242
Other Territories	2016	Sales workers	130
Other Territories	2016	Technicians and trades workers	380
