STE_NAME16	Year	Age	Denomination	Religion	persons
New South Wales	2006	65-74	Catholic	Christianity	133664
New South Wales	2006	65-74	Churches Of Christ	Christianity	830
New South Wales	2006	65-74	Eastern Orthodox	Christianity	20196
New South Wales	2006	65-74	Jehovah's Witnesses	Christianity	1741
New South Wales	2006	65-74	Latter Day Saints	Christianity	688
New South Wales	2006	65-74	Lutheran	Christianity	4693
New South Wales	2006	65-74	Oriental Orthodox	Christianity	1498
New South Wales	2006	65-74	Pentecostal	Christianity	2325
New South Wales	2006	65-74	Presbyterian Reformed	Christianity	26043
New South Wales	2006	65-74	Protestant (Other)	Christianity	1029
New South Wales	2006	65-74	Salvation Army	Christianity	2034
New South Wales	2006	65-74	Seventh Day Adventist	Christianity	1705
New South Wales	2006	65-74	Sikhism	(Other)	357
New South Wales	2006	65-74	Uniting Church	Christianity	29149
New South Wales	2006	75-84		(Other)	31716
New South Wales	2006	75-84		Buddhism	3740
New South Wales	2006	75-84		Christianity	2031
New South Wales	2006	75-84		Hinduism	824
New South Wales	2006	75-84		Islam	1206
New South Wales	2006	75-84		Judaism	2783
New South Wales	2006	75-84		No religion	20603
New South Wales	2006	75-84	(Other)	(Other)	394
New South Wales	2006	75-84	(Other)	Christianity	414
New South Wales	2006	75-84	Anglican	Christianity	105544
New South Wales	2006	75-84	Assyrian Apostolic	Christianity	224
New South Wales	2006	75-84	Australian Aboriginal Traditional	(Other)	0
New South Wales	2006	75-84	Baptist	Christianity	4901
New South Wales	2006	75-84	Brethren	Christianity	385
New South Wales	2006	75-84	Catholic	Christianity	87933
New South Wales	2006	75-84	Churches Of Christ	Christianity	626
New South Wales	2006	75-84	Eastern Orthodox	Christianity	9798
New South Wales	2006	75-84	Jehovah's Witnesses	Christianity	1050
New South Wales	2006	75-84	Latter Day Saints	Christianity	353
New South Wales	2006	75-84	Lutheran	Christianity	3496
New South Wales	2006	75-84	Oriental Orthodox	Christianity	699
New South Wales	2006	75-84	Pentecostal	Christianity	975
New South Wales	2006	75-84	Presbyterian Reformed	Christianity	21614
New South Wales	2006	75-84	Protestant (Other)	Christianity	702
New South Wales	2006	75-84	Salvation Army	Christianity	1339
New South Wales	2006	75-84	Seventh Day Adventist	Christianity	1322
New South Wales	2006	75-84	Sikhism	(Other)	132
New South Wales	2006	75-84	Uniting Church	Christianity	24002
New South Wales	2006	85+		(Other)	13055
New South Wales	2006	85+		Buddhism	1138
New South Wales	2006	85+		Christianity	694
New South Wales	2006	85+		Hinduism	162
New South Wales	2006	85+		Islam	268
New South Wales	2006	85+		Judaism	1369
New South Wales	2006	85+		No religion	5889
New South Wales	2006	85+	(Other)	(Other)	112
New South Wales	2006	85+	(Other)	Christianity	182
New South Wales	2006	85+	Anglican	Christianity	38870
New South Wales	2006	85+	Assyrian Apostolic	Christianity	32
New South Wales	2006	85+	Australian Aboriginal Traditional	(Other)	0
New South Wales	2006	85+	Baptist	Christianity	1872
New South Wales	2006	85+	Brethren	Christianity	209
New South Wales	2006	85+	Catholic	Christianity	25118
New South Wales	2006	85+	Churches Of Christ	Christianity	247
New South Wales	2006	85+	Eastern Orthodox	Christianity	2085
New South Wales	2006	85+	Jehovah's Witnesses	Christianity	355
New South Wales	2006	85+	Latter Day Saints	Christianity	119
New South Wales	2006	85+	Lutheran	Christianity	1022
New South Wales	2006	85+	Oriental Orthodox	Christianity	159
New South Wales	2006	85+	Pentecostal	Christianity	221
New South Wales	2006	85+	Presbyterian Reformed	Christianity	7750
New South Wales	2006	85+	Protestant (Other)	Christianity	302
New South Wales	2006	85+	Salvation Army	Christianity	525
New South Wales	2006	85+	Seventh Day Adventist	Christianity	549
New South Wales	2006	85+	Sikhism	(Other)	29
New South Wales	2006	85+	Uniting Church	Christianity	9321
New South Wales	2011	0-14		(Other)	108683
New South Wales	2011	0-14		Buddhism	29002
New South Wales	2011	0-14		Christianity	28318
New South Wales	2011	0-14		Hinduism	23696
New South Wales	2011	0-14		Islam	65970
New South Wales	2011	0-14		Judaism	7042
New South Wales	2011	0-14		No religion	276226
New South Wales	2011	0-14	(Other)	(Other)	4144
New South Wales	2011	0-14	(Other)	Christianity	1569
New South Wales	2011	0-14	Anglican	Christianity	217089
New South Wales	2011	0-14	Assyrian Apostolic	Christianity	1679
New South Wales	2011	0-14	Australian Aboriginal Traditional	(Other)	231
New South Wales	2011	0-14	Baptist	Christianity	18140
New South Wales	2011	0-14	Brethren	Christianity	1862
New South Wales	2011	0-14	Catholic	Christianity	398852
New South Wales	2011	0-14	Churches Of Christ	Christianity	1239
New South Wales	2011	0-14	Eastern Orthodox	Christianity	38934
New South Wales	2011	0-14	Jehovah's Witnesses	Christianity	4056
New South Wales	2011	0-14	Latter Day Saints	Christianity	4551
New South Wales	2011	0-14	Lutheran	Christianity	3854
New South Wales	2011	0-14	Oriental Orthodox	Christianity	4786
New South Wales	2011	0-14	Pentecostal	Christianity	16450
New South Wales	2011	0-14	Presbyterian Reformed	Christianity	21759
New South Wales	2011	0-14	Protestant (Other)	Christianity	3652
New South Wales	2011	0-14	Salvation Army	Christianity	2949
New South Wales	2011	0-14	Seventh Day Adventist	Christianity	4625
New South Wales	2011	0-14	Sikhism	(Other)	4347
New South Wales	2011	0-14	Uniting Church	Christianity	38818
New South Wales	2011	15-24		(Other)	79966
New South Wales	2011	15-24		Buddhism	26914
New South Wales	2011	15-24		Christianity	18838
New South Wales	2011	15-24		Hinduism	15118
New South Wales	2011	15-24		Islam	36272
New South Wales	2011	15-24		Judaism	4029
New South Wales	2011	15-24		No religion	198682
New South Wales	2011	15-24	(Other)	(Other)	3864
New South Wales	2011	15-24	(Other)	Christianity	1087
New South Wales	2011	15-24	Anglican	Christianity	136912
New South Wales	2011	15-24	Assyrian Apostolic	Christianity	1273
New South Wales	2011	15-24	Australian Aboriginal Traditional	(Other)	180
New South Wales	2011	15-24	Baptist	Christianity	12475
New South Wales	2011	15-24	Brethren	Christianity	1384
New South Wales	2011	15-24	Catholic	Christianity	251669
New South Wales	2011	15-24	Churches Of Christ	Christianity	886
New South Wales	2011	15-24	Eastern Orthodox	Christianity	22537
New South Wales	2011	15-24	Jehovah's Witnesses	Christianity	2556
New South Wales	2011	15-24	Latter Day Saints	Christianity	2656
New South Wales	2011	15-24	Lutheran	Christianity	2706
New South Wales	2011	15-24	Oriental Orthodox	Christianity	3269
New South Wales	2011	15-24	Pentecostal	Christianity	11955
New South Wales	2011	15-24	Presbyterian Reformed	Christianity	16443
New South Wales	2011	15-24	Protestant (Other)	Christianity	2786
New South Wales	2011	15-24	Salvation Army	Christianity	2139
New South Wales	2011	15-24	Seventh Day Adventist	Christianity	3034
New South Wales	2011	15-24	Sikhism	(Other)	3539
New South Wales	2011	15-24	Uniting Church	Christianity	29938
New South Wales	2011	25-34		(Other)	89036
New South Wales	2011	25-34		Buddhism	35666
New South Wales	2011	25-34		Christianity	17748
New South Wales	2011	25-34		Hinduism	37636
New South Wales	2011	25-34		Islam	45128
New South Wales	2011	25-34		Judaism	4327
New South Wales	2011	25-34		No religion	217506
New South Wales	2011	25-34	(Other)	(Other)	5314
New South Wales	2011	25-34	(Other)	Christianity	1121
New South Wales	2011	25-34	Anglican	Christianity	134778
New South Wales	2011	25-34	Assyrian Apostolic	Christianity	1287
New South Wales	2011	25-34	Australian Aboriginal Traditional	(Other)	168
New South Wales	2011	25-34	Baptist	Christianity	12421
New South Wales	2011	25-34	Brethren	Christianity	988
New South Wales	2011	25-34	Catholic	Christianity	232919
New South Wales	2011	25-34	Churches Of Christ	Christianity	790
New South Wales	2011	25-34	Eastern Orthodox	Christianity	25271
New South Wales	2011	25-34	Jehovah's Witnesses	Christianity	3278
New South Wales	2011	25-34	Latter Day Saints	Christianity	2348
New South Wales	2011	25-34	Lutheran	Christianity	3178
New South Wales	2011	25-34	Oriental Orthodox	Christianity	3821
New South Wales	2011	25-34	Pentecostal	Christianity	10831
New South Wales	2011	25-34	Presbyterian Reformed	Christianity	17184
New South Wales	2011	25-34	Protestant (Other)	Christianity	2795
New South Wales	2011	25-34	Salvation Army	Christianity	1734
New South Wales	2011	25-34	Seventh Day Adventist	Christianity	2913
New South Wales	2011	25-34	Sikhism	(Other)	7422
New South Wales	2011	25-34	Uniting Church	Christianity	23876
New South Wales	2011	35-44		(Other)	77762
New South Wales	2011	35-44		Buddhism	34754
New South Wales	2011	35-44		Christianity	16926
New South Wales	2011	35-44		Hinduism	19576
New South Wales	2011	35-44		Islam	31024
New South Wales	2011	35-44		Judaism	5290
New South Wales	2011	35-44		No religion	186035
New South Wales	2011	35-44	(Other)	(Other)	5169
New South Wales	2011	35-44	(Other)	Christianity	1310
New South Wales	2011	35-44	Anglican	Christianity	186974
New South Wales	2011	35-44	Assyrian Apostolic	Christianity	1174
New South Wales	2011	35-44	Australian Aboriginal Traditional	(Other)	181
New South Wales	2011	35-44	Baptist	Christianity	13310
New South Wales	2011	35-44	Brethren	Christianity	764
New South Wales	2011	35-44	Catholic	Christianity	263696
New South Wales	2011	35-44	Churches Of Christ	Christianity	955
New South Wales	2011	35-44	Eastern Orthodox	Christianity	35668
New South Wales	2011	35-44	Jehovah's Witnesses	Christianity	3444
New South Wales	2011	35-44	Latter Day Saints	Christianity	2131
New South Wales	2011	35-44	Lutheran	Christianity	4273
New South Wales	2011	35-44	Oriental Orthodox	Christianity	2989
New South Wales	2011	35-44	Pentecostal	Christianity	10168
New South Wales	2011	35-44	Presbyterian Reformed	Christianity	26375
New South Wales	2011	35-44	Protestant (Other)	Christianity	2508
New South Wales	2011	35-44	Salvation Army	Christianity	2209
New South Wales	2011	35-44	Seventh Day Adventist	Christianity	3024
New South Wales	2011	35-44	Sikhism	(Other)	2884
New South Wales	2011	35-44	Uniting Church	Christianity	31051
New South Wales	2011	45-54		(Other)	72587
New South Wales	2011	45-54		Buddhism	35101
New South Wales	2011	45-54		Christianity	17220
New South Wales	2011	45-54		Hinduism	12177
New South Wales	2011	45-54		Islam	21233
New South Wales	2011	45-54		Judaism	5160
New South Wales	2011	45-54		No religion	160865
New South Wales	2011	45-54	(Other)	(Other)	4802
New South Wales	2011	45-54	(Other)	Christianity	1391
New South Wales	2011	45-54	Anglican	Christianity	201862
New South Wales	2011	45-54	Assyrian Apostolic	Christianity	1343
New South Wales	2011	45-54	Australian Aboriginal Traditional	(Other)	188
New South Wales	2011	45-54	Baptist	Christianity	14710
New South Wales	2011	45-54	Brethren	Christianity	796
New South Wales	2011	45-54	Catholic	Christianity	262664
New South Wales	2011	45-54	Churches Of Christ	Christianity	1237
New South Wales	2011	45-54	Eastern Orthodox	Christianity	27832
New South Wales	2011	45-54	Jehovah's Witnesses	Christianity	3432
New South Wales	2011	45-54	Latter Day Saints	Christianity	1938
New South Wales	2011	45-54	Lutheran	Christianity	4933
New South Wales	2011	45-54	Oriental Orthodox	Christianity	3187
New South Wales	2011	45-54	Pentecostal	Christianity	10146
New South Wales	2011	45-54	Presbyterian Reformed	Christianity	34912
New South Wales	2011	45-54	Protestant (Other)	Christianity	2689
New South Wales	2011	45-54	Salvation Army	Christianity	2762
New South Wales	2011	45-54	Seventh Day Adventist	Christianity	3116
New South Wales	2011	45-54	Sikhism	(Other)	1709
New South Wales	2011	45-54	Uniting Church	Christianity	40463
New South Wales	2011	55-64		(Other)	60542
New South Wales	2011	55-64		Buddhism	24031
New South Wales	2011	55-64		Christianity	13244
New South Wales	2011	55-64		Hinduism	6987
New South Wales	2011	55-64		Islam	12220
New South Wales	2011	55-64		Judaism	5855
New South Wales	2011	55-64		No religion	121171
New South Wales	2011	55-64	(Other)	(Other)	3357
New South Wales	2011	55-64	(Other)	Christianity	1235
New South Wales	2011	55-64	Anglican	Christianity	201627
New South Wales	2011	55-64	Assyrian Apostolic	Christianity	961
New South Wales	2011	55-64	Australian Aboriginal Traditional	(Other)	101
New South Wales	2011	55-64	Baptist	Christianity	12871
New South Wales	2011	55-64	Brethren	Christianity	579
New South Wales	2011	55-64	Catholic	Christianity	214493
New South Wales	2011	55-64	Churches Of Christ	Christianity	1166
New South Wales	2011	55-64	Eastern Orthodox	Christianity	23346
New South Wales	2011	55-64	Jehovah's Witnesses	Christianity	3258
New South Wales	2011	55-64	Latter Day Saints	Christianity	1435
New South Wales	2011	55-64	Lutheran	Christianity	4860
New South Wales	2011	55-64	Oriental Orthodox	Christianity	2682
New South Wales	2011	55-64	Pentecostal	Christianity	7264
New South Wales	2011	55-64	Presbyterian Reformed	Christianity	37057
New South Wales	2011	55-64	Protestant (Other)	Christianity	1971
New South Wales	2011	55-64	Salvation Army	Christianity	2858
New South Wales	2011	55-64	Seventh Day Adventist	Christianity	2785
New South Wales	2011	55-64	Sikhism	(Other)	1054
New South Wales	2011	55-64	Uniting Church	Christianity	41276
New South Wales	2011	65-74		(Other)	39628
New South Wales	2011	65-74		Buddhism	9187
New South Wales	2011	65-74		Christianity	6977
New South Wales	2011	65-74		Hinduism	3012
New South Wales	2011	65-74		Islam	5456
New South Wales	2011	65-74		Judaism	3710
New South Wales	2011	65-74		No religion	56697
New South Wales	2011	65-74	(Other)	(Other)	1368
New South Wales	2011	65-74	(Other)	Christianity	788
New South Wales	2011	65-74	Anglican	Christianity	152886
New South Wales	2011	65-74	Assyrian Apostolic	Christianity	579
New South Wales	2011	65-74	Australian Aboriginal Traditional	(Other)	26
New South Wales	2011	65-74	Baptist	Christianity	8681
New South Wales	2011	65-74	Brethren	Christianity	458
New South Wales	2011	65-74	Catholic	Christianity	149920
New South Wales	2011	65-74	Churches Of Christ	Christianity	869
New South Wales	2011	65-74	Eastern Orthodox	Christianity	21330
New South Wales	2011	65-74	Jehovah's Witnesses	Christianity	2211
New South Wales	2011	65-74	Latter Day Saints	Christianity	783
New South Wales	2011	65-74	Lutheran	Christianity	4630
New South Wales	2011	65-74	Oriental Orthodox	Christianity	1802
New South Wales	2011	65-74	Pentecostal	Christianity	3121
New South Wales	2011	65-74	Presbyterian Reformed	Christianity	29039
New South Wales	2011	65-74	Protestant (Other)	Christianity	1194
New South Wales	2011	65-74	Salvation Army	Christianity	2257
New South Wales	2011	65-74	Seventh Day Adventist	Christianity	2011
New South Wales	2011	65-74	Sikhism	(Other)	457
New South Wales	2011	65-74	Uniting Church	Christianity	32614
New South Wales	2011	75-84		(Other)	27585
New South Wales	2011	75-84		Buddhism	4916
New South Wales	2011	75-84		Christianity	3289
New South Wales	2011	75-84		Hinduism	1302
New South Wales	2011	75-84		Islam	1716
New South Wales	2011	75-84		Judaism	2481
New South Wales	2011	75-84		No religion	26844
New South Wales	2011	75-84	(Other)	(Other)	513
New South Wales	2011	75-84	(Other)	Christianity	454
New South Wales	2011	75-84	Anglican	Christianity	100246
New South Wales	2011	75-84	Assyrian Apostolic	Christianity	337
New South Wales	2011	75-84	Australian Aboriginal Traditional	(Other)	6
New South Wales	2011	75-84	Baptist	Christianity	5004
New South Wales	2011	75-84	Brethren	Christianity	359
New South Wales	2011	75-84	Catholic	Christianity	94339
New South Wales	2011	75-84	Churches Of Christ	Christianity	522
New South Wales	2011	75-84	Eastern Orthodox	Christianity	13445
New South Wales	2011	75-84	Jehovah's Witnesses	Christianity	1231
New South Wales	2011	75-84	Latter Day Saints	Christianity	425
New South Wales	2011	75-84	Lutheran	Christianity	3293
New South Wales	2011	75-84	Oriental Orthodox	Christianity	931
New South Wales	2011	75-84	Pentecostal	Christianity	1277
New South Wales	2011	75-84	Presbyterian Reformed	Christianity	20002
New South Wales	2011	75-84	Protestant (Other)	Christianity	708
New South Wales	2011	75-84	Salvation Army	Christianity	1447
New South Wales	2011	75-84	Seventh Day Adventist	Christianity	1378
New South Wales	2011	75-84	Sikhism	(Other)	243
New South Wales	2011	75-84	Uniting Church	Christianity	22437
New South Wales	2011	85+		(Other)	15026
New South Wales	2011	85+		Buddhism	1464
New South Wales	2011	85+		Christianity	1241
New South Wales	2011	85+		Hinduism	303
New South Wales	2011	85+		Islam	361
New South Wales	2011	85+		Judaism	1829
New South Wales	2011	85+		No religion	9313
New South Wales	2011	85+	(Other)	(Other)	155
New South Wales	2011	85+	(Other)	Christianity	196
New South Wales	2011	85+	Anglican	Christianity	46012
New South Wales	2011	85+	Assyrian Apostolic	Christianity	74
New South Wales	2011	85+	Australian Aboriginal Traditional	(Other)	0
New South Wales	2011	85+	Baptist	Christianity	2272
New South Wales	2011	85+	Brethren	Christianity	176
New South Wales	2011	85+	Catholic	Christianity	33843
New South Wales	2011	85+	Churches Of Christ	Christianity	241
New South Wales	2011	85+	Eastern Orthodox	Christianity	3325
New South Wales	2011	85+	Jehovah's Witnesses	Christianity	493
New South Wales	2011	85+	Latter Day Saints	Christianity	137
New South Wales	2011	85+	Lutheran	Christianity	1371
New South Wales	2011	85+	Oriental Orthodox	Christianity	238
New South Wales	2011	85+	Pentecostal	Christianity	297
New South Wales	2011	85+	Presbyterian Reformed	Christianity	9199
New South Wales	2011	85+	Protestant (Other)	Christianity	344
New South Wales	2011	85+	Salvation Army	Christianity	563
New South Wales	2011	85+	Seventh Day Adventist	Christianity	603
New South Wales	2011	85+	Sikhism	(Other)	46
New South Wales	2011	85+	Uniting Church	Christianity	10616
New South Wales	2016	0-14		(Other)	111984
New South Wales	2016	0-14		Buddhism	25318
New South Wales	2016	0-14		Christianity	34055
New South Wales	2016	0-14		Hinduism	38016
New South Wales	2016	0-14		Islam	79931
New South Wales	2016	0-14		Judaism	6646
New South Wales	2016	0-14		No religion	395982
New South Wales	2016	0-14	(Other)	(Other)	4599
New South Wales	2016	0-14	(Other)	Christianity	1170
New South Wales	2016	0-14	Anglican	Christianity	164801
New South Wales	2016	0-14	Assyrian Apostolic	Christianity	2164
New South Wales	2016	0-14	Australian Aboriginal Traditional	(Other)	433
New South Wales	2016	0-14	Baptist	Christianity	16492
New South Wales	2016	0-14	Brethren	Christianity	1636
New South Wales	2016	0-14	Catholic	Christianity	371883
New South Wales	2016	0-14	Churches Of Christ	Christianity	1028
New South Wales	2016	0-14	Eastern Orthodox	Christianity	33180
New South Wales	2016	0-14	Jehovah's Witnesses	Christianity	3475
