SA2_NAME16	Year	LabourForceStatus	adults
Queanbeyan Region	2011	Unemployed (looking for work)	179
Queanbeyan Region	2016		1266
Queanbeyan Region	2016	Employed (away from work)	574
Queanbeyan Region	2016	Employed (full-time)	5968
Queanbeyan Region	2016	Employed (part-time)	2272
Queanbeyan Region	2016	Not in the labour force	3032
Queanbeyan Region	2016	Unemployed (looking for work)	265
Queanbeyan West - Jerrabomberra	2006		382
Queanbeyan West - Jerrabomberra	2006	Employed (away from work)	401
Queanbeyan West - Jerrabomberra	2006	Employed (full-time)	4504
Queanbeyan West - Jerrabomberra	2006	Employed (part-time)	1502
Queanbeyan West - Jerrabomberra	2006	Not in the labour force	1517
Queanbeyan West - Jerrabomberra	2006	Unemployed (looking for work)	134
Queanbeyan West - Jerrabomberra	2011		279
Queanbeyan West - Jerrabomberra	2011	Employed (away from work)	451
Queanbeyan West - Jerrabomberra	2011	Employed (full-time)	5086
Queanbeyan West - Jerrabomberra	2011	Employed (part-time)	1723
Queanbeyan West - Jerrabomberra	2011	Not in the labour force	1697
Queanbeyan West - Jerrabomberra	2011	Unemployed (looking for work)	161
Queanbeyan West - Jerrabomberra	2016		406
Queanbeyan West - Jerrabomberra	2016	Employed (away from work)	349
Queanbeyan West - Jerrabomberra	2016	Employed (full-time)	4966
Queanbeyan West - Jerrabomberra	2016	Employed (part-time)	1811
Queanbeyan West - Jerrabomberra	2016	Not in the labour force	1939
Queanbeyan West - Jerrabomberra	2016	Unemployed (looking for work)	254
Bombala	2006		123
Bombala	2006	Employed (away from work)	69
Bombala	2006	Employed (full-time)	713
Bombala	2006	Employed (part-time)	324
Bombala	2006	Not in the labour force	748
Bombala	2006	Unemployed (looking for work)	62
Bombala	2011		89
Bombala	2011	Employed (away from work)	64
Bombala	2011	Employed (full-time)	706
Bombala	2011	Employed (part-time)	333
Bombala	2011	Not in the labour force	737
Bombala	2011	Unemployed (looking for work)	42
Bombala	2016		155
Bombala	2016	Employed (away from work)	64
Bombala	2016	Employed (full-time)	670
Bombala	2016	Employed (part-time)	328
Bombala	2016	Not in the labour force	724
Bombala	2016	Unemployed (looking for work)	50
Cooma	2006		377
Cooma	2006	Employed (away from work)	168
Cooma	2006	Employed (full-time)	1798
Cooma	2006	Employed (part-time)	963
Cooma	2006	Not in the labour force	1933
Cooma	2006	Unemployed (looking for work)	170
Cooma	2011		208
Cooma	2011	Employed (away from work)	187
Cooma	2011	Employed (full-time)	1836
Cooma	2011	Employed (part-time)	923
Cooma	2011	Not in the labour force	2102
Cooma	2011	Unemployed (looking for work)	165
Cooma	2016		508
Cooma	2016	Employed (away from work)	172
Cooma	2016	Employed (full-time)	1709
Cooma	2016	Employed (part-time)	1018
Cooma	2016	Not in the labour force	2128
Cooma	2016	Unemployed (looking for work)	143
Cooma Region	2006		106
Cooma Region	2006	Employed (away from work)	113
Cooma Region	2006	Employed (full-time)	801
Cooma Region	2006	Employed (part-time)	444
Cooma Region	2006	Not in the labour force	690
Cooma Region	2006	Unemployed (looking for work)	49
Cooma Region	2011		125
Cooma Region	2011	Employed (away from work)	105
Cooma Region	2011	Employed (full-time)	993
Cooma Region	2011	Employed (part-time)	470
Cooma Region	2011	Not in the labour force	843
Cooma Region	2011	Unemployed (looking for work)	54
Cooma Region	2016		248
Cooma Region	2016	Employed (away from work)	85
Cooma Region	2016	Employed (full-time)	990
Cooma Region	2016	Employed (part-time)	487
Cooma Region	2016	Not in the labour force	854
Cooma Region	2016	Unemployed (looking for work)	60
Jindabyne - Berridale	2006		1051
Jindabyne - Berridale	2006	Employed (away from work)	125
Jindabyne - Berridale	2006	Employed (full-time)	2174
Jindabyne - Berridale	2006	Employed (part-time)	851
Jindabyne - Berridale	2006	Not in the labour force	870
Jindabyne - Berridale	2006	Unemployed (looking for work)	66
Jindabyne - Berridale	2011		720
Jindabyne - Berridale	2011	Employed (away from work)	195
Jindabyne - Berridale	2011	Employed (full-time)	2275
Jindabyne - Berridale	2011	Employed (part-time)	961
Jindabyne - Berridale	2011	Not in the labour force	1089
Jindabyne - Berridale	2011	Unemployed (looking for work)	70
Jindabyne - Berridale	2016		526
Jindabyne - Berridale	2016	Employed (away from work)	216
Jindabyne - Berridale	2016	Employed (full-time)	2555
Jindabyne - Berridale	2016	Employed (part-time)	1130
Jindabyne - Berridale	2016	Not in the labour force	1209
Jindabyne - Berridale	2016	Unemployed (looking for work)	73
Batemans Bay	2006		335
Batemans Bay	2006	Employed (away from work)	208
Batemans Bay	2006	Employed (full-time)	1393
Batemans Bay	2006	Employed (part-time)	1072
Batemans Bay	2006	Not in the labour force	2865
Batemans Bay	2006	Unemployed (looking for work)	295
Batemans Bay	2011		410
Batemans Bay	2011	Employed (away from work)	177
Batemans Bay	2011	Employed (full-time)	1322
Batemans Bay	2011	Employed (part-time)	1054
Batemans Bay	2011	Not in the labour force	2998
Batemans Bay	2011	Unemployed (looking for work)	213
Batemans Bay	2016		586
Batemans Bay	2016	Employed (away from work)	156
Batemans Bay	2016	Employed (full-time)	1288
Batemans Bay	2016	Employed (part-time)	1091
Batemans Bay	2016	Not in the labour force	3106
Batemans Bay	2016	Unemployed (looking for work)	225
Batemans Bay - South	2006		290
Batemans Bay - South	2006	Employed (away from work)	198
Batemans Bay - South	2006	Employed (full-time)	1431
Batemans Bay - South	2006	Employed (part-time)	1150
Batemans Bay - South	2006	Not in the labour force	3202
Batemans Bay - South	2006	Unemployed (looking for work)	254
Batemans Bay - South	2011		499
Batemans Bay - South	2011	Employed (away from work)	210
Batemans Bay - South	2011	Employed (full-time)	1370
Batemans Bay - South	2011	Employed (part-time)	1132
Batemans Bay - South	2011	Not in the labour force	3366
Batemans Bay - South	2011	Unemployed (looking for work)	241
Batemans Bay - South	2016		660
Batemans Bay - South	2016	Employed (away from work)	186
Batemans Bay - South	2016	Employed (full-time)	1435
Batemans Bay - South	2016	Employed (part-time)	1238
Batemans Bay - South	2016	Not in the labour force	3381
Batemans Bay - South	2016	Unemployed (looking for work)	266
Bega - Tathra	2006		281
Bega - Tathra	2006	Employed (away from work)	191
Bega - Tathra	2006	Employed (full-time)	1726
Bega - Tathra	2006	Employed (part-time)	1127
Bega - Tathra	2006	Not in the labour force	2407
Bega - Tathra	2006	Unemployed (looking for work)	241
Bega - Tathra	2011		353
Bega - Tathra	2011	Employed (away from work)	232
Bega - Tathra	2011	Employed (full-time)	1920
Bega - Tathra	2011	Employed (part-time)	1294
Bega - Tathra	2011	Not in the labour force	2555
Bega - Tathra	2011	Unemployed (looking for work)	166
Bega - Tathra	2016		535
Bega - Tathra	2016	Employed (away from work)	226
Bega - Tathra	2016	Employed (full-time)	1914
Bega - Tathra	2016	Employed (part-time)	1333
Bega - Tathra	2016	Not in the labour force	2663
Bega - Tathra	2016	Unemployed (looking for work)	181
Bega-Eden Hinterland	2006		380
Bega-Eden Hinterland	2006	Employed (away from work)	274
Bega-Eden Hinterland	2006	Employed (full-time)	2104
Bega-Eden Hinterland	2006	Employed (part-time)	1420
Bega-Eden Hinterland	2006	Not in the labour force	2511
Bega-Eden Hinterland	2006	Unemployed (looking for work)	279
Bega-Eden Hinterland	2011		373
Bega-Eden Hinterland	2011	Employed (away from work)	289
Bega-Eden Hinterland	2011	Employed (full-time)	1977
Bega-Eden Hinterland	2011	Employed (part-time)	1512
Bega-Eden Hinterland	2011	Not in the labour force	2655
Bega-Eden Hinterland	2011	Unemployed (looking for work)	255
Bega-Eden Hinterland	2016		560
Bega-Eden Hinterland	2016	Employed (away from work)	267
Bega-Eden Hinterland	2016	Employed (full-time)	1940
Bega-Eden Hinterland	2016	Employed (part-time)	1490
Bega-Eden Hinterland	2016	Not in the labour force	2843
Bega-Eden Hinterland	2016	Unemployed (looking for work)	235
Broulee - Tomakin	2006		125
Broulee - Tomakin	2006	Employed (away from work)	63
Broulee - Tomakin	2006	Employed (full-time)	437
Broulee - Tomakin	2006	Employed (part-time)	330
Broulee - Tomakin	2006	Not in the labour force	996
Broulee - Tomakin	2006	Unemployed (looking for work)	88
Broulee - Tomakin	2011		153
Broulee - Tomakin	2011	Employed (away from work)	72
Broulee - Tomakin	2011	Employed (full-time)	561
Broulee - Tomakin	2011	Employed (part-time)	400
Broulee - Tomakin	2011	Not in the labour force	1085
Broulee - Tomakin	2011	Unemployed (looking for work)	77
Broulee - Tomakin	2016		231
Broulee - Tomakin	2016	Employed (away from work)	61
Broulee - Tomakin	2016	Employed (full-time)	674
Broulee - Tomakin	2016	Employed (part-time)	491
Broulee - Tomakin	2016	Not in the labour force	1276
Broulee - Tomakin	2016	Unemployed (looking for work)	56
Deua - Wadbilliga	2006		0
Deua - Wadbilliga	2006	Employed (away from work)	0
Deua - Wadbilliga	2006	Employed (full-time)	0
Deua - Wadbilliga	2006	Employed (part-time)	0
Deua - Wadbilliga	2006	Not in the labour force	0
Deua - Wadbilliga	2006	Unemployed (looking for work)	0
Deua - Wadbilliga	2011		5
Deua - Wadbilliga	2011	Employed (away from work)	3
Deua - Wadbilliga	2011	Employed (full-time)	10
Deua - Wadbilliga	2011	Employed (part-time)	15
Deua - Wadbilliga	2011	Not in the labour force	9
Deua - Wadbilliga	2011	Unemployed (looking for work)	0
Deua - Wadbilliga	2016		10
Deua - Wadbilliga	2016	Employed (away from work)	0
Deua - Wadbilliga	2016	Employed (full-time)	3
Deua - Wadbilliga	2016	Employed (part-time)	3
Deua - Wadbilliga	2016	Not in the labour force	9
Deua - Wadbilliga	2016	Unemployed (looking for work)	0
Eden	2006		124
Eden	2006	Employed (away from work)	100
Eden	2006	Employed (full-time)	619
Eden	2006	Employed (part-time)	476
Eden	2006	Not in the labour force	985
Eden	2006	Unemployed (looking for work)	101
Eden	2011		112
Eden	2011	Employed (away from work)	100
Eden	2011	Employed (full-time)	674
Eden	2011	Employed (part-time)	478
Eden	2011	Not in the labour force	1170
Eden	2011	Unemployed (looking for work)	112
Eden	2016		250
Eden	2016	Employed (away from work)	72
Eden	2016	Employed (full-time)	611
Eden	2016	Employed (part-time)	466
Eden	2016	Not in the labour force	1230
Eden	2016	Unemployed (looking for work)	86
Eurobodalla Hinterland	2006		119
Eurobodalla Hinterland	2006	Employed (away from work)	73
Eurobodalla Hinterland	2006	Employed (full-time)	564
Eurobodalla Hinterland	2006	Employed (part-time)	389
Eurobodalla Hinterland	2006	Not in the labour force	823
Eurobodalla Hinterland	2006	Unemployed (looking for work)	108
Eurobodalla Hinterland	2011		155
Eurobodalla Hinterland	2011	Employed (away from work)	107
Eurobodalla Hinterland	2011	Employed (full-time)	679
Eurobodalla Hinterland	2011	Employed (part-time)	555
Eurobodalla Hinterland	2011	Not in the labour force	1056
Eurobodalla Hinterland	2011	Unemployed (looking for work)	99
Eurobodalla Hinterland	2016		214
Eurobodalla Hinterland	2016	Employed (away from work)	86
Eurobodalla Hinterland	2016	Employed (full-time)	697
Eurobodalla Hinterland	2016	Employed (part-time)	614
Eurobodalla Hinterland	2016	Not in the labour force	1115
Eurobodalla Hinterland	2016	Unemployed (looking for work)	98
Merimbula - Tura Beach	2006		280
Merimbula - Tura Beach	2006	Employed (away from work)	239
Merimbula - Tura Beach	2006	Employed (full-time)	1966
Merimbula - Tura Beach	2006	Employed (part-time)	1450
Merimbula - Tura Beach	2006	Not in the labour force	3466
Merimbula - Tura Beach	2006	Unemployed (looking for work)	241
Merimbula - Tura Beach	2011		414
Merimbula - Tura Beach	2011	Employed (away from work)	258
Merimbula - Tura Beach	2011	Employed (full-time)	2097
Merimbula - Tura Beach	2011	Employed (part-time)	1508
Merimbula - Tura Beach	2011	Not in the labour force	3807
Merimbula - Tura Beach	2011	Unemployed (looking for work)	230
Merimbula - Tura Beach	2016		682
Merimbula - Tura Beach	2016	Employed (away from work)	272
Merimbula - Tura Beach	2016	Employed (full-time)	2154
Merimbula - Tura Beach	2016	Employed (part-time)	1673
Merimbula - Tura Beach	2016	Not in the labour force	4178
Merimbula - Tura Beach	2016	Unemployed (looking for work)	197
Moruya - Tuross Head	2006		323
Moruya - Tuross Head	2006	Employed (away from work)	201
Moruya - Tuross Head	2006	Employed (full-time)	1489
Moruya - Tuross Head	2006	Employed (part-time)	1116
Moruya - Tuross Head	2006	Not in the labour force	3163
Moruya - Tuross Head	2006	Unemployed (looking for work)	280
Moruya - Tuross Head	2011		237
Moruya - Tuross Head	2011	Employed (away from work)	193
Moruya - Tuross Head	2011	Employed (full-time)	1419
Moruya - Tuross Head	2011	Employed (part-time)	1165
Moruya - Tuross Head	2011	Not in the labour force	3124
Moruya - Tuross Head	2011	Unemployed (looking for work)	230
Moruya - Tuross Head	2016		497
Moruya - Tuross Head	2016	Employed (away from work)	213
Moruya - Tuross Head	2016	Employed (full-time)	1423
Moruya - Tuross Head	2016	Employed (part-time)	1243
Moruya - Tuross Head	2016	Not in the labour force	3308
Moruya - Tuross Head	2016	Unemployed (looking for work)	207
Narooma - Bermagui	2006		374
Narooma - Bermagui	2006	Employed (away from work)	236
Narooma - Bermagui	2006	Employed (full-time)	1454
Narooma - Bermagui	2006	Employed (part-time)	1212
Narooma - Bermagui	2006	Not in the labour force	3991
Narooma - Bermagui	2006	Unemployed (looking for work)	277
Narooma - Bermagui	2011		442
Narooma - Bermagui	2011	Employed (away from work)	229
Narooma - Bermagui	2011	Employed (full-time)	1410
Narooma - Bermagui	2011	Employed (part-time)	1211
Narooma - Bermagui	2011	Not in the labour force	3928
Narooma - Bermagui	2011	Unemployed (looking for work)	212
Narooma - Bermagui	2016		676
Narooma - Bermagui	2016	Employed (away from work)	185
Narooma - Bermagui	2016	Employed (full-time)	1325
Narooma - Bermagui	2016	Employed (part-time)	1335
Narooma - Bermagui	2016	Not in the labour force	4136
Narooma - Bermagui	2016	Unemployed (looking for work)	177
Goulburn	2006		777
Goulburn	2006	Employed (away from work)	658
Goulburn	2006	Employed (full-time)	5392
Goulburn	2006	Employed (part-time)	2660
Goulburn	2006	Not in the labour force	6584
Goulburn	2006	Unemployed (looking for work)	627
Goulburn	2011		827
Goulburn	2011	Employed (away from work)	589
Goulburn	2011	Employed (full-time)	5950
Goulburn	2011	Employed (part-time)	2822
Goulburn	2011	Not in the labour force	6613
Goulburn	2011	Unemployed (looking for work)	610
Goulburn	2016		1388
Goulburn	2016	Employed (away from work)	555
Goulburn	2016	Employed (full-time)	6028
Goulburn	2016	Employed (part-time)	3118
Goulburn	2016	Not in the labour force	6940
Goulburn	2016	Unemployed (looking for work)	708
Goulburn Region	2006		544
Goulburn Region	2006	Employed (away from work)	326
Goulburn Region	2006	Employed (full-time)	3304
Goulburn Region	2006	Employed (part-time)	1488
Goulburn Region	2006	Not in the labour force	3171
Goulburn Region	2006	Unemployed (looking for work)	204
Goulburn Region	2011		442
Goulburn Region	2011	Employed (away from work)	308
Goulburn Region	2011	Employed (full-time)	3434
Goulburn Region	2011	Employed (part-time)	1690
Goulburn Region	2011	Not in the labour force	3332
Goulburn Region	2011	Unemployed (looking for work)	219
Goulburn Region	2016		882
Goulburn Region	2016	Employed (away from work)	352
Goulburn Region	2016	Employed (full-time)	3475
Goulburn Region	2016	Employed (part-time)	1878
Goulburn Region	2016	Not in the labour force	3590
Goulburn Region	2016	Unemployed (looking for work)	253
Yass	2006		146
Yass	2006	Employed (away from work)	184
Yass	2006	Employed (full-time)	1627
Yass	2006	Employed (part-time)	851
Yass	2006	Not in the labour force	1577
Yass	2006	Unemployed (looking for work)	97
Yass	2011		316
Yass	2011	Employed (away from work)	198
Yass	2011	Employed (full-time)	1932
Yass	2011	Employed (part-time)	887
Yass	2011	Not in the labour force	1571
Yass	2011	Unemployed (looking for work)	90
Yass	2016		476
Yass	2016	Employed (away from work)	205
Yass	2016	Employed (full-time)	1835
Yass	2016	Employed (part-time)	920
Yass	2016	Not in the labour force	1640
Yass	2016	Unemployed (looking for work)	110
Yass Region	2006		319
Yass Region	2006	Employed (away from work)	302
Yass Region	2006	Employed (full-time)	3250
Yass Region	2006	Employed (part-time)	1315
Yass Region	2006	Not in the labour force	1742
Yass Region	2006	Unemployed (looking for work)	116
Yass Region	2011		348
Yass Region	2011	Employed (away from work)	369
Yass Region	2011	Employed (full-time)	3641
Yass Region	2011	Employed (part-time)	1603
Yass Region	2011	Not in the labour force	2023
Yass Region	2011	Unemployed (looking for work)	118
Yass Region	2016		574
Yass Region	2016	Employed (away from work)	409
Yass Region	2016	Employed (full-time)	3847
Yass Region	2016	Employed (part-time)	1766
Yass Region	2016	Not in the labour force	2321
Yass Region	2016	Unemployed (looking for work)	175
Young	2006		332
Young	2006	Employed (away from work)	274
Young	2006	Employed (full-time)	2640
Young	2006	Employed (part-time)	1291
Young	2006	Not in the labour force	3018
Young	2006	Unemployed (looking for work)	286
Young	2011		462
Young	2011	Employed (away from work)	245
Young	2011	Employed (full-time)	2485
Young	2011	Employed (part-time)	1413
Young	2011	Not in the labour force	3109
Young	2011	Unemployed (looking for work)	285
Young	2016		621
Young	2016	Employed (away from work)	256
Young	2016	Employed (full-time)	2420
Young	2016	Employed (part-time)	1504
Young	2016	Not in the labour force	3276
Young	2016	Unemployed (looking for work)	275
Young Region	2006		200
Young Region	2006	Employed (away from work)	250
Young Region	2006	Employed (full-time)	1987
Young Region	2006	Employed (part-time)	848
Young Region	2006	Not in the labour force	2281
Young Region	2006	Unemployed (looking for work)	166
Young Region	2011		251
Young Region	2011	Employed (away from work)	238
Young Region	2011	Employed (full-time)	1955
Young Region	2011	Employed (part-time)	907
Young Region	2011	Not in the labour force	2395
Young Region	2011	Unemployed (looking for work)	174
Young Region	2016		485
Young Region	2016	Employed (away from work)	181
Young Region	2016	Employed (full-time)	1966
Young Region	2016	Employed (part-time)	961
Young Region	2016	Not in the labour force	2303
Young Region	2016	Unemployed (looking for work)	163
Avoca Beach - Copacabana	2006		319
Avoca Beach - Copacabana	2006	Employed (away from work)	216
Avoca Beach - Copacabana	2006	Employed (full-time)	1881
Avoca Beach - Copacabana	2006	Employed (part-time)	1221
Avoca Beach - Copacabana	2006	Not in the labour force	1490
Avoca Beach - Copacabana	2006	Unemployed (looking for work)	184
Avoca Beach - Copacabana	2011		264
Avoca Beach - Copacabana	2011	Employed (away from work)	212
Avoca Beach - Copacabana	2011	Employed (full-time)	1960
Avoca Beach - Copacabana	2011	Employed (part-time)	1259
Avoca Beach - Copacabana	2011	Not in the labour force	1584
Avoca Beach - Copacabana	2011	Unemployed (looking for work)	168
Avoca Beach - Copacabana	2016		253
Avoca Beach - Copacabana	2016	Employed (away from work)	167
Avoca Beach - Copacabana	2016	Employed (full-time)	2074
Avoca Beach - Copacabana	2016	Employed (part-time)	1386
Avoca Beach - Copacabana	2016	Not in the labour force	1645
Avoca Beach - Copacabana	2016	Unemployed (looking for work)	213
Box Head - MacMasters Beach	2006		486
Box Head - MacMasters Beach	2006	Employed (away from work)	318
Box Head - MacMasters Beach	2006	Employed (full-time)	2467
Box Head - MacMasters Beach	2006	Employed (part-time)	1598
Box Head - MacMasters Beach	2006	Not in the labour force	3174
Box Head - MacMasters Beach	2006	Unemployed (looking for work)	234
Box Head - MacMasters Beach	2011		409
Box Head - MacMasters Beach	2011	Employed (away from work)	276
Box Head - MacMasters Beach	2011	Employed (full-time)	2508
Box Head - MacMasters Beach	2011	Employed (part-time)	1701
Box Head - MacMasters Beach	2011	Not in the labour force	3279
Box Head - MacMasters Beach	2011	Unemployed (looking for work)	256
Box Head - MacMasters Beach	2016		397
Box Head - MacMasters Beach	2016	Employed (away from work)	256
Box Head - MacMasters Beach	2016	Employed (full-time)	2649
Box Head - MacMasters Beach	2016	Employed (part-time)	1834
Box Head - MacMasters Beach	2016	Not in the labour force	3473
Box Head - MacMasters Beach	2016	Unemployed (looking for work)	225
Calga - Kulnura	2006		331
Calga - Kulnura	2006	Employed (away from work)	118
Calga - Kulnura	2006	Employed (full-time)	1146
Calga - Kulnura	2006	Employed (part-time)	537
Calga - Kulnura	2006	Not in the labour force	1000
Calga - Kulnura	2006	Unemployed (looking for work)	69
Calga - Kulnura	2011		258
Calga - Kulnura	2011	Employed (away from work)	139
Calga - Kulnura	2011	Employed (full-time)	1331
Calga - Kulnura	2011	Employed (part-time)	685
Calga - Kulnura	2011	Not in the labour force	1034
Calga - Kulnura	2011	Unemployed (looking for work)	98
Calga - Kulnura	2016		396
Calga - Kulnura	2016	Employed (away from work)	130
Calga - Kulnura	2016	Employed (full-time)	1433
Calga - Kulnura	2016	Employed (part-time)	682
Calga - Kulnura	2016	Not in the labour force	1229
Calga - Kulnura	2016	Unemployed (looking for work)	85
Erina - Green Point	2006		625
Erina - Green Point	2006	Employed (away from work)	319
Erina - Green Point	2006	Employed (full-time)	3087
Erina - Green Point	2006	Employed (part-time)	1812
Erina - Green Point	2006	Not in the labour force	4684
Erina - Green Point	2006	Unemployed (looking for work)	293
Erina - Green Point	2011		634
Erina - Green Point	2011	Employed (away from work)	342
Erina - Green Point	2011	Employed (full-time)	3159
Erina - Green Point	2011	Employed (part-time)	2068
Erina - Green Point	2011	Not in the labour force	4830
Erina - Green Point	2011	Unemployed (looking for work)	285
Erina - Green Point	2016		712
Erina - Green Point	2016	Employed (away from work)	266
Erina - Green Point	2016	Employed (full-time)	3222
Erina - Green Point	2016	Employed (part-time)	2128
Erina - Green Point	2016	Not in the labour force	5033
Erina - Green Point	2016	Unemployed (looking for work)	311
Gosford - Springfield	2006		1396
Gosford - Springfield	2006	Employed (away from work)	486
Gosford - Springfield	2006	Employed (full-time)	4662
Gosford - Springfield	2006	Employed (part-time)	2206
Gosford - Springfield	2006	Not in the labour force	4550
Gosford - Springfield	2006	Unemployed (looking for work)	563
Gosford - Springfield	2011		1280
Gosford - Springfield	2011	Employed (away from work)	523
Gosford - Springfield	2011	Employed (full-time)	5204
Gosford - Springfield	2011	Employed (part-time)	2475
Gosford - Springfield	2011	Not in the labour force	5037
Gosford - Springfield	2011	Unemployed (looking for work)	608
Gosford - Springfield	2016		1148
Gosford - Springfield	2016	Employed (away from work)	415
Gosford - Springfield	2016	Employed (full-time)	5256
Gosford - Springfield	2016	Employed (part-time)	2829
Gosford - Springfield	2016	Not in the labour force	5358
Gosford - Springfield	2016	Unemployed (looking for work)	686
Kariong	2006		209
Kariong	2006	Employed (away from work)	180
Kariong	2006	Employed (full-time)	1922
Kariong	2006	Employed (part-time)	842
Kariong	2006	Not in the labour force	1345
Kariong	2006	Unemployed (looking for work)	167
Kariong	2011		164
Kariong	2011	Employed (away from work)	187
Kariong	2011	Employed (full-time)	1999
Kariong	2011	Employed (part-time)	958
Kariong	2011	Not in the labour force	1339
Kariong	2011	Unemployed (looking for work)	175
Kariong	2016		232
Kariong	2016	Employed (away from work)	133
Kariong	2016	Employed (full-time)	2021
Kariong	2016	Employed (part-time)	1002
Kariong	2016	Not in the labour force	1367
Kariong	2016	Unemployed (looking for work)	215
Kincumber - Picketts Valley	2006		265
Kincumber - Picketts Valley	2006	Employed (away from work)	166
Kincumber - Picketts Valley	2006	Employed (full-time)	1486
Kincumber - Picketts Valley	2006	Employed (part-time)	1055
Kincumber - Picketts Valley	2006	Not in the labour force	2631
Kincumber - Picketts Valley	2006	Unemployed (looking for work)	176
Kincumber - Picketts Valley	2011		235
Kincumber - Picketts Valley	2011	Employed (away from work)	181
Kincumber - Picketts Valley	2011	Employed (full-time)	1657
Kincumber - Picketts Valley	2011	Employed (part-time)	1077
Kincumber - Picketts Valley	2011	Not in the labour force	2500
Kincumber - Picketts Valley	2011	Unemployed (looking for work)	182
Kincumber - Picketts Valley	2016		264
Kincumber - Picketts Valley	2016	Employed (away from work)	178
Kincumber - Picketts Valley	2016	Employed (full-time)	1684
Kincumber - Picketts Valley	2016	Employed (part-time)	1079
Kincumber - Picketts Valley	2016	Not in the labour force	2664
Kincumber - Picketts Valley	2016	Unemployed (looking for work)	187
Narara	2006		227
Narara	2006	Employed (away from work)	237
Narara	2006	Employed (full-time)	2109
Narara	2006	Employed (part-time)	1120
Narara	2006	Not in the labour force	1568
Narara	2006	Unemployed (looking for work)	195
Narara	2011		178
Narara	2011	Employed (away from work)	213
Narara	2011	Employed (full-time)	1890
Narara	2011	Employed (part-time)	1097
Narara	2011	Not in the labour force	1575
Narara	2011	Unemployed (looking for work)	200
Narara	2016		224
Narara	2016	Employed (away from work)	175
Narara	2016	Employed (full-time)	1978
Narara	2016	Employed (part-time)	1142
