SA2_NAME16	Year	persons
Yass	2016	6506
Yass Region	2006	9046
Yass Region	2011	10397
Yass Region	2016	11505
Young	2006	10186
Young	2011	10280
Young	2016	10601
Young Region	2006	7266
Young Region	2011	7394
Young Region	2016	7323
Avoca Beach - Copacabana	2006	6869
Avoca Beach - Copacabana	2011	7010
Avoca Beach - Copacabana	2016	7312
Box Head - MacMasters Beach	2006	10319
Box Head - MacMasters Beach	2011	10338
Box Head - MacMasters Beach	2016	10689
Calga - Kulnura	2006	3933
Calga - Kulnura	2011	4422
Calga - Kulnura	2016	4705
Erina - Green Point	2006	13136
Erina - Green Point	2011	13591
Erina - Green Point	2016	13953
Gosford - Springfield	2006	16686
Gosford - Springfield	2011	18072
Gosford - Springfield	2016	18803
Kariong	2006	6584
Kariong	2011	6453
Kariong	2016	6385
Kincumber - Picketts Valley	2006	7142
Kincumber - Picketts Valley	2011	7110
Kincumber - Picketts Valley	2016	7313
Narara	2006	7035
Narara	2011	6492
Narara	2016	6642
Niagara Park - Lisarow	2006	6907
Niagara Park - Lisarow	2011	8052
Niagara Park - Lisarow	2016	8029
Point Clare - Koolewong	2006	6225
Point Clare - Koolewong	2011	6314
Point Clare - Koolewong	2016	6206
Saratoga - Davistown	2006	6451
Saratoga - Davistown	2011	6637
Saratoga - Davistown	2016	6984
Terrigal - North Avoca	2006	12020
Terrigal - North Avoca	2011	12566
Terrigal - North Avoca	2016	13347
Umina - Booker Bay - Patonga	2006	21703
Umina - Booker Bay - Patonga	2011	22534
Umina - Booker Bay - Patonga	2016	23590
Wamberal - Forresters Beach	2006	9268
Wamberal - Forresters Beach	2011	9090
Wamberal - Forresters Beach	2016	9757
Woy Woy - Blackwall	2006	13219
Woy Woy - Blackwall	2011	13252
Woy Woy - Blackwall	2016	13924
Wyoming	2006	11447
Wyoming	2011	11189
Wyoming	2016	11436
Bateau Bay - Killarney Vale	2006	21142
Bateau Bay - Killarney Vale	2011	21379
Bateau Bay - Killarney Vale	2016	22008
Blue Haven - San Remo	2006	10168
Blue Haven - San Remo	2011	10781
Blue Haven - San Remo	2016	11046
Budgewoi - Buff Point - Halekulani	2006	8762
Budgewoi - Buff Point - Halekulani	2011	8968
Budgewoi - Buff Point - Halekulani	2016	9409
Chittaway Bay - Tumbi Umbi	2006	14718
Chittaway Bay - Tumbi Umbi	2011	15243
Chittaway Bay - Tumbi Umbi	2016	15355
Gorokan - Kanwal - Charmhaven	2006	19792
Gorokan - Kanwal - Charmhaven	2011	20675
Gorokan - Kanwal - Charmhaven	2016	22109
Jilliby - Yarramalong	2006	2697
Jilliby - Yarramalong	2011	3011
Jilliby - Yarramalong	2016	3358
Lake Munmorah - Mannering Park	2006	9616
Lake Munmorah - Mannering Park	2011	10063
Lake Munmorah - Mannering Park	2016	10728
Ourimbah - Fountaindale	2006	4486
Ourimbah - Fountaindale	2011	4794
Ourimbah - Fountaindale	2016	4855
Summerland Point - Gwandalan	2006	5112
Summerland Point - Gwandalan	2011	5400
Summerland Point - Gwandalan	2016	5768
The Entrance	2006	11608
The Entrance	2011	13987
The Entrance	2016	14941
Toukley - Norah Head	2006	8924
Toukley - Norah Head	2011	8999
Toukley - Norah Head	2016	9773
Tuggerah - Kangy Angy	2006	4990
Tuggerah - Kangy Angy	2011	5135
Tuggerah - Kangy Angy	2016	5303
Warnervale - Wadalba	2006	9586
Warnervale - Wadalba	2011	12496
Warnervale - Wadalba	2016	15222
Wyong	2006	7419
Wyong	2011	8152
Wyong	2016	8822
Bathurst	2006	21830
Bathurst	2011	22985
Bathurst	2016	23833
Bathurst - East	2006	8410
Bathurst - East	2011	9498
Bathurst - East	2016	11189
Bathurst Region	2006	5960
Bathurst Region	2011	6612
Bathurst Region	2016	6910
Oberon	2006	4677
Oberon	2011	4459
Oberon	2016	4662
Condobolin	2006	7088
Condobolin	2011	6892
Condobolin	2016	6630
Cowra	2006	9250
Cowra	2011	8926
Cowra	2016	9146
Cowra Region	2006	5241
Cowra Region	2011	5347
Cowra Region	2016	5447
Forbes	2006	10283
Forbes	2011	9805
Forbes	2016	10165
Grenfell	2006	3636
Grenfell	2011	3646
Grenfell	2016	3652
Parkes (NSW)	2006	10661
Parkes (NSW)	2011	10939
Parkes (NSW)	2016	10977
Parkes Region	2006	3291
Parkes Region	2011	3390
Parkes Region	2016	3390
West Wyalong	2006	6098
West Wyalong	2011	5850
West Wyalong	2016	5926
Lithgow	2006	12114
Lithgow	2011	12251
Lithgow	2016	12818
Lithgow Region	2006	7646
Lithgow Region	2011	7895
Lithgow Region	2016	8262
Mudgee	2006	9578
Mudgee	2011	10484
Mudgee	2016	11728
Mudgee Region - East	2006	3406
Mudgee Region - East	2011	3345
Mudgee Region - East	2016	3444
Mudgee Region - West	2006	9791
Mudgee Region - West	2011	9950
Mudgee Region - West	2016	10359
Wollangambe - Wollemi	2006	0
Wollangambe - Wollemi	2011	0
Wollangambe - Wollemi	2016	0
Blayney	2006	6594
Blayney	2011	7007
Blayney	2016	7271
Orange	2006	19379
Orange	2011	19629
Orange	2016	19009
Orange - North	2006	14139
Orange - North	2011	16835
Orange - North	2016	19728
Orange Region	2006	10586
Orange Region	2011	10997
Orange Region	2016	11603
Grafton	2006	17744
Grafton	2011	18360
Grafton	2016	18668
Grafton Region	2006	14934
Grafton Region	2011	15033
Grafton Region	2016	15311
Maclean - Yamba - Iluka	2006	14989
Maclean - Yamba - Iluka	2011	15845
Maclean - Yamba - Iluka	2016	16279
Bellingen	2006	5956
Bellingen	2011	5704
Bellingen	2016	5807
Coffs Harbour - North	2006	15825
Coffs Harbour - North	2011	16342
Coffs Harbour - North	2016	17462
Coffs Harbour - South	2006	8657
Coffs Harbour - South	2011	9817
Coffs Harbour - South	2016	10295
Coramba - Nana Glen - Bucca	2006	3827
Coramba - Nana Glen - Bucca	2011	3584
Coramba - Nana Glen - Bucca	2016	3820
Dorrigo	2006	3244
Dorrigo	2011	3291
Dorrigo	2016	3243
Korora - Emerald Beach	2006	7257
Korora - Emerald Beach	2011	7696
Korora - Emerald Beach	2016	8737
Sawtell - Boambee	2006	18617
Sawtell - Boambee	2011	18940
Sawtell - Boambee	2016	19477
Urunga	2006	4162
Urunga	2011	4545
Urunga	2016	4666
Woolgoolga - Arrawarra	2006	10263
Woolgoolga - Arrawarra	2011	11448
Woolgoolga - Arrawarra	2016	12523
Bourke - Brewarrina	2006	4617
Bourke - Brewarrina	2011	4285
Bourke - Brewarrina	2016	4002
Cobar	2006	4915
Cobar	2011	4717
Cobar	2016	4657
Coonamble	2006	4376
Coonamble	2011	4259
Coonamble	2016	4113
Nyngan - Warren	2006	5427
Nyngan - Warren	2011	5208
Nyngan - Warren	2016	4969
Walgett - Lightning Ridge	2006	7296
Walgett - Lightning Ridge	2011	6822
Walgett - Lightning Ridge	2016	6412
Broken Hill	2006	19366
Broken Hill	2011	18519
Broken Hill	2016	17708
Far West	2006	2667
Far West	2011	2686
Far West	2016	2507
Coonabarabran	2006	8117
Coonabarabran	2011	8174
Coonabarabran	2016	7950
Dubbo - East	2006	10578
Dubbo - East	2011	10849
Dubbo - East	2016	10378
Dubbo - South	2006	15345
Dubbo - South	2011	15724
Dubbo - South	2016	16942
Dubbo - West	2006	7178
Dubbo - West	2011	7419
Dubbo - West	2016	8768
Dubbo Region	2006	4970
Dubbo Region	2011	5165
Dubbo Region	2016	5625
Gilgandra	2006	4519
Gilgandra	2011	4459
Gilgandra	2016	4373
Narromine	2006	6620
Narromine	2011	6681
Narromine	2016	6535
Wellington	2006	8490
Wellington	2011	8623
Wellington	2016	8831
Branxton - Greta - Pokolbin	2006	8385
Branxton - Greta - Pokolbin	2011	9272
Branxton - Greta - Pokolbin	2016	10125
Cessnock	2006	18516
Cessnock	2011	20262
Cessnock	2016	21994
Cessnock Region	2006	6359
Cessnock Region	2011	7034
Cessnock Region	2016	7931
Dungog	2006	8060
Dungog	2011	8317
Dungog	2016	8975
Kurri Kurri - Abermain	2006	15210
Kurri Kurri - Abermain	2011	16198
Kurri Kurri - Abermain	2016	17638
Singleton	2006	15190
Singleton	2011	16133
Singleton	2016	16089
Singleton Region	2006	4747
Singleton Region	2011	4759
Singleton Region	2016	4919
Maitland	2006	4331
Maitland	2011	4772
Maitland	2016	6603
Maitland - East	2006	24026
Maitland - East	2011	25808
Maitland - East	2016	27416
Maitland - North	2006	5637
Maitland - North	2011	6616
Maitland - North	2016	7617
Maitland - West	2006	16229
Maitland - West	2011	18284
Maitland - West	2016	22527
Thornton - Millers Forest	2006	8140
Thornton - Millers Forest	2011	8724
Thornton - Millers Forest	2016	10007
Anna Bay	2006	5515
Anna Bay	2011	5431
Anna Bay	2016	5729
Lemon Tree Passage - Tanilba Bay	2006	5833
Lemon Tree Passage - Tanilba Bay	2011	6317
Lemon Tree Passage - Tanilba Bay	2016	6684
Nelson Bay Peninsula	2006	17683
Nelson Bay Peninsula	2011	19644
Nelson Bay Peninsula	2016	21019
Raymond Terrace	2006	13406
Raymond Terrace	2011	13736
Raymond Terrace	2016	13823
Seaham - Woodville	2006	4751
Seaham - Woodville	2011	5304
Seaham - Woodville	2016	5415
Tea Gardens - Hawks Nest	2006	4036
Tea Gardens - Hawks Nest	2011	4500
Tea Gardens - Hawks Nest	2016	5037
Williamtown - Medowie - Karuah	2006	11493
Williamtown - Medowie - Karuah	2011	12579
Williamtown - Medowie - Karuah	2016	13669
Muswellbrook	2006	11080
Muswellbrook	2011	11791
Muswellbrook	2016	12075
Muswellbrook Region	2006	4155
Muswellbrook Region	2011	3999
Muswellbrook Region	2016	4014
Scone	2006	5347
Scone	2011	5884
Scone	2016	5827
Scone Region	2006	7634
Scone Region	2011	7871
Scone Region	2016	8284
Dapto - Avondale	2006	21503
Dapto - Avondale	2011	22498
Dapto - Avondale	2016	23458
Horsley - Kembla Grange	2006	7219
Horsley - Kembla Grange	2011	7418
Horsley - Kembla Grange	2016	8659
Port Kembla Industrial	2006	0
Port Kembla Industrial	2011	27
Port Kembla Industrial	2016	10
Unanderra - Mount Kembla	2006	15857
Unanderra - Mount Kembla	2011	15321
Unanderra - Mount Kembla	2016	15378
Berkeley - Lake Heights - Cringila	2006	12663
Berkeley - Lake Heights - Cringila	2011	12822
Berkeley - Lake Heights - Cringila	2016	13801
Port Kembla - Warrawong	2006	9373
Port Kembla - Warrawong	2011	9648
Port Kembla - Warrawong	2016	9749
Windang - Primbee	2006	4051
Windang - Primbee	2011	4178
Windang - Primbee	2016	4300
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	11
Illawarra Catchment Reserve	2016	8
Albion Park - Macquarie Pass	2006	12667
Albion Park - Macquarie Pass	2011	13617
Albion Park - Macquarie Pass	2016	14337
Albion Park Rail	2006	6937
Albion Park Rail	2011	7002
Albion Park Rail	2016	6918
Kiama	2006	6539
Kiama	2011	7165
Kiama	2016	7700
Kiama Downs - Minnamurra	2006	5752
Kiama Downs - Minnamurra	2011	5738
Kiama Downs - Minnamurra	2016	5875
Kiama Hinterland - Gerringong	2006	6692
Kiama Hinterland - Gerringong	2011	7025
Kiama Hinterland - Gerringong	2016	7808
Shellharbour - Flinders	2006	11155
Shellharbour - Flinders	2011	13447
Shellharbour - Flinders	2016	16826
Shellharbour - Oak Flats	2006	9506
Shellharbour - Oak Flats	2011	9492
Shellharbour - Oak Flats	2016	9957
Warilla	2006	20072
Warilla	2011	20058
Warilla	2016	20421
Balgownie - Fairy Meadow	2006	18791
Balgownie - Fairy Meadow	2011	19998
Balgownie - Fairy Meadow	2016	21196
Corrimal - Tarrawanna - Bellambi	2006	15218
Corrimal - Tarrawanna - Bellambi	2011	15084
Corrimal - Tarrawanna - Bellambi	2016	15424
Figtree - Keiraville	2006	19197
Figtree - Keiraville	2011	19884
Figtree - Keiraville	2016	21080
Helensburgh	2006	7978
Helensburgh	2011	8458
Helensburgh	2016	8789
Thirroul - Austinmer - Coalcliff	2006	10068
Thirroul - Austinmer - Coalcliff	2011	10580
Thirroul - Austinmer - Coalcliff	2016	11305
Woonona - Bulli - Russell Vale	2006	17626
Woonona - Bulli - Russell Vale	2011	18626
Woonona - Bulli - Russell Vale	2016	19838
Wollongong - East	2006	10104
Wollongong - East	2011	12530
Wollongong - East	2016	13967
Wollongong - West	2006	14571
Wollongong - West	2011	15357
Wollongong - West	2016	16702
Bulahdelah - Stroud	2006	4105
Bulahdelah - Stroud	2011	4728
Bulahdelah - Stroud	2016	4723
Forster	2006	13268
Forster	2011	13699
Forster	2016	14267
Forster-Tuncurry Region	2006	5639
Forster-Tuncurry Region	2011	5617
Forster-Tuncurry Region	2016	6087
Tuncurry	2006	5715
Tuncurry	2011	5799
Tuncurry	2016	6186
Kempsey	2006	13823
Kempsey	2011	14292
Kempsey	2016	14754
Kempsey Region	2006	9199
Kempsey Region	2011	8945
Kempsey Region	2016	9025
Macksville - Scotts Head	2006	4381
Macksville - Scotts Head	2011	4643
Macksville - Scotts Head	2016	4793
Nambucca Heads	2006	6540
Nambucca Heads	2011	6664
Nambucca Heads	2016	6750
Nambucca Heads Region	2006	6977
Nambucca Heads Region	2011	7335
Nambucca Heads Region	2016	7661
South West Rocks	2006	4366
South West Rocks	2011	4953
South West Rocks	2016	5133
Lord Howe Island	2006	345
Lord Howe Island	2011	359
Lord Howe Island	2016	382
Laurieton - Bonny Hills	2006	14982
Laurieton - Bonny Hills	2011	15740
Laurieton - Bonny Hills	2016	16746
Port Macquarie - East	2006	25377
Port Macquarie - East	2011	26712
Port Macquarie - East	2016	28050
Port Macquarie - West	2006	13512
Port Macquarie - West	2011	15010
Port Macquarie - West	2016	17329
Port Macquarie Region	2006	5009
Port Macquarie Region	2011	5036
Port Macquarie Region	2016	5297
Wauchope	2006	9555
Wauchope	2011	10214
Wauchope	2016	11151
Gloucester	2006	4800
Gloucester	2011	4870
Gloucester	2016	5034
Old Bar - Manning Point - Red Head	2006	8659
Old Bar - Manning Point - Red Head	2011	9558
Old Bar - Manning Point - Red Head	2016	10537
Taree	2006	19781
Taree	2011	20107
Taree	2016	20482
Taree Region	2006	11093
Taree Region	2011	11514
Taree Region	2016	12438
Wingham	2006	5615
Wingham	2011	5312
Wingham	2016	5374
Albury - East	2006	11035
Albury - East	2011	12805
Albury - East	2016	15048
Albury - North	2006	9600
Albury - North	2011	9309
Albury - North	2016	9844
Albury - South	2006	10236
Albury - South	2011	10524
Albury - South	2016	10301
Albury Region	2006	10792
Albury Region	2011	10875
Albury Region	2016	11608
Lavington	2006	14237
Lavington	2011	13921
Lavington	2016	14468
Hay	2006	3379
Hay	2011	2997
Hay	2016	2969
Wentworth - Buronga	2006	6148
Wentworth - Buronga	2011	5771
Wentworth - Buronga	2016	5967
Wentworth-Balranald Region	2006	3511
Wentworth-Balranald Region	2011	3663
Wentworth-Balranald Region	2016	3614
Corowa	2006	5844
Corowa	2011	5606
Corowa	2016	5482
Corowa Region	2006	6128
Corowa Region	2011	6510
Corowa Region	2016	6736
Deniliquin	2006	7433
Deniliquin	2011	7121
Deniliquin	2016	7434
Deniliquin Region	2006	7539
Deniliquin Region	2011	6808
Deniliquin Region	2016	6752
Moama	2006	4479
Moama	2011	5117
Moama	2016	5849
Tocumwal - Finley - Jerilderie	2006	9258
Tocumwal - Finley - Jerilderie	2011	9295
Tocumwal - Finley - Jerilderie	2016	9728
Armidale	2006	21661
Armidale	2011	22469
Armidale	2016	23352
Armidale Region - North	2006	4203
Armidale Region - North	2011	4290
Armidale Region - North	2016	4488
Armidale Region - South	2006	5722
Armidale Region - South	2011	6000
Armidale Region - South	2016	6021
Walcha	2006	3188
Walcha	2011	3192
Walcha	2016	3224
Glen Innes	2006	8782
Glen Innes	2011	8655
Glen Innes	2016	8836
Inverell	2006	11240
Inverell	2011	11399
Inverell	2016	11660
Inverell Region - East	2006	4796
Inverell Region - East	2011	5283
Inverell Region - East	2016	5241
Inverell Region - West	2006	6012
Inverell Region - West	2011	5616
Inverell Region - West	2016	5988
Tenterfield	2006	6536
Tenterfield	2011	6809
Tenterfield	2016	6628
Moree	2006	8597
Moree	2011	8397
Moree	2016	8200
Moree Region	2006	5890
Moree Region	2011	5548
Moree Region	2016	5451
Narrabri	2006	6637
Narrabri	2011	6929
Narrabri	2016	7167
Narrabri Region	2006	5269
Narrabri Region	2011	4809
Narrabri Region	2016	4798
Gunnedah	2006	8496
Gunnedah	2011	8731
Gunnedah	2016	9191
Gunnedah Region	2006	4233
Gunnedah Region	2011	4521
Gunnedah Region	2016	4135
Quirindi	2006	7537
Quirindi	2011	7477
Quirindi	2016	7686
Tamworth - East	2006	19482
Tamworth - East	2011	19902
Tamworth - East	2016	20370
Tamworth - North	2006	12434
Tamworth - North	2011	13513
Tamworth - North	2016	15076
Tamworth - West	2006	5032
Tamworth - West	2011	5322
Tamworth - West	2016	5560
Tamworth Region	2006	16646
Tamworth Region	2011	17342
Tamworth Region	2016	18474
Belmont - Bennetts Green	2006	16118
Belmont - Bennetts Green	2011	17143
Belmont - Bennetts Green	2016	17724
Belmont South - Blacksmiths	2006	5473
Belmont South - Blacksmiths	2011	5618
Belmont South - Blacksmiths	2016	5606
Charlestown - Dudley	2006	23162
Charlestown - Dudley	2011	23554
Charlestown - Dudley	2016	23965
Glendale - Cardiff - Hillsborough	2006	22641
Glendale - Cardiff - Hillsborough	2011	22966
Glendale - Cardiff - Hillsborough	2016	23389
Mount Hutton - Windale	2006	9097
Mount Hutton - Windale	2011	8660
Mount Hutton - Windale	2016	8900
Redhead	2006	3335
Redhead	2011	3460
Redhead	2016	3516
Swansea - Caves Beach	2006	10495
Swansea - Caves Beach	2011	10730
Swansea - Caves Beach	2016	11551
Valentine - Eleebana	2006	11730
Valentine - Eleebana	2011	11967
Valentine - Eleebana	2016	11995
Warners Bay - Boolaroo	2006	12627
Warners Bay - Boolaroo	2011	12761
Warners Bay - Boolaroo	2016	13365
Bolton Point - Teralba	2006	8556
Bolton Point - Teralba	2011	8699
Bolton Point - Teralba	2016	8527
Bonnells Bay - Silverwater	2006	7567
Bonnells Bay - Silverwater	2011	7935
Bonnells Bay - Silverwater	2016	8717
Edgeworth - Cameron Park	2006	9625
Edgeworth - Cameron Park	2011	11425
Edgeworth - Cameron Park	2016	14200
Morisset - Cooranbong	2006	13178
Morisset - Cooranbong	2011	13842
Morisset - Cooranbong	2016	14959
Toronto - Awaba	2006	13077
Toronto - Awaba	2011	13268
Toronto - Awaba	2016	13425
Wangi Wangi - Rathmines	2006	8720
Wangi Wangi - Rathmines	2011	8708
Wangi Wangi - Rathmines	2016	8893
West Wallsend - Barnsley - Killingworth	2006	6234
West Wallsend - Barnsley - Killingworth	2011	6135
West Wallsend - Barnsley - Killingworth	2016	6479
Adamstown - Kotara	2006	14372
Adamstown - Kotara	2011	15043
Adamstown - Kotara	2016	15601
Beresfield - Hexham	2006	8463
Beresfield - Hexham	2011	8361
Beresfield - Hexham	2016	8360
Hamilton - Broadmeadow	2006	11160
Hamilton - Broadmeadow	2011	11739
Hamilton - Broadmeadow	2016	11848
Lambton - New Lambton	2006	15576
Lambton - New Lambton	2011	16406
Lambton - New Lambton	2016	16519
Maryland - Fletcher - Minmi	2006	10273
Maryland - Fletcher - Minmi	2011	11213
Maryland - Fletcher - Minmi	2016	13566
Mayfield - Warabrook	2006	14303
Mayfield - Warabrook	2011	14643
Mayfield - Warabrook	2016	14874
Merewether - The Junction	2006	13034
Merewether - The Junction	2011	13399
Merewether - The Junction	2016	13617
Newcastle - Cooks Hill	2006	9416
Newcastle - Cooks Hill	2011	10136
Newcastle - Cooks Hill	2016	10764
Newcastle Port - Kooragang	2006	8
Newcastle Port - Kooragang	2011	16
Newcastle Port - Kooragang	2016	20
Shortland - Jesmond	2006	9403
Shortland - Jesmond	2011	10081
Shortland - Jesmond	2016	11541
Stockton - Fullerton Cove	2006	6019
Stockton - Fullerton Cove	2011	6120
Stockton - Fullerton Cove	2016	7496
Wallsend - Elermore Vale	2006	17867
Wallsend - Elermore Vale	2011	19038
Wallsend - Elermore Vale	2016	19629
Waratah - North Lambton	2006	11319
Waratah - North Lambton	2011	11860
Waratah - North Lambton	2016	12059
Wickham - Carrington - Tighes Hill	2006	7096
Wickham - Carrington - Tighes Hill	2011	7667
Wickham - Carrington - Tighes Hill	2016	8004
Ballina	2006	16177
Ballina	2011	16167
Ballina	2016	17111
Ballina Region	2006	15664
Ballina Region	2011	15694
Ballina Region	2016	16832
Bangalow	2006	4891
Bangalow	2011	5319
Bangalow	2016	5665
Brunswick Heads - Ocean Shores	2006	7545
Brunswick Heads - Ocean Shores	2011	7734
Brunswick Heads - Ocean Shores	2016	8212
Byron Bay	2006	8852
Byron Bay	2011	8654
Byron Bay	2016	9502
Evans Head	2006	4910
Evans Head	2011	4989
Evans Head	2016	5221
Lennox Head - Skennars Head	2006	6618
Lennox Head - Skennars Head	2011	7341
Lennox Head - Skennars Head	2016	7741
Mullumbimby	2006	7475
Mullumbimby	2011	7334
Mullumbimby	2016	7993
Casino	2006	11218
Casino	2011	11834
Casino	2016	12227
Casino Region	2006	6785
Casino Region	2011	6895
Casino Region	2016	6971
Goonellabah	2006	12138
Goonellabah	2011	12716
Goonellabah	2016	13126
Kyogle	2006	7660
Kyogle	2011	7508
Kyogle	2016	7312
Lismore	2006	15530
Lismore	2011	15565
Lismore	2016	15280
Lismore Region	2006	14538
Lismore Region	2011	14769
Lismore Region	2016	15025
Kingscliff - Fingal Head	2006	9358
Kingscliff - Fingal Head	2011	10927
Kingscliff - Fingal Head	2016	13156
Murwillumbah	2006	7701
Murwillumbah	2011	8239
Murwillumbah	2016	8944
Murwillumbah Region	2006	9472
Murwillumbah Region	2011	9548
Murwillumbah Region	2016	9654
Pottsville	2006	10368
Pottsville	2011	12138
Pottsville	2016	13182
Tweed Heads	2006	17283
Tweed Heads	2011	18193
Tweed Heads	2016	19417
Banora Point	2006	14684
Banora Point	2011	15049
Banora Point	2016	15635
Terranora - North Tumblegum	2006	3134
Terranora - North Tumblegum	2011	3099
Terranora - North Tumblegum	2016	3244
Tweed Heads South	2006	7318
Tweed Heads South	2011	7903
Tweed Heads South	2016	8147
Griffith (NSW)	2006	16545
Griffith (NSW)	2011	17901
Griffith (NSW)	2016	19144
Griffith Region	2006	13871
Griffith Region	2011	12684
Griffith Region	2016	12879
Leeton	2006	10191
Leeton	2011	9889
Leeton	2016	10091
Narrandera	2006	6274
Narrandera	2011	6123
Narrandera	2016	6036
Tumbarumba	2006	3647
Tumbarumba	2011	3388
Tumbarumba	2016	3449
Tumut	2006	6081
Tumut	2011	6295
Tumut	2016	6275
Tumut Region	2006	4717
Tumut Region	2011	4644
Tumut Region	2016	4715
Cootamundra	2006	7522
Cootamundra	2011	7445
Cootamundra	2016	7570
Gundagai	2006	3486
Gundagai	2011	3575
Gundagai	2016	3597
Junee	2006	5777
Junee	2011	5821
Junee	2016	6245
Temora	2006	6507
Temora	2011	6326
Temora	2016	6718
Wagga Wagga - East	2006	15442
Wagga Wagga - East	2011	15910
Wagga Wagga - East	2016	16585
Wagga Wagga - North	2006	3053
Wagga Wagga - North	2011	3490
Wagga Wagga - North	2016	4405
Wagga Wagga - South	2006	19179
Wagga Wagga - South	2011	20870
Wagga Wagga - South	2016	21266
Wagga Wagga - West	2006	12170
Wagga Wagga - West	2011	11773
Wagga Wagga - West	2016	12157
Wagga Wagga Region	2006	13736
Wagga Wagga Region	2011	13989
Wagga Wagga Region	2016	14814
Berry - Kangaroo Valley	2006	8083
Berry - Kangaroo Valley	2011	8285
Berry - Kangaroo Valley	2016	8789
Callala Bay - Currarong	2006	3229
Callala Bay - Currarong	2011	3527
Callala Bay - Currarong	2016	3617
Culburra Beach	2006	4976
Culburra Beach	2011	4790
Culburra Beach	2016	4955
Ettrema - Sassafras - Budawang	2006	0
Ettrema - Sassafras - Budawang	2011	39
Ettrema - Sassafras - Budawang	2016	49
Huskisson - Vincentia	2006	3516
Huskisson - Vincentia	2011	3821
Huskisson - Vincentia	2016	4188
North Nowra - Bomaderry	2006	15150
North Nowra - Bomaderry	2011	15236
North Nowra - Bomaderry	2016	15759
Nowra	2006	15809
Nowra	2011	18105
Nowra	2016	20039
St Georges Basin - Erowal Bay	2006	12140
St Georges Basin - Erowal Bay	2011	12610
St Georges Basin - Erowal Bay	2016	14007
Sussex Inlet - Berrara	2006	4216
Sussex Inlet - Berrara	2011	4132
Sussex Inlet - Berrara	2016	4342
Tomerong - Wandandian - Woollamia	2006	2670
Tomerong - Wandandian - Woollamia	2011	3295
Tomerong - Wandandian - Woollamia	2016	3407
Ulladulla	2006	13939
Ulladulla	2011	14148
Ulladulla	2016	15278
Ulladulla Region	2006	4678
Ulladulla Region	2011	4642
Ulladulla Region	2016	5062
Bowral	2006	12226
Bowral	2011	12151
Bowral	2016	12949
Hill Top - Colo Vale	2006	5434
Hill Top - Colo Vale	2011	5673
Hill Top - Colo Vale	2016	6025
Mittagong	2006	7707
Mittagong	2011	8104
Mittagong	2016	8999
Moss Vale - Berrima	2006	7843
Moss Vale - Berrima	2011	8935
Moss Vale - Berrima	2016	9797
Robertson - Fitzroy Falls	2006	3460
Robertson - Fitzroy Falls	2011	3373
Robertson - Fitzroy Falls	2016	3506
Southern Highlands	2006	5601
Southern Highlands	2011	6148
Southern Highlands	2016	6589
Baulkham Hills (East)	2006	19941
Baulkham Hills (East)	2011	21349
Baulkham Hills (East)	2016	22944
Baulkham Hills (West) - Bella Vista	2006	17802
Baulkham Hills (West) - Bella Vista	2011	18615
Baulkham Hills (West) - Bella Vista	2016	20066
Glenhaven	2006	5621
Glenhaven	2011	5831
Glenhaven	2016	6251
