SA2_NAME16	Year	medianTotalPersonalIncomeWeekly
Castle Hill - Central	2006	634
Castle Hill - East	2006	387
Castle Hill - North	2006	629
Castle Hill - South	2006	627
Castle Hill - West	2006	707
Cherrybrook	2006	579
Kellyville	2006	661
Dural - Kenthurst - Wisemans Ferry	2006	576
Galston - Laughtondale	2006	557
Bilpin - Colo - St Albans	2006	447
Kurrajong Heights - Ebenezer	2006	543
Pitt Town - McGraths Hill	2006	550
Rouse Hill - Beaumont Hills	2006	709
Blacktown (East) - Kings Park	2006	446
Blacktown (North) - Marayong	2006	430
Doonside - Woodcroft	2006	460
Lalor Park - Kings Langley	2006	498
Seven Hills - Toongabbie	2006	491
Blacktown (South)	2006	446
Blacktown (West)	2006	438
Glenwood	2006	681
Parklea - Kellyville Ridge	2006	716
Riverstone - Marsden Park	2006	444
Acacia Gardens	2006	691
Quakers Hill	2006	620
Bidwill - Hebersham - Emerton	2006	348
Glendenning - Dean Park	2006	528
Hassall Grove - Plumpton	2006	525
Lethbridge Park - Tregear	2006	313
Mount Druitt - Whalan	2006	362
Prospect Reservoir	2006	0
Rooty Hill - Minchinbury	2006	486
Banksmeadow	2006	0
Botany	2006	561
Mascot - Eastlakes	2006	421
Pagewood - Hillsdale - Daceyville	2006	440
Port Botany Industrial	2006	0
Sydney Airport	2006	0
Marrickville	2006	469
Petersham - Stanmore	2006	696
Sydenham - Tempe - St Peters	2006	586
Darlinghurst	2006	925
Erskineville - Alexandria	2006	936
Glebe - Forest Lodge	2006	668
Newtown - Camperdown - Darlington	2006	681
Potts Point - Woolloomooloo	2006	912
Pyrmont - Ultimo	2006	757
Redfern - Chippendale	2006	625
Surry Hills	2006	784
Sydney - Haymarket - The Rocks	2006	444
Waterloo - Beaconsfield	2006	536
Bondi - Tamarama - Bronte	2006	787
Bondi Beach - North Bondi	2006	793
Bondi Junction - Waverly	2006	728
Centennial Park	2006	0
Double Bay - Bellevue Hill	2006	995
Dover Heights	2006	733
Paddington - Moore Park	2006	997
Rose Bay - Vaucluse - Watsons Bay	2006	878
Woollahra	2006	971
Coogee - Clovelly	2006	825
Malabar - La Perouse - Chifley	2006	468
Kensington (NSW)	2006	460
Kingsford	2006	419
Maroubra - North	2006	593
Maroubra - South	2006	510
Maroubra - West	2006	507
Randwick - North	2006	761
Randwick - South	2006	687
Bass Hill - Georges Hall	2006	362
Chullora	2006	0
Condell Park	2006	356
Greenacre - Mount Lewis	2006	304
Padstow	2006	459
Panania - Milperra - Picnic Point	2006	504
Revesby	2006	435
Yagoona - Birrong	2006	344
Bankstown - North	2006	329
Bankstown - South	2006	319
Belmore - Belfield	2006	367
Canterbury (South) - Campsie	2006	345
Kingsgrove (North) - Earlwood	2006	441
Punchbowl	2006	308
Roselands	2006	405
Lakemba	2006	304
Wiley Park	2006	309
Hurstville	2006	369
Mortdale - Penshurst	2006	536
Narwee - Beverly Hills	2006	403
Oatley - Hurstville Grove	2006	585
Peakhurst - Lugarno	2006	489
Riverwood	2006	310
South Hurstville - Blakehurst	2006	498
Arncliffe - Bardwell Valley	2006	441
Bexley	2006	458
Kingsgrove (South) - Bardwell Park	2006	435
Kogarah	2006	475
Kogarah Bay - Carlton - Allawah	2006	486
Monterey - Brighton-le-Sands - Kyeemagh	2006	494
Rockdale - Banksia	2006	436
Sans Souci - Ramsgate	2006	501
Concord - Mortlake - Cabarita	2006	594
Concord West - North Strathfield	2006	643
Drummoyne - Rodd Point	2006	778
Five Dock - Abbotsford	2006	675
Balmain	2006	1033
Leichhardt - Annandale	2006	804
Lilyfield - Rozelle	2006	936
Ashfield	2006	480
Burwood - Croydon	2006	409
Canterbury (North) - Ashbury	2006	495
Croydon Park - Enfield	2006	451
Dulwich Hill - Lewisham	2006	587
Haberfield - Summer Hill	2006	591
Homebush	2006	450
Strathfield	2006	450
Strathfield South	2006	481
Chatswood (East) - Artarmon	2006	621
Chatswood (West) - Lane Cove North	2006	773
Lane Cove - Greenwich	2006	813
St Leonards - Naremburn	2006	982
Willoughby - Castle Cove - Northbridge	2006	766
Asquith - Mount Colah	2006	588
Berowra - Brooklyn - Cowan	2006	613
Normanhurst - Thornleigh - Westleigh	2006	608
Hornsby - East	2006	581
Hornsby - West	2006	567
Waitara - Wahroonga (West)	2006	584
Gordon - Killara	2006	703
Lindfield - Roseville	2006	772
Pymble	2006	748
St Ives	2006	690
Turramurra	2006	676
Wahroonga (East) - Warrawee	2006	706
Cremorne - Cammeray	2006	1020
Crows Nest - Waverton	2006	987
Mosman	2006	969
Neutral Bay - Kirribilli	2006	993
North Sydney - Lavender Bay	2006	1045
Balgowlah - Clontarf - Seaforth	2006	734
Manly - Fairlight	2006	840
Avalon - Palm Beach	2006	671
Bayview - Elanora Heights	2006	654
Newport - Bilgola	2006	691
Warriewood - Mona Vale	2006	624
Beacon Hill - Narraweena	2006	513
Cromer	2006	581
Dee Why - North Curl Curl	2006	638
Forestville - Killarney Heights	2006	602
Frenchs Forest - Belrose	2006	605
Freshwater - Brookvale	2006	717
Manly Vale - Allambie Heights	2006	598
Narrabeen - Collaroy	2006	658
Terrey Hills - Duffys Forest	2006	634
Camden - Ellis Lane	2006	513
Elderslie - Harrington Park	2006	567
Mount Annan - Currans Hill	2006	646
Bradbury - Wedderburn	2006	442
Campbelltown - Woodbine	2006	468
Claymore - Eagle Vale - Raby	2006	473
Holsworthy Military Area	2006	0
Ingleburn - Denham Court	2006	489
Leumeah - Minto Heights	2006	509
Macquarie Fields - Glenfield	2006	415
Minto - St Andrews	2006	446
Rosemeadow - Glen Alpine	2006	470
Bargo	2006	456
Douglas Park - Appin	2006	541
Picton - Tahmoor - Buxton	2006	468
The Oaks - Oakdale	2006	526
Blackheath - Megalong Valley	2006	425
Blaxland - Warrimoo - Lapstone	2006	589
Blue Mountains - North	2006	0
Katoomba - Leura	2006	394
Lawson - Hazelbrook - Linden	2006	494
Springwood - Winmalee	2006	541
Wentworth Falls	2006	461
Blue Mountains - South	2006	0
Cambridge Park	2006	529
Castlereagh - Cranebrook	2006	528
Emu Plains - Leonay	2006	573
Glenmore Park - Regentville	2006	663
Jamisontown - South Penrith	2006	526
Kingswood - Werrington	2006	478
Mulgoa - Luddenham - Orchard Hills	2006	542
Penrith	2006	416
Warragamba - Silverdale	2006	536
Richmond - Clarendon	2006	497
Windsor - Bligh Park	2006	528
Yarramundi - Londonderry	2006	488
Erskine Park	2006	587
St Clair	2006	552
Colyton - Oxley Park	2006	451
St Marys - North St Marys	2006	388
Homebush Bay - Silverwater	2006	747
Rookwood Cemetery	2006	0
Auburn - Central	2006	252
Auburn - North	2006	294
Auburn - South	2006	283
Berala	2006	360
Lidcombe	2006	362
Regents Park	2006	350
Carlingford	2006	532
Ermington - Rydalmere	2006	427
Oatlands - Dundas Valley	2006	459
Chester Hill - Sefton	2006	345
Fairfield - East	2006	292
Granville - Clyde	2006	344
Greystanes - Pemulwuy	2006	488
Guildford - South Granville	2006	287
Guildford West - Merrylands West	2006	392
Merrylands - Holroyd	2006	389
Smithfield Industrial	2006	0
Yennora Industrial	2006	0
North Parramatta	2006	512
North Rocks	2006	609
Northmead	2006	568
Parramatta - Rosehill	2006	444
Toongabbie - Constitution Hill	2006	480
Winston Hills	2006	583
Pendle Hill - Girraween	2006	434
Wentworthville - Westmead	2006	451
Epping - North Epping	2006	567
Pennant Hills - Cheltenham	2006	652
Eastwood - Denistone	2006	501
Gladesville - Huntleys Point	2006	664
Hunters Hill - Woolwich	2006	711
Macquarie Park - Marsfield	2006	475
North Ryde - East Ryde	2006	513
West Ryde - Meadowbank	2006	558
Putney	2006	585
Ryde	2006	511
Ashcroft - Busby - Miller	2006	267
Austral - Greendale	2006	407
Cobbitty - Leppington	2006	451
Badgerys Creek	2006	424
Cecil Hills	2006	517
Green Valley	2006	410
Hinchinbrook	2006	482
Hoxton Park - Carnes Hill - Horningsea Park	2006	551
West Hoxton - Middleton Grange	2006	540
Bonnyrigg Heights - Bonnyrigg	2006	309
Bossley Park - Abbotsbury	2006	416
Cabramatta - Lansvale	2006	263
Cabramatta West - Mount Pritchard	2006	311
Canley Vale - Canley Heights	2006	281
Edensor Park	2006	394
Fairfield	2006	261
Fairfield - West	2006	317
Greenfield Park - Prairiewood	2006	337
Horsley Park - Kemps Creek	2006	453
Smithfield - Wetherill Park	2006	360
St Johns Park - Wakeley	2006	346
Wetherill Park Industrial	2006	0
Casula	2006	463
Chipping Norton - Moorebank	2006	527
Holsworthy - Wattle Grove	2006	673
Liverpool	2006	332
Lurnea - Cartwright	2006	311
Prestons - Edmondson Park	2006	559
Warwick Farm	2006	293
Gymea - Grays Point	2006	614
Miranda - Yowie Bay	2006	540
Sylvania - Taren Point	2006	563
Caringbah	2006	539
Caringbah South	2006	595
Cronulla - Kurnell - Bundeena	2006	685
Lilli Pilli - Port Hacking - Dolans Bay	2006	718
Woolaware - Burraneer	2006	620
Heathcote - Waterfall	2006	532
Illawong - Alfords Point	2006	591
Menai - Lucas Heights - Woronora	2006	619
Oyster Bay - Como - Jannali	2006	610
Royal National Park	2006	900
Sutherland - Kirrawee	2006	606
Engadine	2006	600
Loftus - Yarrawarrah	2006	577
Woronora Heights	2006	655
Migratory - Offshore - Shipping (NSW)	2006	1037
No usual address (NSW)	2006	344
Alfredton	2006	473
Ballarat	2006	470
Ballarat - North	2006	418
Ballarat - South	2006	377
Buninyong	2006	415
Delacombe	2006	424
Smythes Creek	2006	446
Wendouree - Miners Rest	2006	355
Bacchus Marsh Region	2006	415
Creswick - Clunes	2006	363
Daylesford	2006	360
Gordon (Vic.)	2006	400
Avoca	2006	314
Beaufort	2006	349
Golden Plains - North	2006	355
Maryborough (Vic.)	2006	315
Maryborough Region	2006	290
Bendigo	2006	382
California Gully - Eaglehawk	2006	357
East Bendigo - Kennington	2006	443
Flora Hill - Spring Gully	2006	398
Kangaroo Flat - Golden Square	2006	390
Maiden Gully	2006	491
Strathfieldsaye	2006	542
White Hills - Ascot	2006	445
Bendigo Region - South	2006	462
Castlemaine	2006	364
Castlemaine Region	2006	367
Heathcote	2006	295
Kyneton	2006	398
Woodend	2006	491
Bendigo Region - North	2006	395
Loddon	2006	325
Bannockburn	2006	504
Golden Plains - South	2006	429
Winchelsea	2006	430
Belmont	2006	394
Corio - Norlane	2006	311
Geelong	2006	448
Geelong West - Hamlyn Heights	2006	436
Grovedale	2006	435
Highton	2006	477
Lara	2006	480
Leopold	2006	460
Newcomb - Moolap	2006	372
Newtown (Vic.)	2006	518
North Geelong - Bell Park	2006	364
Clifton Springs	2006	391
Lorne - Anglesea	2006	449
Ocean Grove - Barwon Heads	2006	471
Portarlington	2006	330
Point Lonsdale - Queenscliff	2006	441
Torquay	2006	519
Alexandra	2006	383
Euroa	2006	377
Kilmore - Broadford	2006	415
Mansfield (Vic.)	2006	412
Nagambie	2006	374
Seymour	2006	388
Seymour Region	2006	490
Upper Yarra Valley	2006	247
Yea	2006	386
Benalla	2006	388
Benalla Region	2006	412
Rutherglen	2006	452
Wangaratta	2006	405
Wangaratta Region	2006	430
Beechworth	2006	407
Bright - Mount Beauty	2006	394
Chiltern - Indigo Valley	2006	438
Myrtleford	2006	373
Towong	2006	374
West Wodonga	2006	503
Wodonga	2006	459
Yackandandah	2006	494
Drouin	2006	398
Mount Baw Baw Region	2006	395
Trafalgar (Vic.)	2006	403
Warragul	2006	435
Alps - East	2006	0
Bairnsdale	2006	377
Bruthen - Omeo	2006	381
Lake King	2006	0
Lakes Entrance	2006	341
Orbost	2006	322
Paynesville	2006	355
Foster	2006	359
French Island	2006	246
Korumburra	2006	386
Leongatha	2006	418
Phillip Island	2006	378
Wilsons Promontory	2006	0
Wonthaggi - Inverloch	2006	348
Churchill	2006	397
Moe - Newborough	2006	338
Morwell	2006	326
Traralgon	2006	448
Yallourn North - Glengarry	2006	418
Alps - West	2006	500
Longford - Loch Sport	2006	333
Maffra	2006	392
Rosedale	2006	428
Sale	2006	397
Yarram	2006	354
Brunswick	2006	502
Brunswick East	2006	527
Brunswick West	2006	491
Coburg	2006	413
Pascoe Vale South	2006	480
Alphington - Fairfield	2006	562
Northcote	2006	551
Thornbury	2006	460
Ascot Vale	2006	520
Essendon - Aberfeldie	2006	567
Flemington	2006	436
Moonee Ponds	2006	599
Carlton	2006	280
Docklands	2006	891
East Melbourne	2006	935
Flemington Racecourse	2006	0
Kensington (Vic.)	2006	751
Melbourne	2006	414
North Melbourne	2006	471
Parkville	2006	250
South Yarra - West	2006	907
Southbank	2006	772
West Melbourne	2006	0
Albert Park	2006	861
Elwood	2006	828
Port Melbourne	2006	852
Port Melbourne Industrial	2006	0
South Melbourne	2006	712
St Kilda	2006	751
St Kilda East	2006	659
Armadale	2006	769
Prahran - Windsor	2006	718
South Yarra - East	2006	774
Toorak	2006	867
Abbotsford	2006	644
Carlton North - Princes Hill	2006	654
Collingwood	2006	511
Fitzroy	2006	564
Fitzroy North	2006	643
Richmond (Vic.)	2006	688
Yarra - North	2006	748
Ashburton (Vic.)	2006	533
Balwyn	2006	572
Balwyn North	2006	549
Camberwell	2006	654
Glen Iris - East	2006	692
Hawthorn	2006	665
Hawthorn East	2006	701
Kew	2006	684
Kew East	2006	631
Surrey Hills (West) - Canterbury	2006	685
Bulleen	2006	426
Doncaster	2006	454
Templestowe	2006	529
Templestowe Lower	2006	492
Doncaster East (North)	2006	474
Doncaster East (South)	2006	429
Blackburn	2006	515
Blackburn South	2006	472
Box Hill	2006	419
Box Hill North	2006	477
Burwood	2006	376
Burwood East	2006	423
Surrey Hills (East) - Mont Albert	2006	651
Beaumaris	2006	594
Brighton (Vic.)	2006	761
Brighton East	2006	613
Cheltenham - Highett (West)	2006	516
Hampton	2006	566
Sandringham - Black Rock	2006	630
Bentleigh - McKinnon	2006	532
Carnegie	2006	525
Caulfield - North	2006	620
Caulfield - South	2006	574
Elsternwick	2006	652
Hughesdale	2006	491
Murrumbeena	2006	539
Ormond - Glen Huntly	2006	539
Bentleigh East (North)	2006	499
Bentleigh East (South)	2006	460
Aspendale Gardens - Waterways	2006	564
Braeside	2006	949
Carrum - Patterson Lakes	2006	532
Chelsea - Bonbeach	2006	455
Chelsea Heights	2006	495
Cheltenham - Highett (East)	2006	477
Edithvale - Aspendale	2006	521
Mentone	2006	533
Moorabbin - Heatherton	2006	508
Moorabbin Airport	2006	0
Mordialloc - Parkdale	2006	545
Malvern - Glen Iris	2006	706
Malvern East	2006	594
Bundoora - East	2006	433
Greensborough	2006	518
Heidelberg - Rosanna	2006	520
Heidelberg West	2006	350
Ivanhoe	2006	575
Ivanhoe East - Eaglemont	2006	684
Montmorency - Briar Hill	2006	551
Viewbank - Yallambie	2006	530
Watsonia	2006	478
Kingsbury	2006	324
Reservoir - East	2006	342
Reservoir - West	2006	353
Preston - East	2006	367
Preston - West	2006	399
Eltham	2006	587
Hurstbridge	2006	525
Kinglake	2006	489
Panton Hill - St Andrews	2006	538
Plenty - Yarrambat	2006	555
Research - North Warrandyte	2006	592
Wattle Glen - Diamond Creek	2006	565
Bundoora - North	2006	435
Bundoora - West	2006	395
Lalor	2006	294
Mill Park - North	2006	474
Mill Park - South	2006	444
Thomastown	2006	295
Wallan	2006	506
Whittlesea	2006	490
Doreen	2006	686
Epping - East	2006	464
Epping - South	2006	418
Epping - West	2006	439
Mernda	2006	439
South Morang (North)	2006	626
South Morang (South)	2006	523
Wollert	2006	374
Airport West	2006	415
Essendon Airport	2006	0
Keilor	2006	488
Keilor East	2006	394
Niddrie - Essendon West	2006	480
Strathmore	2006	534
Gisborne	2006	538
Macedon	2006	533
Riddells Creek	2006	554
Romsey	2006	475
Coburg North	2006	362
Fawkner	2006	286
Pascoe Vale	2006	444
Glenroy	2006	339
Gowanbrae	2006	646
Hadfield	2006	333
Sunbury	2006	523
Sunbury - South	2006	506
Broadmeadows	2006	275
Campbellfield - Coolaroo	2006	239
Gladstone Park - Westmeadows	2006	441
Greenvale - Bulla	2006	497
Meadow Heights	2006	259
Melbourne Airport	2006	472
Roxburgh Park - Somerton	2006	404
Tullamarine	2006	447
Craigieburn - Central	2006	459
Craigieburn - North	2006	582
Craigieburn - South	2006	500
Craigieburn - West	2006	627
Mickleham - Yuroke	2006	508
Bayswater	2006	466
Knoxfield - Scoresby	2006	510
Lysterfield	2006	618
Rowville - Central	2006	512
Rowville - North	2006	580
Rowville - South	2006	579
Wantirna	2006	498
Wantirna South	2006	458
Boronia	2006	475
Ferntree Gully (North)	2006	462
Ferntree Gully (South) - Upper Ferntree Gully	2006	496
The Basin	2006	539
Donvale - Park Orchards	2006	542
Warrandyte - Wonga Park	2006	594
Bayswater North	2006	501
Croydon Hills - Warranwood	2006	556
Ringwood	2006	479
Ringwood East	2006	507
Ringwood North	2006	535
Croydon - East	2006	471
Croydon - West	2006	455
Croydon South	2006	509
Forest Hill	2006	450
Mitcham (Vic.)	2006	525
Nunawading	2006	485
Vermont	2006	511
Vermont South	2006	496
Belgrave - Selby	2006	513
Chirnside Park	2006	501
Healesville - Yarra Glen	2006	427
Kilsyth	2006	456
Lilydale - Coldstream	2006	486
Monbulk - Silvan	2006	450
Montrose	2006	512
Mooroolbark	2006	482
Mount Dandenong - Olinda	2006	529
Mount Evelyn	2006	496
Upwey - Tecoma	2006	519
Wandin - Seville	2006	490
Yarra Valley	2006	393
Beaconsfield - Officer	2006	553
Bunyip - Garfield	2006	437
Emerald - Cockatoo	2006	497
Koo Wee Rup	2006	394
Pakenham - North	2006	479
Pakenham - South	2006	479
Berwick - North	2006	524
Berwick - South	2006	612
Doveton	2006	322
Hallam	2006	428
Narre Warren North	2006	545
Endeavour Hills - North	2006	440
Endeavour Hills - South	2006	423
Narre Warren - North East	2006	497
Narre Warren - South West	2006	461
Cranbourne	2006	430
Cranbourne East	2006	507
Cranbourne North	2006	479
Cranbourne South	2006	464
Cranbourne West	2006	499
Hampton Park - Lynbrook	2006	448
Lynbrook - Lyndhurst	2006	606
Pearcedale - Tooradin	2006	470
Narre Warren South (East)	2006	591
Narre Warren South (West)	2006	560
Clarinda - Oakleigh South	2006	379
Clayton South	2006	337
Dandenong	2006	311
Dandenong North	2006	369
Dingley Village	2006	523
Keysborough	2006	406
Noble Park North	2006	373
Springvale	2006	291
Springvale South	2006	339
Noble Park - East	2006	367
Noble Park - West	2006	333
Ashwood - Chadstone	2006	432
Clayton	2006	251
Glen Waverley - East	2006	492
Glen Waverley - West	2006	448
Mount Waverley - North	2006	496
Mount Waverley - South	2006	485
Mulgrave	2006	456
Oakleigh - Huntingdale	2006	430
Wheelers Hill	2006	508
Ardeer - Albion	2006	322
Cairnlea	2006	478
Deer Park - Derrimut	2006	382
Delahey	2006	406
Keilor Downs	2006	406
Kings Park (Vic.)	2006	317
St Albans - North	2006	277
St Albans - South	2006	272
Sunshine	2006	348
Sunshine North	2006	294
Sunshine West	2006	291
Sydenham	2006	496
Taylors Lakes	2006	478
Altona	2006	443
Altona Meadows	2006	454
Altona North	2006	310
Newport	2006	554
Seabrook	2006	530
Williamstown	2006	636
Braybrook	2006	286
