SA2_NAME16	Year	averageHouseholdSize
Lithgow	2006	2.3
Lithgow Region	2006	2.6
Mudgee	2006	2.4
Mudgee Region - East	2006	2.3
Mudgee Region - West	2006	2.5
Wollangambe - Wollemi	2006	0
Blayney	2006	2.6
Orange	2006	2.3
Orange - North	2006	2.7
Orange Region	2006	2.7
Grafton	2006	2.4
Grafton Region	2006	2.6
Maclean - Yamba - Iluka	2006	2.3
Bellingen	2006	2.5
Coffs Harbour - North	2006	2.4
Coffs Harbour - South	2006	2.2
Coramba - Nana Glen - Bucca	2006	2.8
Dorrigo	2006	2.3
Korora - Emerald Beach	2006	2.7
Sawtell - Boambee	2006	2.6
Urunga	2006	2.2
Woolgoolga - Arrawarra	2006	2.5
Bourke - Brewarrina	2006	2.8
Cobar	2006	2.6
Coonamble	2006	2.5
Nyngan - Warren	2006	2.5
Walgett - Lightning Ridge	2006	2.4
Broken Hill	2006	2.3
Far West	2006	2.4
Coonabarabran	2006	2.4
Dubbo - East	2006	2.8
Dubbo - South	2006	2.4
Dubbo - West	2006	2.7
Dubbo Region	2006	2.9
Gilgandra	2006	2.5
Narromine	2006	2.6
Wellington	2006	2.5
Branxton - Greta - Pokolbin	2006	2.8
Cessnock	2006	2.6
Cessnock Region	2006	2.7
Dungog	2006	2.6
Kurri Kurri - Abermain	2006	2.6
Singleton	2006	2.8
Singleton Region	2006	2.8
Maitland	2006	2.5
Maitland - East	2006	2.6
Maitland - North	2006	2.8
Maitland - West	2006	2.7
Thornton - Millers Forest	2006	3
Anna Bay	2006	2.7
Lemon Tree Passage - Tanilba Bay	2006	2.4
Nelson Bay Peninsula	2006	2.3
Raymond Terrace	2006	2.6
Seaham - Woodville	2006	3.2
Tea Gardens - Hawks Nest	2006	2.1
Williamtown - Medowie - Karuah	2006	2.8
Muswellbrook	2006	2.6
Muswellbrook Region	2006	2.6
Scone	2006	2.4
Scone Region	2006	2.5
Dapto - Avondale	2006	2.6
Horsley - Kembla Grange	2006	3.1
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	2.9
Berkeley - Lake Heights - Cringila	2006	2.6
Port Kembla - Warrawong	2006	2.4
Windang - Primbee	2006	2.2
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	3.1
Albion Park Rail	2006	2.7
Kiama	2006	2.4
Kiama Downs - Minnamurra	2006	2.8
Kiama Hinterland - Gerringong	2006	2.7
Shellharbour - Flinders	2006	2.9
Shellharbour - Oak Flats	2006	2.7
Warilla	2006	2.6
Balgownie - Fairy Meadow	2006	2.5
Corrimal - Tarrawanna - Bellambi	2006	2.4
Figtree - Keiraville	2006	2.6
Helensburgh	2006	3.1
Thirroul - Austinmer - Coalcliff	2006	2.7
Woonona - Bulli - Russell Vale	2006	2.6
Wollongong - East	2006	1.9
Wollongong - West	2006	2.3
Bulahdelah - Stroud	2006	2.5
Forster	2006	2.2
Forster-Tuncurry Region	2006	2.5
Tuncurry	2006	2
Kempsey	2006	2.5
Kempsey Region	2006	2.5
Macksville - Scotts Head	2006	2.4
Nambucca Heads	2006	2.1
Nambucca Heads Region	2006	2.5
South West Rocks	2006	2.2
Lord Howe Island	2006	2.2
Laurieton - Bonny Hills	2006	2.3
Port Macquarie - East	2006	2.4
Port Macquarie - West	2006	2.1
Port Macquarie Region	2006	2.6
Wauchope	2006	2.6
Gloucester	2006	2.3
Old Bar - Manning Point - Red Head	2006	2.5
Taree	2006	2.4
Taree Region	2006	2.5
Wingham	2006	2.5
Albury - East	2006	2.6
Albury - North	2006	2.5
Albury - South	2006	2.3
Albury Region	2006	2.6
Lavington	2006	2.3
Hay	2006	2.5
Wentworth - Buronga	2006	2.6
Wentworth-Balranald Region	2006	2.5
Corowa	2006	2.4
Corowa Region	2006	2.4
Deniliquin	2006	2.3
Deniliquin Region	2006	2.5
Moama	2006	2.4
Tocumwal - Finley - Jerilderie	2006	2.4
Armidale	2006	2.4
Armidale Region - North	2006	2.5
Armidale Region - South	2006	2.6
Walcha	2006	2.4
Glen Innes	2006	2.4
Inverell	2006	2.4
Inverell Region - East	2006	2.6
Inverell Region - West	2006	2.4
Tenterfield	2006	2.3
Moree	2006	2.6
Moree Region	2006	2.8
Narrabri	2006	2.5
Narrabri Region	2006	2.6
Gunnedah	2006	2.4
Gunnedah Region	2006	2.7
Quirindi	2006	2.4
Tamworth - East	2006	2.5
Tamworth - North	2006	2.3
Tamworth - West	2006	2.8
Tamworth Region	2006	2.6
Belmont - Bennetts Green	2006	2.5
Belmont South - Blacksmiths	2006	2.3
Charlestown - Dudley	2006	2.5
Glendale - Cardiff - Hillsborough	2006	2.6
Mount Hutton - Windale	2006	2.6
Redhead	2006	2.5
Swansea - Caves Beach	2006	2.5
Valentine - Eleebana	2006	2.8
Warners Bay - Boolaroo	2006	2.5
Bolton Point - Teralba	2006	2.6
Bonnells Bay - Silverwater	2006	2.6
Edgeworth - Cameron Park	2006	2.7
Morisset - Cooranbong	2006	2.5
Toronto - Awaba	2006	2.5
Wangi Wangi - Rathmines	2006	2.6
West Wallsend - Barnsley - Killingworth	2006	2.9
Adamstown - Kotara	2006	2.4
Beresfield - Hexham	2006	2.6
Hamilton - Broadmeadow	2006	2.2
Lambton - New Lambton	2006	2.4
Maryland - Fletcher - Minmi	2006	3
Mayfield - Warabrook	2006	2.2
Merewether - The Junction	2006	2.3
Newcastle - Cooks Hill	2006	2
Newcastle Port - Kooragang	2006	0
Shortland - Jesmond	2006	2.4
Stockton - Fullerton Cove	2006	2.2
Wallsend - Elermore Vale	2006	2.5
Waratah - North Lambton	2006	2.3
Wickham - Carrington - Tighes Hill	2006	2.1
Ballina	2006	2.1
Ballina Region	2006	2.6
Bangalow	2006	2.6
Brunswick Heads - Ocean Shores	2006	2.4
Byron Bay	2006	2.3
Evans Head	2006	2.4
Lennox Head - Skennars Head	2006	2.7
Mullumbimby	2006	2.5
Casino	2006	2.5
Casino Region	2006	2.6
Goonellabah	2006	2.5
Kyogle	2006	2.5
Lismore	2006	2.4
Lismore Region	2006	2.6
Kingscliff - Fingal Head	2006	2.3
Murwillumbah	2006	2.4
Murwillumbah Region	2006	2.7
Pottsville	2006	2.6
Tweed Heads	2006	2.2
Banora Point	2006	2.4
Terranora - North Tumblegum	2006	3.1
Tweed Heads South	2006	2.1
Griffith (NSW)	2006	2.6
Griffith Region	2006	2.8
Leeton	2006	2.6
Narrandera	2006	2.4
Tumbarumba	2006	2.4
Tumut	2006	2.4
Tumut Region	2006	2.4
Cootamundra	2006	2.4
Gundagai	2006	2.6
Junee	2006	2.6
Temora	2006	2.4
Wagga Wagga - East	2006	2.6
Wagga Wagga - North	2006	2.7
Wagga Wagga - South	2006	2.6
Wagga Wagga - West	2006	2.2
Wagga Wagga Region	2006	2.7
Berry - Kangaroo Valley	2006	2.3
Callala Bay - Currarong	2006	2.5
Culburra Beach	2006	2.3
Ettrema - Sassafras - Budawang	2006	0
Huskisson - Vincentia	2006	2.2
North Nowra - Bomaderry	2006	2.5
Nowra	2006	2.5
St Georges Basin - Erowal Bay	2006	2.4
Sussex Inlet - Berrara	2006	2.2
Tomerong - Wandandian - Woollamia	2006	2.8
Ulladulla	2006	2.3
Ulladulla Region	2006	2.4
Bowral	2006	2.4
Hill Top - Colo Vale	2006	2.9
Mittagong	2006	2.4
Moss Vale - Berrima	2006	2.4
Robertson - Fitzroy Falls	2006	2.6
Southern Highlands	2006	2.5
Baulkham Hills (East)	2006	2.8
Baulkham Hills (West) - Bella Vista	2006	3.3
Glenhaven	2006	3.3
West Pennant Hills	2006	3.4
Castle Hill - Central	2006	2.7
Castle Hill - East	2006	2.7
Castle Hill - North	2006	3.1
Castle Hill - South	2006	2.9
Castle Hill - West	2006	3.3
Cherrybrook	2006	3.2
Kellyville	2006	3.4
Dural - Kenthurst - Wisemans Ferry	2006	3.1
Galston - Laughtondale	2006	2.9
Bilpin - Colo - St Albans	2006	2.5
Kurrajong Heights - Ebenezer	2006	3
Pitt Town - McGraths Hill	2006	3
Rouse Hill - Beaumont Hills	2006	3.4
Blacktown (East) - Kings Park	2006	2.6
Blacktown (North) - Marayong	2006	2.9
Doonside - Woodcroft	2006	3.2
Lalor Park - Kings Langley	2006	2.8
Seven Hills - Toongabbie	2006	2.9
Blacktown (South)	2006	2.8
Blacktown (West)	2006	2.9
Glenwood	2006	3.4
Parklea - Kellyville Ridge	2006	3.1
Riverstone - Marsden Park	2006	2.8
Acacia Gardens	2006	3.3
Quakers Hill	2006	3.1
Bidwill - Hebersham - Emerton	2006	3.1
Glendenning - Dean Park	2006	3.3
Hassall Grove - Plumpton	2006	3.5
Lethbridge Park - Tregear	2006	3
Mount Druitt - Whalan	2006	2.9
Prospect Reservoir	2006	0
Rooty Hill - Minchinbury	2006	3.2
Banksmeadow	2006	0
Botany	2006	2.7
Mascot - Eastlakes	2006	2.6
Pagewood - Hillsdale - Daceyville	2006	2.5
Port Botany Industrial	2006	0
Sydney Airport	2006	0
Marrickville	2006	2.5
Petersham - Stanmore	2006	2.2
Sydenham - Tempe - St Peters	2006	2.4
Darlinghurst	2006	1.6
Erskineville - Alexandria	2006	2
Glebe - Forest Lodge	2006	2
Newtown - Camperdown - Darlington	2006	2
Potts Point - Woolloomooloo	2006	1.5
Pyrmont - Ultimo	2006	2
Redfern - Chippendale	2006	1.9
Surry Hills	2006	1.8
Sydney - Haymarket - The Rocks	2006	2.2
Waterloo - Beaconsfield	2006	2.1
Bondi - Tamarama - Bronte	2006	2.2
Bondi Beach - North Bondi	2006	2.1
Bondi Junction - Waverly	2006	2.2
Centennial Park	2006	0
Double Bay - Bellevue Hill	2006	2.2
Dover Heights	2006	2.5
Paddington - Moore Park	2006	2
Rose Bay - Vaucluse - Watsons Bay	2006	2.7
Woollahra	2006	2.1
Coogee - Clovelly	2006	2.2
Malabar - La Perouse - Chifley	2006	2.7
Kensington (NSW)	2006	2.4
Kingsford	2006	2.5
Maroubra - North	2006	2.5
Maroubra - South	2006	2.2
Maroubra - West	2006	2.6
Randwick - North	2006	2.1
Randwick - South	2006	2.3
Bass Hill - Georges Hall	2006	2.9
Chullora	2006	0
Condell Park	2006	3.1
Greenacre - Mount Lewis	2006	3.2
Padstow	2006	2.7
Panania - Milperra - Picnic Point	2006	2.8
Revesby	2006	2.7
Yagoona - Birrong	2006	3
Bankstown - North	2006	2.8
Bankstown - South	2006	3.1
Belmore - Belfield	2006	2.8
Canterbury (South) - Campsie	2006	2.8
Kingsgrove (North) - Earlwood	2006	2.8
Punchbowl	2006	3.2
Roselands	2006	2.9
Lakemba	2006	2.8
Wiley Park	2006	2.9
Hurstville	2006	2.9
Mortdale - Penshurst	2006	2.5
Narwee - Beverly Hills	2006	2.6
Oatley - Hurstville Grove	2006	2.8
Peakhurst - Lugarno	2006	2.7
Riverwood	2006	2.4
South Hurstville - Blakehurst	2006	2.8
Arncliffe - Bardwell Valley	2006	2.7
Bexley	2006	2.8
Kingsgrove (South) - Bardwell Park	2006	2.8
Kogarah	2006	2.5
Kogarah Bay - Carlton - Allawah	2006	2.6
Monterey - Brighton-le-Sands - Kyeemagh	2006	2.3
Rockdale - Banksia	2006	2.7
Sans Souci - Ramsgate	2006	2.3
Concord - Mortlake - Cabarita	2006	2.7
Concord West - North Strathfield	2006	2.7
Drummoyne - Rodd Point	2006	2.3
Five Dock - Abbotsford	2006	2.3
Balmain	2006	2.1
Leichhardt - Annandale	2006	2.2
Lilyfield - Rozelle	2006	2.2
Ashfield	2006	2.4
Burwood - Croydon	2006	2.7
Canterbury (North) - Ashbury	2006	2.7
Croydon Park - Enfield	2006	2.7
Dulwich Hill - Lewisham	2006	2.3
Haberfield - Summer Hill	2006	2.4
Homebush	2006	2.7
Strathfield	2006	2.9
Strathfield South	2006	2.9
Chatswood (East) - Artarmon	2006	2.4
Chatswood (West) - Lane Cove North	2006	2.4
Lane Cove - Greenwich	2006	2.6
St Leonards - Naremburn	2006	2.1
Willoughby - Castle Cove - Northbridge	2006	2.8
Asquith - Mount Colah	2006	3
Berowra - Brooklyn - Cowan	2006	3
Normanhurst - Thornleigh - Westleigh	2006	2.9
Hornsby - East	2006	2.2
Hornsby - West	2006	2.6
Waitara - Wahroonga (West)	2006	2.3
Gordon - Killara	2006	2.9
Lindfield - Roseville	2006	2.9
Pymble	2006	3.1
St Ives	2006	3
Turramurra	2006	2.8
Wahroonga (East) - Warrawee	2006	3.1
Cremorne - Cammeray	2006	2
Crows Nest - Waverton	2006	2
Mosman	2006	2.3
Neutral Bay - Kirribilli	2006	1.8
North Sydney - Lavender Bay	2006	1.9
Balgowlah - Clontarf - Seaforth	2006	2.7
Manly - Fairlight	2006	2.1
Avalon - Palm Beach	2006	2.7
Bayview - Elanora Heights	2006	2.8
Newport - Bilgola	2006	2.6
Warriewood - Mona Vale	2006	2.7
Beacon Hill - Narraweena	2006	2.8
Cromer	2006	2.8
Dee Why - North Curl Curl	2006	2.3
Forestville - Killarney Heights	2006	2.8
Frenchs Forest - Belrose	2006	3
Freshwater - Brookvale	2006	2.4
Manly Vale - Allambie Heights	2006	2.6
Narrabeen - Collaroy	2006	2.4
Terrey Hills - Duffys Forest	2006	3.1
Camden - Ellis Lane	2006	2.7
Elderslie - Harrington Park	2006	3.1
Mount Annan - Currans Hill	2006	3.2
Bradbury - Wedderburn	2006	2.9
Campbelltown - Woodbine	2006	2.7
Claymore - Eagle Vale - Raby	2006	3.2
Holsworthy Military Area	2006	0
Ingleburn - Denham Court	2006	2.8
Leumeah - Minto Heights	2006	2.8
Macquarie Fields - Glenfield	2006	2.8
Minto - St Andrews	2006	3.1
Rosemeadow - Glen Alpine	2006	3.2
Bargo	2006	2.9
Douglas Park - Appin	2006	3.1
Picton - Tahmoor - Buxton	2006	2.8
The Oaks - Oakdale	2006	3.2
Blackheath - Megalong Valley	2006	2.2
Blaxland - Warrimoo - Lapstone	2006	2.8
Blue Mountains - North	2006	0
Katoomba - Leura	2006	2.2
Lawson - Hazelbrook - Linden	2006	2.6
Springwood - Winmalee	2006	2.7
Wentworth Falls	2006	2.3
Blue Mountains - South	2006	0
Cambridge Park	2006	2.9
Castlereagh - Cranebrook	2006	3.1
Emu Plains - Leonay	2006	2.8
Glenmore Park - Regentville	2006	3.2
Jamisontown - South Penrith	2006	2.7
Kingswood - Werrington	2006	2.6
Mulgoa - Luddenham - Orchard Hills	2006	3.2
Penrith	2006	2.2
Warragamba - Silverdale	2006	3.1
Richmond - Clarendon	2006	2.5
Windsor - Bligh Park	2006	2.8
Yarramundi - Londonderry	2006	3.3
Erskine Park	2006	3.6
St Clair	2006	3.3
Colyton - Oxley Park	2006	2.8
St Marys - North St Marys	2006	2.5
Homebush Bay - Silverwater	2006	2.6
Rookwood Cemetery	2006	0
Auburn - Central	2006	3.5
Auburn - North	2006	2.9
Auburn - South	2006	3.4
Berala	2006	3
Lidcombe	2006	3
Regents Park	2006	2.9
Carlingford	2006	2.9
Ermington - Rydalmere	2006	2.8
Oatlands - Dundas Valley	2006	2.6
Chester Hill - Sefton	2006	2.9
Fairfield - East	2006	2.9
Granville - Clyde	2006	3.1
Greystanes - Pemulwuy	2006	3
Guildford - South Granville	2006	3.2
Guildford West - Merrylands West	2006	2.7
Merrylands - Holroyd	2006	2.8
Smithfield Industrial	2006	0
Yennora Industrial	2006	0
North Parramatta	2006	2.3
North Rocks	2006	2.9
Northmead	2006	2.5
Parramatta - Rosehill	2006	2.4
Toongabbie - Constitution Hill	2006	2.7
Winston Hills	2006	2.9
Pendle Hill - Girraween	2006	2.6
Wentworthville - Westmead	2006	2.6
Epping - North Epping	2006	2.8
Pennant Hills - Cheltenham	2006	2.9
Eastwood - Denistone	2006	2.8
Gladesville - Huntleys Point	2006	2.4
Hunters Hill - Woolwich	2006	2.6
Macquarie Park - Marsfield	2006	2.3
North Ryde - East Ryde	2006	2.8
West Ryde - Meadowbank	2006	2.4
Putney	2006	3
Ryde	2006	2.5
Ashcroft - Busby - Miller	2006	2.9
Austral - Greendale	2006	3.3
Cobbitty - Leppington	2006	3.2
Badgerys Creek	2006	3.3
Cecil Hills	2006	3.8
Green Valley	2006	3.6
Hinchinbrook	2006	3.6
Hoxton Park - Carnes Hill - Horningsea Park	2006	3.5
West Hoxton - Middleton Grange	2006	3.7
Bonnyrigg Heights - Bonnyrigg	2006	3.5
Bossley Park - Abbotsbury	2006	3.5
Cabramatta - Lansvale	2006	3
Cabramatta West - Mount Pritchard	2006	3.1
Canley Vale - Canley Heights	2006	3.2
Edensor Park	2006	3.6
Fairfield	2006	3
Fairfield - West	2006	3.2
Greenfield Park - Prairiewood	2006	3.5
Horsley Park - Kemps Creek	2006	3.5
Smithfield - Wetherill Park	2006	3
St Johns Park - Wakeley	2006	3.5
Wetherill Park Industrial	2006	0
Casula	2006	3.1
Chipping Norton - Moorebank	2006	2.9
Holsworthy - Wattle Grove	2006	3.2
Liverpool	2006	2.7
Lurnea - Cartwright	2006	2.8
Prestons - Edmondson Park	2006	3.5
Warwick Farm	2006	2.2
Gymea - Grays Point	2006	2.8
Miranda - Yowie Bay	2006	2.5
Sylvania - Taren Point	2006	2.6
Caringbah	2006	2.2
Caringbah South	2006	2.8
Cronulla - Kurnell - Bundeena	2006	2.2
Lilli Pilli - Port Hacking - Dolans Bay	2006	3.1
Woolaware - Burraneer	2006	2.8
Heathcote - Waterfall	2006	2.9
Illawong - Alfords Point	2006	3.5
Menai - Lucas Heights - Woronora	2006	3.2
Oyster Bay - Como - Jannali	2006	2.9
Royal National Park	2006	1
Sutherland - Kirrawee	2006	2.3
Engadine	2006	2.9
Loftus - Yarrawarrah	2006	3
Woronora Heights	2006	3.6
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Alfredton	2006	2.9
Ballarat	2006	2.3
Ballarat - North	2006	2.5
Ballarat - South	2006	2.3
Buninyong	2006	2.8
Delacombe	2006	2.8
Smythes Creek	2006	3
Wendouree - Miners Rest	2006	2.3
Bacchus Marsh Region	2006	2.7
Creswick - Clunes	2006	2.5
Daylesford	2006	2.2
Gordon (Vic.)	2006	2.7
Avoca	2006	2.3
Beaufort	2006	2.3
Golden Plains - North	2006	2.6
Maryborough (Vic.)	2006	2.2
Maryborough Region	2006	2.4
Bendigo	2006	2.3
California Gully - Eaglehawk	2006	2.4
East Bendigo - Kennington	2006	2.4
Flora Hill - Spring Gully	2006	2.4
Kangaroo Flat - Golden Square	2006	2.4
Maiden Gully	2006	3.2
Strathfieldsaye	2006	3.1
White Hills - Ascot	2006	2.7
Bendigo Region - South	2006	2.9
Castlemaine	2006	2.2
Castlemaine Region	2006	2.4
Heathcote	2006	2.3
Kyneton	2006	2.5
Woodend	2006	2.7
Bendigo Region - North	2006	2.7
Loddon	2006	2.3
Bannockburn	2006	3.1
Golden Plains - South	2006	2.8
Winchelsea	2006	2.8
Belmont	2006	2.2
Corio - Norlane	2006	2.5
Geelong	2006	2.2
Geelong West - Hamlyn Heights	2006	2.3
Grovedale	2006	2.6
Highton	2006	2.6
Lara	2006	2.9
Leopold	2006	2.7
Newcomb - Moolap	2006	2.4
Newtown (Vic.)	2006	2.4
North Geelong - Bell Park	2006	2.4
Clifton Springs	2006	2.6
Lorne - Anglesea	2006	2.3
Ocean Grove - Barwon Heads	2006	2.6
Portarlington	2006	2.1
Point Lonsdale - Queenscliff	2006	2.2
Torquay	2006	2.7
Alexandra	2006	2.3
Euroa	2006	2.2
Kilmore - Broadford	2006	2.7
Mansfield (Vic.)	2006	2.3
Nagambie	2006	2.3
Seymour	2006	2.4
Seymour Region	2006	2.8
Upper Yarra Valley	2006	2.3
Yea	2006	2.3
Benalla	2006	2.3
Benalla Region	2006	2.6
Rutherglen	2006	2.4
Wangaratta	2006	2.4
Wangaratta Region	2006	2.6
Beechworth	2006	2.4
Bright - Mount Beauty	2006	2.3
Chiltern - Indigo Valley	2006	2.6
Myrtleford	2006	2.4
Towong	2006	2.4
West Wodonga	2006	2.7
Wodonga	2006	2.5
Yackandandah	2006	2.8
Drouin	2006	2.6
Mount Baw Baw Region	2006	2.7
Trafalgar (Vic.)	2006	2.5
Warragul	2006	2.6
Alps - East	2006	0
Bairnsdale	2006	2.4
Bruthen - Omeo	2006	2.5
Lake King	2006	0
Lakes Entrance	2006	2.3
Orbost	2006	2.3
Paynesville	2006	2.2
Foster	2006	2.4
French Island	2006	2
Korumburra	2006	2.5
Leongatha	2006	2.5
Phillip Island	2006	2.2
Wilsons Promontory	2006	0
Wonthaggi - Inverloch	2006	2.2
Churchill	2006	2.7
Moe - Newborough	2006	2.3
Morwell	2006	2.3
Traralgon	2006	2.5
Yallourn North - Glengarry	2006	2.8
Alps - West	2006	0
Longford - Loch Sport	2006	2.4
Maffra	2006	2.5
Rosedale	2006	2.7
Sale	2006	2.4
Yarram	2006	2.3
Brunswick	2006	2.3
Brunswick East	2006	2.3
Brunswick West	2006	2.2
Coburg	2006	2.6
Pascoe Vale South	2006	2.6
Alphington - Fairfield	2006	2.3
Northcote	2006	2.3
Thornbury	2006	2.2
Ascot Vale	2006	2.3
Essendon - Aberfeldie	2006	2.5
Flemington	2006	2.2
Moonee Ponds	2006	2.4
Carlton	2006	1.9
Docklands	2006	1.9
East Melbourne	2006	1.8
Flemington Racecourse	2006	0
Kensington (Vic.)	2006	2.1
Melbourne	2006	1.8
North Melbourne	2006	2.1
Parkville	2006	2.2
South Yarra - West	2006	1.8
Southbank	2006	2
West Melbourne	2006	0
Albert Park	2006	2.1
Elwood	2006	1.9
Port Melbourne	2006	2.1
Port Melbourne Industrial	2006	0
South Melbourne	2006	2
St Kilda	2006	1.7
St Kilda East	2006	1.9
Armadale	2006	2.1
Prahran - Windsor	2006	1.9
South Yarra - East	2006	1.9
Toorak	2006	2.2
Abbotsford	2006	2.2
Carlton North - Princes Hill	2006	2.2
Collingwood	2006	2
Fitzroy	2006	2.1
Fitzroy North	2006	2.2
Richmond (Vic.)	2006	2.1
Yarra - North	2006	2.3
Ashburton (Vic.)	2006	2.6
Balwyn	2006	2.6
Balwyn North	2006	2.9
Camberwell	2006	2.7
Glen Iris - East	2006	2.8
Hawthorn	2006	2.2
Hawthorn East	2006	2.4
Kew	2006	2.6
Kew East	2006	2.7
Surrey Hills (West) - Canterbury	2006	2.7
Bulleen	2006	2.6
Doncaster	2006	2.6
Templestowe	2006	3
Templestowe Lower	2006	2.7
Doncaster East (North)	2006	3.1
Doncaster East (South)	2006	2.5
Blackburn	2006	2.5
Blackburn South	2006	2.6
Box Hill	2006	2.4
Box Hill North	2006	2.6
Burwood	2006	2.5
Burwood East	2006	2.6
Surrey Hills (East) - Mont Albert	2006	2.6
Beaumaris	2006	2.7
Brighton (Vic.)	2006	2.5
Brighton East	2006	2.6
Cheltenham - Highett (West)	2006	2.4
Hampton	2006	2.6
Sandringham - Black Rock	2006	2.5
Bentleigh - McKinnon	2006	2.6
Carnegie	2006	2.2
Caulfield - North	2006	2.5
Caulfield - South	2006	2.5
Elsternwick	2006	2.3
Hughesdale	2006	2.5
Murrumbeena	2006	2.3
Ormond - Glen Huntly	2006	2.3
Bentleigh East (North)	2006	2.6
Bentleigh East (South)	2006	2.6
Aspendale Gardens - Waterways	2006	3.3
Braeside	2006	0
Carrum - Patterson Lakes	2006	2.4
Chelsea - Bonbeach	2006	2
Chelsea Heights	2006	2.7
Cheltenham - Highett (East)	2006	2.4
Edithvale - Aspendale	2006	2.5
Mentone	2006	2.2
Moorabbin - Heatherton	2006	2.5
Moorabbin Airport	2006	0
Mordialloc - Parkdale	2006	2.4
Malvern - Glen Iris	2006	2.4
Malvern East	2006	2.6
Bundoora - East	2006	2.7
Greensborough	2006	2.8
Heidelberg - Rosanna	2006	2.4
Heidelberg West	2006	2.4
Ivanhoe	2006	2.5
Ivanhoe East - Eaglemont	2006	2.8
Montmorency - Briar Hill	2006	2.6
Viewbank - Yallambie	2006	2.6
Watsonia	2006	2.6
Kingsbury	2006	2.8
Reservoir - East	2006	2.4
Reservoir - West	2006	2.5
Preston - East	2006	2.5
Preston - West	2006	2.5
Eltham	2006	3
Hurstbridge	2006	3
Kinglake	2006	2.9
Panton Hill - St Andrews	2006	3.1
Plenty - Yarrambat	2006	3.3
Research - North Warrandyte	2006	3.1
Wattle Glen - Diamond Creek	2006	3.2
Bundoora - North	2006	3.1
Bundoora - West	2006	2.7
Lalor	2006	2.9
Mill Park - North	2006	3.2
Mill Park - South	2006	3.2
Thomastown	2006	3
Wallan	2006	3.1
Whittlesea	2006	2.9
Doreen	2006	3.4
Epping - East	2006	3.2
Epping - South	2006	2.9
Epping - West	2006	2.7
Mernda	2006	2.9
South Morang (North)	2006	3.2
South Morang (South)	2006	3.1
Wollert	2006	3
Airport West	2006	2.4
Essendon Airport	2006	0
Keilor	2006	2.8
Keilor East	2006	2.7
Niddrie - Essendon West	2006	2.5
Strathmore	2006	2.8
Gisborne	2006	3
Macedon	2006	2.8
Riddells Creek	2006	3
Romsey	2006	2.8
Coburg North	2006	2.4
Fawkner	2006	2.7
Pascoe Vale	2006	2.4
Glenroy	2006	2.5
Gowanbrae	2006	2.9
Hadfield	2006	2.6
Sunbury	2006	3
Sunbury - South	2006	2.8
Broadmeadows	2006	2.8
Campbellfield - Coolaroo	2006	3.1
Gladstone Park - Westmeadows	2006	2.9
Greenvale - Bulla	2006	3.6
Meadow Heights	2006	3.5
Melbourne Airport	2006	3.3
Roxburgh Park - Somerton	2006	3.6
