SA2_NAME16	Year	unemployment
Budgewoi - Buff Point - Halekulani	2006	9.5
Budgewoi - Buff Point - Halekulani	2011	7.7
Budgewoi - Buff Point - Halekulani	2016	8.7
Chittaway Bay - Tumbi Umbi	2006	5.8
Chittaway Bay - Tumbi Umbi	2011	5.8
Chittaway Bay - Tumbi Umbi	2016	5.9
Gorokan - Kanwal - Charmhaven	2006	9.4
Gorokan - Kanwal - Charmhaven	2011	8.8
Gorokan - Kanwal - Charmhaven	2016	9
Jilliby - Yarramalong	2006	3.8
Jilliby - Yarramalong	2011	3.6
Jilliby - Yarramalong	2016	3.4
Lake Munmorah - Mannering Park	2006	8.6
Lake Munmorah - Mannering Park	2011	7.9
Lake Munmorah - Mannering Park	2016	7.5
Ourimbah - Fountaindale	2006	6.1
Ourimbah - Fountaindale	2011	5.8
Ourimbah - Fountaindale	2016	5.1
Summerland Point - Gwandalan	2006	9
Summerland Point - Gwandalan	2011	7.8
Summerland Point - Gwandalan	2016	8
The Entrance	2006	10.6
The Entrance	2011	11.1
The Entrance	2016	8.2
Toukley - Norah Head	2006	9.4
Toukley - Norah Head	2011	8.8
Toukley - Norah Head	2016	8
Tuggerah - Kangy Angy	2006	6.6
Tuggerah - Kangy Angy	2011	5.8
Tuggerah - Kangy Angy	2016	6.4
Warnervale - Wadalba	2006	5.6
Warnervale - Wadalba	2011	6.2
Warnervale - Wadalba	2016	6
Wyong	2006	11.4
Wyong	2011	11.1
Wyong	2016	10
Bathurst	2006	6.9
Bathurst	2011	6.2
Bathurst	2016	6.5
Bathurst - East	2006	5.7
Bathurst - East	2011	4.5
Bathurst - East	2016	5.9
Bathurst Region	2006	3.9
Bathurst Region	2011	3.2
Bathurst Region	2016	4.4
Oberon	2006	4.7
Oberon	2011	5.3
Oberon	2016	6
Condobolin	2006	6.4
Condobolin	2011	4.7
Condobolin	2016	6.5
Cowra	2006	7.1
Cowra	2011	7.3
Cowra	2016	7.3
Cowra Region	2006	5.3
Cowra Region	2011	6.1
Cowra Region	2016	5.5
Forbes	2006	6
Forbes	2011	5.2
Forbes	2016	5.5
Grenfell	2006	5.5
Grenfell	2011	4.6
Grenfell	2016	5.2
Parkes (NSW)	2006	8.6
Parkes (NSW)	2011	4.6
Parkes (NSW)	2016	7.2
Parkes Region	2006	7.8
Parkes Region	2011	5.8
Parkes Region	2016	7.7
West Wyalong	2006	4.3
West Wyalong	2011	3.6
West Wyalong	2016	3.6
Lithgow	2006	9.3
Lithgow	2011	8.3
Lithgow	2016	8.6
Lithgow Region	2006	7
Lithgow Region	2011	5.5
Lithgow Region	2016	6.4
Mudgee	2006	6.8
Mudgee	2011	5.3
Mudgee	2016	5.6
Mudgee Region - East	2006	8.1
Mudgee Region - East	2011	8.6
Mudgee Region - East	2016	10.5
Mudgee Region - West	2006	7.2
Mudgee Region - West	2011	5.5
Mudgee Region - West	2016	7.1
Wollangambe - Wollemi	2006	0
Wollangambe - Wollemi	2011	0
Wollangambe - Wollemi	2016	0
Blayney	2006	6.7
Blayney	2011	4.7
Blayney	2016	5.8
Orange	2006	6.8
Orange	2011	5.3
Orange	2016	7.6
Orange - North	2006	5
Orange - North	2011	3.7
Orange - North	2016	5.5
Orange Region	2006	3.2
Orange Region	2011	3
Orange Region	2016	3.6
Grafton	2006	9.1
Grafton	2011	9.1
Grafton	2016	10.1
Grafton Region	2006	10.2
Grafton Region	2011	8.9
Grafton Region	2016	9.1
Maclean - Yamba - Iluka	2006	10.4
Maclean - Yamba - Iluka	2011	8.6
Maclean - Yamba - Iluka	2016	7.6
Bellingen	2006	10.5
Bellingen	2011	9.1
Bellingen	2016	7.2
Coffs Harbour - North	2006	9.4
Coffs Harbour - North	2011	8.8
Coffs Harbour - North	2016	7.6
Coffs Harbour - South	2006	9.8
Coffs Harbour - South	2011	9
Coffs Harbour - South	2016	7.2
Coramba - Nana Glen - Bucca	2006	8.3
Coramba - Nana Glen - Bucca	2011	6.9
Coramba - Nana Glen - Bucca	2016	6.3
Dorrigo	2006	12.1
Dorrigo	2011	9.5
Dorrigo	2016	8.2
Korora - Emerald Beach	2006	6.1
Korora - Emerald Beach	2011	6.5
Korora - Emerald Beach	2016	5.4
Sawtell - Boambee	2006	8.4
Sawtell - Boambee	2011	7.8
Sawtell - Boambee	2016	7.9
Urunga	2006	10.8
Urunga	2011	7.2
Urunga	2016	7.1
Woolgoolga - Arrawarra	2006	10.2
Woolgoolga - Arrawarra	2011	9.2
Woolgoolga - Arrawarra	2016	7.7
Bourke - Brewarrina	2006	9.5
Bourke - Brewarrina	2011	7.4
Bourke - Brewarrina	2016	9.6
Cobar	2006	5
Cobar	2011	4.3
Cobar	2016	5.8
Coonamble	2006	6.4
Coonamble	2011	7.7
Coonamble	2016	8.6
Nyngan - Warren	2006	6.8
Nyngan - Warren	2011	6
Nyngan - Warren	2016	6.5
Walgett - Lightning Ridge	2006	10.3
Walgett - Lightning Ridge	2011	8
Walgett - Lightning Ridge	2016	10.9
Broken Hill	2006	9.1
Broken Hill	2011	8.3
Broken Hill	2016	8.8
Far West	2006	7.3
Far West	2011	7.3
Far West	2016	7.2
Coonabarabran	2006	9
Coonabarabran	2011	7.1
Coonabarabran	2016	7.6
Dubbo - East	2006	5.1
Dubbo - East	2011	5.3
Dubbo - East	2016	6.2
Dubbo - South	2006	4.9
Dubbo - South	2011	4.3
Dubbo - South	2016	5.2
Dubbo - West	2006	8.4
Dubbo - West	2011	6.5
Dubbo - West	2016	6.2
Dubbo Region	2006	3.4
Dubbo Region	2011	3.4
Dubbo Region	2016	3.7
Gilgandra	2006	5.6
Gilgandra	2011	6.1
Gilgandra	2016	5.8
Narromine	2006	5.7
Narromine	2011	5.9
Narromine	2016	7.3
Wellington	2006	8.3
Wellington	2011	8.7
Wellington	2016	9.2
Branxton - Greta - Pokolbin	2006	5.1
Branxton - Greta - Pokolbin	2011	3.7
Branxton - Greta - Pokolbin	2016	5.8
Cessnock	2006	9.1
Cessnock	2011	6.8
Cessnock	2016	10.1
Cessnock Region	2006	6.9
Cessnock Region	2011	6.5
Cessnock Region	2016	6
Dungog	2006	4.8
Dungog	2011	4.4
Dungog	2016	5.5
Kurri Kurri - Abermain	2006	9.8
Kurri Kurri - Abermain	2011	7.3
Kurri Kurri - Abermain	2016	9.5
Singleton	2006	4.6
Singleton	2011	3.8
Singleton	2016	6.9
Singleton Region	2006	3.8
Singleton Region	2011	2.5
Singleton Region	2016	4.6
Maitland	2006	9.2
Maitland	2011	7
Maitland	2016	7.9
Maitland - East	2006	6.4
Maitland - East	2011	5
Maitland - East	2016	7.5
Maitland - North	2006	4.1
Maitland - North	2011	2.7
Maitland - North	2016	4.2
Maitland - West	2006	7.1
Maitland - West	2011	5.2
Maitland - West	2016	8
Thornton - Millers Forest	2006	5.1
Thornton - Millers Forest	2011	4.2
Thornton - Millers Forest	2016	5.5
Anna Bay	2006	6.3
Anna Bay	2011	6.3
Anna Bay	2016	6.5
Lemon Tree Passage - Tanilba Bay	2006	9.2
Lemon Tree Passage - Tanilba Bay	2011	7.8
Lemon Tree Passage - Tanilba Bay	2016	8.8
Nelson Bay Peninsula	2006	7
Nelson Bay Peninsula	2011	6
Nelson Bay Peninsula	2016	7.2
Raymond Terrace	2006	9.5
Raymond Terrace	2011	8.4
Raymond Terrace	2016	10
Seaham - Woodville	2006	3.7
Seaham - Woodville	2011	3.3
Seaham - Woodville	2016	4.4
Tea Gardens - Hawks Nest	2006	7.5
Tea Gardens - Hawks Nest	2011	7
Tea Gardens - Hawks Nest	2016	8.4
Williamtown - Medowie - Karuah	2006	5.8
Williamtown - Medowie - Karuah	2011	5.1
Williamtown - Medowie - Karuah	2016	5.8
Muswellbrook	2006	6
Muswellbrook	2011	5.4
Muswellbrook	2016	9.6
Muswellbrook Region	2006	3.7
Muswellbrook Region	2011	3.2
Muswellbrook Region	2016	4.1
Scone	2006	4.1
Scone	2011	3.3
Scone	2016	4.4
Scone Region	2006	4.8
Scone Region	2011	3.9
Scone Region	2016	5.1
Dapto - Avondale	2006	7.9
Dapto - Avondale	2011	7
Dapto - Avondale	2016	7.7
Horsley - Kembla Grange	2006	4.7
Horsley - Kembla Grange	2011	4.5
Horsley - Kembla Grange	2016	4.6
Port Kembla Industrial	2006	0
Port Kembla Industrial	2011	31.3
Port Kembla Industrial	2016	100
Unanderra - Mount Kembla	2006	5.6
Unanderra - Mount Kembla	2011	5.5
Unanderra - Mount Kembla	2016	6.1
Berkeley - Lake Heights - Cringila	2006	11.5
Berkeley - Lake Heights - Cringila	2011	10
Berkeley - Lake Heights - Cringila	2016	9.4
Port Kembla - Warrawong	2006	14.6
Port Kembla - Warrawong	2011	12
Port Kembla - Warrawong	2016	12.1
Windang - Primbee	2006	8.6
Windang - Primbee	2011	7.2
Windang - Primbee	2016	7.7
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	0
Illawarra Catchment Reserve	2016	0
Albion Park - Macquarie Pass	2006	5.1
Albion Park - Macquarie Pass	2011	5.4
Albion Park - Macquarie Pass	2016	5.6
Albion Park Rail	2006	7.1
Albion Park Rail	2011	8.1
Albion Park Rail	2016	7.3
Kiama	2006	5.3
Kiama	2011	5
Kiama	2016	5.1
Kiama Downs - Minnamurra	2006	5.3
Kiama Downs - Minnamurra	2011	4.1
Kiama Downs - Minnamurra	2016	4.8
Kiama Hinterland - Gerringong	2006	3.9
Kiama Hinterland - Gerringong	2011	3.8
Kiama Hinterland - Gerringong	2016	3.3
Shellharbour - Flinders	2006	5.6
Shellharbour - Flinders	2011	5
Shellharbour - Flinders	2016	5.5
Shellharbour - Oak Flats	2006	6.8
Shellharbour - Oak Flats	2011	6.3
Shellharbour - Oak Flats	2016	6.8
Warilla	2006	10.6
Warilla	2011	9.1
Warilla	2016	9.5
Balgownie - Fairy Meadow	2006	7.3
Balgownie - Fairy Meadow	2011	6.8
Balgownie - Fairy Meadow	2016	7.3
Corrimal - Tarrawanna - Bellambi	2006	8.9
Corrimal - Tarrawanna - Bellambi	2011	7.3
Corrimal - Tarrawanna - Bellambi	2016	7.3
Figtree - Keiraville	2006	6.2
Figtree - Keiraville	2011	6.6
Figtree - Keiraville	2016	7.4
Helensburgh	2006	3.3
Helensburgh	2011	3.8
Helensburgh	2016	3.7
Thirroul - Austinmer - Coalcliff	2006	5.2
Thirroul - Austinmer - Coalcliff	2011	4.8
Thirroul - Austinmer - Coalcliff	2016	4.4
Woonona - Bulli - Russell Vale	2006	5.8
Woonona - Bulli - Russell Vale	2011	5.2
Woonona - Bulli - Russell Vale	2016	4.7
Wollongong - East	2006	8.6
Wollongong - East	2011	8.8
Wollongong - East	2016	8.1
Wollongong - West	2006	9.7
Wollongong - West	2011	9.8
Wollongong - West	2016	10.2
Bulahdelah - Stroud	2006	5.5
Bulahdelah - Stroud	2011	6.1
Bulahdelah - Stroud	2016	7.1
Forster	2006	9.2
Forster	2011	7.9
Forster	2016	8
Forster-Tuncurry Region	2006	10.3
Forster-Tuncurry Region	2011	10
Forster-Tuncurry Region	2016	8.9
Tuncurry	2006	13.6
Tuncurry	2011	11.1
Tuncurry	2016	10
Kempsey	2006	12.5
Kempsey	2011	10.2
Kempsey	2016	9.7
Kempsey Region	2006	12.1
Kempsey Region	2011	8.2
Kempsey Region	2016	7.6
Macksville - Scotts Head	2006	13.3
Macksville - Scotts Head	2011	9.3
Macksville - Scotts Head	2016	8.6
Nambucca Heads	2006	17.2
Nambucca Heads	2011	13.1
Nambucca Heads	2016	11.3
Nambucca Heads Region	2006	14.6
Nambucca Heads Region	2011	9.7
Nambucca Heads Region	2016	8.5
South West Rocks	2006	8.7
South West Rocks	2011	6.3
South West Rocks	2016	7.9
Lord Howe Island	2006	1.3
Lord Howe Island	2011	1.4
Lord Howe Island	2016	1.3
Laurieton - Bonny Hills	2006	9.4
Laurieton - Bonny Hills	2011	8.1
Laurieton - Bonny Hills	2016	7.6
Port Macquarie - East	2006	7.7
Port Macquarie - East	2011	6.3
Port Macquarie - East	2016	6.4
Port Macquarie - West	2006	10
Port Macquarie - West	2011	7.8
Port Macquarie - West	2016	6.6
Port Macquarie Region	2006	8.2
Port Macquarie Region	2011	6.9
Port Macquarie Region	2016	5.4
Wauchope	2006	7.9
Wauchope	2011	5.9
Wauchope	2016	7.4
Gloucester	2006	6.2
Gloucester	2011	5.3
Gloucester	2016	7.4
Old Bar - Manning Point - Red Head	2006	8.4
Old Bar - Manning Point - Red Head	2011	7.5
Old Bar - Manning Point - Red Head	2016	7.8
Taree	2006	11
Taree	2011	10.5
Taree	2016	10.8
Taree Region	2006	11.5
Taree Region	2011	9.2
Taree Region	2016	9.4
Wingham	2006	10.4
Wingham	2011	8.2
Wingham	2016	9.7
Albury - East	2006	4.4
Albury - East	2011	4.4
Albury - East	2016	5
Albury - North	2006	6.7
Albury - North	2011	6.7
Albury - North	2016	7.9
Albury - South	2006	6.6
Albury - South	2011	5.5
Albury - South	2016	6.4
Albury Region	2006	3.7
Albury Region	2011	3.9
Albury Region	2016	4.3
Lavington	2006	6.9
Lavington	2011	7.2
Lavington	2016	9.1
Hay	2006	4.3
Hay	2011	3.5
Hay	2016	4.5
Wentworth - Buronga	2006	5.4
Wentworth - Buronga	2011	6.7
Wentworth - Buronga	2016	6.6
Wentworth-Balranald Region	2006	4.4
Wentworth-Balranald Region	2011	3.6
Wentworth-Balranald Region	2016	4.7
Corowa	2006	4.4
Corowa	2011	4.6
Corowa	2016	5.9
Corowa Region	2006	5.2
Corowa Region	2011	4.7
Corowa Region	2016	4
Deniliquin	2006	5.2
Deniliquin	2011	4.6
Deniliquin	2016	5.6
Deniliquin Region	2006	3.4
Deniliquin Region	2011	3.5
Deniliquin Region	2016	3.3
Moama	2006	4.7
Moama	2011	4.3
Moama	2016	4
Tocumwal - Finley - Jerilderie	2006	4.3
Tocumwal - Finley - Jerilderie	2011	4.2
Tocumwal - Finley - Jerilderie	2016	4.7
Armidale	2006	8.8
Armidale	2011	7.8
Armidale	2016	8.3
Armidale Region - North	2006	5.1
Armidale Region - North	2011	4.4
Armidale Region - North	2016	4.9
Armidale Region - South	2006	5.8
Armidale Region - South	2011	4.4
Armidale Region - South	2016	4.9
Walcha	2006	3.7
Walcha	2011	4.3
Walcha	2016	3.2
Glen Innes	2006	7.7
Glen Innes	2011	6.7
Glen Innes	2016	8.1
Inverell	2006	8.8
Inverell	2011	7.1
Inverell	2016	7.6
Inverell Region - East	2006	9.8
Inverell Region - East	2011	8.9
Inverell Region - East	2016	8.5
Inverell Region - West	2006	5.1
Inverell Region - West	2011	5.9
Inverell Region - West	2016	5.3
Tenterfield	2006	7.7
Tenterfield	2011	6.9
Tenterfield	2016	7.8
Moree	2006	7.2
Moree	2011	7.1
Moree	2016	7.6
Moree Region	2006	5.1
Moree Region	2011	4.2
Moree Region	2016	4.3
Narrabri	2006	7.6
Narrabri	2011	4.8
Narrabri	2016	6
Narrabri Region	2006	5.1
Narrabri Region	2011	5.4
Narrabri Region	2016	5.7
Gunnedah	2006	8.8
Gunnedah	2011	6.6
Gunnedah	2016	5.9
Gunnedah Region	2006	8.9
Gunnedah Region	2011	5.1
Gunnedah Region	2016	5.4
Quirindi	2006	5.8
Quirindi	2011	6.1
Quirindi	2016	7.4
Tamworth - East	2006	6.7
Tamworth - East	2011	5.6
Tamworth - East	2016	5.8
Tamworth - North	2006	6.4
Tamworth - North	2011	5
Tamworth - North	2016	5.7
Tamworth - West	2006	13.5
Tamworth - West	2011	11.7
Tamworth - West	2016	11.2
Tamworth Region	2006	5.6
Tamworth Region	2011	4.9
Tamworth Region	2016	4.6
Belmont - Bennetts Green	2006	6.6
Belmont - Bennetts Green	2011	5.2
Belmont - Bennetts Green	2016	6.9
Belmont South - Blacksmiths	2006	10
Belmont South - Blacksmiths	2011	6.3
Belmont South - Blacksmiths	2016	8.4
Charlestown - Dudley	2006	6.5
Charlestown - Dudley	2011	5
Charlestown - Dudley	2016	6
Glendale - Cardiff - Hillsborough	2006	5.4
Glendale - Cardiff - Hillsborough	2011	4.8
Glendale - Cardiff - Hillsborough	2016	6.6
Mount Hutton - Windale	2006	10.8
Mount Hutton - Windale	2011	8.1
Mount Hutton - Windale	2016	9.2
Redhead	2006	5.2
Redhead	2011	3.4
Redhead	2016	5.5
Swansea - Caves Beach	2006	8.3
Swansea - Caves Beach	2011	6.4
Swansea - Caves Beach	2016	7.5
Valentine - Eleebana	2006	4.2
Valentine - Eleebana	2011	3.5
Valentine - Eleebana	2016	5.5
Warners Bay - Boolaroo	2006	5.8
Warners Bay - Boolaroo	2011	4.4
Warners Bay - Boolaroo	2016	6.3
Bolton Point - Teralba	2006	10.8
Bolton Point - Teralba	2011	7.6
Bolton Point - Teralba	2016	10.4
Bonnells Bay - Silverwater	2006	7.4
Bonnells Bay - Silverwater	2011	6
Bonnells Bay - Silverwater	2016	7.6
Edgeworth - Cameron Park	2006	5.2
Edgeworth - Cameron Park	2011	4.7
Edgeworth - Cameron Park	2016	5.5
Morisset - Cooranbong	2006	7.1
Morisset - Cooranbong	2011	6.1
Morisset - Cooranbong	2016	7.3
Toronto - Awaba	2006	7.6
Toronto - Awaba	2011	6
Toronto - Awaba	2016	7.9
Wangi Wangi - Rathmines	2006	5.9
Wangi Wangi - Rathmines	2011	4.8
Wangi Wangi - Rathmines	2016	7.1
West Wallsend - Barnsley - Killingworth	2006	6
West Wallsend - Barnsley - Killingworth	2011	5.2
West Wallsend - Barnsley - Killingworth	2016	7.2
Adamstown - Kotara	2006	5.9
Adamstown - Kotara	2011	3.9
Adamstown - Kotara	2016	5.9
Beresfield - Hexham	2006	8.3
Beresfield - Hexham	2011	7.5
Beresfield - Hexham	2016	11.3
Hamilton - Broadmeadow	2006	8.6
Hamilton - Broadmeadow	2011	6.7
Hamilton - Broadmeadow	2016	7.6
Lambton - New Lambton	2006	5.3
Lambton - New Lambton	2011	4.9
Lambton - New Lambton	2016	5.5
Maryland - Fletcher - Minmi	2006	4.9
Maryland - Fletcher - Minmi	2011	4.1
Maryland - Fletcher - Minmi	2016	6.2
Mayfield - Warabrook	2006	10.2
Mayfield - Warabrook	2011	7.4
Mayfield - Warabrook	2016	8.5
Merewether - The Junction	2006	4.7
Merewether - The Junction	2011	4.3
Merewether - The Junction	2016	4.1
Newcastle - Cooks Hill	2006	7.1
Newcastle - Cooks Hill	2011	5.3
Newcastle - Cooks Hill	2016	5.7
Newcastle Port - Kooragang	2006	0
Newcastle Port - Kooragang	2011	0
Newcastle Port - Kooragang	2016	0
Shortland - Jesmond	2006	12.3
Shortland - Jesmond	2011	10.9
Shortland - Jesmond	2016	15.9
Stockton - Fullerton Cove	2006	7.9
Stockton - Fullerton Cove	2011	6.2
Stockton - Fullerton Cove	2016	6.6
Wallsend - Elermore Vale	2006	6.7
Wallsend - Elermore Vale	2011	5.4
Wallsend - Elermore Vale	2016	8.3
Waratah - North Lambton	2006	8.1
Waratah - North Lambton	2011	6.5
Waratah - North Lambton	2016	8.9
Wickham - Carrington - Tighes Hill	2006	9.9
Wickham - Carrington - Tighes Hill	2011	6.3
Wickham - Carrington - Tighes Hill	2016	6.6
Ballina	2006	9.3
Ballina	2011	7.6
Ballina	2016	6.5
Ballina Region	2006	6.1
Ballina Region	2011	5.4
Ballina Region	2016	5.6
Bangalow	2006	5.3
Bangalow	2011	7.2
Bangalow	2016	4.8
Brunswick Heads - Ocean Shores	2006	9
Brunswick Heads - Ocean Shores	2011	9.3
Brunswick Heads - Ocean Shores	2016	7.8
Byron Bay	2006	9.6
Byron Bay	2011	8.4
Byron Bay	2016	5.8
Evans Head	2006	10.1
Evans Head	2011	8.3
Evans Head	2016	7.2
Lennox Head - Skennars Head	2006	5.9
Lennox Head - Skennars Head	2011	5.9
Lennox Head - Skennars Head	2016	5.2
Mullumbimby	2006	10
Mullumbimby	2011	8.4
Mullumbimby	2016	7.5
Casino	2006	8.5
Casino	2011	8.2
Casino	2016	8.7
Casino Region	2006	8.9
Casino Region	2011	7.6
Casino Region	2016	6.8
Goonellabah	2006	6.7
Goonellabah	2011	6.9
Goonellabah	2016	6.8
Kyogle	2006	10.2
Kyogle	2011	9.6
Kyogle	2016	8.8
Lismore	2006	12.3
Lismore	2011	11
Lismore	2016	10.2
Lismore Region	2006	8.1
Lismore Region	2011	6.5
Lismore Region	2016	6.2
Kingscliff - Fingal Head	2006	6.4
Kingscliff - Fingal Head	2011	7.5
Kingscliff - Fingal Head	2016	6.1
Murwillumbah	2006	7.8
Murwillumbah	2011	9.1
Murwillumbah	2016	7.8
Murwillumbah Region	2006	7.8
Murwillumbah Region	2011	8.3
Murwillumbah Region	2016	6.8
Pottsville	2006	7.5
Pottsville	2011	8
Pottsville	2016	6.6
Tweed Heads	2006	7.5
Tweed Heads	2011	9.8
Tweed Heads	2016	8.2
Banora Point	2006	5.6
Banora Point	2011	7.2
Banora Point	2016	6.3
Terranora - North Tumblegum	2006	4
Terranora - North Tumblegum	2011	5.5
Terranora - North Tumblegum	2016	6.4
Tweed Heads South	2006	9.7
Tweed Heads South	2011	9
Tweed Heads South	2016	8.3
Griffith (NSW)	2006	4.5
Griffith (NSW)	2011	5.5
Griffith (NSW)	2016	5.3
Griffith Region	2006	3.1
Griffith Region	2011	3.8
Griffith Region	2016	3.8
Leeton	2006	5.3
Leeton	2011	4.2
Leeton	2016	5.1
Narrandera	2006	5.3
Narrandera	2011	5.1
Narrandera	2016	5.8
Tumbarumba	2006	5.4
Tumbarumba	2011	6.4
Tumbarumba	2016	4.5
Tumut	2006	7.5
Tumut	2011	6.2
Tumut	2016	6.5
Tumut Region	2006	5.1
Tumut Region	2011	4.3
Tumut Region	2016	4.5
Cootamundra	2006	7.1
Cootamundra	2011	5.4
Cootamundra	2016	6.1
Gundagai	2006	5.6
Gundagai	2011	4
Gundagai	2016	4.4
Junee	2006	6.5
Junee	2011	4.9
Junee	2016	4.8
Temora	2006	6.8
Temora	2011	4.7
Temora	2016	5
Wagga Wagga - East	2006	4.9
Wagga Wagga - East	2011	4.5
Wagga Wagga - East	2016	4.7
Wagga Wagga - North	2006	7.1
Wagga Wagga - North	2011	6.1
Wagga Wagga - North	2016	5.6
Wagga Wagga - South	2006	5.7
Wagga Wagga - South	2011	5.1
Wagga Wagga - South	2016	5.9
Wagga Wagga - West	2006	7.6
Wagga Wagga - West	2011	6.6
Wagga Wagga - West	2016	7.2
Wagga Wagga Region	2006	4.1
Wagga Wagga Region	2011	3.3
Wagga Wagga Region	2016	4.1
Berry - Kangaroo Valley	2006	5
Berry - Kangaroo Valley	2011	4.1
Berry - Kangaroo Valley	2016	3
Callala Bay - Currarong	2006	10.5
Callala Bay - Currarong	2011	8.6
Callala Bay - Currarong	2016	7.2
Culburra Beach	2006	10.5
Culburra Beach	2011	7.5
Culburra Beach	2016	7.4
Ettrema - Sassafras - Budawang	2006	0
Ettrema - Sassafras - Budawang	2011	0
Ettrema - Sassafras - Budawang	2016	12
Huskisson - Vincentia	2006	8.2
Huskisson - Vincentia	2011	5.7
Huskisson - Vincentia	2016	5
North Nowra - Bomaderry	2006	7.1
North Nowra - Bomaderry	2011	6.8
North Nowra - Bomaderry	2016	5.7
Nowra	2006	10.3
Nowra	2011	8.8
Nowra	2016	8.4
St Georges Basin - Erowal Bay	2006	13
