SA2_NAME16	Year	medianTotalHouseholdIncomeWeekly
Coonabarabran	2006	606
Dubbo - East	2006	1039
Dubbo - South	2006	915
Dubbo - West	2006	801
Dubbo Region	2006	1091
Gilgandra	2006	662
Narromine	2006	726
Wellington	2006	624
Branxton - Greta - Pokolbin	2006	1136
Cessnock	2006	727
Cessnock Region	2006	916
Dungog	2006	873
Kurri Kurri - Abermain	2006	720
Singleton	2006	1249
Singleton Region	2006	1245
Maitland	2006	783
Maitland - East	2006	987
Maitland - North	2006	1259
Maitland - West	2006	983
Thornton - Millers Forest	2006	1245
Anna Bay	2006	826
Lemon Tree Passage - Tanilba Bay	2006	661
Nelson Bay Peninsula	2006	749
Raymond Terrace	2006	783
Seaham - Woodville	2006	1433
Tea Gardens - Hawks Nest	2006	616
Williamtown - Medowie - Karuah	2006	1039
Muswellbrook	2006	1088
Muswellbrook Region	2006	1012
Scone	2006	928
Scone Region	2006	844
Dapto - Avondale	2006	875
Horsley - Kembla Grange	2006	1340
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	1149
Berkeley - Lake Heights - Cringila	2006	669
Port Kembla - Warrawong	2006	570
Windang - Primbee	2006	608
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	1221
Albion Park Rail	2006	964
Kiama	2006	915
Kiama Downs - Minnamurra	2006	1187
Kiama Hinterland - Gerringong	2006	1093
Shellharbour - Flinders	2006	1172
Shellharbour - Oak Flats	2006	992
Warilla	2006	693
Balgownie - Fairy Meadow	2006	885
Corrimal - Tarrawanna - Bellambi	2006	758
Figtree - Keiraville	2006	1082
Helensburgh	2006	1438
Thirroul - Austinmer - Coalcliff	2006	1262
Woonona - Bulli - Russell Vale	2006	1042
Wollongong - East	2006	848
Wollongong - West	2006	797
Bulahdelah - Stroud	2006	649
Forster	2006	631
Forster-Tuncurry Region	2006	644
Tuncurry	2006	541
Kempsey	2006	623
Kempsey Region	2006	623
Macksville - Scotts Head	2006	585
Nambucca Heads	2006	534
Nambucca Heads Region	2006	592
South West Rocks	2006	599
Lord Howe Island	2006	1006
Laurieton - Bonny Hills	2006	607
Port Macquarie - East	2006	786
Port Macquarie - West	2006	612
Port Macquarie Region	2006	741
Wauchope	2006	743
Gloucester	2006	665
Old Bar - Manning Point - Red Head	2006	754
Taree	2006	618
Taree Region	2006	617
Wingham	2006	646
Albury - East	2006	1121
Albury - North	2006	852
Albury - South	2006	913
Albury Region	2006	890
Lavington	2006	784
Hay	2006	731
Wentworth - Buronga	2006	792
Wentworth-Balranald Region	2006	698
Corowa	2006	783
Corowa Region	2006	746
Deniliquin	2006	756
Deniliquin Region	2006	724
Moama	2006	857
Tocumwal - Finley - Jerilderie	2006	731
Armidale	2006	844
Armidale Region - North	2006	806
Armidale Region - South	2006	829
Walcha	2006	691
Glen Innes	2006	615
Inverell	2006	665
Inverell Region - East	2006	589
Inverell Region - West	2006	608
Tenterfield	2006	584
Moree	2006	919
Moree Region	2006	942
Narrabri	2006	797
Narrabri Region	2006	857
Gunnedah	2006	696
Gunnedah Region	2006	712
Quirindi	2006	667
Tamworth - East	2006	876
Tamworth - North	2006	856
Tamworth - West	2006	697
Tamworth Region	2006	769
Belmont - Bennetts Green	2006	898
Belmont South - Blacksmiths	2006	644
Charlestown - Dudley	2006	959
Glendale - Cardiff - Hillsborough	2006	1045
Mount Hutton - Windale	2006	657
Redhead	2006	833
Swansea - Caves Beach	2006	697
Valentine - Eleebana	2006	1338
Warners Bay - Boolaroo	2006	932
Bolton Point - Teralba	2006	787
Bonnells Bay - Silverwater	2006	833
Edgeworth - Cameron Park	2006	1039
Morisset - Cooranbong	2006	778
Toronto - Awaba	2006	820
Wangi Wangi - Rathmines	2006	1013
West Wallsend - Barnsley - Killingworth	2006	1033
Adamstown - Kotara	2006	985
Beresfield - Hexham	2006	796
Hamilton - Broadmeadow	2006	781
Lambton - New Lambton	2006	962
Maryland - Fletcher - Minmi	2006	1191
Mayfield - Warabrook	2006	715
Merewether - The Junction	2006	1130
Newcastle - Cooks Hill	2006	1066
Newcastle Port - Kooragang	2006	0
Shortland - Jesmond	2006	640
Stockton - Fullerton Cove	2006	654
Wallsend - Elermore Vale	2006	836
Waratah - North Lambton	2006	764
Wickham - Carrington - Tighes Hill	2006	770
Ballina	2006	643
Ballina Region	2006	869
Bangalow	2006	929
Brunswick Heads - Ocean Shores	2006	674
Byron Bay	2006	808
Evans Head	2006	629
Lennox Head - Skennars Head	2006	1067
Mullumbimby	2006	646
Casino	2006	638
Casino Region	2006	658
Goonellabah	2006	806
Kyogle	2006	605
Lismore	2006	661
Lismore Region	2006	838
Kingscliff - Fingal Head	2006	687
Murwillumbah	2006	633
Murwillumbah Region	2006	773
Pottsville	2006	752
Tweed Heads	2006	637
Banora Point	2006	764
Terranora - North Tumblegum	2006	1138
Tweed Heads South	2006	561
Griffith (NSW)	2006	927
Griffith Region	2006	972
Leeton	2006	862
Narrandera	2006	700
Tumbarumba	2006	801
Tumut	2006	745
Tumut Region	2006	834
Cootamundra	2006	656
Gundagai	2006	744
Junee	2006	766
Temora	2006	635
Wagga Wagga - East	2006	1078
Wagga Wagga - North	2006	1049
Wagga Wagga - South	2006	972
Wagga Wagga - West	2006	764
Wagga Wagga Region	2006	886
Berry - Kangaroo Valley	2006	761
Callala Bay - Currarong	2006	634
Culburra Beach	2006	610
Ettrema - Sassafras - Budawang	2006	0
Huskisson - Vincentia	2006	706
North Nowra - Bomaderry	2006	871
Nowra	2006	701
St Georges Basin - Erowal Bay	2006	604
Sussex Inlet - Berrara	2006	543
Tomerong - Wandandian - Woollamia	2006	922
Ulladulla	2006	617
Ulladulla Region	2006	639
Bowral	2006	1074
Hill Top - Colo Vale	2006	1086
Mittagong	2006	880
Moss Vale - Berrima	2006	846
Robertson - Fitzroy Falls	2006	1049
Southern Highlands	2006	981
Baulkham Hills (East)	2006	1449
Baulkham Hills (West) - Bella Vista	2006	1904
Glenhaven	2006	2148
West Pennant Hills	2006	2322
Castle Hill - Central	2006	1461
Castle Hill - East	2006	1240
Castle Hill - North	2006	1908
Castle Hill - South	2006	1709
Castle Hill - West	2006	2114
Cherrybrook	2006	1868
Kellyville	2006	1861
Dural - Kenthurst - Wisemans Ferry	2006	1533
Galston - Laughtondale	2006	1326
Bilpin - Colo - St Albans	2006	956
Kurrajong Heights - Ebenezer	2006	1297
Pitt Town - McGraths Hill	2006	1272
Rouse Hill - Beaumont Hills	2006	1881
Blacktown (East) - Kings Park	2006	982
Blacktown (North) - Marayong	2006	1035
Doonside - Woodcroft	2006	1152
Lalor Park - Kings Langley	2006	1161
Seven Hills - Toongabbie	2006	1136
Blacktown (South)	2006	1032
Blacktown (West)	2006	1029
Glenwood	2006	1790
Parklea - Kellyville Ridge	2006	1687
Riverstone - Marsden Park	2006	996
Acacia Gardens	2006	1771
Quakers Hill	2006	1415
Bidwill - Hebersham - Emerton	2006	754
Glendenning - Dean Park	2006	1212
Hassall Grove - Plumpton	2006	1256
Lethbridge Park - Tregear	2006	648
Mount Druitt - Whalan	2006	793
Prospect Reservoir	2006	0
Rooty Hill - Minchinbury	2006	1206
Banksmeadow	2006	0
Botany	2006	1203
Mascot - Eastlakes	2006	945
Pagewood - Hillsdale - Daceyville	2006	894
Port Botany Industrial	2006	0
Sydney Airport	2006	0
Marrickville	2006	1063
Petersham - Stanmore	2006	1279
Sydenham - Tempe - St Peters	2006	1226
Darlinghurst	2006	1360
Erskineville - Alexandria	2006	1701
Glebe - Forest Lodge	2006	1188
Newtown - Camperdown - Darlington	2006	1339
Potts Point - Woolloomooloo	2006	1176
Pyrmont - Ultimo	2006	1364
Redfern - Chippendale	2006	1105
Surry Hills	2006	1312
Sydney - Haymarket - The Rocks	2006	1106
Waterloo - Beaconsfield	2006	1012
Bondi - Tamarama - Bronte	2006	1438
Bondi Beach - North Bondi	2006	1369
Bondi Junction - Waverly	2006	1326
Centennial Park	2006	0
Double Bay - Bellevue Hill	2006	1925
Dover Heights	2006	1436
Paddington - Moore Park	2006	1763
Rose Bay - Vaucluse - Watsons Bay	2006	2195
Woollahra	2006	1812
Coogee - Clovelly	2006	1451
Malabar - La Perouse - Chifley	2006	1072
Kensington (NSW)	2006	1197
Kingsford	2006	1028
Maroubra - North	2006	1299
Maroubra - South	2006	972
Maroubra - West	2006	1137
Randwick - North	2006	1319
Randwick - South	2006	1304
Bass Hill - Georges Hall	2006	887
Chullora	2006	0
Condell Park	2006	924
Greenacre - Mount Lewis	2006	812
Padstow	2006	1083
Panania - Milperra - Picnic Point	2006	1182
Revesby	2006	1033
Yagoona - Birrong	2006	856
Bankstown - North	2006	746
Bankstown - South	2006	788
Belmore - Belfield	2006	845
Canterbury (South) - Campsie	2006	798
Kingsgrove (North) - Earlwood	2006	1112
Punchbowl	2006	782
Roselands	2006	991
Lakemba	2006	685
Wiley Park	2006	704
Hurstville	2006	974
Mortdale - Penshurst	2006	1086
Narwee - Beverly Hills	2006	957
Oatley - Hurstville Grove	2006	1395
Peakhurst - Lugarno	2006	1173
Riverwood	2006	609
South Hurstville - Blakehurst	2006	1175
Arncliffe - Bardwell Valley	2006	1055
Bexley	2006	1069
Kingsgrove (South) - Bardwell Park	2006	1065
Kogarah	2006	1063
Kogarah Bay - Carlton - Allawah	2006	1098
Monterey - Brighton-le-Sands - Kyeemagh	2006	985
Rockdale - Banksia	2006	1066
Sans Souci - Ramsgate	2006	1013
Concord - Mortlake - Cabarita	2006	1473
Concord West - North Strathfield	2006	1463
Drummoyne - Rodd Point	2006	1602
Five Dock - Abbotsford	2006	1370
Balmain	2006	1935
Leichhardt - Annandale	2006	1498
Lilyfield - Rozelle	2006	1839
Ashfield	2006	1050
Burwood - Croydon	2006	1087
Canterbury (North) - Ashbury	2006	1164
Croydon Park - Enfield	2006	1072
Dulwich Hill - Lewisham	2006	1143
Haberfield - Summer Hill	2006	1225
Homebush	2006	1020
Strathfield	2006	1172
Strathfield South	2006	1122
Chatswood (East) - Artarmon	2006	1352
Chatswood (West) - Lane Cove North	2006	1494
Lane Cove - Greenwich	2006	1875
St Leonards - Naremburn	2006	1876
Willoughby - Castle Cove - Northbridge	2006	1907
Asquith - Mount Colah	2006	1547
Berowra - Brooklyn - Cowan	2006	1517
Normanhurst - Thornleigh - Westleigh	2006	1679
Hornsby - East	2006	1106
Hornsby - West	2006	1228
Waitara - Wahroonga (West)	2006	1235
Gordon - Killara	2006	2116
Lindfield - Roseville	2006	2135
Pymble	2006	2395
St Ives	2006	2190
Turramurra	2006	1822
Wahroonga (East) - Warrawee	2006	2392
Cremorne - Cammeray	2006	1839
Crows Nest - Waverton	2006	1791
Mosman	2006	1921
Neutral Bay - Kirribilli	2006	1603
North Sydney - Lavender Bay	2006	1916
Balgowlah - Clontarf - Seaforth	2006	1839
Manly - Fairlight	2006	1567
Avalon - Palm Beach	2006	1466
Bayview - Elanora Heights	2006	1530
Newport - Bilgola	2006	1518
Warriewood - Mona Vale	2006	1376
Beacon Hill - Narraweena	2006	1225
Cromer	2006	1357
Dee Why - North Curl Curl	2006	1170
Forestville - Killarney Heights	2006	1528
Frenchs Forest - Belrose	2006	1720
Freshwater - Brookvale	2006	1426
Manly Vale - Allambie Heights	2006	1353
Narrabeen - Collaroy	2006	1320
Terrey Hills - Duffys Forest	2006	1654
Camden - Ellis Lane	2006	1202
Elderslie - Harrington Park	2006	1380
Mount Annan - Currans Hill	2006	1446
Bradbury - Wedderburn	2006	1012
Campbelltown - Woodbine	2006	1044
Claymore - Eagle Vale - Raby	2006	1158
Holsworthy Military Area	2006	0
Ingleburn - Denham Court	2006	1099
Leumeah - Minto Heights	2006	1114
Macquarie Fields - Glenfield	2006	944
Minto - St Andrews	2006	1043
Rosemeadow - Glen Alpine	2006	1168
Bargo	2006	1105
Douglas Park - Appin	2006	1366
Picton - Tahmoor - Buxton	2006	1109
The Oaks - Oakdale	2006	1295
Blackheath - Megalong Valley	2006	756
Blaxland - Warrimoo - Lapstone	2006	1415
Blue Mountains - North	2006	0
Katoomba - Leura	2006	749
Lawson - Hazelbrook - Linden	2006	1074
Springwood - Winmalee	2006	1246
Wentworth Falls	2006	923
Blue Mountains - South	2006	0
Cambridge Park	2006	1209
Castlereagh - Cranebrook	2006	1244
Emu Plains - Leonay	2006	1325
Glenmore Park - Regentville	2006	1538
Jamisontown - South Penrith	2006	1135
Kingswood - Werrington	2006	981
Mulgoa - Luddenham - Orchard Hills	2006	1334
Penrith	2006	757
Warragamba - Silverdale	2006	1268
Richmond - Clarendon	2006	1008
Windsor - Bligh Park	2006	1112
Yarramundi - Londonderry	2006	1216
Erskine Park	2006	1512
St Clair	2006	1360
Colyton - Oxley Park	2006	1028
St Marys - North St Marys	2006	775
Homebush Bay - Silverwater	2006	1551
Rookwood Cemetery	2006	0
Auburn - Central	2006	759
Auburn - North	2006	706
Auburn - South	2006	754
Berala	2006	862
Lidcombe	2006	988
Regents Park	2006	846
Carlingford	2006	1351
Ermington - Rydalmere	2006	1081
Oatlands - Dundas Valley	2006	1073
Chester Hill - Sefton	2006	809
Fairfield - East	2006	668
Granville - Clyde	2006	866
Greystanes - Pemulwuy	2006	1205
Guildford - South Granville	2006	703
Guildford West - Merrylands West	2006	870
Merrylands - Holroyd	2006	895
Smithfield Industrial	2006	0
Yennora Industrial	2006	0
North Parramatta	2006	1059
North Rocks	2006	1607
Northmead	2006	1212
Parramatta - Rosehill	2006	946
Toongabbie - Constitution Hill	2006	1103
Winston Hills	2006	1436
Pendle Hill - Girraween	2006	983
Wentworthville - Westmead	2006	1015
Epping - North Epping	2006	1418
Pennant Hills - Cheltenham	2006	1801
Eastwood - Denistone	2006	1262
Gladesville - Huntleys Point	2006	1311
Hunters Hill - Woolwich	2006	1891
Macquarie Park - Marsfield	2006	1127
North Ryde - East Ryde	2006	1305
West Ryde - Meadowbank	2006	1094
Putney	2006	1683
Ryde	2006	1115
Ashcroft - Busby - Miller	2006	602
Austral - Greendale	2006	1079
Cobbitty - Leppington	2006	1167
Badgerys Creek	2006	1170
Cecil Hills	2006	1473
Green Valley	2006	1145
Hinchinbrook	2006	1240
Hoxton Park - Carnes Hill - Horningsea Park	2006	1315
West Hoxton - Middleton Grange	2006	1429
Bonnyrigg Heights - Bonnyrigg	2006	972
Bossley Park - Abbotsbury	2006	1229
Cabramatta - Lansvale	2006	647
Cabramatta West - Mount Pritchard	2006	780
Canley Vale - Canley Heights	2006	738
Edensor Park	2006	1173
Fairfield	2006	669
Fairfield - West	2006	895
Greenfield Park - Prairiewood	2006	1112
Horsley Park - Kemps Creek	2006	1305
Smithfield - Wetherill Park	2006	950
St Johns Park - Wakeley	2006	1097
Wetherill Park Industrial	2006	0
Casula	2006	1127
Chipping Norton - Moorebank	2006	1245
Holsworthy - Wattle Grove	2006	1481
Liverpool	2006	758
Lurnea - Cartwright	2006	665
Prestons - Edmondson Park	2006	1424
Warwick Farm	2006	593
Gymea - Grays Point	2006	1452
Miranda - Yowie Bay	2006	1149
Sylvania - Taren Point	2006	1242
Caringbah	2006	1024
Caringbah South	2006	1457
Cronulla - Kurnell - Bundeena	2006	1176
Lilli Pilli - Port Hacking - Dolans Bay	2006	1975
Woolaware - Burraneer	2006	1480
Heathcote - Waterfall	2006	1339
Illawong - Alfords Point	2006	2009
Menai - Lucas Heights - Woronora	2006	1756
Oyster Bay - Como - Jannali	2006	1519
Royal National Park	2006	949
Sutherland - Kirrawee	2006	1150
Engadine	2006	1398
Loftus - Yarrawarrah	2006	1500
Woronora Heights	2006	2123
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Alfredton	2006	1135
Ballarat	2006	952
Ballarat - North	2006	856
Ballarat - South	2006	709
Buninyong	2006	1145
Delacombe	2006	942
Smythes Creek	2006	1110
Wendouree - Miners Rest	2006	671
Bacchus Marsh Region	2006	973
Creswick - Clunes	2006	739
Daylesford	2006	657
Gordon (Vic.)	2006	928
Avoca	2006	590
Beaufort	2006	655
Golden Plains - North	2006	773
Maryborough (Vic.)	2006	575
Maryborough Region	2006	584
Bendigo	2006	701
California Gully - Eaglehawk	2006	664
East Bendigo - Kennington	2006	919
Flora Hill - Spring Gully	2006	856
Kangaroo Flat - Golden Square	2006	763
Maiden Gully	2006	1208
Strathfieldsaye	2006	1282
White Hills - Ascot	2006	962
Bendigo Region - South	2006	1066
Castlemaine	2006	632
Castlemaine Region	2006	725
Heathcote	2006	575
Kyneton	2006	861
Woodend	2006	1095
Bendigo Region - North	2006	918
Loddon	2006	596
Bannockburn	2006	1210
Golden Plains - South	2006	1027
Winchelsea	2006	1030
Belmont	2006	775
Corio - Norlane	2006	633
Geelong	2006	865
Geelong West - Hamlyn Heights	2006	842
Grovedale	2006	1016
Highton	2006	1166
Lara	2006	1172
Leopold	2006	1086
Newcomb - Moolap	2006	715
Newtown (Vic.)	2006	1068
North Geelong - Bell Park	2006	774
Clifton Springs	2006	887
Lorne - Anglesea	2006	869
Ocean Grove - Barwon Heads	2006	1029
Portarlington	2006	607
Point Lonsdale - Queenscliff	2006	847
Torquay	2006	1145
Alexandra	2006	719
Euroa	2006	664
Kilmore - Broadford	2006	970
Mansfield (Vic.)	2006	775
Nagambie	2006	702
Seymour	2006	706
Seymour Region	2006	1076
Upper Yarra Valley	2006	559
Yea	2006	747
Benalla	2006	729
Benalla Region	2006	896
Rutherglen	2006	921
Wangaratta	2006	759
Wangaratta Region	2006	928
Beechworth	2006	813
Bright - Mount Beauty	2006	896
Chiltern - Indigo Valley	2006	950
Myrtleford	2006	717
Towong	2006	716
West Wodonga	2006	1076
Wodonga	2006	911
Yackandandah	2006	1102
Drouin	2006	842
Mount Baw Baw Region	2006	902
Trafalgar (Vic.)	2006	865
Warragul	2006	949
Alps - East	2006	0
Bairnsdale	2006	696
Bruthen - Omeo	2006	767
Lake King	2006	0
Lakes Entrance	2006	627
Orbost	2006	598
Paynesville	2006	647
Foster	2006	636
French Island	2006	575
Korumburra	2006	832
Leongatha	2006	871
Phillip Island	2006	648
Wilsons Promontory	2006	0
Wonthaggi - Inverloch	2006	632
Churchill	2006	1026
Moe - Newborough	2006	630
Morwell	2006	611
Traralgon	2006	966
Yallourn North - Glengarry	2006	1026
Alps - West	2006	824
Longford - Loch Sport	2006	652
Maffra	2006	816
Rosedale	2006	1003
Sale	2006	772
Yarram	2006	643
Brunswick	2006	1081
Brunswick East	2006	1099
Brunswick West	2006	924
Coburg	2006	1021
Pascoe Vale South	2006	1095
Alphington - Fairfield	2006	1104
Northcote	2006	1138
Thornbury	2006	933
Ascot Vale	2006	1072
Essendon - Aberfeldie	2006	1167
Flemington	2006	791
Moonee Ponds	2006	1192
Carlton	2006	527
Docklands	2006	1677
East Melbourne	2006	1502
Flemington Racecourse	2006	0
Kensington (Vic.)	2006	1339
Melbourne	2006	814
North Melbourne	2006	968
Parkville	2006	1206
South Yarra - West	2006	1399
Southbank	2006	1447
West Melbourne	2006	0
Albert Park	2006	1593
Elwood	2006	1240
Port Melbourne	2006	1607
Port Melbourne Industrial	2006	0
South Melbourne	2006	1214
St Kilda	2006	1139
St Kilda East	2006	1055
Armadale	2006	1273
Prahran - Windsor	2006	1177
South Yarra - East	2006	1223
Toorak	2006	1689
Abbotsford	2006	1288
Carlton North - Princes Hill	2006	1272
Collingwood	2006	884
Fitzroy	2006	1142
Fitzroy North	2006	1206
Richmond (Vic.)	2006	1247
Yarra - North	2006	1428
Ashburton (Vic.)	2006	1280
Balwyn	2006	1300
Balwyn North	2006	1381
Camberwell	2006	1665
Glen Iris - East	2006	1815
Hawthorn	2006	1254
Hawthorn East	2006	1392
Kew	2006	1604
Kew East	2006	1394
Surrey Hills (West) - Canterbury	2006	1785
Bulleen	2006	1064
Doncaster	2006	1099
Templestowe	2006	1512
Templestowe Lower	2006	1182
Doncaster East (North)	2006	1382
Doncaster East (South)	2006	1013
Blackburn	2006	1142
Blackburn South	2006	1101
Box Hill	2006	984
Box Hill North	2006	1115
Burwood	2006	965
Burwood East	2006	1057
Surrey Hills (East) - Mont Albert	2006	1453
Beaumaris	2006	1461
Brighton (Vic.)	2006	1815
Brighton East	2006	1452
Cheltenham - Highett (West)	2006	1108
Hampton	2006	1241
Sandringham - Black Rock	2006	1378
Bentleigh - McKinnon	2006	1170
Carnegie	2006	996
Caulfield - North	2006	1221
Caulfield - South	2006	1224
Elsternwick	2006	1157
Hughesdale	2006	1109
Murrumbeena	2006	1093
Ormond - Glen Huntly	2006	1039
Bentleigh East (North)	2006	1125
Bentleigh East (South)	2006	1092
Aspendale Gardens - Waterways	2006	1458
Braeside	2006	0
Carrum - Patterson Lakes	2006	1091
Chelsea - Bonbeach	2006	789
Chelsea Heights	2006	1078
Cheltenham - Highett (East)	2006	1030
Edithvale - Aspendale	2006	1097
Mentone	2006	1009
Moorabbin - Heatherton	2006	1103
Moorabbin Airport	2006	0
Mordialloc - Parkdale	2006	1099
Malvern - Glen Iris	2006	1425
Malvern East	2006	1359
Bundoora - East	2006	1045
Greensborough	2006	1223
Heidelberg - Rosanna	2006	1121
Heidelberg West	2006	703
Ivanhoe	2006	1218
Ivanhoe East - Eaglemont	2006	1722
Montmorency - Briar Hill	2006	1195
Viewbank - Yallambie	2006	1189
Watsonia	2006	1071
Kingsbury	2006	1072
Reservoir - East	2006	706
Reservoir - West	2006	774
Preston - East	2006	838
Preston - West	2006	937
Eltham	2006	1552
Hurstbridge	2006	1301
Kinglake	2006	1091
Panton Hill - St Andrews	2006	1351
Plenty - Yarrambat	2006	1614
Research - North Warrandyte	2006	1630
Wattle Glen - Diamond Creek	2006	1404
Bundoora - North	2006	1204
Bundoora - West	2006	1001
Lalor	2006	765
Mill Park - North	2006	1179
Mill Park - South	2006	1129
Thomastown	2006	769
Wallan	2006	1165
Whittlesea	2006	1114
Doreen	2006	1537
Epping - East	2006	1138
Epping - South	2006	988
Epping - West	2006	889
Mernda	2006	1071
South Morang (North)	2006	1386
South Morang (South)	2006	1205
Wollert	2006	1103
Airport West	2006	903
Essendon Airport	2006	0
Keilor	2006	1174
Keilor East	2006	1025
Niddrie - Essendon West	2006	1087
Strathmore	2006	1291
Gisborne	2006	1315
Macedon	2006	1293
Riddells Creek	2006	1333
Romsey	2006	1104
Coburg North	2006	779
Fawkner	2006	634
Pascoe Vale	2006	929
Glenroy	2006	717
Gowanbrae	2006	1389
Hadfield	2006	721
Sunbury	2006	1265
Sunbury - South	2006	1139
Broadmeadows	2006	627
Campbellfield - Coolaroo	2006	632
Gladstone Park - Westmeadows	2006	1073
Greenvale - Bulla	2006	1434
Meadow Heights	2006	761
Melbourne Airport	2006	1166
Roxburgh Park - Somerton	2006	1093
Tullamarine	2006	930
Craigieburn - Central	2006	1084
Craigieburn - North	2006	1257
Craigieburn - South	2006	1126
Craigieburn - West	2006	1152
Mickleham - Yuroke	2006	1378
Bayswater	2006	960
Knoxfield - Scoresby	2006	1166
Lysterfield	2006	1621
Rowville - Central	2006	1334
Rowville - North	2006	1407
Rowville - South	2006	1493
Wantirna	2006	1226
Wantirna South	2006	1228
Boronia	2006	985
Ferntree Gully (North)	2006	976
Ferntree Gully (South) - Upper Ferntree Gully	2006	1129
The Basin	2006	1187
Donvale - Park Orchards	2006	1410
Warrandyte - Wonga Park	2006	1724
Bayswater North	2006	1083
Croydon Hills - Warranwood	2006	1443
Ringwood	2006	938
Ringwood East	2006	1055
Ringwood North	2006	1354
Croydon - East	2006	896
Croydon - West	2006	979
Croydon South	2006	1131
Forest Hill	2006	1012
Mitcham (Vic.)	2006	1127
Nunawading	2006	1039
Vermont	2006	1166
Vermont South	2006	1411
Belgrave - Selby	2006	1198
Chirnside Park	2006	1206
Healesville - Yarra Glen	2006	920
Kilsyth	2006	994
Lilydale - Coldstream	2006	1108
Monbulk - Silvan	2006	1060
Montrose	2006	1191
Mooroolbark	2006	1124
Mount Dandenong - Olinda	2006	1190
Mount Evelyn	2006	1141
Upwey - Tecoma	2006	1172
Wandin - Seville	2006	1103
Yarra Valley	2006	814
Beaconsfield - Officer	2006	1330
Bunyip - Garfield	2006	1057
Emerald - Cockatoo	2006	1183
Koo Wee Rup	2006	923
Pakenham - North	2006	1025
Pakenham - South	2006	974
Berwick - North	2006	1176
Berwick - South	2006	1332
Doveton	2006	648
Hallam	2006	1040
Narre Warren North	2006	1619
Endeavour Hills - North	2006	1121
Endeavour Hills - South	2006	1145
Narre Warren - North East	2006	1166
Narre Warren - South West	2006	1018
Cranbourne	2006	864
Cranbourne East	2006	1103
Cranbourne North	2006	1044
Cranbourne South	2006	1123
Cranbourne West	2006	1024
Hampton Park - Lynbrook	2006	1010
Lynbrook - Lyndhurst	2006	1311
Pearcedale - Tooradin	2006	1105
Narre Warren South (East)	2006	1434
Narre Warren South (West)	2006	1233
Clarinda - Oakleigh South	2006	1055
Clayton South	2006	814
