SA2_NAME16	Year	medianAgeOfPersons
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	36
Berkeley - Lake Heights - Cringila	2006	38
Port Kembla - Warrawong	2006	43
Windang - Primbee	2006	46
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	31
Albion Park Rail	2006	35
Kiama	2006	45
Kiama Downs - Minnamurra	2006	40
Kiama Hinterland - Gerringong	2006	43
Shellharbour - Flinders	2006	34
Shellharbour - Oak Flats	2006	37
Warilla	2006	39
Balgownie - Fairy Meadow	2006	39
Corrimal - Tarrawanna - Bellambi	2006	37
Figtree - Keiraville	2006	37
Helensburgh	2006	34
Thirroul - Austinmer - Coalcliff	2006	39
Woonona - Bulli - Russell Vale	2006	38
Wollongong - East	2006	35
Wollongong - West	2006	34
Bulahdelah - Stroud	2006	44
Forster	2006	49
Forster-Tuncurry Region	2006	44
Tuncurry	2006	58
Kempsey	2006	38
Kempsey Region	2006	44
Macksville - Scotts Head	2006	46
Nambucca Heads	2006	50
Nambucca Heads Region	2006	44
South West Rocks	2006	50
Lord Howe Island	2006	44
Laurieton - Bonny Hills	2006	49
Port Macquarie - East	2006	43
Port Macquarie - West	2006	48
Port Macquarie Region	2006	43
Wauchope	2006	41
Gloucester	2006	46
Old Bar - Manning Point - Red Head	2006	44
Taree	2006	42
Taree Region	2006	46
Wingham	2006	41
Albury - East	2006	34
Albury - North	2006	35
Albury - South	2006	38
Albury Region	2006	41
Lavington	2006	36
Hay	2006	39
Wentworth - Buronga	2006	39
Wentworth-Balranald Region	2006	40
Corowa	2006	44
Corowa Region	2006	44
Deniliquin	2006	41
Deniliquin Region	2006	42
Moama	2006	44
Tocumwal - Finley - Jerilderie	2006	45
Armidale	2006	33
Armidale Region - North	2006	40
Armidale Region - South	2006	41
Walcha	2006	42
Glen Innes	2006	43
Inverell	2006	39
Inverell Region - East	2006	40
Inverell Region - West	2006	44
Tenterfield	2006	44
Moree	2006	34
Moree Region	2006	34
Narrabri	2006	37
Narrabri Region	2006	38
Gunnedah	2006	40
Gunnedah Region	2006	40
Quirindi	2006	43
Tamworth - East	2006	37
Tamworth - North	2006	39
Tamworth - West	2006	29
Tamworth Region	2006	42
Belmont - Bennetts Green	2006	41
Belmont South - Blacksmiths	2006	43
Charlestown - Dudley	2006	39
Glendale - Cardiff - Hillsborough	2006	38
Mount Hutton - Windale	2006	37
Redhead	2006	44
Swansea - Caves Beach	2006	44
Valentine - Eleebana	2006	41
Warners Bay - Boolaroo	2006	41
Bolton Point - Teralba	2006	39
Bonnells Bay - Silverwater	2006	40
Edgeworth - Cameron Park	2006	34
Morisset - Cooranbong	2006	43
Toronto - Awaba	2006	43
Wangi Wangi - Rathmines	2006	43
West Wallsend - Barnsley - Killingworth	2006	34
Adamstown - Kotara	2006	39
Beresfield - Hexham	2006	37
Hamilton - Broadmeadow	2006	39
Lambton - New Lambton	2006	38
Maryland - Fletcher - Minmi	2006	32
Mayfield - Warabrook	2006	37
Merewether - The Junction	2006	37
Newcastle - Cooks Hill	2006	34
Newcastle Port - Kooragang	2006	40
Shortland - Jesmond	2006	31
Stockton - Fullerton Cove	2006	47
Wallsend - Elermore Vale	2006	38
Waratah - North Lambton	2006	37
Wickham - Carrington - Tighes Hill	2006	34
Ballina	2006	46
Ballina Region	2006	43
Bangalow	2006	40
Brunswick Heads - Ocean Shores	2006	41
Byron Bay	2006	39
Evans Head	2006	43
Lennox Head - Skennars Head	2006	37
Mullumbimby	2006	42
Casino	2006	39
Casino Region	2006	41
Goonellabah	2006	37
Kyogle	2006	42
Lismore	2006	36
Lismore Region	2006	41
Kingscliff - Fingal Head	2006	44
Murwillumbah	2006	42
Murwillumbah Region	2006	41
Pottsville	2006	39
Tweed Heads	2006	48
Banora Point	2006	44
Terranora - North Tumblegum	2006	38
Tweed Heads South	2006	55
Griffith (NSW)	2006	34
Griffith Region	2006	36
Leeton	2006	35
Narrandera	2006	41
Tumbarumba	2006	42
Tumut	2006	39
Tumut Region	2006	42
Cootamundra	2006	44
Gundagai	2006	40
Junee	2006	36
Temora	2006	42
Wagga Wagga - East	2006	37
Wagga Wagga - North	2006	26
Wagga Wagga - South	2006	32
Wagga Wagga - West	2006	31
Wagga Wagga Region	2006	37
Berry - Kangaroo Valley	2006	49
Callala Bay - Currarong	2006	44
Culburra Beach	2006	48
Ettrema - Sassafras - Budawang	2006	0
Huskisson - Vincentia	2006	49
North Nowra - Bomaderry	2006	39
Nowra	2006	36
St Georges Basin - Erowal Bay	2006	44
Sussex Inlet - Berrara	2006	56
Tomerong - Wandandian - Woollamia	2006	42
Ulladulla	2006	47
Ulladulla Region	2006	47
Bowral	2006	46
Hill Top - Colo Vale	2006	34
Mittagong	2006	41
Moss Vale - Berrima	2006	39
Robertson - Fitzroy Falls	2006	43
Southern Highlands	2006	45
Baulkham Hills (East)	2006	36
Baulkham Hills (West) - Bella Vista	2006	36
Glenhaven	2006	38
West Pennant Hills	2006	39
Castle Hill - Central	2006	36
Castle Hill - East	2006	46
Castle Hill - North	2006	39
Castle Hill - South	2006	38
Castle Hill - West	2006	34
Cherrybrook	2006	38
Kellyville	2006	32
Dural - Kenthurst - Wisemans Ferry	2006	39
Galston - Laughtondale	2006	40
Bilpin - Colo - St Albans	2006	42
Kurrajong Heights - Ebenezer	2006	36
Pitt Town - McGraths Hill	2006	36
Rouse Hill - Beaumont Hills	2006	32
Blacktown (East) - Kings Park	2006	32
Blacktown (North) - Marayong	2006	34
Doonside - Woodcroft	2006	32
Lalor Park - Kings Langley	2006	36
Seven Hills - Toongabbie	2006	34
Blacktown (South)	2006	34
Blacktown (West)	2006	34
Glenwood	2006	31
Parklea - Kellyville Ridge	2006	30
Riverstone - Marsden Park	2006	34
Acacia Gardens	2006	30
Quakers Hill	2006	30
Bidwill - Hebersham - Emerton	2006	29
Glendenning - Dean Park	2006	29
Hassall Grove - Plumpton	2006	28
Lethbridge Park - Tregear	2006	29
Mount Druitt - Whalan	2006	31
Prospect Reservoir	2006	0
Rooty Hill - Minchinbury	2006	32
Banksmeadow	2006	0
Botany	2006	37
Mascot - Eastlakes	2006	36
Pagewood - Hillsdale - Daceyville	2006	37
Port Botany Industrial	2006	0
Sydney Airport	2006	0
Marrickville	2006	36
Petersham - Stanmore	2006	34
Sydenham - Tempe - St Peters	2006	36
Darlinghurst	2006	34
Erskineville - Alexandria	2006	32
Glebe - Forest Lodge	2006	34
Newtown - Camperdown - Darlington	2006	31
Potts Point - Woolloomooloo	2006	36
Pyrmont - Ultimo	2006	30
Redfern - Chippendale	2006	34
Surry Hills	2006	33
Sydney - Haymarket - The Rocks	2006	28
Waterloo - Beaconsfield	2006	33
Bondi - Tamarama - Bronte	2006	35
Bondi Beach - North Bondi	2006	34
Bondi Junction - Waverly	2006	37
Centennial Park	2006	0
Double Bay - Bellevue Hill	2006	39
Dover Heights	2006	38
Paddington - Moore Park	2006	35
Rose Bay - Vaucluse - Watsons Bay	2006	39
Woollahra	2006	41
Coogee - Clovelly	2006	35
Malabar - La Perouse - Chifley	2006	40
Kensington (NSW)	2006	30
Kingsford	2006	31
Maroubra - North	2006	38
Maroubra - South	2006	38
Maroubra - West	2006	34
Randwick - North	2006	34
Randwick - South	2006	34
Bass Hill - Georges Hall	2006	36
Chullora	2006	0
Condell Park	2006	34
Greenacre - Mount Lewis	2006	33
Padstow	2006	39
Panania - Milperra - Picnic Point	2006	38
Revesby	2006	38
Yagoona - Birrong	2006	35
Bankstown - North	2006	30
Bankstown - South	2006	32
Belmore - Belfield	2006	37
Canterbury (South) - Campsie	2006	35
Kingsgrove (North) - Earlwood	2006	39
Punchbowl	2006	31
Roselands	2006	36
Lakemba	2006	31
Wiley Park	2006	30
Hurstville	2006	34
Mortdale - Penshurst	2006	37
Narwee - Beverly Hills	2006	40
Oatley - Hurstville Grove	2006	40
Peakhurst - Lugarno	2006	41
Riverwood	2006	40
South Hurstville - Blakehurst	2006	37
Arncliffe - Bardwell Valley	2006	33
Bexley	2006	35
Kingsgrove (South) - Bardwell Park	2006	39
Kogarah	2006	35
Kogarah Bay - Carlton - Allawah	2006	38
Monterey - Brighton-le-Sands - Kyeemagh	2006	41
Rockdale - Banksia	2006	33
Sans Souci - Ramsgate	2006	43
Concord - Mortlake - Cabarita	2006	38
Concord West - North Strathfield	2006	34
Drummoyne - Rodd Point	2006	39
Five Dock - Abbotsford	2006	38
Balmain	2006	37
Leichhardt - Annandale	2006	36
Lilyfield - Rozelle	2006	36
Ashfield	2006	35
Burwood - Croydon	2006	36
Canterbury (North) - Ashbury	2006	39
Croydon Park - Enfield	2006	38
Dulwich Hill - Lewisham	2006	37
Haberfield - Summer Hill	2006	38
Homebush	2006	31
Strathfield	2006	33
Strathfield South	2006	36
Chatswood (East) - Artarmon	2006	34
Chatswood (West) - Lane Cove North	2006	35
Lane Cove - Greenwich	2006	38
St Leonards - Naremburn	2006	33
Willoughby - Castle Cove - Northbridge	2006	39
Asquith - Mount Colah	2006	37
Berowra - Brooklyn - Cowan	2006	37
Normanhurst - Thornleigh - Westleigh	2006	38
Hornsby - East	2006	33
Hornsby - West	2006	38
Waitara - Wahroonga (West)	2006	36
Gordon - Killara	2006	42
Lindfield - Roseville	2006	40
Pymble	2006	40
St Ives	2006	42
Turramurra	2006	43
Wahroonga (East) - Warrawee	2006	41
Cremorne - Cammeray	2006	37
Crows Nest - Waverton	2006	34
Mosman	2006	40
Neutral Bay - Kirribilli	2006	36
North Sydney - Lavender Bay	2006	35
Balgowlah - Clontarf - Seaforth	2006	39
Manly - Fairlight	2006	36
Avalon - Palm Beach	2006	42
Bayview - Elanora Heights	2006	43
Newport - Bilgola	2006	40
Warriewood - Mona Vale	2006	39
Beacon Hill - Narraweena	2006	39
Cromer	2006	39
Dee Why - North Curl Curl	2006	35
Forestville - Killarney Heights	2006	40
Frenchs Forest - Belrose	2006	40
Freshwater - Brookvale	2006	35
Manly Vale - Allambie Heights	2006	38
Narrabeen - Collaroy	2006	38
Terrey Hills - Duffys Forest	2006	41
Camden - Ellis Lane	2006	39
Elderslie - Harrington Park	2006	33
Mount Annan - Currans Hill	2006	29
Bradbury - Wedderburn	2006	30
Campbelltown - Woodbine	2006	33
Claymore - Eagle Vale - Raby	2006	29
Holsworthy Military Area	2006	0
Ingleburn - Denham Court	2006	36
Leumeah - Minto Heights	2006	35
Macquarie Fields - Glenfield	2006	33
Minto - St Andrews	2006	30
Rosemeadow - Glen Alpine	2006	30
Bargo	2006	35
Douglas Park - Appin	2006	36
Picton - Tahmoor - Buxton	2006	34
The Oaks - Oakdale	2006	34
Blackheath - Megalong Valley	2006	43
Blaxland - Warrimoo - Lapstone	2006	37
Blue Mountains - North	2006	0
Katoomba - Leura	2006	42
Lawson - Hazelbrook - Linden	2006	38
Springwood - Winmalee	2006	38
Wentworth Falls	2006	45
Blue Mountains - South	2006	0
Cambridge Park	2006	32
Castlereagh - Cranebrook	2006	29
Emu Plains - Leonay	2006	35
Glenmore Park - Regentville	2006	29
Jamisontown - South Penrith	2006	34
Kingswood - Werrington	2006	31
Mulgoa - Luddenham - Orchard Hills	2006	36
Penrith	2006	36
Warragamba - Silverdale	2006	33
Richmond - Clarendon	2006	34
Windsor - Bligh Park	2006	30
Yarramundi - Londonderry	2006	33
Erskine Park	2006	29
St Clair	2006	31
Colyton - Oxley Park	2006	33
St Marys - North St Marys	2006	35
Homebush Bay - Silverwater	2006	32
Rookwood Cemetery	2006	0
Auburn - Central	2006	28
Auburn - North	2006	29
Auburn - South	2006	31
Berala	2006	35
Lidcombe	2006	34
Regents Park	2006	35
Carlingford	2006	40
Ermington - Rydalmere	2006	37
Oatlands - Dundas Valley	2006	38
Chester Hill - Sefton	2006	36
Fairfield - East	2006	35
Granville - Clyde	2006	32
Greystanes - Pemulwuy	2006	36
Guildford - South Granville	2006	30
Guildford West - Merrylands West	2006	34
Merrylands - Holroyd	2006	32
Smithfield Industrial	2006	0
Yennora Industrial	2006	0
North Parramatta	2006	32
North Rocks	2006	40
Northmead	2006	34
Parramatta - Rosehill	2006	29
Toongabbie - Constitution Hill	2006	37
Winston Hills	2006	38
Pendle Hill - Girraween	2006	35
Wentworthville - Westmead	2006	33
Epping - North Epping	2006	38
Pennant Hills - Cheltenham	2006	41
Eastwood - Denistone	2006	38
Gladesville - Huntleys Point	2006	38
Hunters Hill - Woolwich	2006	41
Macquarie Park - Marsfield	2006	33
North Ryde - East Ryde	2006	40
West Ryde - Meadowbank	2006	35
Putney	2006	39
Ryde	2006	38
Ashcroft - Busby - Miller	2006	32
Austral - Greendale	2006	35
Cobbitty - Leppington	2006	37
Badgerys Creek	2006	37
Cecil Hills	2006	31
Green Valley	2006	30
Hinchinbrook	2006	30
Hoxton Park - Carnes Hill - Horningsea Park	2006	29
West Hoxton - Middleton Grange	2006	29
Bonnyrigg Heights - Bonnyrigg	2006	32
Bossley Park - Abbotsbury	2006	34
Cabramatta - Lansvale	2006	35
Cabramatta West - Mount Pritchard	2006	35
Canley Vale - Canley Heights	2006	34
Edensor Park	2006	33
Fairfield	2006	33
Fairfield - West	2006	35
Greenfield Park - Prairiewood	2006	35
Horsley Park - Kemps Creek	2006	37
Smithfield - Wetherill Park	2006	36
St Johns Park - Wakeley	2006	36
Wetherill Park Industrial	2006	0
Casula	2006	33
Chipping Norton - Moorebank	2006	36
Holsworthy - Wattle Grove	2006	30
Liverpool	2006	33
Lurnea - Cartwright	2006	33
Prestons - Edmondson Park	2006	30
Warwick Farm	2006	36
Gymea - Grays Point	2006	37
Miranda - Yowie Bay	2006	38
Sylvania - Taren Point	2006	42
Caringbah	2006	37
Caringbah South	2006	40
Cronulla - Kurnell - Bundeena	2006	37
Lilli Pilli - Port Hacking - Dolans Bay	2006	40
Woolaware - Burraneer	2006	39
Heathcote - Waterfall	2006	38
Illawong - Alfords Point	2006	37
Menai - Lucas Heights - Woronora	2006	34
Oyster Bay - Como - Jannali	2006	38
Royal National Park	2006	30
Sutherland - Kirrawee	2006	35
Engadine	2006	35
Loftus - Yarrawarrah	2006	37
Woronora Heights	2006	34
Migratory - Offshore - Shipping (NSW)	2006	38
No usual address (NSW)	2006	35
Alfredton	2006	35
Ballarat	2006	37
Ballarat - North	2006	36
Ballarat - South	2006	35
Buninyong	2006	34
Delacombe	2006	34
Smythes Creek	2006	36
Wendouree - Miners Rest	2006	39
Bacchus Marsh Region	2006	40
Creswick - Clunes	2006	43
Daylesford	2006	44
Gordon (Vic.)	2006	39
Avoca	2006	47
Beaufort	2006	45
Golden Plains - North	2006	41
Maryborough (Vic.)	2006	45
Maryborough Region	2006	46
Bendigo	2006	36
California Gully - Eaglehawk	2006	38
East Bendigo - Kennington	2006	40
Flora Hill - Spring Gully	2006	32
Kangaroo Flat - Golden Square	2006	37
Maiden Gully	2006	33
Strathfieldsaye	2006	35
White Hills - Ascot	2006	35
Bendigo Region - South	2006	39
Castlemaine	2006	43
Castlemaine Region	2006	45
Heathcote	2006	50
Kyneton	2006	41
Woodend	2006	39
Bendigo Region - North	2006	40
Loddon	2006	45
Bannockburn	2006	35
Golden Plains - South	2006	39
Winchelsea	2006	39
Belmont	2006	40
Corio - Norlane	2006	35
Geelong	2006	37
Geelong West - Hamlyn Heights	2006	37
Grovedale	2006	36
Highton	2006	39
Lara	2006	35
Leopold	2006	37
Newcomb - Moolap	2006	38
Newtown (Vic.)	2006	38
North Geelong - Bell Park	2006	42
Clifton Springs	2006	41
Lorne - Anglesea	2006	46
Ocean Grove - Barwon Heads	2006	40
Portarlington	2006	55
Point Lonsdale - Queenscliff	2006	51
Torquay	2006	37
Alexandra	2006	46
Euroa	2006	49
Kilmore - Broadford	2006	35
Mansfield (Vic.)	2006	43
Nagambie	2006	45
Seymour	2006	38
Seymour Region	2006	36
Upper Yarra Valley	2006	40
Yea	2006	45
Benalla	2006	43
Benalla Region	2006	45
Rutherglen	2006	42
Wangaratta	2006	39
Wangaratta Region	2006	43
Beechworth	2006	44
Bright - Mount Beauty	2006	44
Chiltern - Indigo Valley	2006	40
Myrtleford	2006	44
Towong	2006	45
West Wodonga	2006	32
Wodonga	2006	35
Yackandandah	2006	40
Drouin	2006	40
Mount Baw Baw Region	2006	41
Trafalgar (Vic.)	2006	42
Warragul	2006	37
Alps - East	2006	0
Bairnsdale	2006	40
Bruthen - Omeo	2006	44
Lake King	2006	0
Lakes Entrance	2006	47
Orbost	2006	45
Paynesville	2006	53
Foster	2006	46
French Island	2006	52
Korumburra	2006	41
Leongatha	2006	42
Phillip Island	2006	46
Wilsons Promontory	2006	0
Wonthaggi - Inverloch	2006	46
Churchill	2006	37
Moe - Newborough	2006	39
Morwell	2006	39
Traralgon	2006	35
Yallourn North - Glengarry	2006	37
Alps - West	2006	45
Longford - Loch Sport	2006	46
Maffra	2006	41
Rosedale	2006	36
Sale	2006	37
Yarram	2006	45
Brunswick	2006	33
Brunswick East	2006	34
Brunswick West	2006	34
Coburg	2006	35
Pascoe Vale South	2006	38
Alphington - Fairfield	2006	37
Northcote	2006	36
Thornbury	2006	35
Ascot Vale	2006	35
Essendon - Aberfeldie	2006	38
Flemington	2006	33
Moonee Ponds	2006	36
Carlton	2006	24
Docklands	2006	30
East Melbourne	2006	35
Flemington Racecourse	2006	0
Kensington (Vic.)	2006	32
Melbourne	2006	25
North Melbourne	2006	29
Parkville	2006	23
South Yarra - West	2006	36
Southbank	2006	28
West Melbourne	2006	0
Albert Park	2006	37
Elwood	2006	34
Port Melbourne	2006	37
Port Melbourne Industrial	2006	33
South Melbourne	2006	35
St Kilda	2006	34
St Kilda East	2006	33
Armadale	2006	36
Prahran - Windsor	2006	34
South Yarra - East	2006	33
Toorak	2006	43
Abbotsford	2006	35
Carlton North - Princes Hill	2006	32
Collingwood	2006	32
Fitzroy	2006	33
Fitzroy North	2006	34
Richmond (Vic.)	2006	33
Yarra - North	2006	36
Ashburton (Vic.)	2006	38
Balwyn	2006	41
Balwyn North	2006	41
Camberwell	2006	40
Glen Iris - East	2006	38
Hawthorn	2006	32
Hawthorn East	2006	33
Kew	2006	38
Kew East	2006	38
Surrey Hills (West) - Canterbury	2006	39
Bulleen	2006	42
Doncaster	2006	43
Templestowe	2006	40
Templestowe Lower	2006	43
Doncaster East (North)	2006	39
Doncaster East (South)	2006	41
Blackburn	2006	39
Blackburn South	2006	41
Box Hill	2006	36
Box Hill North	2006	38
Burwood	2006	37
Burwood East	2006	40
Surrey Hills (East) - Mont Albert	2006	39
Beaumaris	2006	43
Brighton (Vic.)	2006	43
Brighton East	2006	41
Cheltenham - Highett (West)	2006	38
Hampton	2006	39
Sandringham - Black Rock	2006	43
Bentleigh - McKinnon	2006	39
Carnegie	2006	36
Caulfield - North	2006	36
Caulfield - South	2006	40
Elsternwick	2006	38
Hughesdale	2006	35
Murrumbeena	2006	36
Ormond - Glen Huntly	2006	35
Bentleigh East (North)	2006	38
Bentleigh East (South)	2006	40
Aspendale Gardens - Waterways	2006	34
Braeside	2006	47
Carrum - Patterson Lakes	2006	40
Chelsea - Bonbeach	2006	41
Chelsea Heights	2006	35
Cheltenham - Highett (East)	2006	40
Edithvale - Aspendale	2006	39
Mentone	2006	41
Moorabbin - Heatherton	2006	38
Moorabbin Airport	2006	0
Mordialloc - Parkdale	2006	38
Malvern - Glen Iris	2006	36
Malvern East	2006	36
Bundoora - East	2006	39
Greensborough	2006	37
Heidelberg - Rosanna	2006	41
Heidelberg West	2006	37
Ivanhoe	2006	38
Ivanhoe East - Eaglemont	2006	40
Montmorency - Briar Hill	2006	38
Viewbank - Yallambie	2006	38
Watsonia	2006	38
Kingsbury	2006	29
Reservoir - East	2006	38
Reservoir - West	2006	39
Preston - East	2006	36
Preston - West	2006	37
Eltham	2006	37
Hurstbridge	2006	35
Kinglake	2006	35
Panton Hill - St Andrews	2006	39
Plenty - Yarrambat	2006	36
Research - North Warrandyte	2006	38
Wattle Glen - Diamond Creek	2006	34
Bundoora - North	2006	34
Bundoora - West	2006	37
Lalor	2006	37
Mill Park - North	2006	33
Mill Park - South	2006	32
Thomastown	2006	37
Wallan	2006	33
Whittlesea	2006	36
Doreen	2006	29
Epping - East	2006	31
Epping - South	2006	33
Epping - West	2006	33
Mernda	2006	35
South Morang (North)	2006	29
South Morang (South)	2006	31
Wollert	2006	44
Airport West	2006	41
Essendon Airport	2006	0
Keilor	2006	40
Keilor East	2006	41
Niddrie - Essendon West	2006	38
Strathmore	2006	39
Gisborne	2006	37
Macedon	2006	42
Riddells Creek	2006	37
Romsey	2006	37
Coburg North	2006	38
Fawkner	2006	39
Pascoe Vale	2006	38
Glenroy	2006	38
Gowanbrae	2006	30
Hadfield	2006	40
Sunbury	2006	34
Sunbury - South	2006	34
Broadmeadows	2006	35
Campbellfield - Coolaroo	2006	33
Gladstone Park - Westmeadows	2006	37
Greenvale - Bulla	2006	35
Meadow Heights	2006	28
Melbourne Airport	2006	36
Roxburgh Park - Somerton	2006	28
Tullamarine	2006	38
Craigieburn - Central	2006	31
Craigieburn - North	2006	27
Craigieburn - South	2006	29
Craigieburn - West	2006	33
Mickleham - Yuroke	2006	36
Bayswater	2006	38
Knoxfield - Scoresby	2006	36
Lysterfield	2006	33
Rowville - Central	2006	34
Rowville - North	2006	32
Rowville - South	2006	33
Wantirna	2006	38
Wantirna South	2006	39
Boronia	2006	37
Ferntree Gully (North)	2006	38
Ferntree Gully (South) - Upper Ferntree Gully	2006	36
The Basin	2006	35
Donvale - Park Orchards	2006	40
Warrandyte - Wonga Park	2006	37
Bayswater North	2006	33
Croydon Hills - Warranwood	2006	35
Ringwood	2006	37
Ringwood East	2006	39
Ringwood North	2006	38
Croydon - East	2006	38
Croydon - West	2006	41
Croydon South	2006	35
Forest Hill	2006	40
Mitcham (Vic.)	2006	36
Nunawading	2006	38
Vermont	2006	40
Vermont South	2006	42
Belgrave - Selby	2006	36
Chirnside Park	2006	38
Healesville - Yarra Glen	2006	40
Kilsyth	2006	39
Lilydale - Coldstream	2006	35
Monbulk - Silvan	2006	39
Montrose	2006	37
Mooroolbark	2006	35
Mount Dandenong - Olinda	2006	40
Mount Evelyn	2006	33
Upwey - Tecoma	2006	35
Wandin - Seville	2006	35
Yarra Valley	2006	37
Beaconsfield - Officer	2006	34
Bunyip - Garfield	2006	38
Emerald - Cockatoo	2006	36
Koo Wee Rup	2006	38
Pakenham - North	2006	32
Pakenham - South	2006	30
Berwick - North	2006	37
Berwick - South	2006	30
Doveton	2006	37
Hallam	2006	34
Narre Warren North	2006	38
Endeavour Hills - North	2006	34
Endeavour Hills - South	2006	34
Narre Warren - North East	2006	32
Narre Warren - South West	2006	32
Cranbourne	2006	34
Cranbourne East	2006	31
Cranbourne North	2006	31
Cranbourne South	2006	41
Cranbourne West	2006	28
Hampton Park - Lynbrook	2006	31
Lynbrook - Lyndhurst	2006	30
Pearcedale - Tooradin	2006	36
Narre Warren South (East)	2006	31
Narre Warren South (West)	2006	29
Clarinda - Oakleigh South	2006	39
Clayton South	2006	35
Dandenong	2006	36
Dandenong North	2006	37
Dingley Village	2006	40
Keysborough	2006	36
Noble Park North	2006	37
Springvale	2006	37
Springvale South	2006	34
Noble Park - East	2006	37
Noble Park - West	2006	36
Ashwood - Chadstone	2006	36
Clayton	2006	27
Glen Waverley - East	2006	42
Glen Waverley - West	2006	40
Mount Waverley - North	2006	42
Mount Waverley - South	2006	41
Mulgrave	2006	39
Oakleigh - Huntingdale	2006	36
Wheelers Hill	2006	43
Ardeer - Albion	2006	36
Cairnlea	2006	29
Deer Park - Derrimut	2006	33
Delahey	2006	31
Keilor Downs	2006	35
Kings Park (Vic.)	2006	33
St Albans - North	2006	37
St Albans - South	2006	36
Sunshine	2006	36
Sunshine North	2006	36
Sunshine West	2006	37
Sydenham	2006	30
Taylors Lakes	2006	34
Altona	2006	43
Altona Meadows	2006	34
Altona North	2006	39
Newport	2006	36
Seabrook	2006	33
Williamstown	2006	39
Braybrook	2006	34
Footscray	2006	33
