SA2_NAME16	Year	employmentToPopulation
Narooma - Bermagui	2006	38.5
Narooma - Bermagui	2011	38.3
Narooma - Bermagui	2016	36.3
Goulburn	2006	52.2
Goulburn	2011	53.8
Goulburn	2016	51.8
Goulburn Region	2006	56.6
Goulburn Region	2011	57.6
Goulburn Region	2016	54.7
Yass	2006	59.4
Yass	2011	60.4
Yass	2016	57.1
Yass Region	2006	69.1
Yass Region	2011	69.3
Yass Region	2016	66.2
Young	2006	53.6
Young	2011	51.8
Young	2016	50
Young Region	2006	53.8
Young Region	2011	52.4
Young Region	2016	51.3
Avoca Beach - Copacabana	2006	62.5
Avoca Beach - Copacabana	2011	63
Avoca Beach - Copacabana	2016	63.2
Box Head - MacMasters Beach	2006	53
Box Head - MacMasters Beach	2011	53.2
Box Head - MacMasters Beach	2016	53.6
Calga - Kulnura	2006	56.3
Calga - Kulnura	2011	60.8
Calga - Kulnura	2016	56.8
Erina - Green Point	2006	48.2
Erina - Green Point	2011	49.2
Erina - Green Point	2016	48.1
Gosford - Springfield	2006	53
Gosford - Springfield	2011	54.2
Gosford - Springfield	2016	54.2
Kariong	2006	63.1
Kariong	2011	65.2
Kariong	2016	63.5
Kincumber - Picketts Valley	2006	46.8
Kincumber - Picketts Valley	2011	50
Kincumber - Picketts Valley	2016	48.6
Narara	2006	63.5
Narara	2011	62.1
Narara	2016	61.9
Niagara Park - Lisarow	2006	65.7
Niagara Park - Lisarow	2011	63.5
Niagara Park - Lisarow	2016	61.7
Point Clare - Koolewong	2006	52.8
Point Clare - Koolewong	2011	51.9
Point Clare - Koolewong	2016	55.3
Saratoga - Davistown	2006	52
Saratoga - Davistown	2011	55.6
Saratoga - Davistown	2016	56.6
Terrigal - North Avoca	2006	60.4
Terrigal - North Avoca	2011	59
Terrigal - North Avoca	2016	59.9
Umina - Booker Bay - Patonga	2006	42.2
Umina - Booker Bay - Patonga	2011	46
Umina - Booker Bay - Patonga	2016	46.5
Wamberal - Forresters Beach	2006	60.4
Wamberal - Forresters Beach	2011	62.9
Wamberal - Forresters Beach	2016	61
Woy Woy - Blackwall	2006	42.6
Woy Woy - Blackwall	2011	44.3
Woy Woy - Blackwall	2016	44.9
Wyoming	2006	52.7
Wyoming	2011	50.9
Wyoming	2016	50.2
Bateau Bay - Killarney Vale	2006	48.7
Bateau Bay - Killarney Vale	2011	51.4
Bateau Bay - Killarney Vale	2016	52.2
Blue Haven - San Remo	2006	53.4
Blue Haven - San Remo	2011	53
Blue Haven - San Remo	2016	53.9
Budgewoi - Buff Point - Halekulani	2006	42.9
Budgewoi - Buff Point - Halekulani	2011	45.5
Budgewoi - Buff Point - Halekulani	2016	46.1
Chittaway Bay - Tumbi Umbi	2006	58
Chittaway Bay - Tumbi Umbi	2011	58.5
Chittaway Bay - Tumbi Umbi	2016	58.9
Gorokan - Kanwal - Charmhaven	2006	45.8
Gorokan - Kanwal - Charmhaven	2011	46.3
Gorokan - Kanwal - Charmhaven	2016	45.8
Jilliby - Yarramalong	2006	62.6
Jilliby - Yarramalong	2011	61.2
Jilliby - Yarramalong	2016	60.8
Lake Munmorah - Mannering Park	2006	43.9
Lake Munmorah - Mannering Park	2011	44.6
Lake Munmorah - Mannering Park	2016	43.8
Ourimbah - Fountaindale	2006	63.8
Ourimbah - Fountaindale	2011	63.7
Ourimbah - Fountaindale	2016	63.2
Summerland Point - Gwandalan	2006	46.6
Summerland Point - Gwandalan	2011	47.6
Summerland Point - Gwandalan	2016	49.7
The Entrance	2006	40.7
The Entrance	2011	44.2
The Entrance	2016	46.3
Toukley - Norah Head	2006	40.1
Toukley - Norah Head	2011	40.8
Toukley - Norah Head	2016	41.8
Tuggerah - Kangy Angy	2006	57.1
Tuggerah - Kangy Angy	2011	57.7
Tuggerah - Kangy Angy	2016	57.6
Warnervale - Wadalba	2006	55.9
Warnervale - Wadalba	2011	57
Warnervale - Wadalba	2016	58.6
Wyong	2006	47.7
Wyong	2011	47.3
Wyong	2016	46.6
Bathurst	2006	54.6
Bathurst	2011	55.7
Bathurst	2016	53.5
Bathurst - East	2006	60.3
Bathurst - East	2011	60.2
Bathurst - East	2016	57.9
Bathurst Region	2006	60.5
Bathurst Region	2011	60.8
Bathurst Region	2016	54.9
Oberon	2006	58.3
Oberon	2011	56.2
Oberon	2016	50
Condobolin	2006	54.4
Condobolin	2011	55.8
Condobolin	2016	51.3
Cowra	2006	49
Cowra	2011	45.9
Cowra	2016	45
Cowra Region	2006	53.9
Cowra Region	2011	52.9
Cowra Region	2016	50.7
Forbes	2006	52.1
Forbes	2011	53.4
Forbes	2016	51.3
Grenfell	2006	50.1
Grenfell	2011	48.6
Grenfell	2016	47.4
Parkes (NSW)	2006	53.4
Parkes (NSW)	2011	53.8
Parkes (NSW)	2016	50.4
Parkes Region	2006	52.5
Parkes Region	2011	52.3
Parkes Region	2016	49
West Wyalong	2006	58.8
West Wyalong	2011	58.7
West Wyalong	2016	53.7
Lithgow	2006	46.7
Lithgow	2011	46
Lithgow	2016	42.4
Lithgow Region	2006	51.8
Lithgow Region	2011	54.3
Lithgow Region	2016	48
Mudgee	2006	54.7
Mudgee	2011	56.1
Mudgee	2016	55.2
Mudgee Region - East	2006	44.3
Mudgee Region - East	2011	43.8
Mudgee Region - East	2016	37.6
Mudgee Region - West	2006	51
Mudgee Region - West	2011	51.2
Mudgee Region - West	2016	48.5
Wollangambe - Wollemi	2006	0
Wollangambe - Wollemi	2011	0
Wollangambe - Wollemi	2016	0
Blayney	2006	56
Blayney	2011	57.6
Blayney	2016	56.3
Orange	2006	52
Orange	2011	53.2
Orange	2016	49.3
Orange - North	2006	61.2
Orange - North	2011	63.7
Orange - North	2016	62.1
Orange Region	2006	63.8
Orange Region	2011	64.4
Orange Region	2016	61.3
Grafton	2006	44.8
Grafton	2011	45.7
Grafton	2016	42.8
Grafton Region	2006	47.6
Grafton Region	2011	46.7
Grafton Region	2016	43.9
Maclean - Yamba - Iluka	2006	39.1
Maclean - Yamba - Iluka	2011	39.3
Maclean - Yamba - Iluka	2016	37.8
Bellingen	2006	48.8
Bellingen	2011	50
Bellingen	2016	49.5
Coffs Harbour - North	2006	48.9
Coffs Harbour - North	2011	48.9
Coffs Harbour - North	2016	48
Coffs Harbour - South	2006	44.4
Coffs Harbour - South	2011	47.3
Coffs Harbour - South	2016	45.8
Coramba - Nana Glen - Bucca	2006	57.6
Coramba - Nana Glen - Bucca	2011	59.1
Coramba - Nana Glen - Bucca	2016	56.6
Dorrigo	2006	46.7
Dorrigo	2011	45.9
Dorrigo	2016	43.4
Korora - Emerald Beach	2006	57.8
Korora - Emerald Beach	2011	58.7
Korora - Emerald Beach	2016	57.7
Sawtell - Boambee	2006	51
Sawtell - Boambee	2011	51.6
Sawtell - Boambee	2016	50.5
Urunga	2006	39.2
Urunga	2011	44.4
Urunga	2016	44.4
Woolgoolga - Arrawarra	2006	44.9
Woolgoolga - Arrawarra	2011	47.2
Woolgoolga - Arrawarra	2016	47.3
Bourke - Brewarrina	2006	53.4
Bourke - Brewarrina	2011	53
Bourke - Brewarrina	2016	45.8
Cobar	2006	59.1
Cobar	2011	60.8
Cobar	2016	55.4
Coonamble	2006	55.5
Coonamble	2011	52.2
Coonamble	2016	46.9
Nyngan - Warren	2006	58.6
Nyngan - Warren	2011	56.5
Nyngan - Warren	2016	52.6
Walgett - Lightning Ridge	2006	46.6
Walgett - Lightning Ridge	2011	45.8
Walgett - Lightning Ridge	2016	42.3
Broken Hill	2006	44.3
Broken Hill	2011	46.2
Broken Hill	2016	46.7
Far West	2006	55.9
Far West	2011	57.1
Far West	2016	46.5
Coonabarabran	2006	47.9
Coonabarabran	2011	47.3
Coonabarabran	2016	43.9
Dubbo - East	2006	62
Dubbo - East	2011	62.3
Dubbo - East	2016	58.4
Dubbo - South	2006	57.7
Dubbo - South	2011	60.4
Dubbo - South	2016	59.7
Dubbo - West	2006	53.3
Dubbo - West	2011	58.7
Dubbo - West	2016	56.5
Dubbo Region	2006	65.1
Dubbo Region	2011	64.6
Dubbo Region	2016	62.9
Gilgandra	2006	54.6
Gilgandra	2011	52.8
Gilgandra	2016	52.1
Narromine	2006	56.8
Narromine	2011	56.5
Narromine	2016	51.4
Wellington	2006	47.6
Wellington	2011	44.2
Wellington	2016	39.9
Branxton - Greta - Pokolbin	2006	59.4
Branxton - Greta - Pokolbin	2011	63
Branxton - Greta - Pokolbin	2016	61
Cessnock	2006	46
Cessnock	2011	48.1
Cessnock	2016	44.2
Cessnock Region	2006	53.9
Cessnock Region	2011	55.6
Cessnock Region	2016	51.8
Dungog	2006	54.4
Dungog	2011	55.2
Dungog	2016	53.2
Kurri Kurri - Abermain	2006	49.3
Kurri Kurri - Abermain	2011	51.7
Kurri Kurri - Abermain	2016	49
Singleton	2006	61
Singleton	2011	64.4
Singleton	2016	59.9
Singleton Region	2006	65.3
Singleton Region	2011	64
Singleton Region	2016	56.1
Maitland	2006	50.6
Maitland	2011	53
Maitland	2016	56.4
Maitland - East	2006	56.1
Maitland - East	2011	57.8
Maitland - East	2016	55
Maitland - North	2006	60.8
Maitland - North	2011	63.9
Maitland - North	2016	63.1
Maitland - West	2006	55.7
Maitland - West	2011	59
Maitland - West	2016	56.8
Thornton - Millers Forest	2006	66.9
Thornton - Millers Forest	2011	67.8
Thornton - Millers Forest	2016	66.3
Anna Bay	2006	53.9
Anna Bay	2011	53.1
Anna Bay	2016	49.6
Lemon Tree Passage - Tanilba Bay	2006	41.5
Lemon Tree Passage - Tanilba Bay	2011	45.2
Lemon Tree Passage - Tanilba Bay	2016	41.5
Nelson Bay Peninsula	2006	43.4
Nelson Bay Peninsula	2011	44.3
Nelson Bay Peninsula	2016	43.5
Raymond Terrace	2006	50.1
Raymond Terrace	2011	51.3
Raymond Terrace	2016	48
Seaham - Woodville	2006	67.3
Seaham - Woodville	2011	66.8
Seaham - Woodville	2016	63.9
Tea Gardens - Hawks Nest	2006	32.6
Tea Gardens - Hawks Nest	2011	33.9
Tea Gardens - Hawks Nest	2016	30.9
Williamtown - Medowie - Karuah	2006	58.8
Williamtown - Medowie - Karuah	2011	59.4
Williamtown - Medowie - Karuah	2016	56.2
Muswellbrook	2006	58.2
Muswellbrook	2011	59.2
Muswellbrook	2016	52.2
Muswellbrook Region	2006	58.1
Muswellbrook Region	2011	65
Muswellbrook Region	2016	59.2
Scone	2006	59.8
Scone	2011	59.8
Scone	2016	57.4
Scone Region	2006	60.1
Scone Region	2011	60.3
Scone Region	2016	55.5
Dapto - Avondale	2006	50.9
Dapto - Avondale	2011	50.7
Dapto - Avondale	2016	50.7
Horsley - Kembla Grange	2006	66.3
Horsley - Kembla Grange	2011	65.8
Horsley - Kembla Grange	2016	64.8
Port Kembla Industrial	2006	0
Port Kembla Industrial	2011	44.4
Port Kembla Industrial	2016	0
Unanderra - Mount Kembla	2006	55.7
Unanderra - Mount Kembla	2011	57.8
Unanderra - Mount Kembla	2016	56.3
Berkeley - Lake Heights - Cringila	2006	42.4
Berkeley - Lake Heights - Cringila	2011	44.3
Berkeley - Lake Heights - Cringila	2016	45.1
Port Kembla - Warrawong	2006	36.7
Port Kembla - Warrawong	2011	37.9
Port Kembla - Warrawong	2016	38.4
Windang - Primbee	2006	41.2
Windang - Primbee	2011	42.1
Windang - Primbee	2016	42.8
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	37.5
Illawarra Catchment Reserve	2016	37.5
Albion Park - Macquarie Pass	2006	63.6
Albion Park - Macquarie Pass	2011	63.2
Albion Park - Macquarie Pass	2016	61.6
Albion Park Rail	2006	54.2
Albion Park Rail	2011	53.5
Albion Park Rail	2016	51.6
Kiama	2006	50.9
Kiama	2011	51.5
Kiama	2016	49.1
Kiama Downs - Minnamurra	2006	59.6
Kiama Downs - Minnamurra	2011	60
Kiama Downs - Minnamurra	2016	57.7
Kiama Hinterland - Gerringong	2006	55.5
Kiama Hinterland - Gerringong	2011	56.5
Kiama Hinterland - Gerringong	2016	53.9
Shellharbour - Flinders	2006	59.7
Shellharbour - Flinders	2011	62
Shellharbour - Flinders	2016	61.8
Shellharbour - Oak Flats	2006	55.3
Shellharbour - Oak Flats	2011	56.5
Shellharbour - Oak Flats	2016	53.7
Warilla	2006	44.8
Warilla	2011	44.5
Warilla	2016	43.8
Balgownie - Fairy Meadow	2006	49.7
Balgownie - Fairy Meadow	2011	50.7
Balgownie - Fairy Meadow	2016	51.2
Corrimal - Tarrawanna - Bellambi	2006	50
Corrimal - Tarrawanna - Bellambi	2011	51.6
Corrimal - Tarrawanna - Bellambi	2016	51.9
Figtree - Keiraville	2006	54
Figtree - Keiraville	2011	54.3
Figtree - Keiraville	2016	54.1
Helensburgh	2006	68.6
Helensburgh	2011	67.2
Helensburgh	2016	67.5
Thirroul - Austinmer - Coalcliff	2006	60.8
Thirroul - Austinmer - Coalcliff	2011	62.5
Thirroul - Austinmer - Coalcliff	2016	61.2
Woonona - Bulli - Russell Vale	2006	54.6
Woonona - Bulli - Russell Vale	2011	57.1
Woonona - Bulli - Russell Vale	2016	57.8
Wollongong - East	2006	52.4
Wollongong - East	2011	50.6
Wollongong - East	2016	48.8
Wollongong - West	2006	49.2
Wollongong - West	2011	50.3
Wollongong - West	2016	51.1
Bulahdelah - Stroud	2006	49.2
Bulahdelah - Stroud	2011	48.7
Bulahdelah - Stroud	2016	46.8
Forster	2006	39.1
Forster	2011	37.2
Forster	2016	37.3
Forster-Tuncurry Region	2006	44.4
Forster-Tuncurry Region	2011	42.1
Forster-Tuncurry Region	2016	40.2
Tuncurry	2006	29.4
Tuncurry	2011	30.6
Tuncurry	2016	29.5
Kempsey	2006	40.4
Kempsey	2011	39.6
Kempsey	2016	37.6
Kempsey Region	2006	45.1
Kempsey Region	2011	45.7
Kempsey Region	2016	44.8
Macksville - Scotts Head	2006	38.4
Macksville - Scotts Head	2011	40.1
Macksville - Scotts Head	2016	40.7
Nambucca Heads	2006	32.1
Nambucca Heads	2011	32.2
Nambucca Heads	2016	31.4
Nambucca Heads Region	2006	42.2
Nambucca Heads Region	2011	45.5
Nambucca Heads Region	2016	44.6
South West Rocks	2006	38
South West Rocks	2011	38.1
South West Rocks	2016	35.7
Lord Howe Island	2006	72.4
Lord Howe Island	2011	72.4
Lord Howe Island	2016	68.8
Laurieton - Bonny Hills	2006	38.3
Laurieton - Bonny Hills	2011	39.5
Laurieton - Bonny Hills	2016	38.2
Port Macquarie - East	2006	48.9
Port Macquarie - East	2011	50.3
Port Macquarie - East	2016	49.7
Port Macquarie - West	2006	38.9
Port Macquarie - West	2011	40.9
Port Macquarie - West	2016	41.8
Port Macquarie Region	2006	54.5
Port Macquarie Region	2011	53.4
Port Macquarie Region	2016	51.8
Wauchope	2006	48.9
Wauchope	2011	50.8
Wauchope	2016	47.8
Gloucester	2006	47.9
Gloucester	2011	47.9
Gloucester	2016	43
Old Bar - Manning Point - Red Head	2006	46.9
Old Bar - Manning Point - Red Head	2011	47
Old Bar - Manning Point - Red Head	2016	44.2
Taree	2006	43.1
Taree	2011	41.5
Taree	2016	39.5
Taree Region	2006	44
Taree Region	2011	42.9
Taree Region	2016	40.3
Wingham	2006	44.9
Wingham	2011	44.4
Wingham	2016	42.1
Albury - East	2006	64
Albury - East	2011	64.7
Albury - East	2016	62.8
Albury - North	2006	56.4
Albury - North	2011	55.7
Albury - North	2016	52.8
Albury - South	2006	56.8
Albury - South	2011	56.2
Albury - South	2016	53.8
Albury Region	2006	61.4
Albury Region	2011	60.3
Albury Region	2016	58.4
Lavington	2006	56.2
Lavington	2011	54.7
Lavington	2016	48.8
Hay	2006	58.3
Hay	2011	55.7
Hay	2016	53.2
Wentworth - Buronga	2006	56.6
Wentworth - Buronga	2011	53.1
Wentworth - Buronga	2016	49.4
Wentworth-Balranald Region	2006	59.7
Wentworth-Balranald Region	2011	58.7
Wentworth-Balranald Region	2016	55.4
Corowa	2006	52.2
Corowa	2011	51.1
Corowa	2016	48.3
Corowa Region	2006	53
Corowa Region	2011	52.2
Corowa Region	2016	49.6
Deniliquin	2006	54.6
Deniliquin	2011	52.3
Deniliquin	2016	50.2
Deniliquin Region	2006	60.3
Deniliquin Region	2011	57.9
Deniliquin Region	2016	54.8
Moama	2006	53.2
Moama	2011	52
Moama	2016	50.7
Tocumwal - Finley - Jerilderie	2006	55.7
Tocumwal - Finley - Jerilderie	2011	51.6
Tocumwal - Finley - Jerilderie	2016	47.6
Armidale	2006	51.6
Armidale	2011	52.1
Armidale	2016	50.2
Armidale Region - North	2006	58.4
Armidale Region - North	2011	60
Armidale Region - North	2016	57.4
Armidale Region - South	2006	58.7
Armidale Region - South	2011	59.7
Armidale Region - South	2016	56.2
Walcha	2006	59.9
Walcha	2011	59
Walcha	2016	55.5
Glen Innes	2006	47.2
Glen Innes	2011	48.1
Glen Innes	2016	44.1
Inverell	2006	49.7
Inverell	2011	49.3
Inverell	2016	48.8
Inverell Region - East	2006	47.9
Inverell Region - East	2011	47.7
Inverell Region - East	2016	43.7
Inverell Region - West	2006	52.1
Inverell Region - West	2011	50.1
Inverell Region - West	2016	48.7
Tenterfield	2006	48.6
Tenterfield	2011	46.9
Tenterfield	2016	42.2
Moree	2006	54.4
Moree	2011	52.5
Moree	2016	50.8
Moree Region	2006	64.2
Moree Region	2011	64.3
Moree Region	2016	59.5
Narrabri	2006	55.8
Narrabri	2011	57.8
Narrabri	2016	55.8
Narrabri Region	2006	61.8
Narrabri Region	2011	61
Narrabri Region	2016	55.5
Gunnedah	2006	49.9
Gunnedah	2011	52.5
Gunnedah	2016	53.7
Gunnedah Region	2006	54.2
Gunnedah Region	2011	57.8
Gunnedah Region	2016	57.4
Quirindi	2006	50.1
Quirindi	2011	51.2
Quirindi	2016	48.3
Tamworth - East	2006	57.7
Tamworth - East	2011	57
Tamworth - East	2016	55.7
Tamworth - North	2006	53.9
Tamworth - North	2011	54.7
Tamworth - North	2016	54.4
Tamworth - West	2006	48.7
Tamworth - West	2011	50
Tamworth - West	2016	48.2
Tamworth Region	2006	55.8
Tamworth Region	2011	57.3
Tamworth Region	2016	55.5
Belmont - Bennetts Green	2006	52.3
Belmont - Bennetts Green	2011	54.8
Belmont - Bennetts Green	2016	52.8
Belmont South - Blacksmiths	2006	42.5
Belmont South - Blacksmiths	2011	47.9
Belmont South - Blacksmiths	2016	47.3
Charlestown - Dudley	2006	54.4
Charlestown - Dudley	2011	57.6
Charlestown - Dudley	2016	57.1
Glendale - Cardiff - Hillsborough	2006	58.1
Glendale - Cardiff - Hillsborough	2011	59.6
Glendale - Cardiff - Hillsborough	2016	57.8
Mount Hutton - Windale	2006	44.8
Mount Hutton - Windale	2011	46.8
Mount Hutton - Windale	2016	45.4
Redhead	2006	51.1
Redhead	2011	55.5
Redhead	2016	52.7
Swansea - Caves Beach	2006	44.8
Swansea - Caves Beach	2011	47.6
Swansea - Caves Beach	2016	47.5
Valentine - Eleebana	2006	62.1
Valentine - Eleebana	2011	61.7
Valentine - Eleebana	2016	57.7
Warners Bay - Boolaroo	2006	54.2
Warners Bay - Boolaroo	2011	57.2
Warners Bay - Boolaroo	2016	55.1
Bolton Point - Teralba	2006	46
Bolton Point - Teralba	2011	47.6
Bolton Point - Teralba	2016	47
Bonnells Bay - Silverwater	2006	49.9
Bonnells Bay - Silverwater	2011	52.1
Bonnells Bay - Silverwater	2016	50.7
Edgeworth - Cameron Park	2006	58.1
Edgeworth - Cameron Park	2011	60.8
Edgeworth - Cameron Park	2016	61.7
Morisset - Cooranbong	2006	43.7
Morisset - Cooranbong	2011	45.6
Morisset - Cooranbong	2016	44.9
Toronto - Awaba	2006	46.6
Toronto - Awaba	2011	48.5
Toronto - Awaba	2016	46.8
Wangi Wangi - Rathmines	2006	52.8
Wangi Wangi - Rathmines	2011	54.4
Wangi Wangi - Rathmines	2016	50.5
West Wallsend - Barnsley - Killingworth	2006	60.1
West Wallsend - Barnsley - Killingworth	2011	62.1
West Wallsend - Barnsley - Killingworth	2016	58.2
Adamstown - Kotara	2006	55
Adamstown - Kotara	2011	60.9
Adamstown - Kotara	2016	60.9
Beresfield - Hexham	2006	49.5
Beresfield - Hexham	2011	49.6
Beresfield - Hexham	2016	46.8
Hamilton - Broadmeadow	2006	52
Hamilton - Broadmeadow	2011	55.6
Hamilton - Broadmeadow	2016	56.6
Lambton - New Lambton	2006	57.1
Lambton - New Lambton	2011	60.4
Lambton - New Lambton	2016	60.3
Maryland - Fletcher - Minmi	2006	66.5
Maryland - Fletcher - Minmi	2011	67.4
Maryland - Fletcher - Minmi	2016	65.1
Mayfield - Warabrook	2006	48.5
Mayfield - Warabrook	2011	53.7
Mayfield - Warabrook	2016	55.1
Merewether - The Junction	2006	61.9
Merewether - The Junction	2011	64.7
Merewether - The Junction	2016	63.9
Newcastle - Cooks Hill	2006	57.7
Newcastle - Cooks Hill	2011	63.7
Newcastle - Cooks Hill	2016	61.5
Newcastle Port - Kooragang	2006	100
Newcastle Port - Kooragang	2011	64.3
Newcastle Port - Kooragang	2016	50
Shortland - Jesmond	2006	39.8
Shortland - Jesmond	2011	42.8
Shortland - Jesmond	2016	42.3
Stockton - Fullerton Cove	2006	39.1
Stockton - Fullerton Cove	2011	43.8
Stockton - Fullerton Cove	2016	42.3
Wallsend - Elermore Vale	2006	52.8
Wallsend - Elermore Vale	2011	53.7
Wallsend - Elermore Vale	2016	50.6
Waratah - North Lambton	2006	48.2
Waratah - North Lambton	2011	52.4
Waratah - North Lambton	2016	53.7
Wickham - Carrington - Tighes Hill	2006	51.5
Wickham - Carrington - Tighes Hill	2011	60.2
Wickham - Carrington - Tighes Hill	2016	62.3
Ballina	2006	43.9
Ballina	2011	44.2
Ballina	2016	42.9
Ballina Region	2006	56
Ballina Region	2011	54.9
Ballina Region	2016	53
Bangalow	2006	58.1
Bangalow	2011	56.5
Bangalow	2016	56.1
Brunswick Heads - Ocean Shores	2006	48.3
Brunswick Heads - Ocean Shores	2011	51.5
Brunswick Heads - Ocean Shores	2016	50.4
Byron Bay	2006	52.4
Byron Bay	2011	54.3
Byron Bay	2016	52.8
Evans Head	2006	42.7
Evans Head	2011	44.1
Evans Head	2016	44.4
Lennox Head - Skennars Head	2006	63.3
Lennox Head - Skennars Head	2011	61.3
Lennox Head - Skennars Head	2016	60.8
Mullumbimby	2006	48
Mullumbimby	2011	50.3
Mullumbimby	2016	48
Casino	2006	46.7
Casino	2011	45.2
Casino	2016	43.2
Casino Region	2006	49.2
Casino Region	2011	49.1
Casino Region	2016	47.1
Goonellabah	2006	53.8
Goonellabah	2011	54.2
Goonellabah	2016	51.4
Kyogle	2006	47.2
Kyogle	2011	46.4
Kyogle	2016	43.7
Lismore	2006	48.3
Lismore	2011	49.5
Lismore	2016	47.5
Lismore Region	2006	57.9
Lismore Region	2011	58.3
Lismore Region	2016	55.2
Kingscliff - Fingal Head	2006	45.7
Kingscliff - Fingal Head	2011	49.3
Kingscliff - Fingal Head	2016	51
Murwillumbah	2006	44.9
Murwillumbah	2011	44.4
Murwillumbah	2016	44.8
Murwillumbah Region	2006	52.3
Murwillumbah Region	2011	51.2
Murwillumbah Region	2016	49.3
Pottsville	2006	50.6
Pottsville	2011	52.8
Pottsville	2016	52.6
Tweed Heads	2006	40
Tweed Heads	2011	43.4
Tweed Heads	2016	43.3
Banora Point	2006	47.4
Banora Point	2011	46.8
Banora Point	2016	47.2
Terranora - North Tumblegum	2006	62.7
Terranora - North Tumblegum	2011	60.7
Terranora - North Tumblegum	2016	60.2
Tweed Heads South	2006	31.2
Tweed Heads South	2011	34.3
Tweed Heads South	2016	36.2
Griffith (NSW)	2006	57.3
Griffith (NSW)	2011	56.6
Griffith (NSW)	2016	55.9
Griffith Region	2006	65.1
Griffith Region	2011	64.9
Griffith Region	2016	61.6
Leeton	2006	56.3
Leeton	2011	55.1
Leeton	2016	53
Narrandera	2006	53.3
Narrandera	2011	52.6
Narrandera	2016	49.5
Tumbarumba	2006	54.6
Tumbarumba	2011	53
Tumbarumba	2016	50.5
Tumut	2006	50.6
Tumut	2011	54.1
Tumut	2016	48.8
Tumut Region	2006	59
Tumut Region	2011	57.5
Tumut Region	2016	53.8
Cootamundra	2006	49.2
Cootamundra	2011	47.3
Cootamundra	2016	44.7
Gundagai	2006	58.1
Gundagai	2011	58.3
Gundagai	2016	55.2
Junee	2006	44.5
Junee	2011	45.2
Junee	2016	44.6
Temora	2006	51.9
Temora	2011	51
Temora	2016	49.9
Wagga Wagga - East	2006	63.9
Wagga Wagga - East	2011	62.9
Wagga Wagga - East	2016	60.5
Wagga Wagga - North	2006	55.5
Wagga Wagga - North	2011	55.5
Wagga Wagga - North	2016	61.6
Wagga Wagga - South	2006	60.6
Wagga Wagga - South	2011	62.4
Wagga Wagga - South	2016	60
Wagga Wagga - West	2006	57.7
Wagga Wagga - West	2011	56.9
Wagga Wagga - West	2016	55
Wagga Wagga Region	2006	63.8
Wagga Wagga Region	2011	63.6
Wagga Wagga Region	2016	59.9
Berry - Kangaroo Valley	2006	48.2
Berry - Kangaroo Valley	2011	48
Berry - Kangaroo Valley	2016	45.7
Callala Bay - Currarong	2006	38.9
Callala Bay - Currarong	2011	41.3
Callala Bay - Currarong	2016	40.9
Culburra Beach	2006	37.9
Culburra Beach	2011	40.3
Culburra Beach	2016	40.2
Ettrema - Sassafras - Budawang	2006	0
Ettrema - Sassafras - Budawang	2011	23.5
Ettrema - Sassafras - Budawang	2016	45.2
Huskisson - Vincentia	2006	42.9
Huskisson - Vincentia	2011	44
Huskisson - Vincentia	2016	46
North Nowra - Bomaderry	2006	52.6
North Nowra - Bomaderry	2011	52.4
North Nowra - Bomaderry	2016	50
Nowra	2006	46.4
Nowra	2011	44.8
Nowra	2016	44.6
St Georges Basin - Erowal Bay	2006	37.7
