SA2_MAINCODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
125031479,58,19,16,15,111,55,12,7,6,81,92,51,21,14,186,40,38,16,3,92,24,22,3,3,48,12,8,10,3,29,3,11,3,0,18,3,5,3,0,16,26,21,11,10,63,9,4,4,6,23,429,288,128,79,924
125031480,56,21,14,0,89,59,16,9,11,91,94,38,13,3,149,35,22,3,4,72,14,14,10,3,41,10,4,0,3,18,3,7,3,0,15,3,0,0,4,7,21,26,19,6,75,10,7,4,7,21,421,233,105,56,811
125031481,43,12,8,3,70,49,15,5,5,72,78,39,10,14,138,59,22,9,3,94,23,11,12,8,58,10,7,5,3,23,4,13,0,3,19,3,4,0,3,10,44,18,9,9,78,8,3,0,0,19,430,200,92,64,785
125031482,34,20,12,7,74,58,26,16,4,104,126,64,14,7,212,86,44,7,0,137,59,33,14,3,102,19,21,9,0,48,15,20,4,3,42,10,11,0,0,14,38,39,6,4,88,3,0,0,3,8,534,326,95,45,1000
125031483,52,13,21,10,94,45,22,14,12,90,97,29,13,7,153,43,34,7,9,93,28,26,9,6,67,10,10,0,4,23,0,8,3,3,19,8,4,0,0,10,21,16,12,10,65,14,9,7,4,29,425,238,122,97,885
125031484,35,22,18,14,88,61,29,16,8,106,141,47,16,8,212,63,29,19,7,118,40,18,7,0,68,18,8,5,3,34,8,10,8,3,27,3,3,3,0,9,34,25,8,16,82,16,3,3,3,28,557,285,115,85,1047
125031485,69,35,16,10,132,66,24,17,6,115,169,73,17,14,264,101,47,17,9,174,41,32,9,3,88,20,10,3,3,41,9,15,6,4,33,16,9,8,0,30,47,32,16,12,109,25,13,3,0,39,768,387,162,69,1384
125031486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125031487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125041489,59,24,3,0,85,63,19,6,4,90,124,29,9,4,165,82,25,3,0,108,53,24,4,0,86,23,12,3,0,39,15,8,0,0,26,9,7,0,0,12,33,16,4,0,53,3,3,3,0,16,598,224,47,14,879
125041490,10,4,0,0,18,10,4,0,0,16,26,10,5,3,48,13,14,3,0,31,16,5,0,0,22,13,3,4,0,22,11,7,0,0,14,0,10,0,0,5,12,12,0,4,32,0,0,0,0,3,139,85,23,6,248
125041491,26,11,7,3,44,32,14,0,0,47,84,29,11,0,127,46,28,10,3,85,35,29,6,0,65,12,12,0,0,31,9,10,0,0,20,9,0,0,0,9,21,11,3,5,40,4,3,0,0,10,367,181,33,9,591
125041492,45,23,6,3,84,44,5,3,0,51,123,32,4,0,160,67,15,0,0,85,46,11,0,0,57,7,4,0,0,16,18,7,0,0,21,3,3,3,0,15,37,20,7,0,58,7,3,0,0,16,583,171,36,9,803
125041493,37,18,11,3,65,42,23,3,8,73,137,36,19,3,194,71,27,13,6,118,45,36,3,3,90,20,14,3,0,39,15,13,3,0,30,3,7,0,0,14,39,34,15,8,91,12,0,0,0,13,515,257,93,35,895
125041494,17,5,0,0,29,15,6,0,0,25,47,23,4,4,75,34,15,5,0,61,28,15,3,0,48,18,5,0,0,24,6,11,0,0,26,3,3,0,3,14,7,10,0,0,23,4,0,0,0,9,204,115,27,10,352
125041588,18,16,5,8,46,31,6,0,0,41,52,25,5,3,84,36,10,0,3,47,25,10,3,0,34,9,7,0,0,16,3,4,0,0,6,0,3,3,3,6,17,13,3,0,37,9,3,4,0,14,263,120,29,19,432
125041589,33,11,3,0,44,44,10,0,0,61,51,22,8,3,88,32,12,3,0,51,28,15,4,0,48,13,0,0,0,14,5,8,0,0,10,0,3,0,0,3,21,20,5,0,48,6,3,0,0,12,298,137,35,17,485
126011495,33,13,3,0,49,33,15,4,3,53,104,44,3,0,156,81,29,8,0,117,61,30,5,0,95,28,13,3,0,43,24,21,8,0,46,19,10,0,3,28,32,26,10,3,69,7,0,0,0,8,537,251,51,13,857
126011496,14,6,0,0,19,20,6,0,0,31,49,39,3,4,90,54,18,4,0,77,37,15,4,0,60,16,9,5,0,30,19,18,5,0,51,12,14,4,0,29,38,18,4,4,72,3,5,0,0,5,306,181,38,17,548
126021497,41,9,3,4,59,45,16,4,0,66,109,26,11,3,148,64,17,7,0,87,59,16,6,0,81,16,14,3,0,38,25,19,0,0,39,12,10,0,3,33,35,17,10,6,63,3,0,0,0,3,543,205,50,14,812
126021498,19,4,0,0,23,25,9,5,0,44,49,31,3,0,89,43,26,3,0,70,24,15,3,0,44,22,5,0,0,27,23,10,4,0,38,8,8,4,0,19,21,15,4,0,35,3,0,0,0,4,283,145,33,7,466
126021499,12,7,0,0,22,10,7,0,0,18,16,10,3,0,25,16,14,0,0,27,13,14,0,0,28,11,4,0,0,11,19,12,3,0,28,10,3,8,0,20,14,12,3,0,32,6,3,0,0,3,156,82,25,3,265
126021500,33,9,3,0,37,42,16,3,0,63,86,29,4,0,123,70,14,4,0,86,42,15,4,0,68,11,7,0,0,19,8,3,3,0,21,12,3,0,0,15,25,11,5,0,36,4,7,0,0,7,417,146,27,5,601
126021501,23,8,0,0,30,23,3,0,0,25,71,23,5,0,98,39,18,7,0,61,28,23,0,0,45,17,8,0,0,25,10,7,0,0,25,5,11,6,0,26,17,16,12,0,44,7,0,0,0,11,270,135,38,3,452
126021503,35,17,3,0,53,39,14,3,0,58,83,34,6,7,126,73,24,6,0,98,40,12,3,0,56,16,18,0,0,41,6,18,3,0,25,9,7,0,0,19,23,13,3,0,43,0,3,0,0,10,420,189,38,13,652
126021590,3,4,0,0,3,7,0,0,0,6,15,8,0,0,22,10,3,0,0,16,11,7,0,0,18,3,0,3,0,6,0,5,0,0,7,3,6,0,0,11,5,9,0,0,15,0,0,0,0,0,74,47,5,3,130
126021591,43,21,7,0,67,53,24,10,0,84,132,28,9,5,178,89,44,4,0,135,59,29,5,0,85,35,18,6,0,54,24,26,6,0,57,10,13,3,0,29,50,23,8,3,85,3,12,0,0,20,602,280,62,9,953
127011504,75,38,32,15,158,88,36,15,15,151,103,54,29,17,202,52,38,16,8,113,22,21,11,0,51,10,9,4,4,25,4,8,7,4,21,4,7,5,3,16,38,34,22,21,120,34,6,8,6,53,615,366,214,145,1336
127011505,6,15,3,3,30,21,10,0,3,35,37,5,3,0,48,19,10,8,0,31,8,7,0,3,25,0,3,0,0,8,3,0,0,0,3,3,3,3,0,9,16,13,11,0,40,3,0,0,0,6,158,101,42,21,322
127011506,24,7,10,5,41,18,19,4,7,48,49,31,16,0,99,32,22,6,4,68,30,14,4,3,44,13,10,3,0,25,11,5,0,0,23,5,7,3,0,17,14,10,9,5,35,0,3,0,0,8,240,155,75,31,494
127011592,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
127011593,7,6,3,0,13,12,8,0,0,21,25,16,9,0,45,14,21,3,0,44,7,8,3,3,19,6,0,3,3,13,3,4,4,0,10,0,4,3,0,8,6,7,7,3,25,0,0,0,0,0,94,84,39,15,234
127011594,24,13,22,3,62,44,18,14,8,73,76,25,17,0,122,34,24,9,4,79,19,19,14,7,47,8,7,3,0,19,3,19,0,5,25,3,0,0,0,6,19,27,9,5,55,11,0,3,0,14,310,207,113,36,667
127011595,27,15,12,0,52,27,13,3,6,54,69,33,16,7,123,30,25,5,3,61,16,19,0,0,46,8,10,7,0,25,3,8,0,0,10,4,3,3,0,6,17,23,9,3,45,6,3,0,0,10,267,181,74,33,556
127011596,12,8,4,0,29,24,12,7,4,44,54,35,10,7,103,30,19,3,0,48,16,16,10,3,37,3,10,4,3,13,4,10,3,0,18,0,3,0,0,6,7,15,0,11,37,3,4,0,0,7,181,158,60,37,435
127011597,16,15,0,3,33,22,21,5,3,57,39,38,13,8,95,43,27,14,3,89,22,21,3,0,44,14,12,5,0,32,11,13,6,0,28,3,5,9,7,18,24,24,12,6,61,3,4,0,0,10,236,217,81,37,576
127021509,44,28,8,6,84,66,32,12,7,116,80,62,22,15,177,54,36,16,6,117,25,25,10,0,65,4,15,10,3,36,3,13,6,3,24,5,3,4,0,14,29,24,19,4,75,9,4,0,4,18,495,349,164,59,1068
127021510,44,18,8,4,74,41,25,13,0,76,107,41,10,0,163,46,38,6,9,98,41,28,3,7,84,20,11,7,3,34,15,16,5,4,38,7,8,3,0,19,21,25,8,10,67,12,9,0,3,27,414,268,84,42,818
127021511,97,55,18,5,181,118,48,9,9,185,159,94,29,10,294,76,39,13,10,137,36,25,6,3,74,14,11,9,3,31,15,10,9,0,40,0,0,4,0,8,42,39,22,3,108,22,8,3,0,33,934,565,173,63,1730
127021512,66,34,16,11,127,59,31,3,11,111,106,70,18,12,198,76,37,11,7,132,25,28,8,9,65,11,13,3,4,29,5,10,7,4,21,3,0,3,3,12,32,33,7,5,79,17,9,5,4,39,612,389,129,77,1203
127021513,77,43,12,15,147,90,46,14,13,167,139,78,26,12,259,71,46,19,6,142,42,25,7,5,79,14,18,4,0,36,11,15,3,8,32,7,0,4,3,15,37,30,18,11,98,13,12,3,4,30,718,464,169,92,1441
127021514,25,6,8,3,46,31,7,6,0,46,48,27,9,0,97,39,21,8,3,68,20,14,7,0,42,4,4,3,0,19,4,4,3,0,13,0,4,0,0,9,23,12,4,0,36,5,3,0,0,8,253,142,74,24,494
127021515,82,29,13,10,131,81,32,15,6,137,115,59,13,11,201,68,37,12,3,126,18,24,3,0,49,14,6,3,0,24,8,14,5,5,24,3,4,0,0,7,35,21,8,7,75,14,7,7,3,32,626,312,115,62,1114
127021516,52,32,18,5,114,65,36,20,4,123,118,62,28,9,219,53,35,21,3,114,35,28,12,6,80,9,4,4,0,23,10,4,5,8,22,4,4,3,0,13,37,29,12,7,84,18,9,3,3,33,548,357,165,65,1142
127021517,19,8,6,3,38,29,13,8,0,51,30,22,10,6,69,26,12,6,6,43,16,20,4,0,38,3,10,3,3,17,3,6,0,3,12,0,10,0,4,10,8,11,11,3,34,3,0,0,0,6,193,149,64,21,425
127021518,5,9,0,0,15,7,0,3,0,5,18,3,0,0,23,10,0,5,0,15,9,3,4,0,16,7,3,0,0,5,3,0,0,0,8,3,0,0,0,3,11,3,4,0,12,0,0,0,0,0,75,39,16,10,133
127021519,38,29,12,9,81,49,23,9,4,88,116,62,20,10,201,52,27,11,10,104,33,26,18,5,84,29,11,4,3,42,4,12,6,3,24,3,6,3,3,17,25,33,12,12,87,22,3,4,0,31,479,305,122,60,972
127021520,32,14,3,8,53,24,25,3,0,53,56,26,13,0,99,44,33,5,3,89,16,24,8,3,45,3,11,0,0,17,8,10,0,0,21,3,4,0,3,8,9,24,9,6,47,5,0,0,0,5,278,230,60,32,608
127021521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127031522,29,20,11,6,62,35,15,9,8,71,77,39,13,6,138,43,25,8,4,77,29,24,10,7,62,17,13,5,0,30,9,3,3,3,16,5,5,0,0,11,20,17,7,5,50,11,3,3,0,19,347,206,83,50,690
127031523,35,12,11,9,66,49,21,6,0,69,85,46,14,5,144,59,23,15,3,99,40,19,11,0,64,16,17,3,0,43,12,21,4,3,37,3,7,3,0,18,20,16,15,10,56,15,0,0,0,16,407,218,97,36,752
127031524,26,22,3,8,59,21,18,14,7,56,88,59,10,8,158,47,31,14,4,104,39,26,3,3,65,13,11,0,0,26,18,10,7,0,30,10,4,0,0,13,28,22,11,0,64,7,3,0,0,10,340,245,77,29,687
127031598,105,37,19,6,168,106,43,17,3,168,175,78,29,13,293,81,30,15,0,132,33,21,6,3,63,19,10,6,4,41,7,15,3,4,30,4,3,0,0,11,56,31,17,6,108,29,8,0,0,43,857,409,162,65,1495
127031599,48,23,14,4,83,58,25,7,9,98,60,26,12,13,112,35,24,7,5,67,12,12,8,3,29,6,7,3,0,14,0,3,0,0,5,3,3,0,3,11,20,19,3,5,52,15,13,5,3,34,363,192,85,59,708
127031600,18,19,14,6,59,26,18,3,3,56,63,28,13,6,112,42,31,13,3,85,22,19,13,0,56,8,12,5,0,20,9,17,0,0,29,3,3,3,0,10,21,13,0,6,39,5,3,0,0,9,254,204,80,31,570
127031601,22,9,3,3,37,35,8,3,3,42,40,9,3,0,59,20,9,3,0,29,6,3,0,0,11,3,0,3,0,5,3,3,0,0,8,0,0,0,0,0,15,14,3,3,33,7,0,0,0,3,230,79,28,10,349
128011529,26,8,6,0,44,32,12,0,0,48,65,39,10,0,111,57,20,7,0,88,40,19,7,0,67,19,14,3,0,37,12,12,3,0,23,5,9,4,0,17,20,31,7,0,61,3,0,0,0,4,331,193,50,6,577
128011530,45,20,3,0,69,43,22,6,3,68,116,41,5,4,172,76,39,6,0,120,41,15,5,0,70,18,7,3,0,32,13,8,3,3,23,6,6,0,0,17,42,34,16,5,92,17,4,3,0,18,495,234,60,18,803
128011531,29,14,0,0,45,22,16,3,0,45,74,32,6,3,118,52,25,4,3,88,30,28,0,5,59,13,8,0,0,27,11,11,3,0,21,11,4,0,0,17,37,18,10,6,62,10,0,3,0,14,356,187,40,16,599
128011602,33,11,0,0,43,36,9,8,0,57,79,30,6,0,118,51,20,6,0,86,45,15,0,0,60,25,11,5,0,37,12,8,3,0,20,8,8,0,0,11,30,22,7,0,57,4,3,0,0,7,382,170,39,3,597
128011603,13,3,5,0,14,14,5,0,4,24,43,25,10,3,81,32,9,0,0,47,24,16,0,0,40,12,3,8,0,17,12,14,3,0,25,10,5,3,0,20,20,15,5,4,41,0,5,0,0,9,202,121,40,14,376
128011604,33,8,5,4,50,52,17,9,0,84,136,33,4,0,179,92,30,9,0,129,66,21,9,0,91,29,13,3,0,44,16,12,8,0,36,20,3,3,0,32,43,22,11,3,86,7,7,0,3,17,603,199,72,16,887
128011605,0,3,0,0,4,4,0,0,0,9,3,4,0,0,7,7,0,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,3,0,0,0,7,5,3,0,0,12,0,0,0,0,0,38,20,6,0,64
128011606,7,4,3,0,10,11,9,0,0,20,25,16,0,0,37,23,6,10,0,36,7,12,5,0,24,7,7,3,0,14,5,5,0,0,10,8,0,0,0,7,14,8,3,3,32,3,3,0,0,9,135,75,27,5,241
128021533,4,5,5,0,22,11,8,0,0,15,28,8,0,3,45,16,12,0,0,27,11,5,0,0,17,12,3,0,0,11,3,3,0,0,7,0,0,0,0,0,13,9,4,0,21,7,3,0,0,11,119,73,15,10,212
128021534,9,3,0,3,14,17,9,0,0,18,21,8,3,3,42,22,15,5,0,42,17,8,0,0,30,13,5,0,0,22,8,7,0,0,21,4,13,0,0,16,14,17,11,3,44,3,0,0,0,5,141,102,31,15,285
128021535,27,15,4,3,47,41,22,12,0,68,82,56,10,3,148,54,42,12,3,107,53,36,10,0,95,27,27,7,0,51,21,31,5,0,61,13,12,7,0,32,22,32,19,3,77,9,3,0,0,7,372,305,93,20,794
128021536,25,8,0,0,37,33,15,3,4,53,71,22,9,4,108,44,20,6,0,69,48,21,3,0,75,14,14,5,0,37,14,14,3,0,36,6,5,3,0,15,32,24,9,0,71,3,10,0,0,7,353,205,51,19,627
128021537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021538,46,25,4,0,78,58,22,4,3,93,110,57,10,0,176,92,40,5,0,148,72,22,9,0,104,30,12,4,0,47,24,9,3,0,32,10,12,3,0,22,49,37,6,4,99,10,0,4,0,15,594,277,59,19,944
128021607,28,17,8,0,53,32,20,7,0,63,73,43,13,3,129,46,37,13,0,101,35,16,3,0,59,16,12,0,0,32,6,19,9,0,31,0,8,0,0,7,24,17,4,4,45,3,0,0,0,4,325,231,62,16,627
128021608,3,0,0,0,11,9,3,0,0,12,38,18,3,0,56,18,9,3,0,34,23,9,0,0,26,4,3,0,0,11,7,3,4,0,13,0,6,3,0,10,8,7,0,0,23,0,0,0,0,3,140,71,21,3,231
128021609,0,0,0,0,0,4,0,0,0,3,12,5,0,0,21,4,0,0,0,8,7,0,0,0,8,4,4,0,0,6,6,5,0,3,10,4,3,0,0,4,7,3,0,0,10,0,0,0,0,0,55,28,11,10,94
197979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011001,22,12,14,3,53,14,16,10,8,54,47,41,19,3,110,18,24,3,0,45,11,7,9,0,28,6,6,3,0,14,0,3,0,0,7,4,0,0,0,9,14,18,9,4,44,3,3,0,0,6,200,170,82,21,476
201011002,27,13,0,0,43,32,19,6,0,58,59,26,10,4,101,32,23,5,0,69,5,12,0,0,18,6,0,0,0,6,3,0,0,0,10,3,3,0,0,6,24,12,4,0,42,7,3,0,0,10,277,139,36,11,470
201011003,62,40,14,7,129,71,29,14,8,119,110,53,18,6,185,60,27,9,8,104,26,15,0,4,41,7,10,0,0,17,12,5,0,0,13,3,0,0,0,7,50,30,16,5,105,9,10,0,0,16,576,298,92,53,1026
201011004,123,71,36,10,244,106,48,20,4,179,146,57,19,13,233,63,35,6,3,104,18,22,9,0,48,5,3,3,0,11,6,6,4,0,19,0,0,0,0,0,45,42,20,14,118,21,10,3,0,33,803,419,168,57,1447
201011005,9,13,0,0,27,18,6,4,0,30,14,7,5,3,33,13,10,4,0,25,15,11,0,0,19,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,5,3,0,22,3,0,0,0,3,106,55,23,11,194
201011006,18,18,4,3,44,24,18,3,0,46,41,23,8,3,72,17,9,5,0,31,8,3,3,0,14,0,3,0,0,7,3,0,0,0,4,0,0,0,0,0,14,12,8,3,35,4,0,0,3,12,163,121,52,24,363
201011007,4,4,0,0,12,11,3,0,0,15,12,3,0,0,14,6,0,3,0,13,4,3,0,0,7,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,0,0,0,0,0,56,27,8,4,94
201011008,57,30,3,6,102,62,22,7,7,97,82,37,14,3,142,21,23,7,0,53,9,5,4,0,20,0,0,0,0,4,0,0,3,0,7,5,0,0,0,7,35,20,7,3,66,15,4,3,3,30,435,231,86,48,795
201021009,17,7,0,0,25,11,5,5,3,25,21,10,0,0,37,18,3,0,0,20,0,8,0,0,11,4,0,0,0,4,3,0,0,0,3,3,0,0,0,3,13,9,4,4,21,3,3,0,0,3,122,54,20,9,202
201021010,24,10,8,0,40,28,6,3,0,40,34,14,7,0,51,14,3,0,0,22,3,8,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,17,10,0,0,26,7,0,0,0,9,181,65,40,11,304
201021011,22,17,9,3,53,22,6,3,3,33,46,17,3,0,65,22,11,3,3,29,4,4,0,0,7,3,0,0,0,3,0,4,0,0,5,0,0,0,0,4,25,6,4,0,40,3,4,0,0,9,201,86,26,14,325
201021012,18,0,0,3,26,10,3,4,0,19,20,13,6,0,37,6,3,3,0,17,3,3,0,0,6,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,11,3,4,3,26,3,0,0,0,3,102,43,20,10,177
201031013,11,3,0,0,18,12,0,0,0,16,9,4,0,0,10,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,3,67,30,7,3,104
201031014,23,3,3,0,28,5,4,0,0,9,16,7,3,0,26,6,0,0,0,6,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,7,3,0,0,0,3,83,33,15,5,127
201031015,14,8,3,0,20,11,3,0,0,21,17,4,0,0,27,3,4,3,0,10,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,3,0,4,18,0,0,0,0,3,102,32,16,9,159
201031016,25,21,10,9,60,50,9,4,7,74,32,11,8,0,55,17,6,0,0,25,6,3,0,0,12,0,3,0,0,3,0,0,5,0,3,0,0,0,0,0,10,12,3,0,27,10,3,3,0,17,248,120,54,18,439
201031017,12,8,0,3,29,19,3,0,0,23,26,7,7,3,36,5,3,0,0,13,3,0,0,0,9,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,12,6,0,0,20,8,0,0,0,7,146,54,26,8,231
202011018,59,27,20,8,112,75,25,11,3,116,92,41,7,10,149,46,15,4,3,69,13,10,0,0,29,3,3,0,0,11,0,0,3,0,4,6,3,0,0,11,48,24,7,7,87,14,0,4,3,20,540,211,79,35,875
202011019,53,28,23,16,112,64,27,7,8,111,58,38,13,3,116,25,13,4,7,47,14,9,0,0,22,5,3,0,0,12,0,0,3,0,3,3,0,0,0,3,21,13,14,4,60,14,4,4,5,23,383,219,104,52,755
202011020,35,26,9,0,73,48,14,10,7,78,86,34,12,3,132,27,21,0,0,58,17,6,6,0,28,7,0,0,0,7,4,0,0,0,4,3,0,0,0,5,28,16,3,3,49,3,4,3,0,11,350,175,63,20,610
202011021,31,17,5,0,54,30,16,0,9,59,49,32,12,0,89,28,11,3,3,46,13,4,0,0,19,4,3,0,0,3,3,0,0,0,7,4,0,0,0,4,19,12,3,3,40,8,0,0,0,11,256,142,43,13,457
202011022,70,42,18,13,140,66,26,14,12,117,135,63,15,9,221,62,24,11,0,100,23,8,8,0,42,7,8,3,0,10,3,6,0,0,13,3,0,0,0,3,49,23,7,4,86,16,4,0,0,25,590,284,102,44,1025
202011023,7,3,0,0,14,5,3,0,3,17,13,11,4,0,24,0,0,0,0,5,7,4,3,0,12,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6,6,0,0,14,0,0,0,0,0,59,48,15,11,127
202011024,19,4,3,5,27,15,8,5,0,27,37,14,6,0,60,22,17,4,0,35,11,10,0,0,18,3,3,0,0,6,0,6,0,0,9,0,0,0,0,0,11,10,10,5,34,3,0,0,0,6,129,92,39,12,272
202011025,43,31,15,4,94,34,31,12,3,79,64,32,14,4,111,33,21,5,3,60,16,3,0,3,27,0,3,0,0,6,3,3,0,0,3,0,0,0,0,3,13,27,9,7,52,3,0,0,0,5,296,189,70,31,582
202021026,12,8,4,0,18,13,8,0,3,19,18,17,0,4,39,8,5,3,0,20,7,6,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,10,0,3,21,0,3,0,0,8,96,66,13,14,186
202021027,42,14,4,0,61,28,11,4,0,49,52,21,3,7,80,27,12,0,0,38,16,3,3,0,17,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,20,26,5,0,50,5,0,0,0,5,311,132,32,15,487
202021028,18,7,3,0,28,34,7,0,0,49,44,12,4,0,55,11,6,0,0,22,4,0,0,0,5,4,3,0,0,5,0,0,0,0,0,4,0,0,0,6,6,12,6,0,28,4,0,0,0,6,187,77,25,5,288
202021029,13,3,9,0,20,16,6,0,0,20,19,9,0,3,26,7,0,0,0,12,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,18,3,0,0,0,4,110,47,12,9,178
202021030,19,15,3,3,38,18,3,3,0,27,42,17,10,3,72,28,8,4,3,43,10,3,0,0,15,4,3,0,0,4,11,6,0,0,14,0,0,0,0,3,22,27,9,0,51,4,5,0,0,8,216,105,33,11,372
202021031,17,8,0,0,26,14,7,0,3,23,29,20,7,0,55,20,6,4,0,31,4,7,0,0,16,5,0,0,0,8,0,4,0,0,9,0,3,0,0,6,11,17,5,0,31,0,0,0,0,4,125,83,22,6,238
202031032,7,9,0,0,17,6,8,0,0,14,15,6,4,0,30,4,3,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,13,4,3,0,18,0,0,0,0,0,88,41,12,4,147
202031033,21,8,3,3,32,19,6,3,0,27,23,12,7,3,42,12,0,0,3,15,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,13,10,0,3,27,10,0,3,0,13,144,52,27,9,231
203011034,10,3,3,0,20,12,7,0,0,20,19,15,8,0,41,3,7,3,3,18,10,3,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,7,6,0,0,23,3,0,0,0,3,78,74,22,3,180
203011035,14,6,4,0,17,17,7,0,4,28,22,13,0,0,37,19,4,3,0,26,6,3,0,0,12,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,14,10,3,3,26,5,0,0,0,3,123,63,14,9,214
203011036,12,5,3,0,22,9,11,4,0,21,26,7,6,0,38,8,4,4,0,14,3,3,0,0,5,3,0,0,0,3,0,0,0,0,0,4,0,0,0,6,11,5,3,0,16,10,0,0,0,11,109,52,22,3,181
203021037,49,21,8,0,75,36,26,3,3,69,71,43,13,0,125,49,30,5,0,86,17,5,3,0,31,7,0,3,0,7,6,6,0,0,11,7,0,0,0,8,37,25,6,6,79,3,0,0,0,3,381,202,55,13,656
203021038,128,73,34,21,260,122,66,26,9,220,204,86,29,20,341,74,38,11,10,133,28,16,3,0,51,10,7,0,0,20,8,9,6,4,22,5,0,3,0,7,60,46,28,15,155,40,17,4,4,66,1100,594,213,139,2035
203021039,35,10,4,0,46,33,15,3,3,51,82,19,0,0,102,46,13,3,0,59,12,4,7,0,28,12,3,0,0,10,3,4,0,0,12,3,0,0,0,3,27,17,5,3,50,9,0,0,0,10,344,110,42,9,508
