SA4_NAME16	Year	averageNumberOfPersonsPerBedroom
Melbourne - Inner East	2011	0.9
Melbourne - Inner South	2011	0.9
Melbourne - North East	2011	0.9
Melbourne - North West	2011	0.9
Melbourne - Outer East	2011	0.8
Melbourne - South East	2011	0.9
Melbourne - West	2011	0.9
Mornington Peninsula	2011	0.8
North West	2011	0.8
Shepparton	2011	0.8
Warrnambool and South West	2011	0.8
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Brisbane - East	2011	0.8
Brisbane - North	2011	0.8
Brisbane - South	2011	0.8
Brisbane - West	2011	0.8
Brisbane Inner City	2011	0.9
Cairns	2011	0.9
Darling Downs - Maranoa	2011	0.8
Central Queensland	2011	0.8
Gold Coast	2011	0.8
Ipswich	2011	0.8
Logan - Beaudesert	2011	0.8
Mackay - Isaac - Whitsunday	2011	0.9
Moreton Bay - North	2011	0.8
Moreton Bay - South	2011	0.8
Queensland - Outback	2011	1
Sunshine Coast	2011	0.8
Toowoomba	2011	0.8
Townsville	2011	0.8
Wide Bay	2011	0.8
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide - Central and Hills	2011	0.8
Adelaide - North	2011	0.8
Adelaide - South	2011	0.8
Adelaide - West	2011	0.8
Barossa - Yorke - Mid North	2011	0.8
South Australia - Outback	2011	0.8
South Australia - South East	2011	0.8
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Bunbury	2011	0.8
Mandurah	2011	0.7
Perth - Inner	2011	0.9
Perth - North East	2011	0.8
Perth - North West	2011	0.8
Perth - South East	2011	0.8
Perth - South West	2011	0.8
Western Australia - Wheat Belt	2011	0.8
Western Australia - Outback (North)	2011	1
Western Australia - Outback (South)	2011	0.8
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Hobart	2011	0.8
Launceston and North East	2011	0.8
South East	2011	0.8
West and North West	2011	0.8
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin	2011	1
Northern Territory - Outback	2011	1.2
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Australian Capital Territory	2011	0.8
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Other Territories	2011	1
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Capital Region	2016	0.8
Central Coast	2016	0.8
Central West	2016	0.8
Coffs Harbour - Grafton	2016	0.8
Far West and Orana	2016	0.8
Hunter Valley exc Newcastle	2016	0.8
Illawarra	2016	0.8
Mid North Coast	2016	0.8
Murray	2016	0.8
New England and North West	2016	0.8
Newcastle and Lake Macquarie	2016	0.8
Richmond - Tweed	2016	0.8
Riverina	2016	0.8
Southern Highlands and Shoalhaven	2016	0.7
Sydney - Baulkham Hills and Hawkesbury	2016	0.8
Sydney - Blacktown	2016	0.9
Sydney - City and Inner South	2016	1.1
Sydney - Eastern Suburbs	2016	1
Sydney - Inner South West	2016	1.1
Sydney - Inner West	2016	1
Sydney - North Sydney and Hornsby	2016	1
Sydney - Northern Beaches	2016	0.9
Sydney - Outer South West	2016	0.9
Sydney - Outer West and Blue Mountains	2016	0.8
Sydney - Parramatta	2016	1.1
Sydney - Ryde	2016	1
Sydney - South West	2016	1
Sydney - Sutherland	2016	0.9
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	0.8
Bendigo	2016	0.8
Geelong	2016	0.8
Hume	2016	0.8
Latrobe - Gippsland	2016	0.7
Melbourne - Inner	2016	1
Melbourne - Inner East	2016	0.9
Melbourne - Inner South	2016	0.9
Melbourne - North East	2016	0.9
Melbourne - North West	2016	0.9
Melbourne - Outer East	2016	0.8
Melbourne - South East	2016	0.9
Melbourne - West	2016	0.9
Mornington Peninsula	2016	0.8
North West	2016	0.8
Shepparton	2016	0.8
Warrnambool and South West	2016	0.8
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	0.8
Brisbane - North	2016	0.8
Brisbane - South	2016	0.8
Brisbane - West	2016	0.8
Brisbane Inner City	2016	0.9
Cairns	2016	0.8
Darling Downs - Maranoa	2016	0.8
Central Queensland	2016	0.8
Gold Coast	2016	0.8
Ipswich	2016	0.8
Logan - Beaudesert	2016	0.8
Mackay - Isaac - Whitsunday	2016	0.8
Moreton Bay - North	2016	0.8
Moreton Bay - South	2016	0.8
Queensland - Outback	2016	0.9
Sunshine Coast	2016	0.8
Toowoomba	2016	0.8
Townsville	2016	0.8
Wide Bay	2016	0.8
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	0.8
Adelaide - North	2016	0.8
Adelaide - South	2016	0.8
Adelaide - West	2016	0.8
Barossa - Yorke - Mid North	2016	0.7
South Australia - Outback	2016	0.8
South Australia - South East	2016	0.7
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	0.7
Mandurah	2016	0.7
Perth - Inner	2016	0.9
Perth - North East	2016	0.8
Perth - North West	2016	0.8
Perth - South East	2016	0.8
Perth - South West	2016	0.8
Western Australia - Wheat Belt	2016	0.8
Western Australia - Outback (North)	2016	1
Western Australia - Outback (South)	2016	0.8
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	0.8
Launceston and North East	2016	0.8
South East	2016	0.8
West and North West	2016	0.8
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	1
Northern Territory - Outback	2016	1.2
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	0.8
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	0.9
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
