SA4_NAME16	Year	Age	FOE	adults
Capital Region	2006	65-74	Agriculture environmental and related studies	267
Capital Region	2006	65-74	Architecture and building	620
Capital Region	2006	65-74	Creative arts	143
Capital Region	2006	65-74	Education	615
Capital Region	2006	65-74	Engineering and related technologies	1686
Capital Region	2006	65-74	Field of study not stated	2391
Capital Region	2006	65-74	Food hospitality and personal services	198
Capital Region	2006	65-74	Health	760
Capital Region	2006	65-74	Information technology	32
Capital Region	2006	65-74	Management and commerce	796
Capital Region	2006	65-74	Mixed field programmes	6
Capital Region	2006	65-74	Natural and physical sciences	162
Capital Region	2006	65-74	Society and culture	467
Capital Region	2006	75-84	Agriculture environmental and related studies	130
Capital Region	2006	75-84	Architecture and building	273
Capital Region	2006	75-84	Creative arts	81
Capital Region	2006	75-84	Education	219
Capital Region	2006	75-84	Engineering and related technologies	758
Capital Region	2006	75-84	Field of study not stated	2259
Capital Region	2006	75-84	Food hospitality and personal services	83
Capital Region	2006	75-84	Health	374
Capital Region	2006	75-84	Information technology	6
Capital Region	2006	75-84	Management and commerce	399
Capital Region	2006	75-84	Mixed field programmes	6
Capital Region	2006	75-84	Natural and physical sciences	72
Capital Region	2006	75-84	Society and culture	194
Capital Region	2006	85+	Agriculture environmental and related studies	20
Capital Region	2006	85+	Architecture and building	47
Capital Region	2006	85+	Creative arts	23
Capital Region	2006	85+	Education	55
Capital Region	2006	85+	Engineering and related technologies	129
Capital Region	2006	85+	Field of study not stated	760
Capital Region	2006	85+	Food hospitality and personal services	22
Capital Region	2006	85+	Health	100
Capital Region	2006	85+	Information technology	0
Capital Region	2006	85+	Management and commerce	102
Capital Region	2006	85+	Mixed field programmes	4
Capital Region	2006	85+	Natural and physical sciences	6
Capital Region	2006	85+	Society and culture	22
Capital Region	2011	15-19	Agriculture environmental and related studies	52
Capital Region	2011	15-19	Architecture and building	63
Capital Region	2011	15-19	Creative arts	17
Capital Region	2011	15-19	Education	12
Capital Region	2011	15-19	Engineering and related technologies	104
Capital Region	2011	15-19	Field of study not stated	1411
Capital Region	2011	15-19	Food hospitality and personal services	149
Capital Region	2011	15-19	Health	24
Capital Region	2011	15-19	Information technology	59
Capital Region	2011	15-19	Management and commerce	166
Capital Region	2011	15-19	Mixed field programmes	13
Capital Region	2011	15-19	Natural and physical sciences	0
Capital Region	2011	15-19	Society and culture	108
Capital Region	2011	20-24	Agriculture environmental and related studies	183
Capital Region	2011	20-24	Architecture and building	382
Capital Region	2011	20-24	Creative arts	140
Capital Region	2011	20-24	Education	127
Capital Region	2011	20-24	Engineering and related technologies	641
Capital Region	2011	20-24	Field of study not stated	883
Capital Region	2011	20-24	Food hospitality and personal services	487
Capital Region	2011	20-24	Health	213
Capital Region	2011	20-24	Information technology	138
Capital Region	2011	20-24	Management and commerce	762
Capital Region	2011	20-24	Mixed field programmes	6
Capital Region	2011	20-24	Natural and physical sciences	57
Capital Region	2011	20-24	Society and culture	556
Capital Region	2011	25-34	Agriculture environmental and related studies	573
Capital Region	2011	25-34	Architecture and building	937
Capital Region	2011	25-34	Creative arts	453
Capital Region	2011	25-34	Education	799
Capital Region	2011	25-34	Engineering and related technologies	1657
Capital Region	2011	25-34	Field of study not stated	1946
Capital Region	2011	25-34	Food hospitality and personal services	1141
Capital Region	2011	25-34	Health	926
Capital Region	2011	25-34	Information technology	480
Capital Region	2011	25-34	Management and commerce	2372
Capital Region	2011	25-34	Mixed field programmes	5
Capital Region	2011	25-34	Natural and physical sciences	297
Capital Region	2011	25-34	Society and culture	1684
Capital Region	2011	35-44	Agriculture environmental and related studies	909
Capital Region	2011	35-44	Architecture and building	1242
Capital Region	2011	35-44	Creative arts	546
Capital Region	2011	35-44	Education	1219
Capital Region	2011	35-44	Engineering and related technologies	2552
Capital Region	2011	35-44	Field of study not stated	2500
Capital Region	2011	35-44	Food hospitality and personal services	1140
Capital Region	2011	35-44	Health	1479
Capital Region	2011	35-44	Information technology	466
Capital Region	2011	35-44	Management and commerce	3396
Capital Region	2011	35-44	Mixed field programmes	13
Capital Region	2011	35-44	Natural and physical sciences	517
Capital Region	2011	35-44	Society and culture	2362
Capital Region	2011	45-54	Agriculture environmental and related studies	894
Capital Region	2011	45-54	Architecture and building	1474
Capital Region	2011	45-54	Creative arts	501
Capital Region	2011	45-54	Education	1568
Capital Region	2011	45-54	Engineering and related technologies	3028
Capital Region	2011	45-54	Field of study not stated	2661
Capital Region	2011	45-54	Food hospitality and personal services	841
Capital Region	2011	45-54	Health	2109
Capital Region	2011	45-54	Information technology	445
Capital Region	2011	45-54	Management and commerce	3113
Capital Region	2011	45-54	Mixed field programmes	18
Capital Region	2011	45-54	Natural and physical sciences	490
Capital Region	2011	45-54	Society and culture	2255
Capital Region	2011	55-64	Agriculture environmental and related studies	689
Capital Region	2011	55-64	Architecture and building	1239
Capital Region	2011	55-64	Creative arts	425
Capital Region	2011	55-64	Education	1972
Capital Region	2011	55-64	Engineering and related technologies	2850
Capital Region	2011	55-64	Field of study not stated	2634
Capital Region	2011	55-64	Food hospitality and personal services	619
Capital Region	2011	55-64	Health	1853
Capital Region	2011	55-64	Information technology	270
Capital Region	2011	55-64	Management and commerce	2611
Capital Region	2011	55-64	Mixed field programmes	9
Capital Region	2011	55-64	Natural and physical sciences	500
Capital Region	2011	55-64	Society and culture	1871
Capital Region	2011	65-74	Agriculture environmental and related studies	356
Capital Region	2011	65-74	Architecture and building	740
Capital Region	2011	65-74	Creative arts	232
Capital Region	2011	65-74	Education	973
Capital Region	2011	65-74	Engineering and related technologies	1976
Capital Region	2011	65-74	Field of study not stated	2465
Capital Region	2011	65-74	Food hospitality and personal services	307
Capital Region	2011	65-74	Health	1019
Capital Region	2011	65-74	Information technology	69
Capital Region	2011	65-74	Management and commerce	1249
Capital Region	2011	65-74	Mixed field programmes	13
Capital Region	2011	65-74	Natural and physical sciences	309
Capital Region	2011	65-74	Society and culture	832
Capital Region	2011	75-84	Agriculture environmental and related studies	156
Capital Region	2011	75-84	Architecture and building	337
Capital Region	2011	75-84	Creative arts	91
Capital Region	2011	75-84	Education	309
Capital Region	2011	75-84	Engineering and related technologies	891
Capital Region	2011	75-84	Field of study not stated	2194
Capital Region	2011	75-84	Food hospitality and personal services	103
Capital Region	2011	75-84	Health	440
Capital Region	2011	75-84	Information technology	14
Capital Region	2011	75-84	Management and commerce	424
Capital Region	2011	75-84	Mixed field programmes	12
Capital Region	2011	75-84	Natural and physical sciences	101
Capital Region	2011	75-84	Society and culture	232
Capital Region	2011	85+	Agriculture environmental and related studies	31
Capital Region	2011	85+	Architecture and building	79
Capital Region	2011	85+	Creative arts	22
Capital Region	2011	85+	Education	88
Capital Region	2011	85+	Engineering and related technologies	243
Capital Region	2011	85+	Field of study not stated	1060
Capital Region	2011	85+	Food hospitality and personal services	26
Capital Region	2011	85+	Health	140
Capital Region	2011	85+	Information technology	0
Capital Region	2011	85+	Management and commerce	176
Capital Region	2011	85+	Mixed field programmes	8
Capital Region	2011	85+	Natural and physical sciences	23
Capital Region	2011	85+	Society and culture	66
Capital Region	2016	15-19	Agriculture environmental and related studies	52
Capital Region	2016	15-19	Architecture and building	75
Capital Region	2016	15-19	Creative arts	22
Capital Region	2016	15-19	Education	13
Capital Region	2016	15-19	Engineering and related technologies	68
Capital Region	2016	15-19	Field of study not stated	1553
Capital Region	2016	15-19	Food hospitality and personal services	165
Capital Region	2016	15-19	Health	37
Capital Region	2016	15-19	Information technology	46
Capital Region	2016	15-19	Management and commerce	149
Capital Region	2016	15-19	Mixed field programmes	12
Capital Region	2016	15-19	Natural and physical sciences	0
Capital Region	2016	15-19	Society and culture	132
Capital Region	2016	20-24	Agriculture environmental and related studies	245
Capital Region	2016	20-24	Architecture and building	483
Capital Region	2016	20-24	Creative arts	177
Capital Region	2016	20-24	Education	196
Capital Region	2016	20-24	Engineering and related technologies	614
Capital Region	2016	20-24	Field of study not stated	1112
Capital Region	2016	20-24	Food hospitality and personal services	536
Capital Region	2016	20-24	Health	308
Capital Region	2016	20-24	Information technology	132
Capital Region	2016	20-24	Management and commerce	744
Capital Region	2016	20-24	Mixed field programmes	12
Capital Region	2016	20-24	Natural and physical sciences	81
Capital Region	2016	20-24	Society and culture	603
Capital Region	2016	25-34	Agriculture environmental and related studies	618
Capital Region	2016	25-34	Architecture and building	1197
Capital Region	2016	25-34	Creative arts	573
Capital Region	2016	25-34	Education	1014
Capital Region	2016	25-34	Engineering and related technologies	2092
Capital Region	2016	25-34	Field of study not stated	2454
Capital Region	2016	25-34	Food hospitality and personal services	1292
Capital Region	2016	25-34	Health	1251
Capital Region	2016	25-34	Information technology	479
Capital Region	2016	25-34	Management and commerce	2549
Capital Region	2016	25-34	Mixed field programmes	11
Capital Region	2016	25-34	Natural and physical sciences	306
Capital Region	2016	25-34	Society and culture	1967
Capital Region	2016	35-44	Agriculture environmental and related studies	893
Capital Region	2016	35-44	Architecture and building	1196
Capital Region	2016	35-44	Creative arts	543
Capital Region	2016	35-44	Education	1351
Capital Region	2016	35-44	Engineering and related technologies	2325
Capital Region	2016	35-44	Field of study not stated	2769
Capital Region	2016	35-44	Food hospitality and personal services	1125
Capital Region	2016	35-44	Health	1433
Capital Region	2016	35-44	Information technology	520
Capital Region	2016	35-44	Management and commerce	3299
Capital Region	2016	35-44	Mixed field programmes	19
Capital Region	2016	35-44	Natural and physical sciences	497
Capital Region	2016	35-44	Society and culture	2523
Capital Region	2016	45-54	Agriculture environmental and related studies	960
Capital Region	2016	45-54	Architecture and building	1411
Capital Region	2016	45-54	Creative arts	533
Capital Region	2016	45-54	Education	1499
Capital Region	2016	45-54	Engineering and related technologies	2989
Capital Region	2016	45-54	Field of study not stated	3401
Capital Region	2016	45-54	Food hospitality and personal services	958
Capital Region	2016	45-54	Health	1925
Capital Region	2016	45-54	Information technology	471
Capital Region	2016	45-54	Management and commerce	3806
Capital Region	2016	45-54	Mixed field programmes	29
Capital Region	2016	45-54	Natural and physical sciences	571
Capital Region	2016	45-54	Society and culture	2779
Capital Region	2016	55-64	Agriculture environmental and related studies	852
Capital Region	2016	55-64	Architecture and building	1475
Capital Region	2016	55-64	Creative arts	521
Capital Region	2016	55-64	Education	2126
Capital Region	2016	55-64	Engineering and related technologies	3005
Capital Region	2016	55-64	Field of study not stated	3353
Capital Region	2016	55-64	Food hospitality and personal services	716
Capital Region	2016	55-64	Health	2373
Capital Region	2016	55-64	Information technology	362
Capital Region	2016	55-64	Management and commerce	3074
Capital Region	2016	55-64	Mixed field programmes	35
Capital Region	2016	55-64	Natural and physical sciences	558
Capital Region	2016	55-64	Society and culture	2510
Capital Region	2016	65-74	Agriculture environmental and related studies	574
Capital Region	2016	65-74	Architecture and building	955
Capital Region	2016	65-74	Creative arts	339
Capital Region	2016	65-74	Education	1504
Capital Region	2016	65-74	Engineering and related technologies	2516
Capital Region	2016	65-74	Field of study not stated	3252
Capital Region	2016	65-74	Food hospitality and personal services	505
Capital Region	2016	65-74	Health	1347
Capital Region	2016	65-74	Information technology	153
Capital Region	2016	65-74	Management and commerce	2041
Capital Region	2016	65-74	Mixed field programmes	49
Capital Region	2016	65-74	Natural and physical sciences	474
Capital Region	2016	65-74	Society and culture	1499
Capital Region	2016	75-84	Agriculture environmental and related studies	211
Capital Region	2016	75-84	Architecture and building	437
Capital Region	2016	75-84	Creative arts	129
Capital Region	2016	75-84	Education	502
Capital Region	2016	75-84	Engineering and related technologies	1246
Capital Region	2016	75-84	Field of study not stated	2434
Capital Region	2016	75-84	Food hospitality and personal services	132
Capital Region	2016	75-84	Health	618
Capital Region	2016	75-84	Information technology	24
Capital Region	2016	75-84	Management and commerce	613
Capital Region	2016	75-84	Mixed field programmes	48
Capital Region	2016	75-84	Natural and physical sciences	125
Capital Region	2016	75-84	Society and culture	382
Capital Region	2016	85+	Agriculture environmental and related studies	54
Capital Region	2016	85+	Architecture and building	108
Capital Region	2016	85+	Creative arts	34
Capital Region	2016	85+	Education	119
Capital Region	2016	85+	Engineering and related technologies	337
Capital Region	2016	85+	Field of study not stated	1406
Capital Region	2016	85+	Food hospitality and personal services	38
Capital Region	2016	85+	Health	179
Capital Region	2016	85+	Information technology	6
Capital Region	2016	85+	Management and commerce	191
Capital Region	2016	85+	Mixed field programmes	20
Capital Region	2016	85+	Natural and physical sciences	49
Capital Region	2016	85+	Society and culture	78
Central Coast	2006	15-19	Agriculture environmental and related studies	60
Central Coast	2006	15-19	Architecture and building	116
Central Coast	2006	15-19	Creative arts	55
Central Coast	2006	15-19	Education	13
Central Coast	2006	15-19	Engineering and related technologies	158
Central Coast	2006	15-19	Field of study not stated	2496
Central Coast	2006	15-19	Food hospitality and personal services	232
Central Coast	2006	15-19	Health	79
Central Coast	2006	15-19	Information technology	67
Central Coast	2006	15-19	Management and commerce	327
Central Coast	2006	15-19	Mixed field programmes	8
Central Coast	2006	15-19	Natural and physical sciences	4
Central Coast	2006	15-19	Society and culture	153
Central Coast	2006	20-24	Agriculture environmental and related studies	192
Central Coast	2006	20-24	Architecture and building	590
Central Coast	2006	20-24	Creative arts	323
Central Coast	2006	20-24	Education	261
Central Coast	2006	20-24	Engineering and related technologies	754
Central Coast	2006	20-24	Field of study not stated	1400
Central Coast	2006	20-24	Food hospitality and personal services	792
Central Coast	2006	20-24	Health	498
Central Coast	2006	20-24	Information technology	299
Central Coast	2006	20-24	Management and commerce	1675
Central Coast	2006	20-24	Mixed field programmes	4
Central Coast	2006	20-24	Natural and physical sciences	105
Central Coast	2006	20-24	Society and culture	722
Central Coast	2006	25-34	Agriculture environmental and related studies	555
Central Coast	2006	25-34	Architecture and building	1739
Central Coast	2006	25-34	Creative arts	702
Central Coast	2006	25-34	Education	1313
Central Coast	2006	25-34	Engineering and related technologies	2702
Central Coast	2006	25-34	Field of study not stated	2705
Central Coast	2006	25-34	Food hospitality and personal services	1602
Central Coast	2006	25-34	Health	1850
Central Coast	2006	25-34	Information technology	521
Central Coast	2006	25-34	Management and commerce	3818
Central Coast	2006	25-34	Mixed field programmes	15
Central Coast	2006	25-34	Natural and physical sciences	350
Central Coast	2006	25-34	Society and culture	1847
Central Coast	2006	35-44	Agriculture environmental and related studies	512
Central Coast	2006	35-44	Architecture and building	2143
Central Coast	2006	35-44	Creative arts	624
Central Coast	2006	35-44	Education	1631
Central Coast	2006	35-44	Engineering and related technologies	4311
Central Coast	2006	35-44	Field of study not stated	3753
Central Coast	2006	35-44	Food hospitality and personal services	1479
Central Coast	2006	35-44	Health	2516
Central Coast	2006	35-44	Information technology	568
Central Coast	2006	35-44	Management and commerce	4382
Central Coast	2006	35-44	Mixed field programmes	23
Central Coast	2006	35-44	Natural and physical sciences	405
Central Coast	2006	35-44	Society and culture	1882
Central Coast	2006	45-54	Agriculture environmental and related studies	416
Central Coast	2006	45-54	Architecture and building	1865
Central Coast	2006	45-54	Creative arts	469
Central Coast	2006	45-54	Education	2546
Central Coast	2006	45-54	Engineering and related technologies	4506
Central Coast	2006	45-54	Field of study not stated	3740
Central Coast	2006	45-54	Food hospitality and personal services	1055
Central Coast	2006	45-54	Health	2854
Central Coast	2006	45-54	Information technology	401
Central Coast	2006	45-54	Management and commerce	4035
Central Coast	2006	45-54	Mixed field programmes	30
Central Coast	2006	45-54	Natural and physical sciences	376
Central Coast	2006	45-54	Society and culture	1785
Central Coast	2006	55-64	Agriculture environmental and related studies	188
Central Coast	2006	55-64	Architecture and building	1341
Central Coast	2006	55-64	Creative arts	356
Central Coast	2006	55-64	Education	1518
Central Coast	2006	55-64	Engineering and related technologies	3580
Central Coast	2006	55-64	Field of study not stated	3515
Central Coast	2006	55-64	Food hospitality and personal services	776
Central Coast	2006	55-64	Health	1540
Central Coast	2006	55-64	Information technology	142
Central Coast	2006	55-64	Management and commerce	2894
Central Coast	2006	55-64	Mixed field programmes	10
Central Coast	2006	55-64	Natural and physical sciences	254
Central Coast	2006	55-64	Society and culture	1132
Central Coast	2006	65-74	Agriculture environmental and related studies	127
Central Coast	2006	65-74	Architecture and building	931
Central Coast	2006	65-74	Creative arts	204
Central Coast	2006	65-74	Education	834
Central Coast	2006	65-74	Engineering and related technologies	2662
Central Coast	2006	65-74	Field of study not stated	4184
Central Coast	2006	65-74	Food hospitality and personal services	385
Central Coast	2006	65-74	Health	888
Central Coast	2006	65-74	Information technology	31
Central Coast	2006	65-74	Management and commerce	1503
Central Coast	2006	65-74	Mixed field programmes	21
Central Coast	2006	65-74	Natural and physical sciences	168
Central Coast	2006	65-74	Society and culture	515
Central Coast	2006	75-84	Agriculture environmental and related studies	60
Central Coast	2006	75-84	Architecture and building	561
Central Coast	2006	75-84	Creative arts	127
Central Coast	2006	75-84	Education	406
Central Coast	2006	75-84	Engineering and related technologies	1874
Central Coast	2006	75-84	Field of study not stated	5381
Central Coast	2006	75-84	Food hospitality and personal services	216
Central Coast	2006	75-84	Health	531
Central Coast	2006	75-84	Information technology	8
Central Coast	2006	75-84	Management and commerce	988
Central Coast	2006	75-84	Mixed field programmes	18
Central Coast	2006	75-84	Natural and physical sciences	113
Central Coast	2006	75-84	Society and culture	298
Central Coast	2006	85+	Agriculture environmental and related studies	9
Central Coast	2006	85+	Architecture and building	94
Central Coast	2006	85+	Creative arts	28
Central Coast	2006	85+	Education	87
Central Coast	2006	85+	Engineering and related technologies	395
Central Coast	2006	85+	Field of study not stated	2412
Central Coast	2006	85+	Food hospitality and personal services	48
Central Coast	2006	85+	Health	136
Central Coast	2006	85+	Information technology	3
Central Coast	2006	85+	Management and commerce	214
Central Coast	2006	85+	Mixed field programmes	7
Central Coast	2006	85+	Natural and physical sciences	17
Central Coast	2006	85+	Society and culture	61
Central Coast	2011	15-19	Agriculture environmental and related studies	63
Central Coast	2011	15-19	Architecture and building	92
Central Coast	2011	15-19	Creative arts	80
Central Coast	2011	15-19	Education	21
Central Coast	2011	15-19	Engineering and related technologies	119
Central Coast	2011	15-19	Field of study not stated	2145
Central Coast	2011	15-19	Food hospitality and personal services	261
Central Coast	2011	15-19	Health	108
Central Coast	2011	15-19	Information technology	62
Central Coast	2011	15-19	Management and commerce	416
Central Coast	2011	15-19	Mixed field programmes	12
Central Coast	2011	15-19	Natural and physical sciences	3
Central Coast	2011	15-19	Society and culture	221
Central Coast	2011	20-24	Agriculture environmental and related studies	231
Central Coast	2011	20-24	Architecture and building	611
Central Coast	2011	20-24	Creative arts	402
Central Coast	2011	20-24	Education	302
Central Coast	2011	20-24	Engineering and related technologies	908
Central Coast	2011	20-24	Field of study not stated	1250
Central Coast	2011	20-24	Food hospitality and personal services	820
Central Coast	2011	20-24	Health	604
Central Coast	2011	20-24	Information technology	247
Central Coast	2011	20-24	Management and commerce	1542
Central Coast	2011	20-24	Mixed field programmes	9
Central Coast	2011	20-24	Natural and physical sciences	127
Central Coast	2011	20-24	Society and culture	1053
Central Coast	2011	25-34	Agriculture environmental and related studies	574
Central Coast	2011	25-34	Architecture and building	1792
Central Coast	2011	25-34	Creative arts	809
Central Coast	2011	25-34	Education	1589
Central Coast	2011	25-34	Engineering and related technologies	2547
Central Coast	2011	25-34	Field of study not stated	2264
Central Coast	2011	25-34	Food hospitality and personal services	1813
Central Coast	2011	25-34	Health	2115
Central Coast	2011	25-34	Information technology	648
Central Coast	2011	25-34	Management and commerce	4341
Central Coast	2011	25-34	Mixed field programmes	22
Central Coast	2011	25-34	Natural and physical sciences	333
Central Coast	2011	25-34	Society and culture	2508
Central Coast	2011	35-44	Agriculture environmental and related studies	622
Central Coast	2011	35-44	Architecture and building	2156
Central Coast	2011	35-44	Creative arts	831
Central Coast	2011	35-44	Education	1898
Central Coast	2011	35-44	Engineering and related technologies	3790
Central Coast	2011	35-44	Field of study not stated	3178
Central Coast	2011	35-44	Food hospitality and personal services	1856
Central Coast	2011	35-44	Health	2739
Central Coast	2011	35-44	Information technology	693
Central Coast	2011	35-44	Management and commerce	5183
Central Coast	2011	35-44	Mixed field programmes	24
Central Coast	2011	35-44	Natural and physical sciences	513
Central Coast	2011	35-44	Society and culture	2851
Central Coast	2011	45-54	Agriculture environmental and related studies	522
Central Coast	2011	45-54	Architecture and building	2075
Central Coast	2011	45-54	Creative arts	596
Central Coast	2011	45-54	Education	2145
Central Coast	2011	45-54	Engineering and related technologies	4772
Central Coast	2011	45-54	Field of study not stated	3490
Central Coast	2011	45-54	Food hospitality and personal services	1299
Central Coast	2011	45-54	Health	3298
Central Coast	2011	45-54	Information technology	526
Central Coast	2011	45-54	Management and commerce	4795
Central Coast	2011	45-54	Mixed field programmes	27
Central Coast	2011	45-54	Natural and physical sciences	424
Central Coast	2011	45-54	Society and culture	2560
Central Coast	2011	55-64	Agriculture environmental and related studies	282
Central Coast	2011	55-64	Architecture and building	1591
Central Coast	2011	55-64	Creative arts	455
Central Coast	2011	55-64	Education	2411
Central Coast	2011	55-64	Engineering and related technologies	4153
Central Coast	2011	55-64	Field of study not stated	3279
Central Coast	2011	55-64	Food hospitality and personal services	951
Central Coast	2011	55-64	Health	2291
Central Coast	2011	55-64	Information technology	270
Central Coast	2011	55-64	Management and commerce	3794
Central Coast	2011	55-64	Mixed field programmes	25
Central Coast	2011	55-64	Natural and physical sciences	359
Central Coast	2011	55-64	Society and culture	1862
Central Coast	2011	65-74	Agriculture environmental and related studies	173
Central Coast	2011	65-74	Architecture and building	1058
Central Coast	2011	65-74	Creative arts	281
Central Coast	2011	65-74	Education	1119
Central Coast	2011	65-74	Engineering and related technologies	3225
Central Coast	2011	65-74	Field of study not stated	3826
Central Coast	2011	65-74	Food hospitality and personal services	540
Central Coast	2011	65-74	Health	1159
Central Coast	2011	65-74	Information technology	60
Central Coast	2011	65-74	Management and commerce	2242
Central Coast	2011	65-74	Mixed field programmes	12
Central Coast	2011	65-74	Natural and physical sciences	226
Central Coast	2011	65-74	Society and culture	880
Central Coast	2011	75-84	Agriculture environmental and related studies	79
Central Coast	2011	75-84	Architecture and building	596
Central Coast	2011	75-84	Creative arts	125
Central Coast	2011	75-84	Education	554
Central Coast	2011	75-84	Engineering and related technologies	1884
Central Coast	2011	75-84	Field of study not stated	4310
Central Coast	2011	75-84	Food hospitality and personal services	246
Central Coast	2011	75-84	Health	635
Central Coast	2011	75-84	Information technology	14
Central Coast	2011	75-84	Management and commerce	1003
Central Coast	2011	75-84	Mixed field programmes	17
Central Coast	2011	75-84	Natural and physical sciences	110
Central Coast	2011	75-84	Society and culture	354
Central Coast	2011	85+	Agriculture environmental and related studies	23
Central Coast	2011	85+	Architecture and building	170
Central Coast	2011	85+	Creative arts	42
Central Coast	2011	85+	Education	136
Central Coast	2011	85+	Engineering and related technologies	591
Central Coast	2011	85+	Field of study not stated	2704
Central Coast	2011	85+	Food hospitality and personal services	74
Central Coast	2011	85+	Health	172
Central Coast	2011	85+	Information technology	3
Central Coast	2011	85+	Management and commerce	321
Central Coast	2011	85+	Mixed field programmes	5
Central Coast	2011	85+	Natural and physical sciences	30
Central Coast	2011	85+	Society and culture	86
Central Coast	2016	15-19	Agriculture environmental and related studies	48
Central Coast	2016	15-19	Architecture and building	114
Central Coast	2016	15-19	Creative arts	118
Central Coast	2016	15-19	Education	28
Central Coast	2016	15-19	Engineering and related technologies	110
Central Coast	2016	15-19	Field of study not stated	1627
Central Coast	2016	15-19	Food hospitality and personal services	277
Central Coast	2016	15-19	Health	151
Central Coast	2016	15-19	Information technology	55
Central Coast	2016	15-19	Management and commerce	284
Central Coast	2016	15-19	Mixed field programmes	35
Central Coast	2016	15-19	Natural and physical sciences	7
Central Coast	2016	15-19	Society and culture	273
Central Coast	2016	20-24	Agriculture environmental and related studies	251
Central Coast	2016	20-24	Architecture and building	651
Central Coast	2016	20-24	Creative arts	504
Central Coast	2016	20-24	Education	378
Central Coast	2016	20-24	Engineering and related technologies	765
Central Coast	2016	20-24	Field of study not stated	1365
Central Coast	2016	20-24	Food hospitality and personal services	883
Central Coast	2016	20-24	Health	679
Central Coast	2016	20-24	Information technology	185
Central Coast	2016	20-24	Management and commerce	1470
Central Coast	2016	20-24	Mixed field programmes	24
Central Coast	2016	20-24	Natural and physical sciences	158
Central Coast	2016	20-24	Society and culture	1222
Central Coast	2016	25-34	Agriculture environmental and related studies	631
Central Coast	2016	25-34	Architecture and building	2092
