SA4_NAME16	Year	LabourForceStatus	Sex	adults
Illawarra	2016	Employed (part-time)	M	13965
Illawarra	2016	Not in the labour force	F	50874
Illawarra	2016	Not in the labour force	M	39043
Illawarra	2016	Unemployed (looking for work)	F	4303
Illawarra	2016	Unemployed (looking for work)	M	5088
Mid North Coast	2006		F	4263
Mid North Coast	2006		M	4035
Mid North Coast	2006	Employed (away from work)	F	2201
Mid North Coast	2006	Employed (away from work)	M	2481
Mid North Coast	2006	Employed (full-time)	F	12886
Mid North Coast	2006	Employed (full-time)	M	24549
Mid North Coast	2006	Employed (part-time)	F	16607
Mid North Coast	2006	Employed (part-time)	M	8390
Mid North Coast	2006	Not in the labour force	F	41644
Mid North Coast	2006	Not in the labour force	M	31874
Mid North Coast	2006	Unemployed (looking for work)	F	3194
Mid North Coast	2006	Unemployed (looking for work)	M	4303
Mid North Coast	2011		F	4234
Mid North Coast	2011		M	4391
Mid North Coast	2011	Employed (away from work)	F	2428
Mid North Coast	2011	Employed (away from work)	M	2366
Mid North Coast	2011	Employed (full-time)	F	14120
Mid North Coast	2011	Employed (full-time)	M	24929
Mid North Coast	2011	Employed (part-time)	F	18143
Mid North Coast	2011	Employed (part-time)	M	9320
Mid North Coast	2011	Not in the labour force	F	44009
Mid North Coast	2011	Not in the labour force	M	34891
Mid North Coast	2011	Unemployed (looking for work)	F	2684
Mid North Coast	2011	Unemployed (looking for work)	M	3682
Mid North Coast	2016		F	6704
Mid North Coast	2016		M	6465
Mid North Coast	2016	Employed (away from work)	F	2489
Mid North Coast	2016	Employed (away from work)	M	2458
Mid North Coast	2016	Employed (full-time)	F	14761
Mid North Coast	2016	Employed (full-time)	M	24853
Mid North Coast	2016	Employed (part-time)	F	19477
Mid North Coast	2016	Employed (part-time)	M	10112
Mid North Coast	2016	Not in the labour force	F	45641
Mid North Coast	2016	Not in the labour force	M	38003
Mid North Coast	2016	Unemployed (looking for work)	F	2860
Mid North Coast	2016	Unemployed (looking for work)	M	3666
Murray	2006		F	2225
Murray	2006		M	2437
Murray	2006	Employed (away from work)	F	1566
Murray	2006	Employed (away from work)	M	1753
Murray	2006	Employed (full-time)	F	10194
Murray	2006	Employed (full-time)	M	21508
Murray	2006	Employed (part-time)	F	10823
Murray	2006	Employed (part-time)	M	4022
Murray	2006	Not in the labour force	F	18091
Murray	2006	Not in the labour force	M	11663
Murray	2006	Unemployed (looking for work)	F	1294
Murray	2006	Unemployed (looking for work)	M	1402
Murray	2011		F	2293
Murray	2011		M	2540
Murray	2011	Employed (away from work)	F	1694
Murray	2011	Employed (away from work)	M	1684
Murray	2011	Employed (full-time)	F	10282
Murray	2011	Employed (full-time)	M	20751
Murray	2011	Employed (part-time)	F	11228
Murray	2011	Employed (part-time)	M	4245
Murray	2011	Not in the labour force	F	18610
Murray	2011	Not in the labour force	M	13133
Murray	2011	Unemployed (looking for work)	F	1243
Murray	2011	Unemployed (looking for work)	M	1396
Murray	2016		F	4039
Murray	2016		M	3996
Murray	2016	Employed (away from work)	F	1658
Murray	2016	Employed (away from work)	M	1485
Murray	2016	Employed (full-time)	F	10245
Murray	2016	Employed (full-time)	M	19710
Murray	2016	Employed (part-time)	F	12079
Murray	2016	Employed (part-time)	M	4923
Murray	2016	Not in the labour force	F	18804
Murray	2016	Not in the labour force	M	14374
Murray	2016	Unemployed (looking for work)	F	1395
Murray	2016	Unemployed (looking for work)	M	1643
New England and North West	2006		F	3581
New England and North West	2006		M	3620
New England and North West	2006	Employed (away from work)	F	2251
New England and North West	2006	Employed (away from work)	M	2643
New England and North West	2006	Employed (full-time)	F	15619
New England and North West	2006	Employed (full-time)	M	30494
New England and North West	2006	Employed (part-time)	F	15194
New England and North West	2006	Employed (part-time)	M	6464
New England and North West	2006	Not in the labour force	F	30036
New England and North West	2006	Not in the labour force	M	19781
New England and North West	2006	Unemployed (looking for work)	F	2500
New England and North West	2006	Unemployed (looking for work)	M	3122
New England and North West	2011		F	4016
New England and North West	2011		M	4170
New England and North West	2011	Employed (away from work)	F	2378
New England and North West	2011	Employed (away from work)	M	2408
New England and North West	2011	Employed (full-time)	F	16667
New England and North West	2011	Employed (full-time)	M	31028
New England and North West	2011	Employed (part-time)	F	16226
New England and North West	2011	Employed (part-time)	M	6876
New England and North West	2011	Not in the labour force	F	30044
New England and North West	2011	Not in the labour force	M	20982
New England and North West	2011	Unemployed (looking for work)	F	2252
New England and North West	2011	Unemployed (looking for work)	M	2714
New England and North West	2016		F	6625
New England and North West	2016		M	6372
New England and North West	2016	Employed (away from work)	F	2464
New England and North West	2016	Employed (away from work)	M	2148
New England and North West	2016	Employed (full-time)	F	17113
New England and North West	2016	Employed (full-time)	M	30033
New England and North West	2016	Employed (part-time)	F	16552
New England and North West	2016	Employed (part-time)	M	7665
New England and North West	2016	Not in the labour force	F	29556
New England and North West	2016	Not in the labour force	M	22167
New England and North West	2016	Unemployed (looking for work)	F	2456
New England and North West	2016	Unemployed (looking for work)	M	2769
Newcastle and Lake Macquarie	2006		F	6839
Newcastle and Lake Macquarie	2006		M	7027
Newcastle and Lake Macquarie	2006	Employed (away from work)	F	4553
Newcastle and Lake Macquarie	2006	Employed (away from work)	M	4865
Newcastle and Lake Macquarie	2006	Employed (full-time)	F	28728
Newcastle and Lake Macquarie	2006	Employed (full-time)	M	56533
Newcastle and Lake Macquarie	2006	Employed (part-time)	F	32601
Newcastle and Lake Macquarie	2006	Employed (part-time)	M	13661
Newcastle and Lake Macquarie	2006	Not in the labour force	F	61632
Newcastle and Lake Macquarie	2006	Not in the labour force	M	41660
Newcastle and Lake Macquarie	2006	Unemployed (looking for work)	F	4560
Newcastle and Lake Macquarie	2006	Unemployed (looking for work)	M	6007
Newcastle and Lake Macquarie	2011		F	6293
Newcastle and Lake Macquarie	2011		M	6567
Newcastle and Lake Macquarie	2011	Employed (away from work)	F	5049
Newcastle and Lake Macquarie	2011	Employed (away from work)	M	4808
Newcastle and Lake Macquarie	2011	Employed (full-time)	F	32704
Newcastle and Lake Macquarie	2011	Employed (full-time)	M	61765
Newcastle and Lake Macquarie	2011	Employed (part-time)	F	36114
Newcastle and Lake Macquarie	2011	Employed (part-time)	M	15215
Newcastle and Lake Macquarie	2011	Not in the labour force	F	60575
Newcastle and Lake Macquarie	2011	Not in the labour force	M	42901
Newcastle and Lake Macquarie	2011	Unemployed (looking for work)	F	4095
Newcastle and Lake Macquarie	2011	Unemployed (looking for work)	M	5010
Newcastle and Lake Macquarie	2016		F	8138
Newcastle and Lake Macquarie	2016		M	7541
Newcastle and Lake Macquarie	2016	Employed (away from work)	F	4738
Newcastle and Lake Macquarie	2016	Employed (away from work)	M	3764
Newcastle and Lake Macquarie	2016	Employed (full-time)	F	34507
Newcastle and Lake Macquarie	2016	Employed (full-time)	M	60461
Newcastle and Lake Macquarie	2016	Employed (part-time)	F	39232
Newcastle and Lake Macquarie	2016	Employed (part-time)	M	17753
Newcastle and Lake Macquarie	2016	Not in the labour force	F	60472
Newcastle and Lake Macquarie	2016	Not in the labour force	M	46687
Newcastle and Lake Macquarie	2016	Unemployed (looking for work)	F	5301
Newcastle and Lake Macquarie	2016	Unemployed (looking for work)	M	7095
Richmond - Tweed	2006		F	5252
Richmond - Tweed	2006		M	5333
Richmond - Tweed	2006	Employed (away from work)	F	2666
Richmond - Tweed	2006	Employed (away from work)	M	2985
Richmond - Tweed	2006	Employed (full-time)	F	16841
Richmond - Tweed	2006	Employed (full-time)	M	31446
Richmond - Tweed	2006	Employed (part-time)	F	21202
Richmond - Tweed	2006	Employed (part-time)	M	11192
Richmond - Tweed	2006	Not in the labour force	F	41926
Richmond - Tweed	2006	Not in the labour force	M	30233
Richmond - Tweed	2006	Unemployed (looking for work)	F	3528
Richmond - Tweed	2006	Unemployed (looking for work)	M	4055
Richmond - Tweed	2011		F	4826
Richmond - Tweed	2011		M	4974
Richmond - Tweed	2011	Employed (away from work)	F	2999
Richmond - Tweed	2011	Employed (away from work)	M	2996
Richmond - Tweed	2011	Employed (full-time)	F	17941
Richmond - Tweed	2011	Employed (full-time)	M	31591
Richmond - Tweed	2011	Employed (part-time)	F	23823
Richmond - Tweed	2011	Employed (part-time)	M	12535
Richmond - Tweed	2011	Not in the labour force	F	43249
Richmond - Tweed	2011	Not in the labour force	M	32389
Richmond - Tweed	2011	Unemployed (looking for work)	F	3499
Richmond - Tweed	2011	Unemployed (looking for work)	M	4436
Richmond - Tweed	2016		F	8750
Richmond - Tweed	2016		M	8309
Richmond - Tweed	2016	Employed (away from work)	F	2898
Richmond - Tweed	2016	Employed (away from work)	M	2585
Richmond - Tweed	2016	Employed (full-time)	F	18866
Richmond - Tweed	2016	Employed (full-time)	M	31821
Richmond - Tweed	2016	Employed (part-time)	F	26008
Richmond - Tweed	2016	Employed (part-time)	M	14248
Richmond - Tweed	2016	Not in the labour force	F	43562
Richmond - Tweed	2016	Not in the labour force	M	34192
Richmond - Tweed	2016	Unemployed (looking for work)	F	3259
Richmond - Tweed	2016	Unemployed (looking for work)	M	4021
Riverina	2006		F	2718
Riverina	2006		M	2892
Riverina	2006	Employed (away from work)	F	2092
Riverina	2006	Employed (away from work)	M	2344
Riverina	2006	Employed (full-time)	F	14224
Riverina	2006	Employed (full-time)	M	29430
Riverina	2006	Employed (part-time)	F	13747
Riverina	2006	Employed (part-time)	M	5106
Riverina	2006	Not in the labour force	F	23554
Riverina	2006	Not in the labour force	M	15436
Riverina	2006	Unemployed (looking for work)	F	1820
Riverina	2006	Unemployed (looking for work)	M	1981
Riverina	2011		F	2894
Riverina	2011		M	3027
Riverina	2011	Employed (away from work)	F	2196
Riverina	2011	Employed (away from work)	M	2256
Riverina	2011	Employed (full-time)	F	14661
Riverina	2011	Employed (full-time)	M	29413
Riverina	2011	Employed (part-time)	F	14340
Riverina	2011	Employed (part-time)	M	5479
Riverina	2011	Not in the labour force	F	23857
Riverina	2011	Not in the labour force	M	16560
Riverina	2011	Unemployed (looking for work)	F	1703
Riverina	2011	Unemployed (looking for work)	M	1797
Riverina	2016		F	4985
Riverina	2016		M	5040
Riverina	2016	Employed (away from work)	F	2087
Riverina	2016	Employed (away from work)	M	1970
Riverina	2016	Employed (full-time)	F	15524
Riverina	2016	Employed (full-time)	M	28691
Riverina	2016	Employed (part-time)	F	15054
Riverina	2016	Employed (part-time)	M	6121
Riverina	2016	Not in the labour force	F	23602
Riverina	2016	Not in the labour force	M	17939
Riverina	2016	Unemployed (looking for work)	F	1782
Riverina	2016	Unemployed (looking for work)	M	2049
Southern Highlands and Shoalhaven	2006		F	3015
Southern Highlands and Shoalhaven	2006		M	2964
Southern Highlands and Shoalhaven	2006	Employed (away from work)	F	1563
Southern Highlands and Shoalhaven	2006	Employed (away from work)	M	1688
Southern Highlands and Shoalhaven	2006	Employed (full-time)	F	9092
Southern Highlands and Shoalhaven	2006	Employed (full-time)	M	19023
Southern Highlands and Shoalhaven	2006	Employed (part-time)	F	12344
Southern Highlands and Shoalhaven	2006	Employed (part-time)	M	5768
Southern Highlands and Shoalhaven	2006	Not in the labour force	F	26497
Southern Highlands and Shoalhaven	2006	Not in the labour force	M	18921
Southern Highlands and Shoalhaven	2006	Unemployed (looking for work)	F	1763
Southern Highlands and Shoalhaven	2006	Unemployed (looking for work)	M	2236
Southern Highlands and Shoalhaven	2011		F	3065
Southern Highlands and Shoalhaven	2011		M	3234
Southern Highlands and Shoalhaven	2011	Employed (away from work)	F	1789
Southern Highlands and Shoalhaven	2011	Employed (away from work)	M	1747
Southern Highlands and Shoalhaven	2011	Employed (full-time)	F	10246
Southern Highlands and Shoalhaven	2011	Employed (full-time)	M	19921
Southern Highlands and Shoalhaven	2011	Employed (part-time)	F	13168
Southern Highlands and Shoalhaven	2011	Employed (part-time)	M	6182
Southern Highlands and Shoalhaven	2011	Not in the labour force	F	27945
Southern Highlands and Shoalhaven	2011	Not in the labour force	M	21112
Southern Highlands and Shoalhaven	2011	Unemployed (looking for work)	F	1611
Southern Highlands and Shoalhaven	2011	Unemployed (looking for work)	M	2030
Southern Highlands and Shoalhaven	2016		F	4585
Southern Highlands and Shoalhaven	2016		M	4404
Southern Highlands and Shoalhaven	2016	Employed (away from work)	F	1727
Southern Highlands and Shoalhaven	2016	Employed (away from work)	M	1523
Southern Highlands and Shoalhaven	2016	Employed (full-time)	F	11154
Southern Highlands and Shoalhaven	2016	Employed (full-time)	M	20607
Southern Highlands and Shoalhaven	2016	Employed (part-time)	F	14562
Southern Highlands and Shoalhaven	2016	Employed (part-time)	M	7322
Southern Highlands and Shoalhaven	2016	Not in the labour force	F	29666
Southern Highlands and Shoalhaven	2016	Not in the labour force	M	23735
Southern Highlands and Shoalhaven	2016	Unemployed (looking for work)	F	1548
Southern Highlands and Shoalhaven	2016	Unemployed (looking for work)	M	1844
Sydney - Baulkham Hills and Hawkesbury	2006		F	2998
Sydney - Baulkham Hills and Hawkesbury	2006		M	2880
Sydney - Baulkham Hills and Hawkesbury	2006	Employed (away from work)	F	2953
Sydney - Baulkham Hills and Hawkesbury	2006	Employed (away from work)	M	2840
Sydney - Baulkham Hills and Hawkesbury	2006	Employed (full-time)	F	23714
Sydney - Baulkham Hills and Hawkesbury	2006	Employed (full-time)	M	44172
Sydney - Baulkham Hills and Hawkesbury	2006	Employed (part-time)	F	21879
Sydney - Baulkham Hills and Hawkesbury	2006	Employed (part-time)	M	8602
Sydney - Baulkham Hills and Hawkesbury	2006	Not in the labour force	F	26733
Sydney - Baulkham Hills and Hawkesbury	2006	Not in the labour force	M	15590
Sydney - Baulkham Hills and Hawkesbury	2006	Unemployed (looking for work)	F	1615
Sydney - Baulkham Hills and Hawkesbury	2006	Unemployed (looking for work)	M	1837
Sydney - Baulkham Hills and Hawkesbury	2011		F	2871
Sydney - Baulkham Hills and Hawkesbury	2011		M	2739
Sydney - Baulkham Hills and Hawkesbury	2011	Employed (away from work)	F	2991
Sydney - Baulkham Hills and Hawkesbury	2011	Employed (away from work)	M	2748
Sydney - Baulkham Hills and Hawkesbury	2011	Employed (full-time)	F	24909
Sydney - Baulkham Hills and Hawkesbury	2011	Employed (full-time)	M	45191
Sydney - Baulkham Hills and Hawkesbury	2011	Employed (part-time)	F	23100
Sydney - Baulkham Hills and Hawkesbury	2011	Employed (part-time)	M	9633
Sydney - Baulkham Hills and Hawkesbury	2011	Not in the labour force	F	28897
Sydney - Baulkham Hills and Hawkesbury	2011	Not in the labour force	M	18198
Sydney - Baulkham Hills and Hawkesbury	2011	Unemployed (looking for work)	F	2136
Sydney - Baulkham Hills and Hawkesbury	2011	Unemployed (looking for work)	M	2471
Sydney - Baulkham Hills and Hawkesbury	2016		F	3708
Sydney - Baulkham Hills and Hawkesbury	2016		M	3368
Sydney - Baulkham Hills and Hawkesbury	2016	Employed (away from work)	F	2659
Sydney - Baulkham Hills and Hawkesbury	2016	Employed (away from work)	M	2094
Sydney - Baulkham Hills and Hawkesbury	2016	Employed (full-time)	F	27373
Sydney - Baulkham Hills and Hawkesbury	2016	Employed (full-time)	M	47349
Sydney - Baulkham Hills and Hawkesbury	2016	Employed (part-time)	F	24556
Sydney - Baulkham Hills and Hawkesbury	2016	Employed (part-time)	M	11290
Sydney - Baulkham Hills and Hawkesbury	2016	Not in the labour force	F	31766
Sydney - Baulkham Hills and Hawkesbury	2016	Not in the labour force	M	21295
Sydney - Baulkham Hills and Hawkesbury	2016	Unemployed (looking for work)	F	2558
Sydney - Baulkham Hills and Hawkesbury	2016	Unemployed (looking for work)	M	2765
Sydney - Blacktown	2006		F	5963
Sydney - Blacktown	2006		M	6050
Sydney - Blacktown	2006	Employed (away from work)	F	3702
Sydney - Blacktown	2006	Employed (away from work)	M	4542
Sydney - Blacktown	2006	Employed (full-time)	F	30421
Sydney - Blacktown	2006	Employed (full-time)	M	52465
