SA4_NAME16	Year	IndigenousStatus	persons
Coffs Harbour - Grafton	2016	Torres Strait Islander	151
Far West and Orana	2006	Aboriginal	15193
Far West and Orana	2006	Both Aboriginal & Torres Strait Islander	254
Far West and Orana	2006	Non-indigenous	98832
Far West and Orana	2006	Torres Strait Islander	206
Far West and Orana	2011	Aboriginal	17456
Far West and Orana	2011	Both Aboriginal & Torres Strait Islander	208
Far West and Orana	2011	Non-indigenous	95745
Far West and Orana	2011	Torres Strait Islander	180
Far West and Orana	2016	Aboriginal	18617
Far West and Orana	2016	Both Aboriginal & Torres Strait Islander	249
Far West and Orana	2016	Non-indigenous	94738
Far West and Orana	2016	Torres Strait Islander	175
Hunter Valley exc Newcastle	2006	Aboriginal	6268
Hunter Valley exc Newcastle	2006	Both Aboriginal & Torres Strait Islander	164
Hunter Valley exc Newcastle	2006	Non-indigenous	219069
Hunter Valley exc Newcastle	2006	Torres Strait Islander	252
Hunter Valley exc Newcastle	2011	Aboriginal	9030
Hunter Valley exc Newcastle	2011	Both Aboriginal & Torres Strait Islander	200
Hunter Valley exc Newcastle	2011	Non-indigenous	233750
Hunter Valley exc Newcastle	2011	Torres Strait Islander	267
Hunter Valley exc Newcastle	2016	Aboriginal	14372
Hunter Valley exc Newcastle	2016	Both Aboriginal & Torres Strait Islander	325
Hunter Valley exc Newcastle	2016	Non-indigenous	248335
Hunter Valley exc Newcastle	2016	Torres Strait Islander	384
Illawarra	2006	Aboriginal	4481
Illawarra	2006	Both Aboriginal & Torres Strait Islander	82
Illawarra	2006	Non-indigenous	258800
Illawarra	2006	Torres Strait Islander	174
Illawarra	2011	Aboriginal	6148
Illawarra	2011	Both Aboriginal & Torres Strait Islander	97
Illawarra	2011	Non-indigenous	269535
Illawarra	2011	Torres Strait Islander	203
Illawarra	2016	Aboriginal	8024
Illawarra	2016	Both Aboriginal & Torres Strait Islander	153
Illawarra	2016	Non-indigenous	285129
Illawarra	2016	Torres Strait Islander	188
Mid North Coast	2006	Aboriginal	7917
Mid North Coast	2006	Both Aboriginal & Torres Strait Islander	205
Mid North Coast	2006	Non-indigenous	184390
Mid North Coast	2006	Torres Strait Islander	217
Mid North Coast	2011	Aboriginal	10398
Mid North Coast	2011	Both Aboriginal & Torres Strait Islander	208
Mid North Coast	2011	Non-indigenous	190316
Mid North Coast	2011	Torres Strait Islander	188
Mid North Coast	2016	Aboriginal	12892
Mid North Coast	2016	Both Aboriginal & Torres Strait Islander	258
Mid North Coast	2016	Non-indigenous	198862
Mid North Coast	2016	Torres Strait Islander	189
Murray	2006	Aboriginal	2708
Murray	2006	Both Aboriginal & Torres Strait Islander	50
Murray	2006	Non-indigenous	106783
Murray	2006	Torres Strait Islander	80
Murray	2011	Aboriginal	3112
Murray	2011	Both Aboriginal & Torres Strait Islander	62
Murray	2011	Non-indigenous	107042
Murray	2011	Torres Strait Islander	101
Murray	2016	Aboriginal	3796
Murray	2016	Both Aboriginal & Torres Strait Islander	73
Murray	2016	Non-indigenous	111856
Murray	2016	Torres Strait Islander	78
New England and North West	2006	Aboriginal	13125
New England and North West	2006	Both Aboriginal & Torres Strait Islander	196
New England and North West	2006	Non-indigenous	158800
New England and North West	2006	Torres Strait Islander	275
New England and North West	2011	Aboriginal	15235
New England and North West	2011	Both Aboriginal & Torres Strait Islander	248
New England and North West	2011	Non-indigenous	160396
New England and North West	2011	Torres Strait Islander	314
New England and North West	2016	Aboriginal	17746
New England and North West	2016	Both Aboriginal & Torres Strait Islander	355
New England and North West	2016	Non-indigenous	163141
New England and North West	2016	Torres Strait Islander	313
Newcastle and Lake Macquarie	2006	Aboriginal	7194
Newcastle and Lake Macquarie	2006	Both Aboriginal & Torres Strait Islander	144
Newcastle and Lake Macquarie	2006	Non-indigenous	322379
Newcastle and Lake Macquarie	2006	Torres Strait Islander	242
Newcastle and Lake Macquarie	2011	Aboriginal	9400
Newcastle and Lake Macquarie	2011	Both Aboriginal & Torres Strait Islander	160
Newcastle and Lake Macquarie	2011	Non-indigenous	332793
Newcastle and Lake Macquarie	2011	Torres Strait Islander	252
Newcastle and Lake Macquarie	2016	Aboriginal	13359
Newcastle and Lake Macquarie	2016	Both Aboriginal & Torres Strait Islander	273
Newcastle and Lake Macquarie	2016	Non-indigenous	345204
Newcastle and Lake Macquarie	2016	Torres Strait Islander	270
Richmond - Tweed	2006	Aboriginal	6290
Richmond - Tweed	2006	Both Aboriginal & Torres Strait Islander	487
Richmond - Tweed	2006	Non-indigenous	212156
Richmond - Tweed	2006	Torres Strait Islander	395
Richmond - Tweed	2011	Aboriginal	7616
Richmond - Tweed	2011	Both Aboriginal & Torres Strait Islander	486
Richmond - Tweed	2011	Non-indigenous	219086
Richmond - Tweed	2011	Torres Strait Islander	432
Richmond - Tweed	2016	Aboriginal	8838
Richmond - Tweed	2016	Both Aboriginal & Torres Strait Islander	455
Richmond - Tweed	2016	Non-indigenous	229866
Richmond - Tweed	2016	Torres Strait Islander	445
Riverina	2006	Aboriginal	5708
Riverina	2006	Both Aboriginal & Torres Strait Islander	92
Riverina	2006	Non-indigenous	142252
Riverina	2006	Torres Strait Islander	149
Riverina	2011	Aboriginal	6815
Riverina	2011	Both Aboriginal & Torres Strait Islander	74
Riverina	2011	Non-indigenous	143093
Riverina	2011	Torres Strait Islander	137
Riverina	2016	Aboriginal	8172
Riverina	2016	Both Aboriginal & Torres Strait Islander	105
Riverina	2016	Non-indigenous	147494
Riverina	2016	Torres Strait Islander	163
Southern Highlands and Shoalhaven	2006	Aboriginal	3649
Southern Highlands and Shoalhaven	2006	Both Aboriginal & Torres Strait Islander	87
Southern Highlands and Shoalhaven	2006	Non-indigenous	126843
Southern Highlands and Shoalhaven	2006	Torres Strait Islander	103
Southern Highlands and Shoalhaven	2011	Aboriginal	4898
Southern Highlands and Shoalhaven	2011	Both Aboriginal & Torres Strait Islander	84
Southern Highlands and Shoalhaven	2011	Non-indigenous	131896
Southern Highlands and Shoalhaven	2011	Torres Strait Islander	128
Southern Highlands and Shoalhaven	2016	Aboriginal	6215
Southern Highlands and Shoalhaven	2016	Both Aboriginal & Torres Strait Islander	84
Southern Highlands and Shoalhaven	2016	Non-indigenous	140916
Southern Highlands and Shoalhaven	2016	Torres Strait Islander	148
Sydney - Baulkham Hills and Hawkesbury	2006	Aboriginal	757
Sydney - Baulkham Hills and Hawkesbury	2006	Both Aboriginal & Torres Strait Islander	9
Sydney - Baulkham Hills and Hawkesbury	2006	Non-indigenous	198726
Sydney - Baulkham Hills and Hawkesbury	2006	Torres Strait Islander	37
Sydney - Baulkham Hills and Hawkesbury	2011	Aboriginal	1108
Sydney - Baulkham Hills and Hawkesbury	2011	Both Aboriginal & Torres Strait Islander	36
Sydney - Baulkham Hills and Hawkesbury	2011	Non-indigenous	209236
Sydney - Baulkham Hills and Hawkesbury	2011	Torres Strait Islander	31
Sydney - Baulkham Hills and Hawkesbury	2016	Aboriginal	1767
Sydney - Baulkham Hills and Hawkesbury	2016	Both Aboriginal & Torres Strait Islander	31
Sydney - Baulkham Hills and Hawkesbury	2016	Non-indigenous	225903
Sydney - Baulkham Hills and Hawkesbury	2016	Torres Strait Islander	38
Sydney - Blacktown	2006	Aboriginal	6646
Sydney - Blacktown	2006	Both Aboriginal & Torres Strait Islander	121
Sydney - Blacktown	2006	Non-indigenous	266843
Sydney - Blacktown	2006	Torres Strait Islander	310
Sydney - Blacktown	2011	Aboriginal	7826
Sydney - Blacktown	2011	Both Aboriginal & Torres Strait Islander	140
Sydney - Blacktown	2011	Non-indigenous	295321
Sydney - Blacktown	2011	Torres Strait Islander	244
Sydney - Blacktown	2016	Aboriginal	9114
Sydney - Blacktown	2016	Both Aboriginal & Torres Strait Islander	186
Sydney - Blacktown	2016	Non-indigenous	330092
Sydney - Blacktown	2016	Torres Strait Islander	245
Sydney - City and Inner South	2006	Aboriginal	3254
Sydney - City and Inner South	2006	Both Aboriginal & Torres Strait Islander	72
Sydney - City and Inner South	2006	Non-indigenous	241204
Sydney - City and Inner South	2006	Torres Strait Islander	141
Sydney - City and Inner South	2011	Aboriginal	3470
Sydney - City and Inner South	2011	Both Aboriginal & Torres Strait Islander	87
Sydney - City and Inner South	2011	Non-indigenous	260872
Sydney - City and Inner South	2011	Torres Strait Islander	115
Sydney - City and Inner South	2016	Aboriginal	3861
Sydney - City and Inner South	2016	Both Aboriginal & Torres Strait Islander	140
Sydney - City and Inner South	2016	Non-indigenous	311415
Sydney - City and Inner South	2016	Torres Strait Islander	135
Sydney - Eastern Suburbs	2006	Aboriginal	1642
Sydney - Eastern Suburbs	2006	Both Aboriginal & Torres Strait Islander	45
Sydney - Eastern Suburbs	2006	Non-indigenous	233713
Sydney - Eastern Suburbs	2006	Torres Strait Islander	98
Sydney - Eastern Suburbs	2011	Aboriginal	2070
Sydney - Eastern Suburbs	2011	Both Aboriginal & Torres Strait Islander	46
Sydney - Eastern Suburbs	2011	Non-indigenous	247335
Sydney - Eastern Suburbs	2011	Torres Strait Islander	94
Sydney - Eastern Suburbs	2016	Aboriginal	2454
Sydney - Eastern Suburbs	2016	Both Aboriginal & Torres Strait Islander	56
Sydney - Eastern Suburbs	2016	Non-indigenous	264436
Sydney - Eastern Suburbs	2016	Torres Strait Islander	91
Sydney - Inner South West	2006	Aboriginal	2350
Sydney - Inner South West	2006	Both Aboriginal & Torres Strait Islander	58
Sydney - Inner South West	2006	Non-indigenous	488369
Sydney - Inner South West	2006	Torres Strait Islander	220
Sydney - Inner South West	2011	Aboriginal	2962
Sydney - Inner South West	2011	Both Aboriginal & Torres Strait Islander	74
Sydney - Inner South West	2011	Non-indigenous	520379
Sydney - Inner South West	2011	Torres Strait Islander	195
Sydney - Inner South West	2016	Aboriginal	3552
Sydney - Inner South West	2016	Both Aboriginal & Torres Strait Islander	71
Sydney - Inner South West	2016	Non-indigenous	567614
Sydney - Inner South West	2016	Torres Strait Islander	179
Sydney - Inner West	2006	Aboriginal	1224
Sydney - Inner West	2006	Both Aboriginal & Torres Strait Islander	34
Sydney - Inner West	2006	Non-indigenous	241761
Sydney - Inner West	2006	Torres Strait Islander	86
Sydney - Inner West	2011	Aboriginal	1462
Sydney - Inner West	2011	Both Aboriginal & Torres Strait Islander	45
Sydney - Inner West	2011	Non-indigenous	261976
Sydney - Inner West	2011	Torres Strait Islander	78
Sydney - Inner West	2016	Aboriginal	1802
Sydney - Inner West	2016	Both Aboriginal & Torres Strait Islander	48
Sydney - Inner West	2016	Non-indigenous	291370
Sydney - Inner West	2016	Torres Strait Islander	81
Sydney - North Sydney and Hornsby	2006	Aboriginal	616
Sydney - North Sydney and Hornsby	2006	Both Aboriginal & Torres Strait Islander	27
Sydney - North Sydney and Hornsby	2006	Non-indigenous	351847
Sydney - North Sydney and Hornsby	2006	Torres Strait Islander	48
Sydney - North Sydney and Hornsby	2011	Aboriginal	775
Sydney - North Sydney and Hornsby	2011	Both Aboriginal & Torres Strait Islander	26
Sydney - North Sydney and Hornsby	2011	Non-indigenous	373790
Sydney - North Sydney and Hornsby	2011	Torres Strait Islander	72
Sydney - North Sydney and Hornsby	2016	Aboriginal	1102
Sydney - North Sydney and Hornsby	2016	Both Aboriginal & Torres Strait Islander	29
Sydney - North Sydney and Hornsby	2016	Non-indigenous	404164
Sydney - North Sydney and Hornsby	2016	Torres Strait Islander	61
Sydney - Northern Beaches	2006	Aboriginal	602
Sydney - Northern Beaches	2006	Both Aboriginal & Torres Strait Islander	22
Sydney - Northern Beaches	2006	Non-indigenous	224392
Sydney - Northern Beaches	2006	Torres Strait Islander	86
Sydney - Northern Beaches	2011	Aboriginal	874
Sydney - Northern Beaches	2011	Both Aboriginal & Torres Strait Islander	34
Sydney - Northern Beaches	2011	Non-indigenous	236668
Sydney - Northern Beaches	2011	Torres Strait Islander	64
Sydney - Northern Beaches	2016	Aboriginal	1313
Sydney - Northern Beaches	2016	Both Aboriginal & Torres Strait Islander	23
Sydney - Northern Beaches	2016	Non-indigenous	251486
Sydney - Northern Beaches	2016	Torres Strait Islander	56
Sydney - Outer South West	2006	Aboriginal	4797
Sydney - Outer South West	2006	Both Aboriginal & Torres Strait Islander	86
Sydney - Outer South West	2006	Non-indigenous	218555
Sydney - Outer South West	2006	Torres Strait Islander	218
Sydney - Outer South West	2011	Aboriginal	6435
Sydney - Outer South West	2011	Both Aboriginal & Torres Strait Islander	89
Sydney - Outer South West	2011	Non-indigenous	229108
Sydney - Outer South West	2011	Torres Strait Islander	172
Sydney - Outer South West	2016	Aboriginal	8679
Sydney - Outer South West	2016	Both Aboriginal & Torres Strait Islander	121
Sydney - Outer South West	2016	Non-indigenous	253095
Sydney - Outer South West	2016	Torres Strait Islander	169
Sydney - Outer West and Blue Mountains	2006	Aboriginal	5644
Sydney - Outer West and Blue Mountains	2006	Both Aboriginal & Torres Strait Islander	102
Sydney - Outer West and Blue Mountains	2006	Non-indigenous	273107
Sydney - Outer West and Blue Mountains	2006	Torres Strait Islander	149
Sydney - Outer West and Blue Mountains	2011	Aboriginal	7617
Sydney - Outer West and Blue Mountains	2011	Both Aboriginal & Torres Strait Islander	96
Sydney - Outer West and Blue Mountains	2011	Non-indigenous	280304
Sydney - Outer West and Blue Mountains	2011	Torres Strait Islander	174
Sydney - Outer West and Blue Mountains	2016	Aboriginal	10919
Sydney - Outer West and Blue Mountains	2016	Both Aboriginal & Torres Strait Islander	129
Sydney - Outer West and Blue Mountains	2016	Non-indigenous	295679
Sydney - Outer West and Blue Mountains	2016	Torres Strait Islander	206
Sydney - Parramatta	2006	Aboriginal	2434
Sydney - Parramatta	2006	Both Aboriginal & Torres Strait Islander	52
Sydney - Parramatta	2006	Non-indigenous	353117
Sydney - Parramatta	2006	Torres Strait Islander	179
Sydney - Parramatta	2011	Aboriginal	2789
Sydney - Parramatta	2011	Both Aboriginal & Torres Strait Islander	72
Sydney - Parramatta	2011	Non-indigenous	391706
Sydney - Parramatta	2011	Torres Strait Islander	142
Sydney - Parramatta	2016	Aboriginal	3115
Sydney - Parramatta	2016	Both Aboriginal & Torres Strait Islander	67
Sydney - Parramatta	2016	Non-indigenous	445093
Sydney - Parramatta	2016	Torres Strait Islander	116
Sydney - Ryde	2006	Aboriginal	357
Sydney - Ryde	2006	Both Aboriginal & Torres Strait Islander	16
Sydney - Ryde	2006	Non-indigenous	154652
Sydney - Ryde	2006	Torres Strait Islander	39
Sydney - Ryde	2011	Aboriginal	462
Sydney - Ryde	2011	Both Aboriginal & Torres Strait Islander	24
Sydney - Ryde	2011	Non-indigenous	162327
Sydney - Ryde	2011	Torres Strait Islander	33
Sydney - Ryde	2016	Aboriginal	569
Sydney - Ryde	2016	Both Aboriginal & Torres Strait Islander	20
Sydney - Ryde	2016	Non-indigenous	181498
Sydney - Ryde	2016	Torres Strait Islander	32
Sydney - South West	2006	Aboriginal	3002
Sydney - South West	2006	Both Aboriginal & Torres Strait Islander	67
Sydney - South West	2006	Non-indigenous	334192
Sydney - South West	2006	Torres Strait Islander	191
Sydney - South West	2011	Aboriginal	3676
Sydney - South West	2011	Both Aboriginal & Torres Strait Islander	78
Sydney - South West	2011	Non-indigenous	356208
Sydney - South West	2011	Torres Strait Islander	204
Sydney - South West	2016	Aboriginal	4471
Sydney - South West	2016	Both Aboriginal & Torres Strait Islander	49
Sydney - South West	2016	Non-indigenous	401296
Sydney - South West	2016	Torres Strait Islander	146
Sydney - Sutherland	2006	Aboriginal	1155
Sydney - Sutherland	2006	Both Aboriginal & Torres Strait Islander	33
Sydney - Sutherland	2006	Non-indigenous	203665
Sydney - Sutherland	2006	Torres Strait Islander	60
Sydney - Sutherland	2011	Aboriginal	1637
Sydney - Sutherland	2011	Both Aboriginal & Torres Strait Islander	22
Sydney - Sutherland	2011	Non-indigenous	208531
Sydney - Sutherland	2011	Torres Strait Islander	75
Sydney - Sutherland	2016	Aboriginal	2281
Sydney - Sutherland	2016	Both Aboriginal & Torres Strait Islander	54
Sydney - Sutherland	2016	Non-indigenous	215468
Sydney - Sutherland	2016	Torres Strait Islander	77
Migratory - Offshore - Shipping (NSW)	2006	Aboriginal	5
Migratory - Offshore - Shipping (NSW)	2006	Both Aboriginal & Torres Strait Islander	0
Migratory - Offshore - Shipping (NSW)	2006	Non-indigenous	45
Migratory - Offshore - Shipping (NSW)	2006	Torres Strait Islander	0
Migratory - Offshore - Shipping (NSW)	2011	Aboriginal	0
Migratory - Offshore - Shipping (NSW)	2011	Both Aboriginal & Torres Strait Islander	0
Migratory - Offshore - Shipping (NSW)	2011	Non-indigenous	112
Migratory - Offshore - Shipping (NSW)	2011	Torres Strait Islander	0
Migratory - Offshore - Shipping (NSW)	2016	Aboriginal	10
Migratory - Offshore - Shipping (NSW)	2016	Both Aboriginal & Torres Strait Islander	0
Migratory - Offshore - Shipping (NSW)	2016	Non-indigenous	402
Migratory - Offshore - Shipping (NSW)	2016	Torres Strait Islander	0
No usual address (NSW)	2006	Aboriginal	406
No usual address (NSW)	2006	Both Aboriginal & Torres Strait Islander	8
No usual address (NSW)	2006	Non-indigenous	9737
No usual address (NSW)	2006	Torres Strait Islander	24
No usual address (NSW)	2011	Aboriginal	852
No usual address (NSW)	2011	Both Aboriginal & Torres Strait Islander	24
No usual address (NSW)	2011	Non-indigenous	12008
No usual address (NSW)	2011	Torres Strait Islander	33
No usual address (NSW)	2016	Aboriginal	789
No usual address (NSW)	2016	Both Aboriginal & Torres Strait Islander	25
No usual address (NSW)	2016	Non-indigenous	11448
No usual address (NSW)	2016	Torres Strait Islander	26
Ballarat	2006	Aboriginal	1045
Ballarat	2006	Both Aboriginal & Torres Strait Islander	35
Ballarat	2006	Non-indigenous	134918
Ballarat	2006	Torres Strait Islander	122
Ballarat	2011	Aboriginal	1433
Ballarat	2011	Both Aboriginal & Torres Strait Islander	31
Ballarat	2011	Non-indigenous	144641
Ballarat	2011	Torres Strait Islander	129
Ballarat	2016	Aboriginal	2007
Ballarat	2016	Both Aboriginal & Torres Strait Islander	51
Ballarat	2016	Non-indigenous	155327
Ballarat	2016	Torres Strait Islander	100
Bendigo	2006	Aboriginal	1164
Bendigo	2006	Both Aboriginal & Torres Strait Islander	24
Bendigo	2006	Non-indigenous	131112
Bendigo	2006	Torres Strait Islander	105
Bendigo	2011	Aboriginal	1668
Bendigo	2011	Both Aboriginal & Torres Strait Islander	35
Bendigo	2011	Non-indigenous	138904
Bendigo	2011	Torres Strait Islander	88
Bendigo	2016	Aboriginal	2140
Bendigo	2016	Both Aboriginal & Torres Strait Islander	48
Bendigo	2016	Non-indigenous	150828
Bendigo	2016	Torres Strait Islander	76
Geelong	2006	Aboriginal	1425
Geelong	2006	Both Aboriginal & Torres Strait Islander	43
Geelong	2006	Non-indigenous	229705
Geelong	2006	Torres Strait Islander	102
Geelong	2011	Aboriginal	1864
Geelong	2011	Both Aboriginal & Torres Strait Islander	44
Geelong	2011	Non-indigenous	248635
Geelong	2011	Torres Strait Islander	107
Geelong	2016	Aboriginal	2542
Geelong	2016	Both Aboriginal & Torres Strait Islander	60
Geelong	2016	Non-indigenous	276214
Geelong	2016	Torres Strait Islander	113
Hume	2006	Aboriginal	1289
Hume	2006	Both Aboriginal & Torres Strait Islander	40
Hume	2006	Non-indigenous	151176
Hume	2006	Torres Strait Islander	123
Hume	2011	Aboriginal	1798
Hume	2011	Both Aboriginal & Torres Strait Islander	24
Hume	2011	Non-indigenous	157349
Hume	2011	Torres Strait Islander	123
Hume	2016	Aboriginal	2531
Hume	2016	Both Aboriginal & Torres Strait Islander	59
Hume	2016	Non-indigenous	167491
Hume	2016	Torres Strait Islander	113
Latrobe - Gippsland	2006	Aboriginal	2887
Latrobe - Gippsland	2006	Both Aboriginal & Torres Strait Islander	66
Latrobe - Gippsland	2006	Non-indigenous	235938
Latrobe - Gippsland	2006	Torres Strait Islander	117
Latrobe - Gippsland	2011	Aboriginal	3616
Latrobe - Gippsland	2011	Both Aboriginal & Torres Strait Islander	48
Latrobe - Gippsland	2011	Non-indigenous	252051
Latrobe - Gippsland	2011	Torres Strait Islander	143
Latrobe - Gippsland	2016	Aboriginal	3933
Latrobe - Gippsland	2016	Both Aboriginal & Torres Strait Islander	108
Latrobe - Gippsland	2016	Non-indigenous	267235
Latrobe - Gippsland	2016	Torres Strait Islander	140
Melbourne - Inner	2006	Aboriginal	1440
Melbourne - Inner	2006	Both Aboriginal & Torres Strait Islander	69
Melbourne - Inner	2006	Non-indigenous	457265
Melbourne - Inner	2006	Torres Strait Islander	133
Melbourne - Inner	2011	Aboriginal	1691
Melbourne - Inner	2011	Both Aboriginal & Torres Strait Islander	67
Melbourne - Inner	2011	Non-indigenous	500120
Melbourne - Inner	2011	Torres Strait Islander	111
Melbourne - Inner	2016	Aboriginal	2301
Melbourne - Inner	2016	Both Aboriginal & Torres Strait Islander	93
Melbourne - Inner	2016	Non-indigenous	589167
Melbourne - Inner	2016	Torres Strait Islander	118
Melbourne - Inner East	2006	Aboriginal	388
Melbourne - Inner East	2006	Both Aboriginal & Torres Strait Islander	12
Melbourne - Inner East	2006	Non-indigenous	328531
Melbourne - Inner East	2006	Torres Strait Islander	54
Melbourne - Inner East	2011	Aboriginal	471
Melbourne - Inner East	2011	Both Aboriginal & Torres Strait Islander	14
Melbourne - Inner East	2011	Non-indigenous	339471
Melbourne - Inner East	2011	Torres Strait Islander	46
Melbourne - Inner East	2016	Aboriginal	613
Melbourne - Inner East	2016	Both Aboriginal & Torres Strait Islander	14
Melbourne - Inner East	2016	Non-indigenous	358970
Melbourne - Inner East	2016	Torres Strait Islander	47
Melbourne - Inner South	2006	Aboriginal	504
Melbourne - Inner South	2006	Both Aboriginal & Torres Strait Islander	27
Melbourne - Inner South	2006	Non-indigenous	357853
Melbourne - Inner South	2006	Torres Strait Islander	71
Melbourne - Inner South	2011	Aboriginal	671
Melbourne - Inner South	2011	Both Aboriginal & Torres Strait Islander	37
Melbourne - Inner South	2011	Non-indigenous	377450
Melbourne - Inner South	2011	Torres Strait Islander	56
Melbourne - Inner South	2016	Aboriginal	956
Melbourne - Inner South	2016	Both Aboriginal & Torres Strait Islander	24
Melbourne - Inner South	2016	Non-indigenous	402661
Melbourne - Inner South	2016	Torres Strait Islander	66
Melbourne - North East	2006	Aboriginal	2214
Melbourne - North East	2006	Both Aboriginal & Torres Strait Islander	62
Melbourne - North East	2006	Non-indigenous	394129
Melbourne - North East	2006	Torres Strait Islander	158
Melbourne - North East	2011	Aboriginal	2692
Melbourne - North East	2011	Both Aboriginal & Torres Strait Islander	87
Melbourne - North East	2011	Non-indigenous	434121
Melbourne - North East	2011	Torres Strait Islander	146
Melbourne - North East	2016	Aboriginal	3493
Melbourne - North East	2016	Both Aboriginal & Torres Strait Islander	96
Melbourne - North East	2016	Non-indigenous	491647
Melbourne - North East	2016	Torres Strait Islander	117
Melbourne - North West	2006	Aboriginal	1269
Melbourne - North West	2006	Both Aboriginal & Torres Strait Islander	54
Melbourne - North West	2006	Non-indigenous	288238
Melbourne - North West	2006	Torres Strait Islander	154
Melbourne - North West	2011	Aboriginal	1498
Melbourne - North West	2011	Both Aboriginal & Torres Strait Islander	41
Melbourne - North West	2011	Non-indigenous	316805
Melbourne - North West	2011	Torres Strait Islander	137
Melbourne - North West	2016	Aboriginal	2040
Melbourne - North West	2016	Both Aboriginal & Torres Strait Islander	65
Melbourne - North West	2016	Non-indigenous	361118
Melbourne - North West	2016	Torres Strait Islander	148
Melbourne - Outer East	2006	Aboriginal	1641
Melbourne - Outer East	2006	Both Aboriginal & Torres Strait Islander	31
Melbourne - Outer East	2006	Non-indigenous	464244
Melbourne - Outer East	2006	Torres Strait Islander	123
Melbourne - Outer East	2011	Aboriginal	1916
Melbourne - Outer East	2011	Both Aboriginal & Torres Strait Islander	38
Melbourne - Outer East	2011	Non-indigenous	477035
Melbourne - Outer East	2011	Torres Strait Islander	116
Melbourne - Outer East	2016	Aboriginal	2709
Melbourne - Outer East	2016	Both Aboriginal & Torres Strait Islander	56
Melbourne - Outer East	2016	Non-indigenous	496717
Melbourne - Outer East	2016	Torres Strait Islander	126
Melbourne - South East	2006	Aboriginal	1952
Melbourne - South East	2006	Both Aboriginal & Torres Strait Islander	51
Melbourne - South East	2006	Non-indigenous	582747
Melbourne - South East	2006	Torres Strait Islander	260
Melbourne - South East	2011	Aboriginal	2386
Melbourne - South East	2011	Both Aboriginal & Torres Strait Islander	74
Melbourne - South East	2011	Non-indigenous	655292
Melbourne - South East	2011	Torres Strait Islander	266
Melbourne - South East	2016	Aboriginal	3087
Melbourne - South East	2016	Both Aboriginal & Torres Strait Islander	105
Melbourne - South East	2016	Non-indigenous	751878
Melbourne - South East	2016	Torres Strait Islander	195
Melbourne - West	2006	Aboriginal	2083
Melbourne - West	2006	Both Aboriginal & Torres Strait Islander	107
Melbourne - West	2006	Non-indigenous	506619
Melbourne - West	2006	Torres Strait Islander	247
Melbourne - West	2011	Aboriginal	3135
Melbourne - West	2011	Both Aboriginal & Torres Strait Islander	93
Melbourne - West	2011	Non-indigenous	612587
Melbourne - West	2011	Torres Strait Islander	244
Melbourne - West	2016	Aboriginal	4670
Melbourne - West	2016	Both Aboriginal & Torres Strait Islander	90
Melbourne - West	2016	Non-indigenous	722490
Melbourne - West	2016	Torres Strait Islander	193
Mornington Peninsula	2006	Aboriginal	1241
Mornington Peninsula	2006	Both Aboriginal & Torres Strait Islander	35
Mornington Peninsula	2006	Non-indigenous	252894
Mornington Peninsula	2006	Torres Strait Islander	113
Mornington Peninsula	2011	Aboriginal	1793
