SA4_NAME16	Year	IndustryOfEmployment	Sex	workers
Capital Region	2011	Arts and recreation services	M	886
Capital Region	2011	Construction	F	919
Capital Region	2011	Construction	M	7617
Capital Region	2011	Education and training	F	4732
Capital Region	2011	Education and training	M	2035
Capital Region	2011	Electricity gas water and waste services	F	275
Capital Region	2011	Electricity gas water and waste services	M	1166
Capital Region	2011	Financial and insurance services	F	967
Capital Region	2011	Financial and insurance services	M	469
Capital Region	2011	Health care and social assistance	F	8396
Capital Region	2011	Health care and social assistance	M	1828
Capital Region	2011	Information media and telecommunications	F	533
Capital Region	2011	Information media and telecommunications	M	568
Capital Region	2011	Manufacturing	F	1342
Capital Region	2011	Manufacturing	M	3998
Capital Region	2011	Mining	F	40
Capital Region	2011	Mining	M	321
Capital Region	2011	Other services	F	1467
Capital Region	2011	Other services	M	1977
Capital Region	2011	Professional scientific and technical services	F	2515
Capital Region	2011	Professional scientific and technical services	M	2498
Capital Region	2011	Public administration and safety	F	6418
Capital Region	2011	Public administration and safety	M	7045
Capital Region	2011	Rental hiring and real estate services	F	770
Capital Region	2011	Rental hiring and real estate services	M	602
Capital Region	2011	Retail trade	F	5929
Capital Region	2011	Retail trade	M	4445
Capital Region	2011	Transport postal and warehousing	F	823
Capital Region	2011	Transport postal and warehousing	M	2857
Capital Region	2011	Wholesale trade	F	676
Capital Region	2011	Wholesale trade	M	1585
Capital Region	2016		F	1353
Capital Region	2016		M	2339
Capital Region	2016	Accommodation and food services	F	4525
Capital Region	2016	Accommodation and food services	M	3364
Capital Region	2016	Administrative and support services	F	1690
Capital Region	2016	Administrative and support services	M	1301
Capital Region	2016	Agriculture forestry and fishing	F	1750
Capital Region	2016	Agriculture forestry and fishing	M	4585
Capital Region	2016	Arts and recreation services	F	812
Capital Region	2016	Arts and recreation services	M	923
Capital Region	2016	Construction	F	942
Capital Region	2016	Construction	M	8200
Capital Region	2016	Education and training	F	5379
Capital Region	2016	Education and training	M	1964
Capital Region	2016	Electricity gas water and waste services	F	224
Capital Region	2016	Electricity gas water and waste services	M	1076
Capital Region	2016	Financial and insurance services	F	849
Capital Region	2016	Financial and insurance services	M	403
Capital Region	2016	Health care and social assistance	F	9222
Capital Region	2016	Health care and social assistance	M	2094
Capital Region	2016	Information media and telecommunications	F	474
Capital Region	2016	Information media and telecommunications	M	601
Capital Region	2016	Manufacturing	F	1216
Capital Region	2016	Manufacturing	M	3088
Capital Region	2016	Mining	F	57
Capital Region	2016	Mining	M	439
Capital Region	2016	Other services	F	1536
Capital Region	2016	Other services	M	2057
Capital Region	2016	Professional scientific and technical services	F	2555
Capital Region	2016	Professional scientific and technical services	M	2421
Capital Region	2016	Public administration and safety	F	6708
Capital Region	2016	Public administration and safety	M	6986
Capital Region	2016	Rental hiring and real estate services	F	782
Capital Region	2016	Rental hiring and real estate services	M	641
Capital Region	2016	Retail trade	F	5502
Capital Region	2016	Retail trade	M	4025
Capital Region	2016	Transport postal and warehousing	F	805
Capital Region	2016	Transport postal and warehousing	M	2747
Capital Region	2016	Wholesale trade	F	501
Capital Region	2016	Wholesale trade	M	1191
Central Coast	2006		F	1225
Central Coast	2006		M	1651
Central Coast	2006	Accommodation and food services	F	4635
Central Coast	2006	Accommodation and food services	M	3640
Central Coast	2006	Administrative and support services	F	1843
Central Coast	2006	Administrative and support services	M	1796
Central Coast	2006	Agriculture forestry and fishing	F	380
Central Coast	2006	Agriculture forestry and fishing	M	617
Central Coast	2006	Arts and recreation services	F	791
Central Coast	2006	Arts and recreation services	M	897
Central Coast	2006	Construction	F	1433
Central Coast	2006	Construction	M	10294
Central Coast	2006	Education and training	F	5708
Central Coast	2006	Education and training	M	2551
Central Coast	2006	Electricity gas water and waste services	F	184
Central Coast	2006	Electricity gas water and waste services	M	1343
Central Coast	2006	Financial and insurance services	F	2397
Central Coast	2006	Financial and insurance services	M	1811
Central Coast	2006	Health care and social assistance	F	12202
Central Coast	2006	Health care and social assistance	M	3274
Central Coast	2006	Information media and telecommunications	F	788
Central Coast	2006	Information media and telecommunications	M	1632
Central Coast	2006	Manufacturing	F	3269
Central Coast	2006	Manufacturing	M	8450
Central Coast	2006	Mining	F	36
Central Coast	2006	Mining	M	367
Central Coast	2006	Other services	F	2182
Central Coast	2006	Other services	M	2771
Central Coast	2006	Professional scientific and technical services	F	2913
Central Coast	2006	Professional scientific and technical services	M	3321
Central Coast	2006	Public administration and safety	F	2886
Central Coast	2006	Public administration and safety	M	4629
Central Coast	2006	Rental hiring and real estate services	F	1198
Central Coast	2006	Rental hiring and real estate services	M	1079
Central Coast	2006	Retail trade	F	9772
Central Coast	2006	Retail trade	M	6752
Central Coast	2006	Transport postal and warehousing	F	997
Central Coast	2006	Transport postal and warehousing	M	4324
Central Coast	2006	Wholesale trade	F	1717
Central Coast	2006	Wholesale trade	M	2958
Central Coast	2011		F	1248
Central Coast	2011		M	1789
Central Coast	2011	Accommodation and food services	F	5537
Central Coast	2011	Accommodation and food services	M	3950
Central Coast	2011	Administrative and support services	F	2336
Central Coast	2011	Administrative and support services	M	2181
Central Coast	2011	Agriculture forestry and fishing	F	314
Central Coast	2011	Agriculture forestry and fishing	M	596
Central Coast	2011	Arts and recreation services	F	908
Central Coast	2011	Arts and recreation services	M	1058
Central Coast	2011	Construction	F	1462
Central Coast	2011	Construction	M	11125
Central Coast	2011	Education and training	F	6546
Central Coast	2011	Education and training	M	2867
Central Coast	2011	Electricity gas water and waste services	F	237
Central Coast	2011	Electricity gas water and waste services	M	1620
Central Coast	2011	Financial and insurance services	F	2372
Central Coast	2011	Financial and insurance services	M	1763
Central Coast	2011	Health care and social assistance	F	14859
Central Coast	2011	Health care and social assistance	M	3759
Central Coast	2011	Information media and telecommunications	F	929
Central Coast	2011	Information media and telecommunications	M	1666
Central Coast	2011	Manufacturing	F	2907
Central Coast	2011	Manufacturing	M	8570
Central Coast	2011	Mining	F	60
Central Coast	2011	Mining	M	655
Central Coast	2011	Other services	F	2449
Central Coast	2011	Other services	M	2941
Central Coast	2011	Professional scientific and technical services	F	3376
Central Coast	2011	Professional scientific and technical services	M	3798
Central Coast	2011	Public administration and safety	F	3394
Central Coast	2011	Public administration and safety	M	4959
Central Coast	2011	Rental hiring and real estate services	F	1177
Central Coast	2011	Rental hiring and real estate services	M	991
Central Coast	2011	Retail trade	F	9660
Central Coast	2011	Retail trade	M	6761
Central Coast	2011	Transport postal and warehousing	F	993
Central Coast	2011	Transport postal and warehousing	M	4696
Central Coast	2011	Wholesale trade	F	1554
Central Coast	2011	Wholesale trade	M	2975
Central Coast	2016		F	2132
Central Coast	2016		M	3709
Central Coast	2016	Accommodation and food services	F	6176
Central Coast	2016	Accommodation and food services	M	4405
Central Coast	2016	Administrative and support services	F	2586
Central Coast	2016	Administrative and support services	M	2393
Central Coast	2016	Agriculture forestry and fishing	F	404
Central Coast	2016	Agriculture forestry and fishing	M	715
Central Coast	2016	Arts and recreation services	F	984
Central Coast	2016	Arts and recreation services	M	1137
Central Coast	2016	Construction	F	1722
Central Coast	2016	Construction	M	14004
Central Coast	2016	Education and training	F	7694
Central Coast	2016	Education and training	M	3016
Central Coast	2016	Electricity gas water and waste services	F	212
Central Coast	2016	Electricity gas water and waste services	M	1340
Central Coast	2016	Financial and insurance services	F	2463
Central Coast	2016	Financial and insurance services	M	2198
Central Coast	2016	Health care and social assistance	F	16943
Central Coast	2016	Health care and social assistance	M	4466
Central Coast	2016	Information media and telecommunications	F	907
Central Coast	2016	Information media and telecommunications	M	1777
Central Coast	2016	Manufacturing	F	2390
Central Coast	2016	Manufacturing	M	6343
Central Coast	2016	Mining	F	71
Central Coast	2016	Mining	M	691
Central Coast	2016	Other services	F	2790
Central Coast	2016	Other services	M	3078
Central Coast	2016	Professional scientific and technical services	F	3501
Central Coast	2016	Professional scientific and technical services	M	4017
Central Coast	2016	Public administration and safety	F	3777
Central Coast	2016	Public administration and safety	M	4923
Central Coast	2016	Rental hiring and real estate services	F	1335
Central Coast	2016	Rental hiring and real estate services	M	1100
Central Coast	2016	Retail trade	F	9114
Central Coast	2016	Retail trade	M	6374
Central Coast	2016	Transport postal and warehousing	F	1080
Central Coast	2016	Transport postal and warehousing	M	4184
Central Coast	2016	Wholesale trade	F	1211
Central Coast	2016	Wholesale trade	M	2225
Central West	2006		F	761
Central West	2006		M	995
Central West	2006	Accommodation and food services	F	3560
Central West	2006	Accommodation and food services	M	1873
Central West	2006	Administrative and support services	F	930
Central West	2006	Administrative and support services	M	665
Central West	2006	Agriculture forestry and fishing	F	2658
Central West	2006	Agriculture forestry and fishing	M	7140
Central West	2006	Arts and recreation services	F	299
Central West	2006	Arts and recreation services	M	356
Central West	2006	Construction	F	586
Central West	2006	Construction	M	4500
Central West	2006	Education and training	F	4935
Central West	2006	Education and training	M	1816
Central West	2006	Electricity gas water and waste services	F	228
Central West	2006	Electricity gas water and waste services	M	1068
Central West	2006	Financial and insurance services	F	921
Central West	2006	Financial and insurance services	M	411
Central West	2006	Health care and social assistance	F	7161
Central West	2006	Health care and social assistance	M	1489
Central West	2006	Information media and telecommunications	F	428
Central West	2006	Information media and telecommunications	M	473
Central West	2006	Manufacturing	F	1672
Central West	2006	Manufacturing	M	6030
Central West	2006	Mining	F	242
Central West	2006	Mining	M	2719
Central West	2006	Other services	F	1266
Central West	2006	Other services	M	1655
Central West	2006	Professional scientific and technical services	F	1377
Central West	2006	Professional scientific and technical services	M	1315
Central West	2006	Public administration and safety	F	2241
Central West	2006	Public administration and safety	M	3283
Central West	2006	Rental hiring and real estate services	F	502
Central West	2006	Rental hiring and real estate services	M	406
Central West	2006	Retail trade	F	5588
Central West	2006	Retail trade	M	3736
Central West	2006	Transport postal and warehousing	F	797
Central West	2006	Transport postal and warehousing	M	2718
Central West	2006	Wholesale trade	F	630
Central West	2006	Wholesale trade	M	1643
Central West	2011		F	763
Central West	2011		M	1093
Central West	2011	Accommodation and food services	F	3735
Central West	2011	Accommodation and food services	M	1980
Central West	2011	Administrative and support services	F	1144
Central West	2011	Administrative and support services	M	903
Central West	2011	Agriculture forestry and fishing	F	2353
Central West	2011	Agriculture forestry and fishing	M	6225
Central West	2011	Arts and recreation services	F	328
Central West	2011	Arts and recreation services	M	359
Central West	2011	Construction	F	676
Central West	2011	Construction	M	4910
Central West	2011	Education and training	F	5501
Central West	2011	Education and training	M	2017
Central West	2011	Electricity gas water and waste services	F	258
Central West	2011	Electricity gas water and waste services	M	1124
Central West	2011	Financial and insurance services	F	841
Central West	2011	Financial and insurance services	M	365
Central West	2011	Health care and social assistance	F	8388
Central West	2011	Health care and social assistance	M	1797
Central West	2011	Information media and telecommunications	F	359
Central West	2011	Information media and telecommunications	M	406
Central West	2011	Manufacturing	F	1618
Central West	2011	Manufacturing	M	5447
Central West	2011	Mining	F	538
Central West	2011	Mining	M	4618
Central West	2011	Other services	F	1332
Central West	2011	Other services	M	1952
Central West	2011	Professional scientific and technical services	F	1617
Central West	2011	Professional scientific and technical services	M	1458
Central West	2011	Public administration and safety	F	2441
Central West	2011	Public administration and safety	M	3246
Central West	2011	Rental hiring and real estate services	F	511
Central West	2011	Rental hiring and real estate services	M	412
Central West	2011	Retail trade	F	5513
Central West	2011	Retail trade	M	3405
Central West	2011	Transport postal and warehousing	F	795
Central West	2011	Transport postal and warehousing	M	2918
Central West	2011	Wholesale trade	F	703
Central West	2011	Wholesale trade	M	1622
Central West	2016		F	1206
Central West	2016		M	2017
Central West	2016	Accommodation and food services	F	3718
Central West	2016	Accommodation and food services	M	2200
Central West	2016	Administrative and support services	F	1448
Central West	2016	Administrative and support services	M	919
Central West	2016	Agriculture forestry and fishing	F	2275
Central West	2016	Agriculture forestry and fishing	M	6041
Central West	2016	Arts and recreation services	F	405
Central West	2016	Arts and recreation services	M	414
Central West	2016	Construction	F	748
Central West	2016	Construction	M	5447
Central West	2016	Education and training	F	5988
Central West	2016	Education and training	M	1940
Central West	2016	Electricity gas water and waste services	F	172
Central West	2016	Electricity gas water and waste services	M	952
Central West	2016	Financial and insurance services	F	804
Central West	2016	Financial and insurance services	M	400
Central West	2016	Health care and social assistance	F	9188
Central West	2016	Health care and social assistance	M	2197
Central West	2016	Information media and telecommunications	F	370
Central West	2016	Information media and telecommunications	M	389
Central West	2016	Manufacturing	F	1275
Central West	2016	Manufacturing	M	3976
Central West	2016	Mining	F	460
Central West	2016	Mining	M	4157
Central West	2016	Other services	F	1414
Central West	2016	Other services	M	1984
Central West	2016	Professional scientific and technical services	F	1719
Central West	2016	Professional scientific and technical services	M	1326
Central West	2016	Public administration and safety	F	2834
Central West	2016	Public administration and safety	M	3274
Central West	2016	Rental hiring and real estate services	F	520
Central West	2016	Rental hiring and real estate services	M	445
Central West	2016	Retail trade	F	5199
Central West	2016	Retail trade	M	3352
Central West	2016	Transport postal and warehousing	F	726
Central West	2016	Transport postal and warehousing	M	2550
Central West	2016	Wholesale trade	F	507
Central West	2016	Wholesale trade	M	1317
Coffs Harbour - Grafton	2006		F	447
Coffs Harbour - Grafton	2006		M	615
Coffs Harbour - Grafton	2006	Accommodation and food services	F	2675
Coffs Harbour - Grafton	2006	Accommodation and food services	M	1847
Coffs Harbour - Grafton	2006	Administrative and support services	F	619
Coffs Harbour - Grafton	2006	Administrative and support services	M	663
Coffs Harbour - Grafton	2006	Agriculture forestry and fishing	F	783
Coffs Harbour - Grafton	2006	Agriculture forestry and fishing	M	1865
Coffs Harbour - Grafton	2006	Arts and recreation services	F	281
Coffs Harbour - Grafton	2006	Arts and recreation services	M	400
Coffs Harbour - Grafton	2006	Construction	F	442
Coffs Harbour - Grafton	2006	Construction	M	3339
Coffs Harbour - Grafton	2006	Education and training	F	2679
Coffs Harbour - Grafton	2006	Education and training	M	1238
Coffs Harbour - Grafton	2006	Electricity gas water and waste services	F	69
Coffs Harbour - Grafton	2006	Electricity gas water and waste services	M	353
Coffs Harbour - Grafton	2006	Financial and insurance services	F	639
Coffs Harbour - Grafton	2006	Financial and insurance services	M	355
Coffs Harbour - Grafton	2006	Health care and social assistance	F	4603
Coffs Harbour - Grafton	2006	Health care and social assistance	M	1286
Coffs Harbour - Grafton	2006	Information media and telecommunications	F	293
Coffs Harbour - Grafton	2006	Information media and telecommunications	M	397
Coffs Harbour - Grafton	2006	Manufacturing	F	637
Coffs Harbour - Grafton	2006	Manufacturing	M	2709
Coffs Harbour - Grafton	2006	Mining	F	10
Coffs Harbour - Grafton	2006	Mining	M	71
Coffs Harbour - Grafton	2006	Other services	F	766
Coffs Harbour - Grafton	2006	Other services	M	1075
Coffs Harbour - Grafton	2006	Professional scientific and technical services	F	991
Coffs Harbour - Grafton	2006	Professional scientific and technical services	M	871
Coffs Harbour - Grafton	2006	Public administration and safety	F	1283
Coffs Harbour - Grafton	2006	Public administration and safety	M	1836
Coffs Harbour - Grafton	2006	Rental hiring and real estate services	F	473
Coffs Harbour - Grafton	2006	Rental hiring and real estate services	M	389
Coffs Harbour - Grafton	2006	Retail trade	F	3926
Coffs Harbour - Grafton	2006	Retail trade	M	2959
Coffs Harbour - Grafton	2006	Transport postal and warehousing	F	361
Coffs Harbour - Grafton	2006	Transport postal and warehousing	M	1504
Coffs Harbour - Grafton	2006	Wholesale trade	F	383
Coffs Harbour - Grafton	2006	Wholesale trade	M	993
Coffs Harbour - Grafton	2011		F	464
Coffs Harbour - Grafton	2011		M	599
Coffs Harbour - Grafton	2011	Accommodation and food services	F	2843
Coffs Harbour - Grafton	2011	Accommodation and food services	M	1926
Coffs Harbour - Grafton	2011	Administrative and support services	F	699
Coffs Harbour - Grafton	2011	Administrative and support services	M	770
Coffs Harbour - Grafton	2011	Agriculture forestry and fishing	F	718
Coffs Harbour - Grafton	2011	Agriculture forestry and fishing	M	1728
Coffs Harbour - Grafton	2011	Arts and recreation services	F	294
Coffs Harbour - Grafton	2011	Arts and recreation services	M	394
Coffs Harbour - Grafton	2011	Construction	F	525
Coffs Harbour - Grafton	2011	Construction	M	3919
Coffs Harbour - Grafton	2011	Education and training	F	3046
Coffs Harbour - Grafton	2011	Education and training	M	1320
Coffs Harbour - Grafton	2011	Electricity gas water and waste services	F	84
Coffs Harbour - Grafton	2011	Electricity gas water and waste services	M	464
Coffs Harbour - Grafton	2011	Financial and insurance services	F	600
Coffs Harbour - Grafton	2011	Financial and insurance services	M	358
Coffs Harbour - Grafton	2011	Health care and social assistance	F	5812
Coffs Harbour - Grafton	2011	Health care and social assistance	M	1662
Coffs Harbour - Grafton	2011	Information media and telecommunications	F	244
Coffs Harbour - Grafton	2011	Information media and telecommunications	M	301
Coffs Harbour - Grafton	2011	Manufacturing	F	618
Coffs Harbour - Grafton	2011	Manufacturing	M	2555
Coffs Harbour - Grafton	2011	Mining	F	25
Coffs Harbour - Grafton	2011	Mining	M	187
Coffs Harbour - Grafton	2011	Other services	F	834
Coffs Harbour - Grafton	2011	Other services	M	1159
Coffs Harbour - Grafton	2011	Professional scientific and technical services	F	1091
Coffs Harbour - Grafton	2011	Professional scientific and technical services	M	1002
Coffs Harbour - Grafton	2011	Public administration and safety	F	1502
Coffs Harbour - Grafton	2011	Public administration and safety	M	1960
Coffs Harbour - Grafton	2011	Rental hiring and real estate services	F	483
Coffs Harbour - Grafton	2011	Rental hiring and real estate services	M	390
Coffs Harbour - Grafton	2011	Retail trade	F	3941
Coffs Harbour - Grafton	2011	Retail trade	M	2778
Coffs Harbour - Grafton	2011	Transport postal and warehousing	F	368
Coffs Harbour - Grafton	2011	Transport postal and warehousing	M	1530
Coffs Harbour - Grafton	2011	Wholesale trade	F	385
Coffs Harbour - Grafton	2011	Wholesale trade	M	966
Coffs Harbour - Grafton	2016		F	734
Coffs Harbour - Grafton	2016		M	1234
Coffs Harbour - Grafton	2016	Accommodation and food services	F	2773
Coffs Harbour - Grafton	2016	Accommodation and food services	M	2062
Coffs Harbour - Grafton	2016	Administrative and support services	F	934
Coffs Harbour - Grafton	2016	Administrative and support services	M	843
Coffs Harbour - Grafton	2016	Agriculture forestry and fishing	F	937
Coffs Harbour - Grafton	2016	Agriculture forestry and fishing	M	2104
Coffs Harbour - Grafton	2016	Arts and recreation services	F	328
Coffs Harbour - Grafton	2016	Arts and recreation services	M	399
Coffs Harbour - Grafton	2016	Construction	F	571
Coffs Harbour - Grafton	2016	Construction	M	4354
Coffs Harbour - Grafton	2016	Education and training	F	3288
Coffs Harbour - Grafton	2016	Education and training	M	1271
Coffs Harbour - Grafton	2016	Electricity gas water and waste services	F	53
Coffs Harbour - Grafton	2016	Electricity gas water and waste services	M	397
Coffs Harbour - Grafton	2016	Financial and insurance services	F	465
Coffs Harbour - Grafton	2016	Financial and insurance services	M	298
Coffs Harbour - Grafton	2016	Health care and social assistance	F	6640
Coffs Harbour - Grafton	2016	Health care and social assistance	M	1901
Coffs Harbour - Grafton	2016	Information media and telecommunications	F	206
Coffs Harbour - Grafton	2016	Information media and telecommunications	M	294
Coffs Harbour - Grafton	2016	Manufacturing	F	467
Coffs Harbour - Grafton	2016	Manufacturing	M	1797
Coffs Harbour - Grafton	2016	Mining	F	16
Coffs Harbour - Grafton	2016	Mining	M	215
Coffs Harbour - Grafton	2016	Other services	F	871
Coffs Harbour - Grafton	2016	Other services	M	1167
Coffs Harbour - Grafton	2016	Professional scientific and technical services	F	1123
Coffs Harbour - Grafton	2016	Professional scientific and technical services	M	1008
Coffs Harbour - Grafton	2016	Public administration and safety	F	1531
Coffs Harbour - Grafton	2016	Public administration and safety	M	1906
Coffs Harbour - Grafton	2016	Rental hiring and real estate services	F	482
Coffs Harbour - Grafton	2016	Rental hiring and real estate services	M	370
Coffs Harbour - Grafton	2016	Retail trade	F	3583
Coffs Harbour - Grafton	2016	Retail trade	M	2587
Coffs Harbour - Grafton	2016	Transport postal and warehousing	F	400
Coffs Harbour - Grafton	2016	Transport postal and warehousing	M	1524
Coffs Harbour - Grafton	2016	Wholesale trade	F	288
Coffs Harbour - Grafton	2016	Wholesale trade	M	636
Far West and Orana	2006		F	550
Far West and Orana	2006		M	789
Far West and Orana	2006	Accommodation and food services	F	2019
Far West and Orana	2006	Accommodation and food services	M	1043
Far West and Orana	2006	Administrative and support services	F	556
Far West and Orana	2006	Administrative and support services	M	431
Far West and Orana	2006	Agriculture forestry and fishing	F	1949
Far West and Orana	2006	Agriculture forestry and fishing	M	5298
Far West and Orana	2006	Arts and recreation services	F	229
Far West and Orana	2006	Arts and recreation services	M	245
Far West and Orana	2006	Construction	F	291
Far West and Orana	2006	Construction	M	2337
Far West and Orana	2006	Education and training	F	3007
Far West and Orana	2006	Education and training	M	1048
Far West and Orana	2006	Electricity gas water and waste services	F	128
Far West and Orana	2006	Electricity gas water and waste services	M	541
Far West and Orana	2006	Financial and insurance services	F	523
Far West and Orana	2006	Financial and insurance services	M	270
Far West and Orana	2006	Health care and social assistance	F	4436
Far West and Orana	2006	Health care and social assistance	M	1145
Far West and Orana	2006	Information media and telecommunications	F	214
Far West and Orana	2006	Information media and telecommunications	M	265
Far West and Orana	2006	Manufacturing	F	469
Far West and Orana	2006	Manufacturing	M	1880
Far West and Orana	2006	Mining	F	175
Far West and Orana	2006	Mining	M	1532
Far West and Orana	2006	Other services	F	649
Far West and Orana	2006	Other services	M	1002
Far West and Orana	2006	Professional scientific and technical services	F	769
Far West and Orana	2006	Professional scientific and technical services	M	603
Far West and Orana	2006	Public administration and safety	F	1377
Far West and Orana	2006	Public administration and safety	M	2108
Far West and Orana	2006	Rental hiring and real estate services	F	266
Far West and Orana	2006	Rental hiring and real estate services	M	201
Far West and Orana	2006	Retail trade	F	3129
Far West and Orana	2006	Retail trade	M	2186
Far West and Orana	2006	Transport postal and warehousing	F	411
Far West and Orana	2006	Transport postal and warehousing	M	1566
Far West and Orana	2006	Wholesale trade	F	406
Far West and Orana	2006	Wholesale trade	M	1145
Far West and Orana	2011		F	432
Far West and Orana	2011		M	695
Far West and Orana	2011	Accommodation and food services	F	2170
Far West and Orana	2011	Accommodation and food services	M	1127
Far West and Orana	2011	Administrative and support services	F	614
Far West and Orana	2011	Administrative and support services	M	492
Far West and Orana	2011	Agriculture forestry and fishing	F	1714
Far West and Orana	2011	Agriculture forestry and fishing	M	4796
Far West and Orana	2011	Arts and recreation services	F	268
Far West and Orana	2011	Arts and recreation services	M	322
Far West and Orana	2011	Construction	F	278
Far West and Orana	2011	Construction	M	2491
Far West and Orana	2011	Education and training	F	3300
Far West and Orana	2011	Education and training	M	1051
Far West and Orana	2011	Electricity gas water and waste services	F	166
Far West and Orana	2011	Electricity gas water and waste services	M	598
Far West and Orana	2011	Financial and insurance services	F	490
Far West and Orana	2011	Financial and insurance services	M	248
Far West and Orana	2011	Health care and social assistance	F	5200
Far West and Orana	2011	Health care and social assistance	M	1162
Far West and Orana	2011	Information media and telecommunications	F	172
Far West and Orana	2011	Information media and telecommunications	M	208
Far West and Orana	2011	Manufacturing	F	423
Far West and Orana	2011	Manufacturing	M	1739
Far West and Orana	2011	Mining	F	220
Far West and Orana	2011	Mining	M	1687
Far West and Orana	2011	Other services	F	714
Far West and Orana	2011	Other services	M	1092
Far West and Orana	2011	Professional scientific and technical services	F	854
Far West and Orana	2011	Professional scientific and technical services	M	634
Far West and Orana	2011	Public administration and safety	F	1586
Far West and Orana	2011	Public administration and safety	M	2163
Far West and Orana	2011	Rental hiring and real estate services	F	256
Far West and Orana	2011	Rental hiring and real estate services	M	193
Far West and Orana	2011	Retail trade	F	2979
Far West and Orana	2011	Retail trade	M	2106
Far West and Orana	2011	Transport postal and warehousing	F	377
Far West and Orana	2011	Transport postal and warehousing	M	1633
Far West and Orana	2011	Wholesale trade	F	390
Far West and Orana	2011	Wholesale trade	M	1061
Far West and Orana	2016		F	602
Far West and Orana	2016		M	1159
Far West and Orana	2016	Accommodation and food services	F	2104
Far West and Orana	2016	Accommodation and food services	M	1167
Far West and Orana	2016	Administrative and support services	F	751
Far West and Orana	2016	Administrative and support services	M	477
Far West and Orana	2016	Agriculture forestry and fishing	F	1567
Far West and Orana	2016	Agriculture forestry and fishing	M	4385
Far West and Orana	2016	Arts and recreation services	F	242
Far West and Orana	2016	Arts and recreation services	M	300
Far West and Orana	2016	Construction	F	329
Far West and Orana	2016	Construction	M	2663
Far West and Orana	2016	Education and training	F	3440
Far West and Orana	2016	Education and training	M	1002
Far West and Orana	2016	Electricity gas water and waste services	F	121
Far West and Orana	2016	Electricity gas water and waste services	M	499
Far West and Orana	2016	Financial and insurance services	F	398
Far West and Orana	2016	Financial and insurance services	M	220
Far West and Orana	2016	Health care and social assistance	F	5316
Far West and Orana	2016	Health care and social assistance	M	1283
Far West and Orana	2016	Information media and telecommunications	F	149
Far West and Orana	2016	Information media and telecommunications	M	208
Far West and Orana	2016	Manufacturing	F	435
Far West and Orana	2016	Manufacturing	M	1354
Far West and Orana	2016	Mining	F	253
Far West and Orana	2016	Mining	M	1702
Far West and Orana	2016	Other services	F	749
Far West and Orana	2016	Other services	M	1078
Far West and Orana	2016	Professional scientific and technical services	F	827
Far West and Orana	2016	Professional scientific and technical services	M	620
Far West and Orana	2016	Public administration and safety	F	1620
Far West and Orana	2016	Public administration and safety	M	1979
Far West and Orana	2016	Rental hiring and real estate services	F	226
Far West and Orana	2016	Rental hiring and real estate services	M	186
Far West and Orana	2016	Retail trade	F	2664
Far West and Orana	2016	Retail trade	M	1838
Far West and Orana	2016	Transport postal and warehousing	F	358
Far West and Orana	2016	Transport postal and warehousing	M	1380
Far West and Orana	2016	Wholesale trade	F	296
Far West and Orana	2016	Wholesale trade	M	773
Hunter Valley exc Newcastle	2006		F	883
Hunter Valley exc Newcastle	2006		M	1427
